Year,Relationship to the victim,Offence type,Offence category,Threat type,Age,Ethnicity,Ethnicity type,Marital status,Employment status,Occupation,Highest qualification,Disability status,Disability severity,Hours out of home on an average weekday,Structure of household,Household income,Tenure,Accommodation type,Output area classification,Area type,Level of physical disorder,Employment deprivation index,Region,Value
2005,Partner abuse,Non-sexual,Threats or force,,,,,,,,,,,,,,,,,,,,,8.489867958
2005,,,,,,,,,,,,,,,,,,,,,,,,2.105883198
2005,Family abuse,,,,,,,,,,,,,,,,,,,,,,,23.44913895
2005,Family abuse,Non-sexual,,,,,,,,,,,,,,,,,,,,,,17.0299335
2005,Family abuse,Sexual,,,,,,,,,,,,,,,,,,,,,,4.255687011
2005,Family abuse,Stalking,,,,,,,,,,,,,,,,,,,,,,13.88117557
2005,Partner abuse,,,,,,,,,,,,,,,,,,,,,,,1.783798313
2005,Partner abuse,Stalking,,,,,,,,,,,,,,,,,,,,,,2.930152508
2006,Family abuse,Non-sexual,Threats or force,Force,,,,,,,,,,,,,,,,,,,,8.928763262
2006,Partner abuse,Non-sexual,Threats or force,Force,,,,,,,,,,,,,,,,,,,,2.449723772
2006,Family abuse,Sexual,Indecent exposure or unwanted sexual touching,,,,,,,,,,,,,,,,,,,,,6.575041414
2006,Partner abuse,Sexual,Indecent exposure or unwanted sexual touching,,,,,,,,,,,,,,,,,,,,,5.225803149
2006,Family abuse,Non-sexual,"Non-physical abuse (emotional, financial)",,,,,,,,,,,,,,,,,,,,,5.449372366
2006,Partner abuse,Non-sexual,"Non-physical abuse (emotional, financial)",,,,,,,,,,,,,,,,,,,,,1.245229171
2006,Family abuse,Sexual,Sexual assault by rape or penetration (including attempts),,,,,,,,,,,,,,,,,,,,,6.18329377
2006,Family abuse,Non-sexual,Threats or force,Threats,,,,,,,,,,,,,,,,,,,,9.55625869
2006,Partner abuse,Non-sexual,Threats or force,Threats,,,,,,,,,,,,,,,,,,,,4.35563724
2006,Family abuse,Non-sexual,Threats or force,,,,,,,,,,,,,,,,,,,,,6.71038461
2006,Partner abuse,Non-sexual,Threats or force,,,,,,,,,,,,,,,,,,,,,0.671531021
2006,,,,,,,,,,,,,,,,,,,,,,,,2.29224634
2006,Family abuse,,,,,,,,,,,,,,,,,,,,,,,9.485477273
2006,Family abuse,Non-sexual,,,,,,,,,,,,,,,,,,,,,,7.462865625
2006,Family abuse,Sexual,,,,,,,,,,,,,,,,,,,,,,7.584447478
2006,Family abuse,Stalking,,,,,,,,,,,,,,,,,,,,,,8.836777406
2006,Partner abuse,,,,,,,,,,,,,,,,,,,,,,,2.943624022
2006,Partner abuse,Non-sexual,,,,,,,,,,,,,,,,,,,,,,2.716708598
2006,Partner abuse,Sexual,,,,,,,,,,,,,,,,,,,,,,6.866498651
2007,Family abuse,Non-sexual,Threats or force,Force,,,,,,,,,,,,,,,,,,,,6.856353342
2007,Partner abuse,Non-sexual,Threats or force,Force,,,,,,,,,,,,,,,,,,,,13.61550525
2007,Family abuse,Sexual,Indecent exposure or unwanted sexual touching,,,,,,,,,,,,,,,,,,,,,10.1235937
2007,Partner abuse,Sexual,Indecent exposure or unwanted sexual touching,,,,,,,,,,,,,,,,,,,,,11.30302086
2007,Family abuse,Non-sexual,"Non-physical abuse (emotional, financial)",,,,,,,,,,,,,,,,,,,,,12.10130568
2007,Partner abuse,Non-sexual,"Non-physical abuse (emotional, financial)",,,,,,,,,,,,,,,,,,,,,5.35195711
2007,Partner abuse,Sexual,Sexual assault by rape or penetration (including attempts),,,,,,,,,,,,,,,,,,,,,4.741966702
2007,Family abuse,Sexual,Sexual assault by rape or penetration (including attempts),,,,,,,,,,,,,,,,,,,,,7.502281956
2007,Family abuse,Non-sexual,Threats or force,Threats,,,,,,,,,,,,,,,,,,,,7.890532752
2007,Partner abuse,Non-sexual,Threats or force,Threats,,,,,,,,,,,,,,,,,,,,18.65404115
2007,Family abuse,Non-sexual,Threats or force,,,,,,,,,,,,,,,,,,,,,9.747798611
2007,Partner abuse,Non-sexual,Threats or force,,,,,,,,,,,,,,,,,,,,,7.470831499
2007,,,,,,,,,,,,,,,,,,,,,,,,3.02263162
2007,Family abuse,,,,,,,,,,,,,,,,,,,,,,,7.111993978
2007,Family abuse,Non-sexual,,,,,,,,,,,,,,,,,,,,,,4.986837872
2007,Family abuse,Sexual,,,,,,,,,,,,,,,,,,,,,,10.92209351
2007,Family abuse,Stalking,,,,,,,,,,,,,,,,,,,,,,7.87696385
2007,Partner abuse,,,,,,,,,,,,,,,,,,,,,,,11.60430242
2007,Partner abuse,Non-sexual,,,,,,,,,,,,,,,,,,,,,,1.969571729
2007,Partner abuse,Sexual,,,,,,,,,,,,,,,,,,,,,,3.337691529
2007,Partner abuse,Stalking,,,,,,,,,,,,,,,,,,,,,,6.017228244
2008,Family abuse,Non-sexual,Threats or force,Force,,,,,,,,,,,,,,,,,,,,9.23492339
2008,Partner abuse,Non-sexual,Threats or force,Force,,,,,,,,,,,,,,,,,,,,3.692957209
2008,Family abuse,Sexual,Indecent exposure or unwanted sexual touching,,,,,,,,,,,,,,,,,,,,,7.468262302
2008,Partner abuse,Sexual,Indecent exposure or unwanted sexual touching,,,,,,,,,,,,,,,,,,,,,6.087496178
2008,Family abuse,Non-sexual,"Non-physical abuse (emotional, financial)",,,,,,,,,,,,,,,,,,,,,7.677771805
2008,Partner abuse,Non-sexual,"Non-physical abuse (emotional, financial)",,,,,,,,,,,,,,,,,,,,,10.13026879
2008,Partner abuse,Sexual,Sexual assault by rape or penetration (including attempts),,,,,,,,,,,,,,,,,,,,,7.284968986
2008,Family abuse,Sexual,Sexual assault by rape or penetration (including attempts),,,,,,,,,,,,,,,,,,,,,6.548939188
2008,Family abuse,Non-sexual,Threats or force,Threats,,,,,,,,,,,,,,,,,,,,8.124280445
2008,Partner abuse,Non-sexual,Threats or force,Threats,,,,,,,,,,,,,,,,,,,,4.932732754
2008,Family abuse,Non-sexual,Threats or force,,,,,,,,,,,,,,,,,,,,,7.360449887
2008,Partner abuse,Non-sexual,Threats or force,,,,,,,,,,,,,,,,,,,,,2.188489392
2008,Family abuse,,,,,,,,,,,,,,,,,,,,,,,4.602989349
2008,Family abuse,Non-sexual,,,,,,,,,,,,,,,,,,,,,,8.609404674
2008,Family abuse,Sexual,,,,,,,,,,,,,,,,,,,,,,7.756899234
2008,Family abuse,Stalking,,,,,,,,,,,,,,,,,,,,,,7.720958249
2008,Partner abuse,,,,,,,,,,,,,,,,,,,,,,,4.034534447
2008,Partner abuse,Non-sexual,,,,,,,,,,,,,,,,,,,,,,6.265982568
2008,Partner abuse,Sexual,,,,,,,,,,,,,,,,,,,,,,4.6724807
2008,Partner abuse,Stalking,,,,,,,,,,,,,,,,,,,,,,5.866500124
2009,Family abuse,Non-sexual,Threats or force,Force,,,,,,,,,,,,,,,,,,,,6.382226598
2009,Partner abuse,Non-sexual,Threats or force,Force,,,,,,,,,,,,,,,,,,,,5.77209052
2009,Family abuse,Sexual,Indecent exposure or unwanted sexual touching,,,,,,,,,,,,,,,,,,,,,5.583339833
2009,Partner abuse,Sexual,Indecent exposure or unwanted sexual touching,,,,,,,,,,,,,,,,,,,,,10.68507957
2009,Family abuse,Non-sexual,"Non-physical abuse (emotional, financial)",,,,,,,,,,,,,,,,,,,,,5.129589145
2009,Partner abuse,Non-sexual,"Non-physical abuse (emotional, financial)",,,,,,,,,,,,,,,,,,,,,6.443553799
2009,Partner abuse,Sexual,Sexual assault by rape or penetration (including attempts),,,,,,,,,,,,,,,,,,,,,11.36695241
2009,Family abuse,Sexual,Sexual assault by rape or penetration (including attempts),,,,,,,,,,,,,,,,,,,,,4.746720693
2009,Family abuse,Non-sexual,Threats or force,Threats,,,,,,,,,,,,,,,,,,,,5.087894018
2009,Partner abuse,Non-sexual,Threats or force,Threats,,,,,,,,,,,,,,,,,,,,4.518946125
2009,Family abuse,Non-sexual,Threats or force,,,,,,,,,,,,,,,,,,,,,5.794968982
2009,Partner abuse,Non-sexual,Threats or force,,,,,,,,,,,,,,,,,,,,,5.96822551
2009,,,,,,,,,,,,,,,,,,,,,,,,0.621700688
2009,Family abuse,,,,,,,,,,,,,,,,,,,,,,,8.279163542
2009,Family abuse,Non-sexual,,,,,,,,,,,,,,,,,,,,,,5.39930417
2009,Family abuse,Sexual,,,,,,,,,,,,,,,,,,,,,,4.976009238
2009,Family abuse,Stalking,,,,,,,,,,,,,,,,,,,,,,5.789916051
2009,Partner abuse,,,,,,,,,,,,,,,,,,,,,,,5.551305597
2009,Partner abuse,Non-sexual,,,,,,,,,,,,,,,,,,,,,,4.290670647
2009,Partner abuse,Sexual,,,,,,,,,,,,,,,,,,,,,,11.19542603
2009,Partner abuse,Stalking,,,,,,,,,,,,,,,,,,,,,,4.110021953
2010,Partner abuse,Non-sexual,Threats or force,Force,,,,,,,,,,,,,,,,,,,,16.8704881
2010,Family abuse,Sexual,Indecent exposure or unwanted sexual touching,,,,,,,,,,,,,,,,,,,,,2.648786568
2010,Partner abuse,Sexual,Indecent exposure or unwanted sexual touching,,,,,,,,,,,,,,,,,,,,,5.79704718
2010,Family abuse,Non-sexual,"Non-physical abuse (emotional, financial)",,,,,,,,,,,,,,,,,,,,,3.000243308
2010,Partner abuse,Non-sexual,"Non-physical abuse (emotional, financial)",,,,,,,,,,,,,,,,,,,,,5.300828611
2010,Partner abuse,Sexual,Sexual assault by rape or penetration (including attempts),,,,,,,,,,,,,,,,,,,,,7.504174784
2010,Family abuse,Non-sexual,Threats or force,Threats,,,,,,,,,,,,,,,,,,,,9.687784109
2010,Partner abuse,Non-sexual,Threats or force,Threats,,,,,,,,,,,,,,,,,,,,3.907317083
2010,Family abuse,Non-sexual,Threats or force,,,,,,,,,,,,,,,,,,,,,6.409882667
2010,Partner abuse,Non-sexual,Threats or force,,,,,,,,,,,,,,,,,,,,,4.709920581
2010,,,,,,,,,,,,,,,,,,,,,,,,1.775917463
2010,Family abuse,,,,,,,,,,,,,,,,,,,,,,,9.440380896
2010,Family abuse,Stalking,,,,,,,,,,,,,,,,,,,,,,1.942484246
2010,Partner abuse,,,,,,,,,,,,,,,,,,,,,,,5.928726453
2010,Partner abuse,Non-sexual,,,,,,,,,,,,,,,,,,,,,,4.62457085
2010,Partner abuse,Sexual,,,,,,,,,,,,,,,,,,,,,,13.52375847
2010,Partner abuse,Stalking,,,,,,,,,,,,,,,,,,,,,,5.045140302
2011,Family abuse,Non-sexual,Threats or force,Force,,,,,,,,,,,,,,,,,,,,6.302543943
2011,Partner abuse,Non-sexual,Threats or force,Force,,,,,,,,,,,,,,,,,,,,6.603788308
2011,Family abuse,Sexual,Indecent exposure or unwanted sexual touching,,,,,,,,,,,,,,,,,,,,,3.252076946
2011,Partner abuse,Sexual,Indecent exposure or unwanted sexual touching,,,,,,,,,,,,,,,,,,,,,4.942826232
2011,Family abuse,Non-sexual,"Non-physical abuse (emotional, financial)",,,,,,,,,,,,,,,,,,,,,2.675880478
2011,Partner abuse,Non-sexual,"Non-physical abuse (emotional, financial)",,,,,,,,,,,,,,,,,,,,,4.806620609
2011,Partner abuse,Sexual,Sexual assault by rape or penetration (including attempts),,,,,,,,,,,,,,,,,,,,,3.491294225
2011,Family abuse,Non-sexual,Threats or force,Threats,,,,,,,,,,,,,,,,,,,,7.049345948
2011,Partner abuse,Non-sexual,Threats or force,Threats,,,,,,,,,,,,,,,,,,,,8.627567869
2011,Family abuse,Non-sexual,Threats or force,,,,,,,,,,,,,,,,,,,,,4.243999672
2011,Partner abuse,Non-sexual,Threats or force,,,,,,,,,,,,,,,,,,,,,3.57400448
2011,,,,,,,,,,,,,,,,,,,,,,,,5.952419733
2011,Family abuse,,,,,,,,,,,,,,,,,,,,,,,1.998395404
2011,Family abuse,Non-sexual,,,,,,,,,,,,,,,,,,,,,,3.650365281
2011,Family abuse,Sexual,,,,,,,,,,,,,,,,,,,,,,8.25368861
2011,Partner abuse,,,,,,,,,,,,,,,,,,,,,,,4.228430222
2011,Partner abuse,Non-sexual,,,,,,,,,,,,,,,,,,,,,,2.703346198
2011,Partner abuse,Sexual,,,,,,,,,,,,,,,,,,,,,,5.04947847
2011,Partner abuse,Stalking,,,,,,,,,,,,,,,,,,,,,,6.151485638
2012,Family abuse,Non-sexual,Threats or force,Force,,,,,,,,,,,,,,,,,,,,15.3467684
2012,Partner abuse,Non-sexual,Threats or force,Force,,,,,,,,,,,,,,,,,,,,5.97846153
2012,Family abuse,Sexual,Indecent exposure or unwanted sexual touching,,,,,,,,,,,,,,,,,,,,,6.69840272
2012,Partner abuse,Sexual,Indecent exposure or unwanted sexual touching,,,,,,,,,,,,,,,,,,,,,7.420976755
2012,Family abuse,Non-sexual,"Non-physical abuse (emotional, financial)",,,,,,,,,,,,,,,,,,,,,4.48862742
2012,Partner abuse,Non-sexual,"Non-physical abuse (emotional, financial)",,,,,,,,,,,,,,,,,,,,,2.773959852
2012,Partner abuse,Sexual,Sexual assault by rape or penetration (including attempts),,,,,,,,,,,,,,,,,,,,,9.923742484
2012,Family abuse,Sexual,Sexual assault by rape or penetration (including attempts),,,,,,,,,,,,,,,,,,,,,4.863407568
2012,Family abuse,Non-sexual,Threats or force,Threats,,,,,,,,,,,,,,,,,,,,16.02334655
2012,Partner abuse,Non-sexual,Threats or force,Threats,,,,,,,,,,,,,,,,,,,,4.522561463
2012,Family abuse,Non-sexual,Threats or force,,,,,,,,,,,,,,,,,,,,,7.30352175
2012,Partner abuse,Non-sexual,Threats or force,,,,,,,,,,,,,,,,,,,,,2.374048531
2012,,,,,,,,,,,,,,,,,,,,,,,,4.717190023
2012,Family abuse,,,,,,,,,,,,,,,,,,,,,,,5.149273075
2012,Family abuse,Non-sexual,,,,,,,,,,,,,,,,,,,,,,2.729538244
2012,Family abuse,Sexual,,,,,,,,,,,,,,,,,,,,,,6.545776174
2012,Family abuse,Stalking,,,,,,,,,,,,,,,,,,,,,,6.895933835
2012,Partner abuse,,,,,,,,,,,,,,,,,,,,,,,5.919778313
2012,Partner abuse,Non-sexual,,,,,,,,,,,,,,,,,,,,,,3.64637575
2012,Partner abuse,Sexual,,,,,,,,,,,,,,,,,,,,,,3.954567443
2012,Partner abuse,Stalking,,,,,,,,,,,,,,,,,,,,,,5.293379443
2013,Family abuse,Non-sexual,Threats or force,Force,,,,,,,,,,,,,,,,,,,,4.236426521
2013,Partner abuse,Non-sexual,Threats or force,Force,,,,,,,,,,,,,,,,,,,,3.458798154
2013,Family abuse,Sexual,Indecent exposure or unwanted sexual touching,,,,,,,,,,,,,,,,,,,,,5.362036412
2013,Partner abuse,Sexual,Indecent exposure or unwanted sexual touching,,,,,,,,,,,,,,,,,,,,,6.10836438
2013,Family abuse,Non-sexual,"Non-physical abuse (emotional, financial)",,,,,,,,,,,,,,,,,,,,,14.74783264
2013,Partner abuse,Non-sexual,"Non-physical abuse (emotional, financial)",,,,,,,,,,,,,,,,,,,,,5.163669698
2013,Partner abuse,Sexual,Sexual assault by rape or penetration (including attempts),,,,,,,,,,,,,,,,,,,,,5.475292554
2013,Family abuse,Sexual,Sexual assault by rape or penetration (including attempts),,,,,,,,,,,,,,,,,,,,,7.295230543
2013,Family abuse,Non-sexual,Threats or force,Threats,,,,,,,,,,,,,,,,,,,,8.859755405
2013,Partner abuse,Non-sexual,Threats or force,Threats,,,,,,,,,,,,,,,,,,,,5.024922423
2013,Family abuse,Non-sexual,Threats or force,,,,,,,,,,,,,,,,,,,,,3.17101033
2013,Partner abuse,Non-sexual,Threats or force,,,,,,,,,,,,,,,,,,,,,6.99206341
2013,,,,,,,,,,,,,,,,,,,,,,,,7.860218994
2013,Family abuse,,,,,,,,,,,,,,,,,,,,,,,4.118725051
2013,Family abuse,Non-sexual,,,,,,,,,,,,,,,,,,,,,,6.164749469
2013,Family abuse,Sexual,,,,,,,,,,,,,,,,,,,,,,5.437862193
2013,Family abuse,Stalking,,,,,,,,,,,,,,,,,,,,,,4.166985205
2013,Partner abuse,,,,,,,,,,,,,,,,,,,,,,,4.761756986
2013,Partner abuse,Non-sexual,,,,,,,,,,,,,,,,,,,,,,6.000454633
2013,Partner abuse,Sexual,,,,,,,,,,,,,,,,,,,,,,5.516951788
2013,Partner abuse,Stalking,,,,,,,,,,,,,,,,,,,,,,5.646428346
2014,Family abuse,Non-sexual,Threats or force,Force,,,,,,,,,,,,,,,,,,,,5.978748636
2014,Partner abuse,Non-sexual,Threats or force,Force,,,,,,,,,,,,,,,,,,,,6.754652027
2014,Family abuse,Sexual,Indecent exposure or unwanted sexual touching,,,,,,,,,,,,,,,,,,,,,9.254595336
2014,Partner abuse,Sexual,Indecent exposure or unwanted sexual touching,,,,,,,,,,,,,,,,,,,,,2.873057205
2014,Family abuse,Non-sexual,"Non-physical abuse (emotional, financial)",,,,,,,,,,,,,,,,,,,,,5.998116258
2014,Partner abuse,Non-sexual,"Non-physical abuse (emotional, financial)",,,,,,,,,,,,,,,,,,,,,2.499113846
2014,Partner abuse,Sexual,Sexual assault by rape or penetration (including attempts),,,,,,,,,,,,,,,,,,,,,2.467927884
2014,Family abuse,Sexual,Sexual assault by rape or penetration (including attempts),,,,,,,,,,,,,,,,,,,,,11.19189589
2014,Family abuse,Non-sexual,Threats or force,Threats,,,,,,,,,,,,,,,,,,,,4.471945596
2014,Partner abuse,Non-sexual,Threats or force,Threats,,,,,,,,,,,,,,,,,,,,6.898349109
2014,Family abuse,Non-sexual,Threats or force,,,,,,,,,,,,,,,,,,,,,6.629929348
2014,Partner abuse,Non-sexual,Threats or force,,,,,,,,,,,,,,,,,,,,,5.749182056
2014,,,,,,,,,,,,Long-standing illness or disability,Does not limit activities,,,,,,,,,,,2.143340455
2014,,,,,,,,,,,,Long-standing illness or disability,,,,,,,,,,,,3.006335584
2014,,,,,,,,,,,,Long-standing illness or disability,Limits activities,,,,,,,,,,,4.400712728
2014,,Non-sexual,,,,,,,,,,Long-standing illness or disability,Does not limit activities,,,,,,,,,,,0
2014,,Non-sexual,,,,,,,,,,Long-standing illness or disability,,,,,,,,,,,,4.036536894
2014,,Non-sexual,,,,,,,,,,Long-standing illness or disability,Limits activities,,,,,,,,,,,2.085304551
2014,,Sexual,,,,,,,,,,Long-standing illness or disability,Does not limit activities,,,,,,,,,,,2.919882667
2014,,Sexual,,,,,,,,,,Long-standing illness or disability,,,,,,,,,,,,2.717004669
2014,,Sexual,,,,,,,,,,Long-standing illness or disability,Limits activities,,,,,,,,,,,3.960978246
2014,,Stalking,,,,,,,,,,Long-standing illness or disability,Does not limit activities,,,,,,,,,,,2.388859177
2014,,Stalking,,,,,,,,,,Long-standing illness or disability,Limits activities,,,,,,,,,,North East,2.32596053
2014,,,,,,,,,,,,No long-standing illness or disability,,,,,,,,,,,,3.800671575
2014,,Non-sexual,,,,,,,,,,No long-standing illness or disability,,,,,,,,,,,,2.475272298
2014,,Sexual,,,,,,,,,,No long-standing illness or disability,,,,,,,,,,,,2.885465034
2014,,Stalking,,,,,,,,,,No long-standing illness or disability,,,,,,,,,,,,3.637910899
2014,,,,,,,,,,,,,,,,,,,,,,,North West,2.71681627
2014,,,,,16-19,,,,,,,,,,,,,,,,,,Yorkshire and the Humber,3.747774645
2014,,,,,20-24,,,,,,,,,,,,,,,,,,East Midlands,2.967922863
2014,,,,,25-34,,,,,,,,,,,,,,,,,,West Midlands,0.737202756
2014,,,,,35-44,,,,,,,,,,,,,,,,,,East of England,5.291979674
2014,,,,,45-54,,,,,,,,,,,,,,,,,,London,5.637776129
2014,,,,,55-59,,,,,,,,,,,,,,,,,,South East,4.492607338
2014,,,,,,White,,,,,,,,,,,,,,,,,South West,2.36403793
2014,,,,,,White,English/Welsh/Scottish/Northern Irish/British,,,,,,,,,,,,,,,,Wales,3.417131386
2014,,,,,,White,Irish,,,,,,,,,,,,,,,,,3.527797499
2014,,,,,,White,Gypsy/Irish traveller,,,,,,,,,,,,,,,,,2.488561343
2014,,,,,,White,Any other white background,,,,,,,,,,,,,,,,,3.002320929
2014,,,,,,Mixed/multiple ethnic groups,,,,,,,,,,,,,,,,,,2.214021069
2014,,,,,,Mixed/multiple ethnic groups,White and Black Caribbean,,,,,,,,,,,,,,,,,8.575783694
2014,,,,,,Mixed/multiple ethnic groups,White and Black African,,,,,,,,,,,,,,,,,4.347336342
2014,,,,,,Mixed/multiple ethnic groups,White and Asian,,,,,,,,,,,,,,,,,4.005244495
2014,,,,,,Mixed/multiple ethnic groups,Any other Mixed/Multiple ethnic background,,,,,,,,,,,,,,,,,2.446367618
2014,,,,,,Asian/Asian British,,,,,,,,,,,,,,,,,,1.650204642
2014,,,,,,Asian/Asian British,Indian,,,,,,,,,,,,,,,,,1.910212209
2014,,,,,,Asian/Asian British,Pakistani,,,,,,,,,,,,,,,,,2.459728683
2014,,,,,,Asian/Asian British,Bangladeshi,,,,,,,,,,,,,,,,,3.650398626
2014,,,,,,Asian/Asian British,Chinese,,,,,,,,,,,,,,,,,2.210089708
2014,,,,,,Asian/Asian British,Any other Asian background,,,,,,,,,,,,,,,,,3.99629704
2014,,,,,,Black/African/Caribbean/Black British,,,,,,,,,,,,,,,,,,3.371119875
2014,,,,,,Black/African/Caribbean/Black British,African,,,,,,,,,,,,,,,,,2.680941121
2014,,,,,,Black/African/Caribbean/Black British,Caribbean,,,,,,,,,,,,,,,,,1.738347506
2014,,,,,,Black/African/Caribbean/Black British,Any other Black/African/Caribbean background,,,,,,,,,,,,,,,,,2.755597097
2014,,,,,,Other ethnic group,,,,,,,,,,,,,,,,,,3.236979091
2014,,,,,,Other ethnic group,Other ethnic group - Arab,,,,,,,,,,,,,,,,,3.029259179
2014,,,,,,Other ethnic group,Any other ethnic group,,,,,,,,,,,,,,,,,1.722944695
2014,,,,,,,,Married,,,,,,,,,,,,,,,,2.137402559
2014,,,,,,,,Cohabiting,,,,,,,,,,,,,,,,3.540702409
2014,,,,,,,,Single,,,,,,,,,,,,,,,,3.157479949
2014,,,,,,,,Separated,,,,,,,,,,,,,,,,2.165723204
2014,,,,,,,,Divorced,,,,,,,,,,,,,,,,1.723721218
2014,,,,,,,,Widowed,,,,,,,,,,,,,,,,4.89556394
2014,,,,,,,,,Employed,,,,,,,,,,,,,,,3.917854483
2014,,,,,,,,,Unemployed,,,,,,,,,,,,,,,2.793234598
2014,,,,,,,,,Inactive,,,,,,,,,,,,,,,2.519835287
2014,,,,,,,,,Student,,,,,,,,,,,,,,,3.233535617
2014,,,,,,,,,Looking after family/home,,,,,,,,,,,,,,,2.713957443
2014,,,,,,,,,Long-term/temporarily sick/ill,,,,,,,,,,,,,,,3.734123124
2014,,,,,,,,,Retired,,,,,,,,,,,,,,,2.671347588
2014,,,,,,,,,Other inactive,,,,,,,,,,,,,,,1.854355017
2014,,,,,,,,,,Managerial and professional occupations,,,,,,,,,,,,,,2.496652066
2014,,,,,,,,,,Intermediate occupations,,,,,,,,,,,,,,2.816236028
2014,,,,,,,,,,Routine and manual occupations,,,,,,,,,,,,,,2.889182904
2014,,,,,,,,,,Never worked and long-term unemployed,,,,,,,,,,,,,,2.293270549
2014,,,,,,,,,,Full-time students,,,,,,,,,,,,,,3.7464466
2014,,,,,,,,,,Not classified,,,,,,,,,,,,,,2.240816702
2014,,,,,,,,,,,Degree or diploma,,,,,,,,,,,,,2.822325668
2014,,,,,,,,,,,Apprenticeship or A/AS level,,,,,,,,,,,,,2.464183821
2014,,,,,,,,,,,O level/GCSE,,,,,,,,,,,,,2.371223227
2014,,,,,,,,,,,Other,,,,,,,,,,,,,3.479776872
2014,,Sexual,,,,,,,,,,,,,,"£10,000 - £20,000",,,,,,,,4.334014488
2014,,Sexual,,,,,,,,,,,,,,"£20,000 - £30,000",,,,,,,,7.365739889
2014,,Sexual,,,,,,,,,,,,,,"£30,000 - £40,000",,,,,,,,6.138445829
2014,,Sexual,,,,,,,,,,,,,,"£40,000 - £50,000",,,,,,,,4.659941316
2014,,Sexual,,,,,,,,,,,,,,"Over £50,000",,,,,,,,3.827656605
2014,,Sexual,,,,,,,,,,,,,,No income stated or not enough information provided,,,,,,,,3.414887715
2014,,Sexual,,,,,,,,,,,,,,,Owner occupiers,,,,,,,2.501428135
2014,,Sexual,,,,,,,,,,,,,,,Social renters,,,,,,,4.616392382
2014,,Sexual,,,,,,,,,,,,,,,Private renters,,,,,,,4.661266132
2014,,Sexual,,,,,,,,,,,,,,,,Houses,,,,,,8.17137068
2014,,Sexual,,,,,,,,,,,,,,,,Semi-detached,,,,,,3.872939061
2014,,Sexual,,,,,,,,,,,,,,,,Terraced,,,,,,4.255141476
