Year,Units,Key Stage,Sex,Value
2015,Percentage (%) with Maths proficiency,2,Female,87.0
2016,Percentage (%) with English proficiency,2,,66.0
2016,Percentage (%) with English proficiency,2,Male,62.0
2016,Percentage (%) with English proficiency,2,Female,70.0
2016,Percentage (%) with Maths proficiency,2,,70.0
2016,Percentage (%) with Maths proficiency,2,Male,70.0
2016,Percentage (%) with Maths proficiency,2,Female,70.0
2000,Percentage (%) with English proficiency,3,,64.0
2000,Percentage (%) with Maths proficiency,3,,65.0
2001,Percentage (%) with English proficiency,3,,65.0
2001,Percentage (%) with Maths proficiency,3,,66.0
2002,Percentage (%) with English proficiency,3,,67.0
2002,Percentage (%) with Maths proficiency,3,,67.0
2003,Percentage (%) with English proficiency,3,,69.0
2003,Percentage (%) with Maths proficiency,3,,71.0
2004,Percentage (%) with English proficiency,3,,71.0
2004,Percentage (%) with English proficiency,3,Male,64.0
2004,Percentage (%) with English proficiency,3,Female,78.0
2004,Percentage (%) with Maths proficiency,3,,73.0
2004,Percentage (%) with Maths proficiency,3,Male,72.0
2004,Percentage (%) with Maths proficiency,3,Female,74.0
2005,Percentage (%) with English proficiency,3,,74.0
2005,Percentage (%) with English proficiency,3,Male,67.0
2005,Percentage (%) with English proficiency,3,Female,81.0
2005,Percentage (%) with Maths proficiency,3,,74.0
2005,Percentage (%) with Maths proficiency,3,Male,73.0
2005,Percentage (%) with Maths proficiency,3,Female,74.0
2006,Percentage (%) with English proficiency,3,,73.0
2006,Percentage (%) with English proficiency,3,Male,59.0
2006,Percentage (%) with English proficiency,3,Female,74.0
2006,Percentage (%) with Maths proficiency,3,,77.0
2006,Percentage (%) with Maths proficiency,3,Male,76.0
2006,Percentage (%) with Maths proficiency,3,Female,77.0
2007,Percentage (%) with English proficiency,3,,74.0
2007,Percentage (%) with English proficiency,3,Male,65.0
2007,Percentage (%) with English proficiency,3,Female,78.0
2007,Percentage (%) with Maths proficiency,3,,76.0
2007,Percentage (%) with Maths proficiency,3,Male,75.0
2007,Percentage (%) with Maths proficiency,3,Female,76.0
2008,Percentage (%) with English proficiency,3,,74.0
2008,Percentage (%) with English proficiency,3,Male,62.0
2008,Percentage (%) with English proficiency,3,Female,76.0
2008,Percentage (%) with Maths proficiency,3,,77.0
2008,Percentage (%) with Maths proficiency,3,Male,76.0
2008,Percentage (%) with Maths proficiency,3,Female,77.0
2009,Percentage (%) with English proficiency,4,,99.0
2009,Percentage (%) with English proficiency,4,Female,99.2
2009,Percentage (%) with English proficiency,4,Male,98.7
2009,Percentage (%) with Maths proficiency,4,,98.2
2009,Percentage (%) with Maths proficiency,4,Female,98.3
2009,Percentage (%) with Maths proficiency,4,Male,98.2
2010,Percentage (%) with English proficiency,4,,99.1
2010,Percentage (%) with English proficiency,4,Female,99.3
2010,Percentage (%) with English proficiency,4,Male,98.9
2010,Percentage (%) with Maths proficiency,4,,98.3
2010,Percentage (%) with Maths proficiency,4,Female,98.4
2010,Percentage (%) with Maths proficiency,4,Male,98.3
2011,Percentage (%) with English proficiency,4,,99.4
2011,Percentage (%) with English proficiency,4,Female,99.5
2011,Percentage (%) with English proficiency,4,Male,99.2
2011,Percentage (%) with Maths proficiency,4,,98.5
2011,Percentage (%) with Maths proficiency,4,Female,98.6
2011,Percentage (%) with Maths proficiency,4,Male,98.4
2012,Percentage (%) with English proficiency,4,,99.4
2012,Percentage (%) with English proficiency,4,Female,99.6
2012,Percentage (%) with English proficiency,4,Male,99.2
2012,Percentage (%) with Maths proficiency,4,,98.2
2012,Percentage (%) with Maths proficiency,4,Female,98.3
2012,Percentage (%) with Maths proficiency,4,Male,98.1
2013,Percentage (%) with English proficiency,4,,99.1
2013,Percentage (%) with English proficiency,4,Female,99.3
2013,Percentage (%) with English proficiency,4,Male,98.8
2013,Percentage (%) with Maths proficiency,4,,94.8
2013,Percentage (%) with Maths proficiency,4,Female,95.1
2013,Percentage (%) with Maths proficiency,4,Male,94.5
2014,Percentage (%) with English proficiency,4,,99.3
2014,Percentage (%) with English proficiency,4,Female,99.6
2014,Percentage (%) with English proficiency,4,Male,99.1
2014,Percentage (%) with Maths proficiency,4,,95.9
2014,Percentage (%) with Maths proficiency,4,Female,96.1
2014,Percentage (%) with Maths proficiency,4,Male,95.6
2015,Percentage (%) with English proficiency,4,,99.3
2015,Percentage (%) with English proficiency,4,Female,99.6
2015,Percentage (%) with English proficiency,4,Male,99.1
2015,Percentage (%) with Maths proficiency,4,,96.4
2015,Percentage (%) with Maths proficiency,4,Female,96.8
2015,Percentage (%) with Maths proficiency,4,Male,96.0
2016,Percentage (%) with English proficiency,4,,98.4
2016,Percentage (%) with English proficiency,4,Male,97.7
2016,Percentage (%) with English proficiency,4,Female,99.1
2016,Percentage (%) with Maths proficiency,4,,97.6
2016,Percentage (%) with Maths proficiency,4,Male,97.3
2016,Percentage (%) with Maths proficiency,4,Female,97.9
2015,Percentage (%) with English and Maths proficiency,4,,96.26431387
2015,Percentage (%) with English and Maths proficiency,4,Male,95.79456643
2015,Percentage (%) with English and Maths proficiency,4,Female,96.74365771
