Year,Sex,Occupation,Health worker category,Value
2012,,Pharmacists,Pharmaceutical technicians,0.5971901734557726
2012,,Physicians,,4.5163644925829995
2012,,Physicians,Medical practitioners,3.54370928498548
2012,,Physicians,Ophthalmic opticians,0.4134840279412919
2012,,Physicians,Medical radiographers,0.42670120084765717
2012,,Physicians,Podiatrists,0.13246997880857075
2013,Men,Dentistry personnel,,0.33828505109530044
2013,Men,Dentistry personnel,Dental practitioners,0.3312029975493599
2013,Men,Dentistry personnel,Dental nurses,0.007082053545940603
2013,Men,Health worker density and distribution,Health worker density and distribution,3.9502259549462844
2013,Men,Nursing and midwifery,,0.9710680953487755
2013,Men,Nursing and midwifery,Nurses,0.9582923203396889
2013,Men,Nursing and midwifery,Midwives,0.012775775009086554
2013,Men,Pharmacists,,0.28477966857861314
2013,Men,Pharmacists,Pharmacists,0.2283728280012542
2013,Men,Pharmacists,Pharmaceutical technicians,0.05640684057735895
2013,Men,Physicians,,2.356093139923595
2013,Men,Physicians,Medical practitioners,2.0743397233007363
2013,Men,Physicians,Ophthalmic opticians,0.13017563180809194
2013,Men,Physicians,Medical radiographers,0.09350182589067743
2013,Men,Physicians,Podiatrists,0.05807595892408943
2013,Women,Dentistry personnel,,1.0481283255623133
2013,Women,Dentistry personnel,Dental practitioners,0.3354615892190554
2013,Women,Dentistry personnel,Dental nurses,0.7126667363432581
2013,Women,Health worker density and distribution,,13.219947680159487
2013,Women,Health worker density and distribution,Physicians,2.3188577614783084
2013,Women,Health worker density and distribution,Medical practitioners,1.6834384461912122
2013,Women,Health worker density and distribution,Ophthalmic opticians,0.18656687314856557
2013,Women,Health worker density and distribution,Medical radiographers,0.2758101073695475
2013,Women,Health worker density and distribution,Podiatrists,0.17304233476898312
2013,Women,Nursing and midwifery,,9.007701343250288
2013,Women,Nursing and midwifery,Nurses,8.295596179434902
2013,Women,Nursing and midwifery,Midwives,0.7121051638153861
2013,Women,Pharmacists,,0.8452602498685765
2013,Women,Pharmacists,Pharmacists,0.48001971743542304
2013,Women,Pharmacists,Pharmaceutical technicians,0.36524053243315335
2013,,Dentistry personnel,,1.3864133766576139
2013,,Dentistry personnel,Dental practitioners,0.6666645867684153
2013,,Dentistry personnel,Dental nurses,0.7197487898891987
2013,,Nursing and midwifery,,9.978769438599063
2013,,Nursing and midwifery,Nurses,9.253888499774591
2013,,Nursing and midwifery,Midwives,0.7248809388244727
2013,,Pharmacists,,1.1300399184471897
2013,,Pharmacists,Pharmacists,0.7083925454366772
2013,,Pharmacists,Pharmaceutical technicians,0.4216473730105123
2013,,Physicians,,4.674950901401903
2013,,Physicians,Medical practitioners,3.7577781694919485
2013,,Physicians,Ophthalmic opticians,0.3167425049566575
2013,,Physicians,Medical radiographers,0.3693119332602249
2013,,Physicians,Podiatrists,0.23111829369307255
2014,Men,Dentistry personnel,,0.5248712010502069
2014,Men,Dentistry personnel,Dental practitioners,0.5184776954895599
2014,Men,Dentistry personnel,Dental nurses,0.006393505560646995
2014,Men,Health worker density and distribution,Health worker density and distribution,4.355896886533079
2014,Men,Nursing and midwifery,,1.0551296658658014
2014,Men,Nursing and midwifery,Nurses,1.0551296658658014
2014,Men,Nursing and midwifery,Midwives,
2014,Men,Pharmacists,,0.4308108141579769
2014,Men,Pharmacists,Pharmacists,0.3557606568746439
2014,Men,Pharmacists,Pharmaceutical technicians,0.07505015728333292
2014,Men,Physicians,,2.345085205459094
2014,Men,Physicians,Medical practitioners,2.010873603646001
2014,Men,Physicians,Ophthalmic opticians,0.21846283407227604
2014,Men,Physicians,Medical radiographers,0.05062170262304015
2014,Men,Physicians,Podiatrists,0.06512706511777674
2014,Women,Dentistry personnel,,1.0880879548212914
2014,Women,Dentistry personnel,Dental practitioners,0.27572573254402694
2014,Women,Dentistry personnel,Dental nurses,0.8123622222772645
2014,Women,Health worker density and distribution,,13.112429717880762
2014,Women,Health worker density and distribution,Physicians,2.4358172541054666
2014,Women,Health worker density and distribution,Medical practitioners,1.8189600723255641
2014,Women,Health worker density and distribution,Ophthalmic opticians,0.12082641864612488
2014,Women,Health worker density and distribution,Medical radiographers,0.3085911376414931
2014,Women,Health worker density and distribution,Podiatrists,0.18743962549228446
2014,Women,Nursing and midwifery,,8.709131102469472
2014,Women,Nursing and midwifery,Nurses,8.081576796373815
2014,Women,Nursing and midwifery,Midwives,0.627554306095658
2014,Women,Pharmacists,,0.8793934064845317
2014,Women,Pharmacists,Pharmacists,0.5681241176033488
2014,Women,Pharmacists,Pharmaceutical technicians,0.31126928888118294
2014,,Dentistry personnel,,1.6129591558714982
2014,,Dentistry personnel,Dental practitioners,0.7942034280335868
2014,,Dentistry personnel,Dental nurses,0.8187557278379115
2014,,Nursing and midwifery,,9.764260768335275
2014,,Nursing and midwifery,Nurses,9.136706462239616
2014,,Nursing and midwifery,Midwives,0.627554306095658
2014,,Pharmacists,,1.3102042206425086
2014,,Pharmacists,Pharmacists,0.9238847744779928
2014,,Pharmacists,Pharmaceutical technicians,0.3863194461645159
2014,,Physicians,,4.78090245956456
2014,,Physicians,Medical practitioners,3.829833675971565
2014,,Physicians,Ophthalmic opticians,0.3392892527184009
2014,,Physicians,Medical radiographers,0.3592128402645332
2014,,Physicians,Podiatrists,0.2525666906100612
2015,Men,Dentistry personnel,,0.45264936261710953
2015,Men,Dentistry personnel,Dental practitioners,0.4381354630625096
2015,Men,Dentistry personnel,Dental nurses,0.014513899554599918
2015,Men,Health worker density and distribution,Health worker density and distribution,4.020933804331132
2015,Men,Nursing and midwifery,,0.9874673629242819
2015,Men,Nursing and midwifery,Nurses,0.9874673629242819
2015,Men,Nursing and midwifery,Midwives,
2015,Men,Pharmacists,,0.503163876516664
2015,Men,Pharmacists,Pharmacists,0.42845953002610965
2015,Men,Pharmacists,Pharmaceutical technicians,0.07470434649055445
2015,Men,Physicians,,2.0776532022730763
2015,Men,Physicians,Medical practitioners,1.8334510827829826
2015,Men,Physicians,Ophthalmic opticians,0.1092919674397174
2015,Men,Physicians,Medical radiographers,0.0938565504530794
2015,Men,Physicians,Podiatrists,0.041053601597296874
2015,Women,Dentistry personnel,,0.9999232068806634
2015,Women,Dentistry personnel,Dental practitioners,0.2650591307018891
2015,Women,Dentistry personnel,Dental nurses,0.7348640761787744
2015,Women,Health worker density and distribution,,13.843495622792197
2015,Women,Health worker density and distribution,Physicians,2.381001382276148
2015,Women,Health worker density and distribution,Medical practitioners,1.7255567501151896
2015,Women,Health worker density and distribution,Ophthalmic opticians,0.0937490400860083
2015,Women,Health worker density and distribution,Medical radiographers,0.3564275840884657
2015,Women,Health worker density and distribution,Podiatrists,0.2052680079864844
2015,Women,Nursing and midwifery,,9.53010290277991
2015,Women,Nursing and midwifery,Nurses,8.853509445553678
2015,Women,Nursing and midwifery,Midwives,0.6765934572262325
2015,Women,Pharmacists,,0.9324681308554753
2015,Women,Pharmacists,Pharmacists,0.5729073874980801
2015,Women,Pharmacists,Pharmaceutical technicians,0.3595607433573952
2015,,Dentistry personnel,,1.452572569497773
2015,,Dentistry personnel,Dental practitioners,0.7031945937643987
2015,,Dentistry personnel,Dental nurses,0.7493779757333743
2015,,Nursing and midwifery,,10.517570265704194
2015,,Nursing and midwifery,Nurses,9.840976808477961
2015,,Nursing and midwifery,Midwives,0.6765934572262325
2015,,Pharmacists,,1.4356320073721394
2015,,Pharmacists,Pharmacists,1.00136691752419
2015,,Pharmacists,Pharmaceutical technicians,0.43426508984794965
2015,,Physicians,,4.458654584549224
2015,,Physicians,Medical practitioners,3.559007832898172
2015,,Physicians,Ophthalmic opticians,0.2030410075257257
2015,,Physicians,Medical radiographers,0.4502841345415451
2015,,Physicians,Podiatrists,0.24632160958378127
2016,Men,Dentistry personnel,,0.36709364018151325
2016,Men,Dentistry personnel,Dental practitioners,0.3360950278835183
2016,Men,Dentistry personnel,Dental nurses,0.030998612297994943
2016,Men,Health worker density and distribution,Health worker density and distribution,4.552713635276573
2016,Men,Nursing and midwifery,,1.2209645062081005
2016,Men,Nursing and midwifery,Nurses,1.2209645062081005
2016,Men,Nursing and midwifery,Midwives,
2016,Men,Pharmacists,,0.46560372653587845
2016,Men,Pharmacists,Pharmacists,0.36526571218359705
2016,Men,Pharmacists,Pharmaceutical technicians,0.10033801435228133
2016,Men,Physicians,,2.499051762351081
2016,Men,Physicians,Medical practitioners,2.2525861372987186
2016,Men,Physicians,Ophthalmic opticians,0.10172419308403441
2016,Men,Physicians,Medical radiographers,0.1447414319683281
2016,Men,Physicians,Podiatrists,
2016,Women,Dentistry personnel,,0.9759002926208069
2016,Women,Dentistry personnel,Dental practitioners,0.27661120428466324
2016,Women,Dentistry personnel,Dental nurses,0.6992890883361438
2016,Women,Health worker density and distribution,,14.407637083175294
2016,Women,Health worker density and distribution,Physicians,2.7776127565001882
2016,Women,Health worker density and distribution,Medical practitioners,1.9754265546146803
2016,Women,Health worker density and distribution,Ophthalmic opticians,0.18682947412034773
2016,Women,Health worker density and distribution,Medical radiographers,0.43408720130514056
2016,Women,Health worker density and distribution,Podiatrists,0.1812695264600194
2016,Women,Nursing and midwifery,,9.711156910862615
2016,Women,Nursing and midwifery,Nurses,9.05767265160759
2016,Women,Nursing and midwifery,Midwives,0.6534842592550278
2016,Women,Pharmacists,,0.9429671231916842
2016,Women,Pharmacists,Pharmacists,0.5685617710185062
2016,Women,Pharmacists,Pharmaceutical technicians,0.3744053521731779
2016,,Dentistry personnel,,1.3429939328023202
2016,,Dentistry personnel,Dental practitioners,0.6127062321681815
2016,,Dentistry personnel,Dental nurses,0.7302877006341387
2016,,Nursing and midwifery,,10.932121417070714
2016,,Nursing and midwifery,Nurses,10.278637157815687
2016,,Nursing and midwifery,Midwives,0.6534842592550278
2016,,Pharmacists,,1.4085708497275626
2016,,Pharmacists,Pharmacists,0.9338274832021034
2016,,Pharmacists,Pharmaceutical technicians,0.47474336652545923
2016,,Physicians,,5.276664518851269
2016,,Physicians,Medical practitioners,4.228012691913399
2016,,Physicians,Ophthalmic opticians,0.2885536672043822
2016,,Physicians,Medical radiographers,0.5788286332734687
2016,,Physicians,Podiatrists,0.1812695264600194
