Year,Units,Key Stage,Sex,Value
2014,Percentage (%) with Maths proficiency,4,Female,96.1
2014,Percentage (%) with Maths proficiency,4,Male,95.6
2015,Percentage (%) with English proficiency,4,,99.3
2015,Percentage (%) with English proficiency,4,Female,99.6
2015,Percentage (%) with English proficiency,4,Male,99.1
2015,Percentage (%) with Maths proficiency,4,,96.4
2015,Percentage (%) with Maths proficiency,4,Female,96.8
2015,Percentage (%) with Maths proficiency,4,Male,96
2016,Percentage (%) with English proficiency,4,,98.4
2016,Percentage (%) with English proficiency,4,Male,97.7
2016,Percentage (%) with English proficiency,4,Female,99.1
2016,Percentage (%) with Maths proficiency,4,,97.6
2016,Percentage (%) with Maths proficiency,4,Male,97.3
2016,Percentage (%) with Maths proficiency,4,Female,97.9
2015,Percentage (%) with English and Maths proficiency,4,,96.26431387
2015,Percentage (%) with English and Maths proficiency,4,Male,95.79456643
2015,Percentage (%) with English and Maths proficiency,4,Female,96.74365771
