Year,Units,Origin of tourist,Type of tourist,Type of expenditure,Value
2013,Percentage (%) of gross domestic product (GDP),,Tourists (overnight visitors),Travel agencies and other reservation services,0.298662572
2013,Percentage (%) of gross domestic product (GDP),,Tourists (overnight visitors),Cultural activities,0.110166132
2013,Percentage (%) of gross domestic product (GDP),,Tourists (overnight visitors),Sport and recreation activities,0.073455256
2013,Percentage (%) of gross domestic product (GDP),,Tourists (overnight visitors),Exhibitions and conferences,0.017350272
2013,Percentage (%) of gross domestic product (GDP),,Tourists (overnight visitors),Other consumption products,1.980270836
2013,Percentage (%) of gross domestic product (GDP),,Tourists (overnight visitors),,6.975183582
2013,Percentage (%) of gross domestic product (GDP),,Excursionists (same-day visitors),Food and beverage serving activities,2.491023314
2013,Percentage (%) of gross domestic product (GDP),,Excursionists (same-day visitors),Railway passenger transport services,0.278000838
2013,Percentage (%) of gross domestic product (GDP),,Excursionists (same-day visitors),Road passenger transport services,0.148083205
2013,Percentage (%) of gross domestic product (GDP),,Excursionists (same-day visitors),Water passenger transport services,0.084076504
2013,Percentage (%) of gross domestic product (GDP),,Excursionists (same-day visitors),Air passenger transport services,0.096674578
2013,Percentage (%) of gross domestic product (GDP),,Excursionists (same-day visitors),Transport equipment rental services,0.034834567
2013,Percentage (%) of gross domestic product (GDP),,Excursionists (same-day visitors),Travel agencies and other reservation services,0.03544325
2013,Percentage (%) of gross domestic product (GDP),,Excursionists (same-day visitors),Cultural activities,0.482630183
2013,Percentage (%) of gross domestic product (GDP),,Excursionists (same-day visitors),Sport and recreation activities,0.286974731
2013,Percentage (%) of gross domestic product (GDP),,Excursionists (same-day visitors),Exhibitions and conferences,0.041016334
2013,Percentage (%) of gross domestic product (GDP),,Excursionists (same-day visitors),Other consumption products,2.149836661
2013,Percentage (%) of gross domestic product (GDP),,Excursionists (same-day visitors),,6.128582996
2013,Percentage (%) of gross domestic product (GDP),,,Accommodation services for visitors,1.291877705
2013,Percentage (%) of gross domestic product (GDP),,,Food and beverage serving activities,3.300337847
2013,Percentage (%) of gross domestic product (GDP),,,Railway passenger transport services,0.459288008
2013,Percentage (%) of gross domestic product (GDP),,,Road passenger transport services,0.284389222
2013,Percentage (%) of gross domestic product (GDP),,,Water passenger transport services,0.175557727
2013,Percentage (%) of gross domestic product (GDP),,,Air passenger transport services,2.051631998
2013,Percentage (%) of gross domestic product (GDP),,,Transport equipment rental services,0.064866676
2013,Percentage (%) of gross domestic product (GDP),,,Travel agencies and other reservation services,0.334105822
2013,Percentage (%) of gross domestic product (GDP),,,Cultural activities,0.592813067
2013,Percentage (%) of gross domestic product (GDP),,,Sport and recreation activities,0.360429987
2013,Percentage (%) of gross domestic product (GDP),,,Exhibitions and conferences,0.058366606
2013,Percentage (%) of gross domestic product (GDP),,,Other consumption products,4.130113081
2013,Percentage (%) of gross domestic product (GDP),,,,13.10376658
2014,Percentage (%) of gross domestic product (GDP),Inbound,Tourists (overnight visitors),Accommodation services for visitors,0.304831791
2014,Percentage (%) of gross domestic product (GDP),Inbound,Tourists (overnight visitors),Food and beverage serving activities,0.20546275
2014,Percentage (%) of gross domestic product (GDP),Inbound,Tourists (overnight visitors),Railway passenger transport services,0.021073519
2014,Percentage (%) of gross domestic product (GDP),Inbound,Tourists (overnight visitors),Road passenger transport services,0.028329226
2014,Percentage (%) of gross domestic product (GDP),Inbound,Tourists (overnight visitors),Water passenger transport services,0.021712932
2014,Percentage (%) of gross domestic product (GDP),Inbound,Tourists (overnight visitors),Air passenger transport services,0.157317155
2014,Percentage (%) of gross domestic product (GDP),Inbound,Tourists (overnight visitors),Transport equipment rental services,0.008474925
2014,Percentage (%) of gross domestic product (GDP),Inbound,Tourists (overnight visitors),Travel agencies and other reservation services,0.005906438
2014,Percentage (%) of gross domestic product (GDP),Inbound,Tourists (overnight visitors),Cultural activities,0.012018788
2014,Percentage (%) of gross domestic product (GDP),Inbound,Tourists (overnight visitors),Sport and recreation activities,0.009033057
2014,Percentage (%) of gross domestic product (GDP),Inbound,Tourists (overnight visitors),Exhibitions and conferences,0.005537963
2014,Percentage (%) of gross domestic product (GDP),Inbound,Tourists (overnight visitors),Other consumption products,0.571006219
2014,Percentage (%) of gross domestic product (GDP),Inbound,Tourists (overnight visitors),,1.350704763
2014,Percentage (%) of gross domestic product (GDP),Inbound,Excursionists (same-day visitors),Food and beverage serving activities,0.001750256
2014,Percentage (%) of gross domestic product (GDP),Inbound,Excursionists (same-day visitors),Railway passenger transport services,0.001961588
2014,Percentage (%) of gross domestic product (GDP),Inbound,Excursionists (same-day visitors),Road passenger transport services,0.000238425
2014,Percentage (%) of gross domestic product (GDP),Inbound,Excursionists (same-day visitors),Water passenger transport services,0.00160395
2014,Percentage (%) of gross domestic product (GDP),Inbound,Excursionists (same-day visitors),Air passenger transport services,0.020629182
2014,Percentage (%) of gross domestic product (GDP),Inbound,Excursionists (same-day visitors),Transport equipment rental services,7.04438E-05
2014,Percentage (%) of gross domestic product (GDP),Inbound,Excursionists (same-day visitors),Travel agencies and other reservation services,4.87688E-05
2014,Percentage (%) of gross domestic product (GDP),Inbound,Excursionists (same-day visitors),Cultural activities,0.000102956
2014,Percentage (%) of gross domestic product (GDP),Inbound,Excursionists (same-day visitors),Sport and recreation activities,7.58625E-05
2014,Percentage (%) of gross domestic product (GDP),Inbound,Excursionists (same-day visitors),Exhibitions and conferences,4.87688E-05
2014,Percentage (%) of gross domestic product (GDP),Inbound,Excursionists (same-day visitors),Other consumption products,0.004860619
2014,Percentage (%) of gross domestic product (GDP),Inbound,Excursionists (same-day visitors),,0.031396239
2014,Percentage (%) of gross domestic product (GDP),Inbound,,Accommodation services for visitors,0.304831791
2014,Percentage (%) of gross domestic product (GDP),Inbound,,Food and beverage serving activities,0.207213007
2014,Percentage (%) of gross domestic product (GDP),Inbound,,Railway passenger transport services,0.023035107
2014,Percentage (%) of gross domestic product (GDP),Inbound,,Road passenger transport services,0.02857307
2014,Percentage (%) of gross domestic product (GDP),Inbound,,Water passenger transport services,0.023316882
2014,Percentage (%) of gross domestic product (GDP),Inbound,,Air passenger transport services,0.177946337
2014,Percentage (%) of gross domestic product (GDP),Inbound,,Transport equipment rental services,0.008545369
2014,Percentage (%) of gross domestic product (GDP),Inbound,,Travel agencies and other reservation services,0.005955206
2014,Percentage (%) of gross domestic product (GDP),Inbound,,Cultural activities,0.012121744
2014,Percentage (%) of gross domestic product (GDP),Inbound,,Sport and recreation activities,0.009108919
2014,Percentage (%) of gross domestic product (GDP),Inbound,,Exhibitions and conferences,0.005586731
2014,Percentage (%) of gross domestic product (GDP),Inbound,,Other consumption products,0.575866837
2014,Percentage (%) of gross domestic product (GDP),Inbound,,,1.382101001
2014,Percentage (%) of gross domestic product (GDP),Domestic,Tourists (overnight visitors),Accommodation services for visitors,0.454692746
2014,Percentage (%) of gross domestic product (GDP),Domestic,Tourists (overnight visitors),Food and beverage serving activities,0.257336446
2014,Percentage (%) of gross domestic product (GDP),Domestic,Tourists (overnight visitors),Railway passenger transport services,0.042087433
2014,Percentage (%) of gross domestic product (GDP),Domestic,Tourists (overnight visitors),Road passenger transport services,0.0149991
2014,Percentage (%) of gross domestic product (GDP),Domestic,Tourists (overnight visitors),Water passenger transport services,0.004611356
2014,Percentage (%) of gross domestic product (GDP),Domestic,Tourists (overnight visitors),Air passenger transport services,0.030290813
2014,Percentage (%) of gross domestic product (GDP),Domestic,Tourists (overnight visitors),Transport equipment rental services,0.009921732
2014,Percentage (%) of gross domestic product (GDP),Domestic,Tourists (overnight visitors),Travel agencies and other reservation services,0.05163527
2014,Percentage (%) of gross domestic product (GDP),Domestic,Tourists (overnight visitors),Cultural activities,0.046660858
2014,Percentage (%) of gross domestic product (GDP),Domestic,Tourists (overnight visitors),Sport and recreation activities,0.02688242
2014,Percentage (%) of gross domestic product (GDP),Domestic,Tourists (overnight visitors),Exhibitions and conferences,0.003256669
2014,Percentage (%) of gross domestic product (GDP),Domestic,Tourists (overnight visitors),Other consumption products,0.335583198
2014,Percentage (%) of gross domestic product (GDP),Domestic,Tourists (overnight visitors),,1.277958042
2014,Percentage (%) of gross domestic product (GDP),Domestic,Excursionists (same-day visitors),Food and beverage serving activities,1.148303606
2014,Percentage (%) of gross domestic product (GDP),Domestic,Excursionists (same-day visitors),Railway passenger transport services,0.135116536
2014,Percentage (%) of gross domestic product (GDP),Domestic,Excursionists (same-day visitors),Road passenger transport services,0.057297864
2014,Percentage (%) of gross domestic product (GDP),Domestic,Excursionists (same-day visitors),Water passenger transport services,0.009119757
2014,Percentage (%) of gross domestic product (GDP),Domestic,Excursionists (same-day visitors),Air passenger transport services,0.021826726
2014,Percentage (%) of gross domestic product (GDP),Domestic,Excursionists (same-day visitors),Transport equipment rental services,0.015540976
2014,Percentage (%) of gross domestic product (GDP),Domestic,Excursionists (same-day visitors),Travel agencies and other reservation services,0.010875432
2014,Percentage (%) of gross domestic product (GDP),Domestic,Excursionists (same-day visitors),Cultural activities,0.162231962
2014,Percentage (%) of gross domestic product (GDP),Domestic,Excursionists (same-day visitors),Sport and recreation activities,0.236826476
2014,Percentage (%) of gross domestic product (GDP),Domestic,Excursionists (same-day visitors),Exhibitions and conferences,0.005868506
2014,Percentage (%) of gross domestic product (GDP),Domestic,Excursionists (same-day visitors),Other consumption products,1.125853724
2014,Percentage (%) of gross domestic product (GDP),Domestic,Excursionists (same-day visitors),,2.928866983
2014,Percentage (%) of gross domestic product (GDP),Domestic,,Accommodation services for visitors,0.454692746
2014,Percentage (%) of gross domestic product (GDP),Domestic,,Food and beverage serving activities,1.405640052
2014,Percentage (%) of gross domestic product (GDP),Domestic,,Railway passenger transport services,0.177203968
2014,Percentage (%) of gross domestic product (GDP),Domestic,,Road passenger transport services,0.072296965
2014,Percentage (%) of gross domestic product (GDP),Domestic,,Water passenger transport services,0.013725694
2014,Percentage (%) of gross domestic product (GDP),Domestic,,Air passenger transport services,0.052117539
2014,Percentage (%) of gross domestic product (GDP),Domestic,,Transport equipment rental services,0.025462707
2014,Percentage (%) of gross domestic product (GDP),Domestic,,Travel agencies and other reservation services,0.062510702
2014,Percentage (%) of gross domestic product (GDP),Domestic,,Cultural activities,0.208892819
2014,Percentage (%) of gross domestic product (GDP),Domestic,,Sport and recreation activities,0.263714315
2014,Percentage (%) of gross domestic product (GDP),Domestic,,Exhibitions and conferences,0.009119757
2014,Percentage (%) of gross domestic product (GDP),Domestic,,Other consumption products,1.461436922
2014,Percentage (%) of gross domestic product (GDP),Domestic,,,4.206825024
2014,Percentage (%) of gross domestic product (GDP),Outbound,Tourists (overnight visitors),Accommodation services for visitors,0.036928782
2014,Percentage (%) of gross domestic product (GDP),Outbound,Tourists (overnight visitors),Food and beverage serving activities,0.033021864
2014,Percentage (%) of gross domestic product (GDP),Outbound,Tourists (overnight visitors),Railway passenger transport services,0.031445007
2014,Percentage (%) of gross domestic product (GDP),Outbound,Tourists (overnight visitors),Road passenger transport services,0.039719439
2014,Percentage (%) of gross domestic product (GDP),Outbound,Tourists (overnight visitors),Water passenger transport services,0.023300626
2014,Percentage (%) of gross domestic product (GDP),Outbound,Tourists (overnight visitors),Air passenger transport services,0.875182341
2014,Percentage (%) of gross domestic product (GDP),Outbound,Tourists (overnight visitors),Travel agencies and other reservation services,0.090384753
2014,Percentage (%) of gross domestic product (GDP),Outbound,Tourists (overnight visitors),Other consumption products,0.34507143
2014,Percentage (%) of gross domestic product (GDP),Outbound,Tourists (overnight visitors),,1.47505966
2014,Percentage (%) of gross domestic product (GDP),Outbound,Excursionists (same-day visitors),Food and beverage serving activities,0.000184238
2014,Percentage (%) of gross domestic product (GDP),Outbound,Excursionists (same-day visitors),Railway passenger transport services,0.004486725
2014,Percentage (%) of gross domestic product (GDP),Outbound,Excursionists (same-day visitors),Road passenger transport services,0.00021675
2014,Percentage (%) of gross domestic product (GDP),Outbound,Excursionists (same-day visitors),Water passenger transport services,0.000709856
2014,Percentage (%) of gross domestic product (GDP),Outbound,Excursionists (same-day visitors),Air passenger transport services,0.0064158
2014,Percentage (%) of gross domestic product (GDP),Outbound,Excursionists (same-day visitors),Other consumption products,0.001896563
2014,Percentage (%) of gross domestic product (GDP),Outbound,Excursionists (same-day visitors),,0.01391535
2014,Percentage (%) of gross domestic product (GDP),Outbound,,Accommodation services for visitors,0.036928782
2014,Percentage (%) of gross domestic product (GDP),Outbound,,Food and beverage serving activities,0.033200682
2014,Percentage (%) of gross domestic product (GDP),Outbound,,Railway passenger transport services,0.035937151
2014,Percentage (%) of gross domestic product (GDP),Outbound,,Road passenger transport services,0.039936189
2014,Percentage (%) of gross domestic product (GDP),Outbound,,Water passenger transport services,0.024015901
2014,Percentage (%) of gross domestic product (GDP),Outbound,,Air passenger transport services,0.881598141
2014,Percentage (%) of gross domestic product (GDP),Outbound,,Travel agencies and other reservation services,0.090384753
2014,Percentage (%) of gross domestic product (GDP),Outbound,,Other consumption products,0.346973411
2014,Percentage (%) of gross domestic product (GDP),Outbound,,,1.488975011
2014,Percentage (%) of gross domestic product (GDP),,Tourists (overnight visitors),Accommodation services for visitors,1.288074848
2014,Percentage (%) of gross domestic product (GDP),,Tourists (overnight visitors),Food and beverage serving activities,0.786179369
2014,Percentage (%) of gross domestic product (GDP),,Tourists (overnight visitors),Railway passenger transport services,0.168138399
2014,Percentage (%) of gross domestic product (GDP),,Tourists (overnight visitors),Road passenger transport services,0.137766304
2014,Percentage (%) of gross domestic product (GDP),,Tourists (overnight visitors),Water passenger transport services,0.077536896
2014,Percentage (%) of gross domestic product (GDP),,Tourists (overnight visitors),Air passenger transport services,1.968263464
2014,Percentage (%) of gross domestic product (GDP),,Tourists (overnight visitors),Transport equipment rental services,0.028318388
2014,Percentage (%) of gross domestic product (GDP),,Tourists (overnight visitors),Travel agencies and other reservation services,0.289946484
2014,Percentage (%) of gross domestic product (GDP),,Tourists (overnight visitors),Cultural activities,0.105340503
2014,Percentage (%) of gross domestic product (GDP),,Tourists (overnight visitors),Sport and recreation activities,0.062797896
2014,Percentage (%) of gross domestic product (GDP),,Tourists (overnight visitors),Exhibitions and conferences,0.0120513
2014,Percentage (%) of gross domestic product (GDP),,Tourists (overnight visitors),Other consumption products,1.932320894
2014,Percentage (%) of gross domestic product (GDP),,Tourists (overnight visitors),,6.856734748
2014,Percentage (%) of gross domestic product (GDP),,Excursionists (same-day visitors),Food and beverage serving activities,2.298725943
2014,Percentage (%) of gross domestic product (GDP),,Excursionists (same-day visitors),Railway passenger transport services,0.281173528
2014,Percentage (%) of gross domestic product (GDP),,Excursionists (same-day visitors),Road passenger transport services,0.115267654
2014,Percentage (%) of gross domestic product (GDP),,Excursionists (same-day visitors),Water passenger transport services,0.021263176
2014,Percentage (%) of gross domestic product (GDP),,Excursionists (same-day visitors),Air passenger transport services,0.077119653
2014,Percentage (%) of gross domestic product (GDP),,Excursionists (same-day visitors),Transport equipment rental services,0.031152395
2014,Percentage (%) of gross domestic product (GDP),,Excursionists (same-day visitors),Travel agencies and other reservation services,0.021799632
2014,Percentage (%) of gross domestic product (GDP),,Excursionists (same-day visitors),Cultural activities,0.324566879
2014,Percentage (%) of gross domestic product (GDP),,Excursionists (same-day visitors),Sport and recreation activities,0.473728815
2014,Percentage (%) of gross domestic product (GDP),,Excursionists (same-day visitors),Exhibitions and conferences,0.011785782
2014,Percentage (%) of gross domestic product (GDP),,Excursionists (same-day visitors),Other consumption products,2.260362276
2014,Percentage (%) of gross domestic product (GDP),,Excursionists (same-day visitors),,5.916960905
2014,Percentage (%) of gross domestic product (GDP),,,Accommodation services for visitors,1.288074848
2014,Percentage (%) of gross domestic product (GDP),,,Food and beverage serving activities,3.084894475
2014,Percentage (%) of gross domestic product (GDP),,,Railway passenger transport services,0.449317346
2014,Percentage (%) of gross domestic product (GDP),,,Road passenger transport services,0.253044796
2014,Percentage (%) of gross domestic product (GDP),,,Water passenger transport services,0.098800072
2014,Percentage (%) of gross domestic product (GDP),,,Air passenger transport services,2.045377698
2014,Percentage (%) of gross domestic product (GDP),,,Transport equipment rental services,0.059470783
2014,Percentage (%) of gross domestic product (GDP),,,Travel agencies and other reservation services,0.311746116
2014,Percentage (%) of gross domestic product (GDP),,,Cultural activities,0.429907383
2014,Percentage (%) of gross domestic product (GDP),,,Sport and recreation activities,0.536537549
2014,Percentage (%) of gross domestic product (GDP),,,Exhibitions and conferences,0.023826245
2014,Percentage (%) of gross domestic product (GDP),,,Other consumption products,4.192687505
2014,Percentage (%) of gross domestic product (GDP),,,,12.77370107
2013,Growth rate (%),Inbound,Tourists (overnight visitors),Accommodation services for visitors,1.739822401
2013,Growth rate (%),Inbound,Tourists (overnight visitors),Food and beverage serving activities,1.853493432
2013,Growth rate (%),Inbound,Tourists (overnight visitors),Railway passenger transport services,-2.580160321
2013,Growth rate (%),Inbound,Tourists (overnight visitors),Road passenger transport services,0.461183705
