Year,Units,Manufacturing category,Manufacturing subcategory,Manufacturing description,Value
2001,Percentage (%) of gross domestic product,Manufacture of chemicals and chemical products,Manufacture of chemicals and chemical products,"Manufacture of industrial gases, inorganics and fertilisers (inorganic chemicals)",0.098089217
2001,Percentage (%) of gross domestic product,Manufacture of chemicals and chemical products,Manufacture of chemicals and chemical products,Manufacture of petrochemicals,0.22521394
2001,Percentage (%) of gross domestic product,Manufacture of chemicals and chemical products,Manufacture of chemicals and chemical products,"Manufacture of dyestuffs, agro-chemicals",0.086008249
2001,Percentage (%) of gross domestic product,Manufacture of chemicals and chemical products,Manufacture of chemicals and chemical products,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics",0.120809672
2001,Percentage (%) of gross domestic product,Manufacture of chemicals and chemical products,Manufacture of chemicals and chemical products,"Manufacture of soap and detergents, cleaning and polishing, perfumes and toilet preparations",0.161994787
2001,Percentage (%) of gross domestic product,Manufacture of chemicals and chemical products,Manufacture of chemicals and chemical products,Manufacture of other chemical products,0.184166108
2001,Percentage (%) of gross domestic product,Manufacture of basic pharmaceutical products and pharmaceutical preparations,,,0.864269647
2001,Percentage (%) of gross domestic product,Manufacture of basic pharmaceutical products and pharmaceutical preparations,Manufacture of basic pharmaceutical products and pharmaceutical preparations,,0.864269647
2001,Percentage (%) of gross domestic product,"Manufacture of rubber and plastics products, and other non-metallic mineral products",,,1.074245094
2001,Percentage (%) of gross domestic product,"Manufacture of rubber and plastics products, and other non-metallic mineral products",Manufacture of rubber and plastic products,,0.741469361
2001,Percentage (%) of gross domestic product,"Manufacture of rubber and plastics products, and other non-metallic mineral products",Manufacture of other non-metallic mineral products,,0.350622616
2001,Percentage (%) of gross domestic product,"Manufacture of rubber and plastics products, and other non-metallic mineral products",Manufacture of other non-metallic mineral products,"Manufacture of glass, refractory, clay, porcelain, ceramic, stone products",0.19864954
2001,Percentage (%) of gross domestic product,"Manufacture of rubber and plastics products, and other non-metallic mineral products",Manufacture of other non-metallic mineral products,"Manufacture of cement, lime, plaster and articles of concrete, cement and plaster",0.158425411
2001,Percentage (%) of gross domestic product,Manufacture of basic metals and metal products,,,1.558925261
2001,Percentage (%) of gross domestic product,Manufacture of basic metals and metal products,Manufacture of basic metals,,0.316782179
2001,Percentage (%) of gross domestic product,Manufacture of basic metals and metal products,Manufacture of basic metals,Manufacture of basic iron and steel,0.154924676
2001,Percentage (%) of gross domestic product,Manufacture of basic metals and metal products,Manufacture of basic metals,Manufacture of other basic metals and casting,0.18718635
2001,Percentage (%) of gross domestic product,Manufacture of basic metals and metal products,"Manufacture of fabricated metal products, except machinery and equipment",,1.235896672
2001,Percentage (%) of gross domestic product,Manufacture of basic metals and metal products,"Manufacture of fabricated metal products, except machinery and equipment","Manufacture of fabricated metal products, excluding weapons and ammunition",1.058526108
2001,Percentage (%) of gross domestic product,Manufacture of basic metals and metal products,"Manufacture of fabricated metal products, except machinery and equipment",Manufacture of weapons and ammunition,0.149570611
2001,Percentage (%) of gross domestic product,"Manufacturing of computer, electronic and optical products",,,0.800020867
2001,Percentage (%) of gross domestic product,"Manufacturing of computer, electronic and optical products","Manufacture of computer, electronic and optical products",,0.800020867
2001,Percentage (%) of gross domestic product,Manufacture of electrical equipment,,,0.459969097
2001,Percentage (%) of gross domestic product,Manufacture of electrical equipment,Manufacture of electrical equipment,,0.459969097
2001,Percentage (%) of gross domestic product,Manufacture of machinery and equipment  N.E.C.,,,0.791166067
2001,Percentage (%) of gross domestic product,Manufacture of machinery and equipment  N.E.C.,Manufacture of machinery and equipment N.E.C.,,0.791166067
2001,Percentage (%) of gross domestic product,Manufacture of transport equipment,,,1.046719709
2001,Percentage (%) of gross domestic product,Manufacture of transport equipment,"Manufacture of motor vehicles, trailers and semi-trailers",,0.699872395
2001,Percentage (%) of gross domestic product,Manufacture of transport equipment,Manufacture of other transport equipment,,0.421255089
2001,Percentage (%) of gross domestic product,Manufacture of transport equipment,Manufacture of other transport equipment,Building of ships and boats,0.073652715
2001,Percentage (%) of gross domestic product,Manufacture of transport equipment,Manufacture of other transport equipment,Manufacture of air and spacecraft and related machinery,0.318841435
2001,Percentage (%) of gross domestic product,Manufacture of transport equipment,Manufacture of other transport equipment,Manufacture of other transport equipment,0.036654753
2001,Percentage (%) of gross domestic product,Other manufacturing and repair,,,1.074519661
2001,Percentage (%) of gross domestic product,Other manufacturing and repair,Manufacture of furniture,,0.274430152
2001,Percentage (%) of gross domestic product,Other manufacturing and repair,Other manufacturing,,0.357006309
2001,Percentage (%) of gross domestic product,Other manufacturing and repair,Repair and installation of machinery and equipment,,0.457223423
2001,Percentage (%) of gross domestic product,Other manufacturing and repair,Repair and installation of machinery and equipment,Repair and maintenance of ships and boats,0.018876511
2001,Percentage (%) of gross domestic product,Other manufacturing and repair,Repair and installation of machinery and equipment,Repair and maintenance of aircraft and spacecraft,0.139754825
2001,Percentage (%) of gross domestic product,Other manufacturing and repair,Repair and installation of machinery and equipment,Rest of repair; installation,0.310741696
2002,Percentage (%) of gross domestic product,,,,11.53663355
2002,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",,,1.715288173
2002,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",Manufacture of food products,,1.352964718
2002,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",Manufacture of food products,Processing and preserving of meat and production of meat products,0.198557276
2002,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",Manufacture of food products,"Processing and preserving of fish, crustaceans, molluscs, fruit and vegetables",0.159207809
2002,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",Manufacture of food products,Manufacture of vegetable and animal oils and fats,0.024333657
2002,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",Manufacture of food products,Manufacture of dairy products,0.071928412
2002,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",Manufacture of food products,"Manufacture of grain mill products, starches and starch products",0.112752646
2002,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",Manufacture of food products,Manufacture of bakery and farinaceous products,0.230532907
2002,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",Manufacture of food products,Manufacture of other food products,0.512079348
2002,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",Manufacture of food products,Manufacture of prepared animal feeds,0.077224167
2002,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",Manufacture of beverages,,0.280943127
2002,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",Manufacture of beverages,Manufacture of alcoholic beverages,0.228387791
2002,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",Manufacture of beverages,Manufacture of soft drinks; production of mineral waters and other bottled waters,0.061940217
2002,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",Manufacture of beverages,Manufacture of tobacco products,0.089826722
2002,Percentage (%) of gross domestic product,"Manufacture of textiles, wearing apparel and leather products",,,0.582532993
2002,Percentage (%) of gross domestic product,"Manufacture of textiles, wearing apparel and leather products",Manufacture of textiles  ,,0.30976812
2002,Percentage (%) of gross domestic product,"Manufacture of textiles, wearing apparel and leather products",Manufacture of wearing apparel,,0.219606224
2002,Percentage (%) of gross domestic product,"Manufacture of textiles, wearing apparel and leather products",Manufacture of leather and related products,,0.06529196
2002,Percentage (%) of gross domestic product,"Manufacture of wood and paper products, and printing",,,0.992116029
2002,Percentage (%) of gross domestic product,"Manufacture of wood and paper products, and printing","Manufacture of wood and products of wood and cork, except furniture; manufacture of articles of straw",,0.212768667
2002,Percentage (%) of gross domestic product,"Manufacture of wood and paper products, and printing",Manufacture of paper and paper products  ,,0.305746028
2002,Percentage (%) of gross domestic product,"Manufacture of wood and paper products, and printing",Printing and reproduction of recorded media,,0.470584765
2002,Percentage (%) of gross domestic product,"Manufacture of coke, and refined petroleum products",,,0.2943501
2002,Percentage (%) of gross domestic product,"Manufacture of coke, and refined petroleum products",Manufacture of coke and refined petroleum products,,0.2943501
2002,Percentage (%) of gross domestic product,Manufacture of chemicals and chemical products,,,0.778341839
2002,Percentage (%) of gross domestic product,Manufacture of chemicals and chemical products,Manufacture of chemicals and chemical products,,0.778341839
2002,Percentage (%) of gross domestic product,Manufacture of chemicals and chemical products,Manufacture of chemicals and chemical products,"Manufacture of industrial gases, inorganics and fertilisers (inorganic chemicals)",0.099546777
2002,Percentage (%) of gross domestic product,Manufacture of chemicals and chemical products,Manufacture of chemicals and chemical products,Manufacture of petrochemicals,0.209618029
2002,Percentage (%) of gross domestic product,Manufacture of chemicals and chemical products,Manufacture of chemicals and chemical products,"Manufacture of dyestuffs, agro-chemicals",0.096932417
2002,Percentage (%) of gross domestic product,Manufacture of chemicals and chemical products,Manufacture of chemicals and chemical products,"Manufacture of paints, varnishes and similar coatings, printing ink and mastics",0.117847296
2002,Percentage (%) of gross domestic product,Manufacture of chemicals and chemical products,Manufacture of chemicals and chemical products,"Manufacture of soap and detergents, cleaning and polishing, perfumes and toilet preparations",0.15605717
2002,Percentage (%) of gross domestic product,Manufacture of chemicals and chemical products,Manufacture of chemicals and chemical products,Manufacture of other chemical products,0.158135251
2002,Percentage (%) of gross domestic product,Manufacture of basic pharmaceutical products and pharmaceutical preparations,,,0.905708086
2002,Percentage (%) of gross domestic product,Manufacture of basic pharmaceutical products and pharmaceutical preparations,Manufacture of basic pharmaceutical products and pharmaceutical preparations,,0.905708086
2002,Percentage (%) of gross domestic product,"Manufacture of rubber and plastics products, and other non-metallic mineral products",,,1.024963114
2002,Percentage (%) of gross domestic product,"Manufacture of rubber and plastics products, and other non-metallic mineral products",Manufacture of rubber and plastic products,,0.69749779
2002,Percentage (%) of gross domestic product,"Manufacture of rubber and plastics products, and other non-metallic mineral products",Manufacture of other non-metallic mineral products,,0.341475612
2002,Percentage (%) of gross domestic product,"Manufacture of rubber and plastics products, and other non-metallic mineral products",Manufacture of other non-metallic mineral products,"Manufacture of glass, refractory, clay, porcelain, ceramic, stone products",0.196076986
2002,Percentage (%) of gross domestic product,"Manufacture of rubber and plastics products, and other non-metallic mineral products",Manufacture of other non-metallic mineral products,"Manufacture of cement, lime, plaster and articles of concrete, cement and plaster",0.151431764
2002,Percentage (%) of gross domestic product,Manufacture of basic metals and metal products,,,1.467393235
2002,Percentage (%) of gross domestic product,Manufacture of basic metals and metal products,Manufacture of basic metals,,0.277323244
2002,Percentage (%) of gross domestic product,Manufacture of basic metals and metal products,Manufacture of basic metals,Manufacture of basic iron and steel,0.132527932
2002,Percentage (%) of gross domestic product,Manufacture of basic metals and metal products,Manufacture of basic metals,Manufacture of other basic metals and casting,0.167922341
2002,Percentage (%) of gross domestic product,Manufacture of basic metals and metal products,"Manufacture of fabricated metal products, except machinery and equipment",,1.1904722
2002,Percentage (%) of gross domestic product,Manufacture of basic metals and metal products,"Manufacture of fabricated metal products, except machinery and equipment","Manufacture of fabricated metal products, excluding weapons and ammunition",1.026638986
2002,Percentage (%) of gross domestic product,Manufacture of basic metals and metal products,"Manufacture of fabricated metal products, except machinery and equipment",Manufacture of weapons and ammunition,0.118986889
2002,Percentage (%) of gross domestic product,"Manufacturing of computer, electronic and optical products",,,0.653053673
2002,Percentage (%) of gross domestic product,"Manufacturing of computer, electronic and optical products","Manufacture of computer, electronic and optical products",,0.653053673
2002,Percentage (%) of gross domestic product,Manufacture of electrical equipment,,,0.41005228
2002,Percentage (%) of gross domestic product,Manufacture of electrical equipment,Manufacture of electrical equipment,,0.41005228
2002,Percentage (%) of gross domestic product,Manufacture of machinery and equipment  N.E.C.,,,0.734434001
2002,Percentage (%) of gross domestic product,Manufacture of machinery and equipment  N.E.C.,Manufacture of machinery and equipment N.E.C.,,0.734434001
2002,Percentage (%) of gross domestic product,Manufacture of transport equipment,,,0.999758004
2002,Percentage (%) of gross domestic product,Manufacture of transport equipment,"Manufacture of motor vehicles, trailers and semi-trailers",,0.741405627
2002,Percentage (%) of gross domestic product,Manufacture of transport equipment,Manufacture of other transport equipment,,0.352134156
2002,Percentage (%) of gross domestic product,Manufacture of transport equipment,Manufacture of other transport equipment,Building of ships and boats,0.056175218
2002,Percentage (%) of gross domestic product,Manufacture of transport equipment,Manufacture of other transport equipment,Manufacture of air and spacecraft and related machinery,0.264050341
2002,Percentage (%) of gross domestic product,Manufacture of transport equipment,Manufacture of other transport equipment,Manufacture of other transport equipment,0.037472491
2002,Percentage (%) of gross domestic product,Other manufacturing and repair,,,0.991110506
2002,Percentage (%) of gross domestic product,Other manufacturing and repair,Manufacture of furniture,,0.280406848
2002,Percentage (%) of gross domestic product,Other manufacturing and repair,Other manufacturing,,0.341274507
2002,Percentage (%) of gross domestic product,Other manufacturing and repair,Repair and installation of machinery and equipment,,0.381227288
2002,Percentage (%) of gross domestic product,Other manufacturing and repair,Repair and installation of machinery and equipment,Repair and maintenance of ships and boats,0.014479531
2002,Percentage (%) of gross domestic product,Other manufacturing and repair,Repair and installation of machinery and equipment,Repair and maintenance of aircraft and spacecraft,0.109602007
2002,Percentage (%) of gross domestic product,Other manufacturing and repair,Repair and installation of machinery and equipment,Rest of repair; installation,0.266061387
2003,Percentage (%) of gross domestic product,,,,11.09430192
2003,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",,,1.620960072
2003,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",Manufacture of food products,,1.273625368
2003,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",Manufacture of food products,Processing and preserving of meat and production of meat products,0.191581555
2003,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",Manufacture of food products,"Processing and preserving of fish, crustaceans, molluscs, fruit and vegetables",0.160871492
2003,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",Manufacture of food products,Manufacture of vegetable and animal oils and fats,0.021574791
2003,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",Manufacture of food products,Manufacture of dairy products,0.06809341
2003,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",Manufacture of food products,"Manufacture of grain mill products, starches and starch products",0.108716216
2003,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",Manufacture of food products,Manufacture of bakery and farinaceous products,0.213998606
2003,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",Manufacture of food products,Manufacture of other food products,0.481124325
2003,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",Manufacture of food products,Manufacture of prepared animal feeds,0.05882856
2003,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",Manufacture of beverages,,0.266736985
2003,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",Manufacture of beverages,Manufacture of alcoholic beverages,0.214840865
2003,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",Manufacture of beverages,Manufacture of soft drinks; production of mineral waters and other bottled waters,0.060707446
2003,Percentage (%) of gross domestic product,"Manufacture of food products, beverages and tobacco",Manufacture of beverages,Manufacture of tobacco products,0.087594949
2003,Percentage (%) of gross domestic product,"Manufacture of textiles, wearing apparel and leather products",,,0.557575538
2003,Percentage (%) of gross domestic product,"Manufacture of textiles, wearing apparel and leather products",Manufacture of textiles  ,,0.304509067
2003,Percentage (%) of gross domestic product,"Manufacture of textiles, wearing apparel and leather products",Manufacture of wearing apparel,,0.208750684
2003,Percentage (%) of gross domestic product,"Manufacture of textiles, wearing apparel and leather products",Manufacture of leather and related products,,0.05416374
2003,Percentage (%) of gross domestic product,"Manufacture of wood and paper products, and printing",,,0.94909645
2003,Percentage (%) of gross domestic product,"Manufacture of wood and paper products, and printing","Manufacture of wood and products of wood and cork, except furniture; manufacture of articles of straw",,0.20823237
2003,Percentage (%) of gross domestic product,"Manufacture of wood and paper products, and printing",Manufacture of paper and paper products  ,,0.295438584
2003,Percentage (%) of gross domestic product,"Manufacture of wood and paper products, and printing",Printing and reproduction of recorded media,,0.444064924
2003,Percentage (%) of gross domestic product,"Manufacture of coke, and refined petroleum products",,,0.28105539
2003,Percentage (%) of gross domestic product,"Manufacture of coke, and refined petroleum products",Manufacture of coke and refined petroleum products,,0.28105539
2003,Percentage (%) of gross domestic product,Manufacture of chemicals and chemical products,,,0.732441489
2003,Percentage (%) of gross domestic product,Manufacture of chemicals and chemical products,Manufacture of chemicals and chemical products,,0.732441489
