Year,Sex,Age,Geography,Disability status,Ethnicity,Economic Activity,Value
2012,,35 to 44,,,,,94.2
2012,,45 to 54,,,,,87.8
2012,,55 to 64,,,,,77.9
2012,,65 to 74,,,,,56.2
2012,,75 and over,,,,,22.9
2012,Male,,,,,,83.5
2012,Male,16 to 24,,,,,97.7
2012,Male,25 to 34,,,,,96.8
2012,Male,35 to 44,,,,,94.4
2012,Male,45 to 54,,,,,88.3
2012,Male,55 to 64,,,,,79.6
2012,Male,65 to 74,,,,,61.7
2012,Male,75 and over,,,,,30.2
2012,Female,,,,,,78.4
2012,Female,16 to 24,,,,,97.6
2012,Female,25 to 34,,,,,96.5
2012,Female,35 to 44,,,,,94
2012,Female,45 to 54,,,,,87.4
2012,Female,55 to 64,,,,,76.3
2012,Female,65 to 74,,,,,51.2
2012,Female,75 and over,,,,,17.6
2012,,,,Disabled,,,60.1
2012,,,,Not disabled,,,87.2
2012,,,,,White,,80.7
2012,,,,,Mixed or multiple ethnic background,,92.5
2012,,,,,Indian,,79.6
2012,,,,,Pakistani,,77.2
2012,,,,,Bangladeshi,,68.6
2012,,,,,Chinese,,92
2012,,,,,Other Asian background,,86.7
2012,,,,,"Black, African, Caribbean, or Black British",,82.8
2012,,,,,Other ethnic group,,86.9
2012,,,North East,,,,76.3
2012,,,North West,,,,79.8
2012,,,Yorkshire and The Humber,,,,78.8
2012,,,East Midlands,,,,79.8
2012,,,West Midlands,,,,77.7
2012,,,East of England,,,,83
2012,,,London,,,,84.6
2012,,,South East,,,,85
2012,,,South West,,,,82.4
2012,,,Wales,,,,77.8
2012,,,Scotland,,,,79.6
2012,,,Northern Ireland,,,,72.3
2012,,,,,,Employee,94.4
2012,,,,,,Self-employed,90.9
2012,,,,,,Government employment and training programmes,91.6
2012,,,,,,Unpaid family worker,85.9
2012,,,,,,Unemployed,90.8
2012,,,,,,Student,98.8
2012,,,,,,Retired,43.2
2012,,,,,,Inactive,71.5
2013,,,,,,,83.3
2013,,16 to 24,,,,,98.3
2013,,25 to 34,,,,,97.7
2013,,35 to 44,,,,,95.8
2013,,45 to 54,,,,,90.2
2013,,55 to 64,,,,,81.3
2013,,65 to 74,,,,,61.1
2013,,75 and over,,,,,29.1
2013,Male,,,,,,85.6
2013,Male,16 to 24,,,,,98.3
2013,Male,25 to 34,,,,,97.3
2013,Male,35 to 44,,,,,95.7
2013,Male,45 to 54,,,,,90.5
2013,Male,55 to 64,,,,,82.2
2013,Male,65 to 74,,,,,66.3
2013,Male,75 and over,,,,,38.4
2013,Female,,,,,,81
2013,Female,16 to 24,,,,,98.3
2013,Female,25 to 34,,,,,98
2013,Female,35 to 44,,,,,96
2013,Female,45 to 54,,,,,90
2013,Female,55 to 64,,,,,80.4
2013,Female,65 to 74,,,,,56.3
2013,Female,75 and over,,,,,22.3
2013,,,,Disabled,,,63.4
2013,,,,Not disabled,,,89.2
2013,,,,,White,,82.9
2013,,,,,Mixed or multiple ethnic background,,95.1
2013,,,,,Indian,,84.2
2013,,,,,Pakistani,,79.5
2013,,,,,Bangladeshi,,82.5
2013,,,,,Chinese,,93.6
2013,,,,,Other Asian background,,91.3
2013,,,,,"Black, African, Caribbean, or Black British",,86.2
2013,,,,,Other ethnic group,,87.9
2013,,,North East,,,,79.4
2013,,,North West,,,,81.9
2013,,,Yorkshire and The Humber,,,,82.4
2013,,,East Midlands,,,,83
2013,,,West Midlands,,,,79.6
2013,,,East of England,,,,84.3
2013,,,London,,,,87.8
2013,,,South East,,,,86.6
2013,,,South West,,,,83.7
2013,,,Wales,,,,79.1
2013,,,Scotland,,,,82.6
2013,,,Northern Ireland,,,,77.3
2013,,,,,,Employee,95.6
2013,,,,,,Self-employed,92.8
2013,,,,,,Government employment and training programmes,92.2
2013,,,,,,Unpaid family worker,83.4
2013,,,,,,Unemployed,92.6
2013,,,,,,Student,99
2013,,,,,,Retired,48.1
2013,,,,,,Inactive,75.6
2014,,,,,,,85
2014,,16 to 24,,,,,98.9
2014,,25 to 34,,,,,98.3
2014,,35 to 44,,,,,96.7
2014,,45 to 54,,,,,92.3
2014,,55 to 64,,,,,84.2
2014,,65 to 74,,,,,65.5
2014,,75 and over,,,,,31.9
2014,Male,,,,,,87.1
2014,Male,16 to 24,,,,,98.7
2014,Male,25 to 34,,,,,98.3
2014,Male,35 to 44,,,,,96.7
2014,Male,45 to 54,,,,,91.9
2014,Male,55 to 64,,,,,85.4
2014,Male,65 to 74,,,,,68.9
2014,Male,75 and over,,,,,41.1
2014,Female,,,,,,83
2014,Female,16 to 24,,,,,99
2014,Female,25 to 34,,,,,98.4
2014,Female,35 to 44,,,,,96.6
2014,Female,45 to 54,,,,,92.6
2014,Female,55 to 64,,,,,83
2014,Female,65 to 74,,,,,62.3
2014,Female,75 and over,,,,,25.1
2014,,,,Disabled,,,64.9
2014,,16 to 24,,Disabled,,,95.7
2014,,25 to 34,,Disabled,,,94
2014,,35 to 44,,Disabled,,,89.9
2014,,45 to 54,,Disabled,,,80.9
2014,,55 to 64,,Disabled,,,72.3
2014,,65 to 74,,Disabled,,,55.4
2014,,75 and over,,Disabled,,,25.8
2014,,,,Not disabled,,,90.8
2014,,16 to 24,,Not disabled,,,99.2
2014,,25 to 34,,Not disabled,,,98.8
2014,,35 to 44,,Not disabled,,,97.9
2014,,45 to 54,,Not disabled,,,95
2014,,55 to 64,,Not disabled,,,88.9
2014,,65 to 74,,Not disabled,,,71.2
2014,,75 and over,,Not disabled,,,39.3
2014,,,,,White,,84.7
2014,,,,,Mixed or multiple ethnic background,,95.2
2014,,,,,Indian,,85.8
2014,,,,,Pakistani,,79.2
2014,,,,,Bangladeshi,,86.9
2014,,,,,Chinese,,90.8
2014,,,,,Other Asian background,,90.4
2014,,,,,"Black, African, Caribbean, or Black British",,87.7
2014,,,,,Other ethnic group,,88
2014,,,North East,,,,81.3
2014,,,North West,,,,83.7
2014,,,Yorkshire and The Humber,,,,83.6
2014,,,East Midlands,,,,82.9
2014,,,West Midlands,,,,82.2
2014,,,East of England,,,,87
2014,,,London,,,,88.3
2014,,,South East,,,,88.1
2014,,,South West,,,,86.7
2014,,,Wales,,,,81.7
2014,,,Scotland,,,,85.1
2014,,,Northern Ireland,,,,77.4
2014,,,,,,Employee,96.3
2014,,,,,,Self-employed,93.7
2014,,,,,,Government employment and training programmes,93.9
2014,,,,,,Unpaid family worker,86
2014,,,,,,Unemployed,94.6
2014,,,,,,Student,99.5
2014,,,,,,Retired,51.8
2014,,,,,,Inactive,78.7
2015,,,,,,,86.2
2015,,16 to 24,,,,,98.8
2015,,25 to 34,,,,,98.6
2015,,35 to 44,,,,,97.3
2015,,45 to 54,,,,,93.6
2015,,55 to 64,,,,,86.7
2015,,65 to 74,,,,,70.6
2015,,75 and over,,,,,33
2015,Male,,,,,,87.9
2015,Male,16 to 24,,,,,98.8
2015,Male,25 to 34,,,,,98.6
2015,Male,35 to 44,,,,,97.1
2015,Male,45 to 54,,,,,93.7
2015,Male,55 to 64,,,,,86.5
2015,Male,65 to 74,,,,,73
2015,Male,75 and over,,,,,40.7
2015,Female,,,,,,84.6
2015,Female,16 to 24,,,,,98.9
2015,Female,25 to 34,,,,,98.6
2015,Female,35 to 44,,,,,97.5
2015,Female,45 to 54,,,,,93.6
2015,Female,55 to 64,,,,,86.8
2015,Female,65 to 74,,,,,68.4
2015,Female,75 and over,,,,,27.3
2015,,,,Disabled,,,67.8
2015,,16 to 24,,Disabled,,,95.2
2015,,25 to 34,,Disabled,,,95.2
2015,,35 to 44,,Disabled,,,92
2015,,45 to 54,,Disabled,,,85
2015,,55 to 64,,Disabled,,,76
2015,,65 to 74,,Disabled,,,60.5
2015,,75 and over,,Disabled,,,27.4
2015,,,,Not disabled,,,91.7
2015,,16 to 24,,Not disabled,,,99.3
2015,,25 to 34,,Not disabled,,,99
2015,,35 to 44,,Not disabled,,,98.2
2015,,45 to 54,,Not disabled,,,95.8
2015,,55 to 64,,Not disabled,,,91
2015,,65 to 74,,Not disabled,,,76.1
2015,,75 and over,,Not disabled,,,40
2015,,,,,White,,85.9
2015,,,,,Mixed or multiple ethnic background,,97
2015,,,,,Indian,,87.8
2015,,,,,Pakistani,,85.7
2015,,,,,Bangladeshi,,83.1
2015,,,,,Chinese,,92.6
2015,,,,,Other Asian background,,91
2015,,,,,"Black, African, Caribbean, or Black British",,87.7
2015,,,,,Other ethnic group,,90.5
2015,,,North East,,,,81.6
2015,,,North West,,,,84.4
2015,,,Yorkshire and The Humber,,,,85.3
2015,,,East Midlands,,,,85.8
2015,,,West Midlands,,,,85.1
2015,,,East of England,,,,87.2
2015,,,London,,,,89.5
2015,,,South East,,,,89.6
2015,,,South West,,,,87.2
2015,,,Wales,,,,82.5
2015,,,Scotland,,,,85.4
2015,,,Northern Ireland,,,,79.6
2015,,,,,,Employee,96.9
2015,,,,,,Self-employed,95
2015,,,,,,Government employment and training programmes,92.4
2015,,,,,,Unpaid family worker,89.5
2015,,,,,,Unemployed,94.9
2015,,,,,,Student,99.1
2015,,,,,,Retired,54.5
2015,,,,,,Inactive,81.5
2016,,,,,,,87.9
2016,,16 to 24,,,,,99.2
2016,,25 to 34,,,,,98.9
2016,,35 to 44,,,,,98.2
2016,,45 to 54,,,,,94.9
2016,,55 to 64,,,,,88.3
2016,,65 to 74,,,,,74.1
2016,,75 and over,,,,,38.7
2016,Male,,,,,,89.4
2016,Male,16 to 24,,,,,99
2016,Male,25 to 34,,,,,98.8
2016,Male,35 to 44,,,,,98.1
2016,Male,45 to 54,,,,,95
2016,Male,55 to 64,,,,,88.2
2016,Male,65 to 74,,,,,75.8
2016,Male,75 and over,,,,,46.7
2016,Female,,,,,,86.4
2016,Female,16 to 24,,,,,99.4
2016,Female,25 to 34,,,,,99.1
2016,Female,35 to 44,,,,,98.3
2016,Female,45 to 54,,,,,94.9
2016,Female,55 to 64,,,,,88.3
2016,Female,65 to 74,,,,,72.5
2016,Female,75 and over,,,,,32.6
2016,,,,Disabled,,,71
2016,,16 to 24,,Disabled,,,97.3
2016,,25 to 34,,Disabled,,,96.2
2016,,35 to 44,,Disabled,,,94.6
2016,,45 to 54,,Disabled,,,87.4
2016,,55 to 64,,Disabled,,,77.6
2016,,65 to 74,,Disabled,,,65
2016,,75 and over,,Disabled,,,30.8
2016,,,,Not disabled,,,92.9
2016,,16 to 24,,Not disabled,,,99.4
2016,,25 to 34,,Not disabled,,,99.3
2016,,35 to 44,,Not disabled,,,98.9
2016,,45 to 54,,Not disabled,,,96.8
2016,,55 to 64,,Not disabled,,,92.5
2016,,65 to 74,,Not disabled,,,79.1
2016,,75 and over,,Not disabled,,,48.1
2016,,,,,White,,87.4
2016,,,,,Mixed or multiple ethnic background,,95.4
2016,,,,,Indian,,88.9
2016,,,,,Pakistani,,88.1
2016,,,,,Bangladeshi,,86.5
2016,,,,,Chinese,,96.4
2016,,,,,Other Asian background,,92.7
2016,,,,,"Black, African, Caribbean, or Black British",,90.5
2016,,,,,Other ethnic group,,94.2
2016,,,North East,,,,82.6
2016,,,North West,,,,87.3
2016,,,Yorkshire and The Humber,,,,85.9
2016,,,East Midlands,,,,86.6
2016,,,West Midlands,,,,85.7
2016,,,East of England,,,,88.9
2016,,,London,,,,91
2016,,,South East,,,,90.6
2016,,,South West,,,,89.8
2016,,,Wales,,,,85.5
2016,,,Scotland,,,,87.1
2016,,,Northern Ireland,,,,82
2016,,,,,,Employee,97.7
2016,,,,,,Self-employed,95.8
2016,,,,,,Government employment and training programmes,92.5
2016,,,,,,Unpaid family worker,89
2016,,,,,,Unemployed,96
2016,,,,,,Student,99.2
2016,,,,,,Retired,58.9
2016,,,,,,Inactive,83.4
2017,,,,,,,88.9
2017,,16 to 24,,,,,99.2
2017,,25 to 34,,,,,99.1
2017,,35 to 44,,,,,98.4
2017,,45 to 54,,,,,96.2
2017,,55 to 64,,,,,90
2017,,65 to 74,,,,,77.5
2017,,75 and over,,,,,40.5
2017,Male,,,,,,90.2
2017,Male,16 to 24,,,,,99.1
2017,Male,25 to 34,,,,,99.1
2017,Male,35 to 44,,,,,98.3
2017,Male,45 to 54,,,,,96
2017,Male,55 to 64,,,,,89.9
2017,Male,65 to 74,,,,,79.1
2017,Male,75 and over,,,,,47.2
2017,Female,,,,,,87.6
2017,Female,16 to 24,,,,,99.2
2017,Female,25 to 34,,,,,99.1
2017,Female,35 to 44,,,,,98.5
2017,Female,45 to 54,,,,,96.3
2017,Female,55 to 64,,,,,90.2
2017,Female,65 to 74,,,,,76
2017,Female,75 and over,,,,,35.4
2017,,,,Disabled,,,73.4
2017,,16 to 24,,Disabled,,,97.1
2017,,25 to 34,,Disabled,,,96.9
2017,,35 to 44,,Disabled,,,94.8
2017,,45 to 54,,Disabled,,,89.2
2017,,55 to 64,,Disabled,,,80.4
2017,,65 to 74,,Disabled,,,69.4
2017,,75 and over,,Disabled,,,34
2017,,,,Not disabled,,,93.9
2017,,16 to 24,,Not disabled,,,99.5
2017,,25 to 34,,Not disabled,,,99.4
2017,,35 to 44,,Not disabled,,,99.1
2017,,45 to 54,,Not disabled,,,97.9
2017,,55 to 64,,Not disabled,,,93.8
2017,,65 to 74,,Not disabled,,,82.6
2017,,75 and over,,Not disabled,,,50
2017,,,,,White,,88.4
2017,,,,,Mixed or multiple ethnic background,,96.2
2017,,,,,Indian,,90.6
2017,,,,,Pakistani,,90.3
2017,,,,,Bangladeshi,,87
2017,,,,,Chinese,,98.3
2017,,,,,Other Asian background,,93.1
2017,,,,,"Black, African, Caribbean, or Black British",,92.1
2017,,,,,Other ethnic group,,94.1
2017,,,North East,,,,85
2017,,,North West,,,,88.1
2017,,,Yorkshire and The Humber,,,,86.8
2017,,,East Midlands,,,,87.8
2017,,,West Midlands,,,,86.4
2017,,,East of England,,,,90.3
2017,,,London,,,,92.7
2017,,,South East,,,,91.6
2017,,,South West,,,,89.2
2017,,,Wales,,,,86.9
2017,,,Scotland,,,,87.5
2017,,,Northern Ireland,,,,84
2017,,,,,,Employee,98.1
2017,,,,,,Self-employed,96.4
2017,,,,,,Government employment and training programmes,97
2017,,,,,,Unpaid family worker,90.6
2017,,,,,,Unemployed,96.9
2017,,,,,,Student,99.5
2017,,,,,,Retired,61.4
2017,,,,,,Inactive,85.8
