Year,Sex,Age Category,Highest Qualification Level,Income,Employment Status,Socio-economic Status,Relationship Status,Dependent Children Living in Household,Pegnancy Status (women aged 16-49),Value
2004,Female,25-34,,,,,,,,28.2
2005,Female,25-34,,,,,,,,29
2006,Female,25-34,,,,,,,,26.2
2007,Female,25-34,,,,,,,,23.2
2008,Female,25-34,,,,,,,,25.3
2009,Female,25-34,,,,,,,,23.9
2010,Female,25-34,,,,,,,,25.4
2011,Female,25-34,,,,,,,,21.2
2012,Female,25-34,,,,,,,,22.7
2013,Female,25-34,,,,,,,,20.4
2014,Female,25-34,,,,,,,,21.8
2015,Female,25-34,,,,,,,,23
2000,Female,35-49,,,,,,,,27.3
2001,Female,35-49,,,,,,,,27.7
2002,Female,35-49,,,,,,,,27.4
2003,Female,35-49,,,,,,,,28.2
2004,Female,35-49,,,,,,,,28
2005,Female,35-49,,,,,,,,25.9
2006,Female,35-49,,,,,,,,24.6
2007,Female,35-49,,,,,,,,22.7
2008,Female,35-49,,,,,,,,23.3
2009,Female,35-49,,,,,,,,23.2
2010,Female,35-49,,,,,,,,22.6
2011,Female,35-49,,,,,,,,22.8
2012,Female,35-49,,,,,,,,21.4
2013,Female,35-49,,,,,,,,19.7
2014,Female,35-49,,,,,,,,19.6
2015,Female,35-49,,,,,,,,18.3
2000,Female,50-59,,,,,,,,27.6
2001,Female,50-59,,,,,,,,25.1
2002,Female,50-59,,,,,,,,24.3
2003,Female,50-59,,,,,,,,23.2
2004,Female,50-59,,,,,,,,22.5
2005,Female,50-59,,,,,,,,23.5
2006,Female,50-59,,,,,,,,22.1
2007,Female,50-59,,,,,,,,20.5
2008,Female,50-59,,,,,,,,20.5
2009,Female,50-59,,,,,,,,20.5
2010,Female,50-59,,,,,,,,19.6
2011,Female,50-59,,,,,,,,18.3
2012,Female,50-59,,,,,,,,19.3
2013,Female,50-59,,,,,,,,18.9
2014,Female,50-59,,,,,,,,18
2015,Female,50-59,,,,,,,,15.6
2000,Female,60+,,,,,,,,15.4
2001,Female,60+,,,,,,,,17.3
2002,Female,60+,,,,,,,,14.2
2003,Female,60+,,,,,,,,14.1
2004,Female,60+,,,,,,,,13.6
2005,Female,60+,,,,,,,,13.3
2006,Female,60+,,,,,,,,12.1
2007,Female,60+,,,,,,,,12.1
2008,Female,60+,,,,,,,,12.4
2009,Female,60+,,,,,,,,13.5
2010,Female,60+,,,,,,,,13.1
2011,Female,60+,,,,,,,,12.2
2012,Female,60+,,,,,,,,12.3
2013,Female,60+,,,,,,,,9.6
2014,Female,60+,,,,,,,,10.6
2015,Female,60+,,,,,,,,9.4
2000,Female,,,,,,,,,25.5
2001,Female,,,,,,,,,25.6
2002,Female,,,,,,,,,25
2003,Female,,,,,,,,,24.2
2004,Female,,,,,,,,,23
2005,Female,,,,,,,,,22.7
2006,Female,,,,,,,,,20.9
2007,Female,,,,,,,,,19.7
2008,Female,,,,,,,,,20.6
2009,Female,,,,,,,,,20.2
2010,Female,,,,,,,,,19.8
2011,Female,,,,,,,,,18.8
2012,Female,,,,,,,,,18.8
2013,Female,,,,,,,,,16.8
2014,Female,,,,,,,,,17.2
2015,Female,,,,,,,,,16.6
2000,,16-24,,,,,,,,32.3
2001,,16-24,,,,,,,,33.2
2002,,16-24,,,,,,,,32.5
2003,,16-24,,,,,,,,31.5
2004,,16-24,,,,,,,,28.9
2005,,16-24,,,,,,,,28.5
2006,,16-24,,,,,,,,25.5
2007,,16-24,,,,,,,,26.1
2008,,16-24,,,,,,,,26.4
2009,,16-24,,,,,,,,24.8
2010,,16-24,,,,,,,,23.1
2011,,16-24,,,,,,,,24.2
2012,,16-24,,,,,,,,22.2
2013,,16-24,,,,,,,,23.4
2014,,16-24,,,,,,,,23.1
2015,,16-24,,,,,,,,23.5
2000,,25-34,,,,,,,,35.5
2001,,25-34,,,,,,,,34.4
2002,,25-34,,,,,,,,34.2
2003,,25-34,,,,,,,,34.4
2004,,25-34,,,,,,,,31.2
2005,,25-34,,,,,,,,31.2
2006,,25-34,,,,,,,,29.6
2007,,25-34,,,,,,,,26.1
2008,,25-34,,,,,,,,27.3
2009,,25-34,,,,,,,,25.5
2010,,25-34,,,,,,,,26.4
2011,,25-34,,,,,,,,23.2
2012,,25-34,,,,,,,,27.4
2013,,25-34,,,,,,,,25.5
2014,,25-34,,,,,,,,24.2
2015,,25-34,,,,,,,,24.2
2000,,35-49,,,,,,,,29.2
2001,,35-49,,,,,,,,29.4
2002,,35-49,,,,,,,,28.1
2003,,35-49,,,,,,,,30
2004,,35-49,,,,,,,,29.3
2005,,35-49,,,,,,,,27.5
2006,,35-49,,,,,,,,25.3
2007,,35-49,,,,,,,,23.9
2008,,35-49,,,,,,,,23.9
2009,,35-49,,,,,,,,24.7
2010,,35-49,,,,,,,,23.7
2011,,35-49,,,,,,,,23.9
2012,,35-49,,,,,,,,23.2
2013,,35-49,,,,,,,,22
2014,,35-49,,,,,,,,21
2015,,35-49,,,,,,,,20.3
2000,,50-59,,,,,,,,27.4
2001,,50-59,,,,,,,,25.7
2002,,50-59,,,,,,,,25.5
2003,,50-59,,,,,,,,24.7
2004,,50-59,,,,,,,,24.1
2005,,50-59,,,,,,,,24.4
2006,,50-59,,,,,,,,22.4
2007,,50-59,,,,,,,,21.3
2008,,50-59,,,,,,,,21.6
2009,,50-59,,,,,,,,21
2010,,50-59,,,,,,,,20
2011,,50-59,,,,,,,,19.2
2012,,50-59,,,,,,,,20.8
2013,,50-59,,,,,,,,19.2
2014,,50-59,,,,,,,,18.9
2015,,50-59,,,,,,,,16
2000,,60+,,,,,,,,15.8
2001,,60+,,,,,,,,16.9
2002,,60+,,,,,,,,15.3
2003,,60+,,,,,,,,15
2004,,60+,,,,,,,,14.2
2005,,60+,,,,,,,,13.7
2006,,60+,,,,,,,,12.4
2007,,60+,,,,,,,,12.4
2008,,60+,,,,,,,,12.7
2009,,60+,,,,,,,,14
2010,,60+,,,,,,,,13.2
2011,,60+,,,,,,,,13.1
2012,,60+,,,,,,,,12.6
2013,,60+,,,,,,,,10.7
2014,,60+,,,,,,,,11.4
2015,,60+,,,,,,,,10.3
2000,,,,,,,,,,27
2001,,,,,,,,,,26.9
2002,,,,,,,,,,25.9
2003,,,,,,,,,,26
2004,,,,,,,,,,24.6
2005,,,,,,,,,,23.9
2006,,,,,,,,,,22
2007,,,,,,,,,,20.9
2008,,,,,,,,,,21.1
2009,,,,,,,,,,21
2010,,,,,,,,,,20.3
2011,,,,,,,,,,19.8
2012,,,,,,,,,,20.4
2013,,,,,,,,,,19.2
2014,,,,,,,,,,18.8
2015,,,,,,,,,,17.8
2014,,,Degree (or equivalent),,,,,,,9.3
2015,,,Degree (or equivalent),,,,,,,9.2
2014,,,Higher education (below degree level),,,,,,,15.7
2015,,,Higher education (below degree level),,,,,,,16.9
2014,,,A-Levels or Highers,,,,,,,17.2
2015,,,A-Levels or Highers,,,,,,,19.3
2014,,,ONC or National Level BTEC,,,,,,,26.2
2015,,,ONC or National Level BTEC,,,,,,,22.5
2014,,,O-Level or GCSE equivalent (grade A-C),,,,,,,22.4
2015,,,O-Level or GCSE equivalent (grade A-C),,,,,,,20.6
2014,,,"GCSE (grade D-G), CSE (grade 2-5) or Standard Grade (level 4-6)",,,,,,,27.1
2015,,,"GCSE (grade D-G), CSE (grade 2-5) or Standard Grade (level 4-6)",,,,,,,29.6
2014,,,Other qualifications,,,,,,,24.3
2015,,,Other qualifications,,,,,,,21.6
2014,,,No formal qualifications,,,,,,,24.2
2015,,,No formal qualifications,,,,,,,21.9
2014,,,,"Up to £9,999",,,,,,23.2
2015,,,,"Up to £9,999",,,,,,21.9
2014,,,,"£10,000 up to £14,999",,,,,,22.1
2015,,,,"£10,000 up to £14,999",,,,,,21.6
2014,,,,"£15,000 up to £19,999",,,,,,21.7
2015,,,,"£15,000 up to £19,999",,,,,,20.4
2014,,,,"£20,000 up to £29,999",,,,,,17
2015,,,,"£20,000 up to £29,999",,,,,,16.7
2014,,,,"£30,000 up to £39,999",,,,,,14.5
2015,,,,"£30,000 up to £39,999",,,,,,13.5
2014,,,,"£40,000 or more",,,,,,10.6
2015,,,,"£40,000 or more",,,,,,10.8
2000,,,,,Employed,,,,,28.5
2001,,,,,Employed,,,,,28.1
2002,,,,,Employed,,,,,27.4
2003,,,,,Employed,,,,,27.7
2004,,,,,Employed,,,,,26.3
2005,,,,,Employed,,,,,25
2006,,,,,Employed,,,,,22.9
2007,,,,,Employed,,,,,21.9
2008,,,,,Employed,,,,,21.6
2009,,,,,Employed,,,,,20.6
2010,,,,,Employed,,,,,20.5
2011,,,,,Employed,,,,,19.3
2012,,,,,Employed,,,,,20.9
2013,,,,,Employed,,,,,19.3
2014,,,,,Employed,,,,,19.7
2015,,,,,Employed,,,,,18.8
2000,,,,,Unemployed,,,,,47.7
2001,,,,,Unemployed,,,,,46
2002,,,,,Unemployed,,,,,48.5
2003,,,,,Unemployed,,,,,45.5
2004,,,,,Unemployed,,,,,44.6
2005,,,,,Unemployed,,,,,46.8
2006,,,,,Unemployed,,,,,40.9
2007,,,,,Unemployed,,,,,47.9
2008,,,,,Unemployed,,,,,41.9
2009,,,,,Unemployed,,,,,37.9
2010,,,,,Unemployed,,,,,29.2
2011,,,,,Unemployed,,,,,34.8
2012,,,,,Unemployed,,,,,38.8
2013,,,,,Unemployed,,,,,34.7
2014,,,,,Unemployed,,,,,36.2
2015,,,,,Unemployed,,,,,29.3
2000,,,,,Economically Inactive,,,,,22.9
2001,,,,,Economically Inactive,,,,,23.8
2002,,,,,Economically Inactive,,,,,21.8
2003,,,,,Economically Inactive,,,,,21.9
2004,,,,,Economically Inactive,,,,,20.7
2005,,,,,Economically Inactive,,,,,20.8
2006,,,,,Economically Inactive,,,,,19.2
2007,,,,,Economically Inactive,,,,,17.6
2008,,,,,Economically Inactive,,,,,17.8
2009,,,,,Economically Inactive,,,,,19.2
2010,,,,,Economically Inactive,,,,,18.8
2011,,,,,Economically Inactive,,,,,18.4
2012,,,,,Economically Inactive,,,,,16.8
2013,,,,,Economically Inactive,,,,,16.4
2014,,,,,Economically Inactive,,,,,14.9
2015,,,,,Economically Inactive,,,,,14.6
2014,,,,,,Managerial and professional ocupations,,,,12.7
2015,,,,,,Managerial and professional ocupations,,,,12.2
2014,,,,,,Intermediate occupations,,,,19.6
2015,,,,,,Intermediate occupations,,,,17.4
2014,,,,,,Routine and manual occupations,,,,30.4
2015,,,,,,Routine and manual occupations,,,,28.7
2014,,,,,,,Single,,,26.3
2015,,,,,,,Single,,,25.4
2014,,,,,,,Married,,,12
2015,,,,,,,Married,,,11.5
2014,,,,,,,Cohabiting,,,29
2015,,,,,,,Cohabiting,,,25.2
2014,,,,,,,Widowed/Divorced/Separated,,,21.7
2015,,,,,,,Widowed/Divorced/Separated,,,21
2000,Male,,,,,,,Yes,,30.5
2001,Male,,,,,,,Yes,,29.3
2002,Male,,,,,,,Yes,,27.6
2003,Male,,,,,,,Yes,,28.9
2004,Male,,,,,,,Yes,,27.2
2005,Male,,,,,,,Yes,,25.7
2006,Male,,,,,,,Yes,,23.5
2007,Male,,,,,,,Yes,,22.4
2008,Male,,,,,,,Yes,,21
2009,Male,,,,,,,Yes,,22.5
2010,Male,,,,,,,Yes,,22.4
2011,Male,,,,,,,Yes,,21.6
2012,Male,,,,,,,Yes,,23.2
2013,Male,,,,,,,Yes,,21.5
2014,Male,,,,,,,Yes,,21.7
2015,Male,,,,,,,Yes,,19.5
2000,Male,,,,,,,No,,33.5
2001,Male,,,,,,,No,,34.1
2002,Male,,,,,,,No,,31.8
2003,Male,,,,,,,No,,34.3
2004,Male,,,,,,,No,,32.4
2005,Male,,,,,,,No,,31.6
2006,Male,,,,,,,No,,29.6
2007,Male,,,,,,,No,,28.2
2008,Male,,,,,,,No,,28.2
2009,Male,,,,,,,No,,27
2010,Male,,,,,,,No,,25.2
2011,Male,,,,,,,No,,25.8
2012,Male,,,,,,,No,,26.5
2013,Male,,,,,,,No,,27.1
2014,Male,,,,,,,No,,24.1
2015,Male,,,,,,,No,,23.2
2000,Female,,,,,,,Yes,,30.4
2001,Female,,,,,,,Yes,,29.3
2002,Female,,,,,,,Yes,,29.6
2003,Female,,,,,,,Yes,,28.2
2004,Female,,,,,,,Yes,,28
2005,Female,,,,,,,Yes,,26.8
2006,Female,,,,,,,Yes,,23.4
2007,Female,,,,,,,Yes,,22.2
2008,Female,,,,,,,Yes,,23
2009,Female,,,,,,,Yes,,21.8
2010,Female,,,,,,,Yes,,22.2
2011,Female,,,,,,,Yes,,22.3
2012,Female,,,,,,,Yes,,22.8
2013,Female,,,,,,,Yes,,21.4
2014,Female,,,,,,,Yes,,20.6
2015,Female,,,,,,,Yes,,18.9
2000,Female,,,,,,,No,,28.5
2001,Female,,,,,,,No,,28.3
2002,Female,,,,,,,No,,28.7
2003,Female,,,,,,,No,,28.1
2004,Female,,,,,,,No,,25.5
2005,Female,,,,,,,No,,26
2006,Female,,,,,,,No,,25.4
2007,Female,,,,,,,No,,23.2
2008,Female,,,,,,,No,,25
2009,Female,,,,,,,No,,24.3
2010,Female,,,,,,,No,,23.2
2011,Female,,,,,,,No,,21
2012,Female,,,,,,,No,,20.6
2013,Female,,,,,,,No,,18.7
2014,Female,,,,,,,No,,19.6
2015,Female,,,,,,,No,,20.1
2014,,,,,,,,,Pregnant,17.2
2015,,,,,,,,,Pregnant,13.1
2014,,,,,,,,,Not pregnant/unsure,20.9
2015,,,,,,,,,Not pregnant/unsure,21.3
2016,,16-24,,,,,,,,17.2
2016,,25-34,,,,,,,,26.3
2016,,35-49,,,,,,,,19.6
2016,,50-59,,,,,,,,17.4
2016,,60+,,,,,,,,11.1
2016,,,,,,,,,,17.7
2016,,16-24,,,,,,,,16.0
2016,,25-34,,,,,,,,19.6
2016,,35-49,,,,,,,,16.9
2016,,50-59,,,,,,,,12.8
2016,,60+,,,,,,,,10.2
2016,,,,,,,,,,14.5
2016,,16-24,,,,,,,,16.6
2016,,25-34,,,,,,,,23.0
2016,,35-49,,,,,,,,18.2
2016,,50-59,,,,,,,,15.0
2016,,60+,,,,,,,,10.6
2016,,,,,,,,,,16.1
2016,,,Degree (or equivalent),,,,,,,9.3
2016,,,"Higher education (below
degree level)",,,,,,,13.3
2016,,,"A-Levels or
Highers",,,,,,,15.0
2016,,,ONC or National Level BTEC,,,,,,,19.5
2016,,,"O-Level or GCSE equivalent
(grade A-C)",,,,,,,18.1
2016,,,"GCSE (grade D-G), CSE (grade 2-5) or Standard Grade (level 4-6)",,,,,,,23.6
2016,,,"Other
qualifications",,,,,,,22.3
2016,,,No formal qualifications,,,,,,,20.7
2016,,,,"Up to £9,999",,,,,,19.0
2016,,,,"£10,000 up to £14,999",,,,,,18.6
2016,,,,"£15,000 up to £19,999",,,,,,18.3
2016,,,,"£20,000 up to £29,999",,,,,,14.9
2016,,,,"£30,000 up to £39,999",,,,,,12.9
2016,,,,"£40,000 or more",,,,,,10.7
2016,,,,,Employed,,,,,16.1
2016,,,,,Unemployed,,,,,30.1
2016,,,,,Economically Inactive,,,,,14.6
2016,,,,,,Managerial and professional ocupations,,,,10.9
2016,,,,,,Intermediate occupations,,,,15.0
2016,,,,,,Routine and manual occupations,,,,25.7
2016,,,,,,,Single,,,21.3
2016,,,,,,,Married,,,10.1
2016,,,,,,,Cohabiting,,,27.3
2016,,,,,,,"Widowed/
Divorced/
Separated",,,19.2
2016,,,,,,,,Yes,,17.2
2016,,,,,,,,No,,18.9
