Year,Flow of Overseas Development Assistance,Aid Descrition (CRS Code),Value
2015,,Trade education/training (33181),3067.470239
2015,Bilateral,,53730.41791
2015,Bilateral,Trade policy and administrative Management (33110),21329.44583
2015,Bilateral,Trade facilitation (33120),22113.35671
2015,Bilateral,Regional trade agreements (RTAs) (33130),3183.26988
2015,Bilateral,Multilateral trade negotiations (33140),4076.67504
2015,Bilateral,Trade-related adjustment (33150),0
2015,Bilateral,Trade education/training (33181),3027.67045
2015,Multilateral,,28262.83479
2015,Multilateral,Trade policy and administrative Management (33110),7989.589458
2015,Multilateral,Trade facilitation (33120),15576.03194
2015,Multilateral,Regional trade agreements (RTAs) (33130),3310.212422
2015,Multilateral,Multilateral trade negotiations (33140),348.159742
2015,Multilateral,Trade-related adjustment (33150),999.0414359
2015,Multilateral,Trade education/training (33181),39.79978937
