Year,Age range,Number of previous births,Country,Region,Health board,Value
2014,,,England,South West,,96.61
2014,,,Wales,,,96.64
2014,,,Wales,,Betsi Cadwaladr University,97.53
2014,,,Wales,,Powys Teaching,91.84
2014,,,Wales,,Hywel Dda,95.05
2014,,,Wales,,Abertawe Bro Morgannwg University,95.79
2014,,,Wales,,Cwm Taf,97.87
2014,,,Wales,,Aneurin Bevan,97.1
2014,,,Wales,,Cardiff and Vale University,97
2014,,,Outside England and Wales,,,99.52
2015,,,England,,,97.57
2015,,,England,North East,,98.67
2015,,,England,North West,,97.69
2015,,,England,Yorkshire and The Humber,,97.61
2015,,,England,East Midlands,,97.33
2015,,,England,West Midlands,,98.32
2015,,,England,East,,97.2
2015,,,England,London,,98.05
2015,,,England,South East,,96.67
2015,,,England,South West,,96.6
2015,,,Wales,,,96.91
2015,,,Wales,,Betsi Cadwaladr University,97.6
2015,,,Wales,,Powys Teaching,89.78
2015,,,Wales,,Hywel Dda,95.48
2015,,,Wales,,Abertawe Bro Morgannwg University,96.05
2015,,,Wales,,Cwm Taf,98.11
2015,,,Wales,,Aneurin Bevan,97.99
2015,,,Wales,,Cardiff and Vale University,97.21
2015,,,Outside England and Wales,,,98.49
2016,,,England,,,97.69
2016,,,England,North East,,98.74
2016,,,England,North West,,97.87
2016,,,England,Yorkshire and The Humber,,97.87
2016,,,England,East Midlands,,97.38
2016,,,England,West Midlands,,98.33
2016,,,England,East,,97.41
2016,,,England,London,,98.06
2016,,,England,South East,,97.09
2016,,,England,South West,,96.82
2016,,,Wales,,,97.02
2016,,,Wales,,Betsi Cadwaladr University,97.71
2016,,,Wales,,Powys Teaching,91.87
2016,,,Wales,,Hywel Dda,95.24
2016,,,Wales,,Abertawe Bro Morgannwg University,96.5
2016,,,Wales,,Cwm Taf,98.33
2016,,,Wales,,Aneurin Bevan,97.84
2016,,,Wales,,Cardiff and Vale University,97.13
2016,,,Outside England and Wales,,,99.1
