Year,Own a smartphone,Sex,Age,Geography,Environment,Socio-economic classification,Value
2017,,,16 to 24,,,,100
2017,Yes,,16 to 24,,,,96
2008,,,25 to 34,,,,94
2009,,,25 to 34,,,,98
2010,,,25 to 34,,,,98
2011,,,25 to 34,,,,99
2011,Yes,,25 to 34,,,,43
2012,,,25 to 34,,,,98
2012,Yes,,25 to 34,,,,60
2013,,,25 to 34,,,,99
2013,Yes,,25 to 34,,,,73
2014,,,25 to 34,,,,99
2014,Yes,,25 to 34,,,,84
2015,,,25 to 34,,,,98
2015,Yes,,25 to 34,,,,87
2016,,,25 to 34,,,,97
2016,Yes,,25 to 34,,,,91
2017,,,25 to 34,,,,100
2017,Yes,,25 to 34,,,,96
2008,,,35 to 54,,,,91
2009,,,35 to 54,,,,96
2010,,,35 to 54,,,,96
2011,,,35 to 54,,,,98
2011,Yes,,35 to 54,,,,29
2012,,,35 to 54,,,,97
2012,Yes,,35 to 54,,,,43
2013,,,35 to 54,,,,98
2013,Yes,,35 to 54,,,,60
2014,,,35 to 54,,,,98
2014,Yes,,35 to 54,,,,72
2015,,,35 to 54,,,,98
2015,Yes,,35 to 54,,,,80
2016,,,35 to 54,,,,98
2016,Yes,,35 to 54,,,,83
2017,,,35 to 54,,,,98
2017,Yes,,35 to 54,,,,88
2008,,,55 to 64,,,,79
2009,,,55 to 64,,,,84
2010,,,55 to 64,,,,88
2011,,,55 to 64,,,,91
2011,Yes,,55 to 64,,,,16
2012,,,55 to 64,,,,91
2012,Yes,,55 to 64,,,,19
2013,,,55 to 64,,,,93
2013,Yes,,55 to 64,,,,32
2014,,,55 to 64,,,,92
2014,Yes,,55 to 64,,,,39
2015,,,55 to 64,,,,92
2015,Yes,,55 to 64,,,,50
2016,,,55 to 64,,,,95
2016,Yes,,55 to 64,,,,60
2017,,,55 to 64,,,,93
2017,Yes,,55 to 64,,,,65
2008,,,65 and over,,,,56
2009,,,65 and over,,,,64
2010,,,65 and over,,,,63
2011,,,65 and over,,,,64
2011,Yes,,65 and over,,,,3
2012,,,65 and over,,,,71
2012,Yes,,65 and over,,,,5
2013,,,65 and over,,,,69
2013,Yes,,65 and over,,,,8
2014,,,65 and over,,,,72
2014,Yes,,65 and over,,,,14
2015,,,65 and over,,,,75
2015,Yes,,65 and over,,,,20
2016,,,65 and over,,,,77
2016,Yes,,65 and over,,,,28
2017,,,65 and over,,,,79
2017,Yes,,65 and over,,,,33
2008,,,,England,,,85
2009,,,,England,,,89
2010,,,,England,,,90
2011,,,,England,,,92
2011,Yes,,,England,,,29
2012,,,,England,,,93
2012,Yes,,,England,,,40
2013,,,,England,,,92
2013,Yes,,,England,,,52
2014,,,,England,,,94
2014,Yes,,,England,,,61
2015,,,,England,,,93
2015,Yes,,,England,,,67
2016,,,,England,,,94
2016,Yes,,,England,,,71
2017,,,,England,,,95
2017,Yes,,,England,,,77
2008,,,,Scotland,,,82
2009,,,,Scotland,,,85
2010,,,,Scotland,,,85
2011,,,,Scotland,,,86
2011,Yes,,,Scotland,,,18
2012,,,,Scotland,,,85
2012,Yes,,,Scotland,,,32
2013,,,,Scotland,,,92
2013,Yes,,,Scotland,,,45
2014,,,,Scotland,,,90
2014,Yes,,,Scotland,,,62
2015,,,,Scotland,,,91
2015,Yes,,,Scotland,,,63
2016,,,,Scotland,,,91
2016,Yes,,,Scotland,,,70
2017,,,,Scotland,,,90
2017,Yes,,,Scotland,,,70
2008,,,,Wales,,,81
2009,,,,Wales,,,86
2010,,,,Wales,,,89
2011,,,,Wales,,,87
2011,Yes,,,Wales,,,25
2012,,,,Wales,,,92
2012,Yes,,,Wales,,,39
2013,,,,Wales,,,92
2013,Yes,,,Wales,,,49
2014,,,,Wales,,,92
2014,Yes,,,Wales,,,57
2015,,,,Wales,,,90
2015,Yes,,,Wales,,,63
2016,,,,Wales,,,91
2016,Yes,,,Wales,,,65
2017,,,,Wales,,,94
2017,Yes,,,Wales,,,74
2008,,,,Northern Ireland,,,85
2009,,,,Northern Ireland,,,93
2010,,,,Northern Ireland,,,88
2011,,,,Northern Ireland,,,92
2011,Yes,,,Northern Ireland,,,21
2012,,,,Northern Ireland,,,93
2012,Yes,,,Northern Ireland,,,34
2013,,,,Northern Ireland,,,94
2013,Yes,,,Northern Ireland,,,45
2014,,,,Northern Ireland,,,94
2014,Yes,,,Northern Ireland,,,55
2015,,,,Northern Ireland,,,91
2015,Yes,,,Northern Ireland,,,63
2016,,,,Northern Ireland,,,92
2016,Yes,,,Northern Ireland,,,72
2017,,,,Northern Ireland,,,94
2017,Yes,,,Northern Ireland,,,76
2008,,,,,,"Higher and intermediate managerial, administrative, professional occupations",89
2009,,,,,,"Higher and intermediate managerial, administrative, professional occupations",91
2010,,,,,,"Higher and intermediate managerial, administrative, professional occupations",94
2011,,,,,,"Higher and intermediate managerial, administrative, professional occupations",94
2011,Yes,,,,,"Higher and intermediate managerial, administrative, professional occupations",36
2012,,,,,,"Higher and intermediate managerial, administrative, professional occupations",95
2012,Yes,,,,,"Higher and intermediate managerial, administrative, professional occupations",50
2013,,,,,,"Higher and intermediate managerial, administrative, professional occupations",94
2013,Yes,,,,,"Higher and intermediate managerial, administrative, professional occupations",60
2014,,,,,,"Higher and intermediate managerial, administrative, professional occupations",96
2014,Yes,,,,,"Higher and intermediate managerial, administrative, professional occupations",70
2015,,,,,,"Higher and intermediate managerial, administrative, professional occupations",96
2015,Yes,,,,,"Higher and intermediate managerial, administrative, professional occupations",72
2016,,,,,,"Higher and intermediate managerial, administrative, professional occupations",94
2016,Yes,,,,,"Higher and intermediate managerial, administrative, professional occupations",76
2017,,,,,,"Higher and intermediate managerial, administrative, professional occupations",97
2017,Yes,,,,,"Higher and intermediate managerial, administrative, professional occupations",86
2008,,,,,,"Supervisory, clerical and junior managerial, administrative, professional occupations",86
2009,,,,,,"Supervisory, clerical and junior managerial, administrative, professional occupations",93
2010,,,,,,"Supervisory, clerical and junior managerial, administrative, professional occupations",92
2011,,,,,,"Supervisory, clerical and junior managerial, administrative, professional occupations",94
2011,Yes,,,,,"Supervisory, clerical and junior managerial, administrative, professional occupations",31
2012,,,,,,"Supervisory, clerical and junior managerial, administrative, professional occupations",94
2012,Yes,,,,,"Supervisory, clerical and junior managerial, administrative, professional occupations",44
2013,,,,,,"Supervisory, clerical and junior managerial, administrative, professional occupations",94
2013,Yes,,,,,"Supervisory, clerical and junior managerial, administrative, professional occupations",58
2014,,,,,,"Supervisory, clerical and junior managerial, administrative, professional occupations",96
2014,Yes,,,,,"Supervisory, clerical and junior managerial, administrative, professional occupations",68
2015,,,,,,"Supervisory, clerical and junior managerial, administrative, professional occupations",95
2015,Yes,,,,,"Supervisory, clerical and junior managerial, administrative, professional occupations",71
2016,,,,,,"Supervisory, clerical and junior managerial, administrative, professional occupations",95
2016,Yes,,,,,"Supervisory, clerical and junior managerial, administrative, professional occupations",74
2017,,,,,,"Supervisory, clerical and junior managerial, administrative, professional occupations",97
2017,Yes,,,,,"Supervisory, clerical and junior managerial, administrative, professional occupations",82
2008,,,,,,Skilled manual occupations,87
2009,,,,,,Skilled manual occupations,90
2010,,,,,,Skilled manual occupations,88
2011,,,,,,Skilled manual occupations,93
2011,Yes,,,,,Skilled manual occupations,25
2012,,,,,,Skilled manual occupations,93
2012,Yes,,,,,Skilled manual occupations,34
2013,,,,,,Skilled manual occupations,92
2013,Yes,,,,,Skilled manual occupations,46
2014,,,,,,Skilled manual occupations,93
2014,Yes,,,,,Skilled manual occupations,58
2015,,,,,,Skilled manual occupations,91
2015,Yes,,,,,Skilled manual occupations,63
2016,,,,,,Skilled manual occupations,95
2016,Yes,,,,,Skilled manual occupations,71
2017,,,,,,Skilled manual occupations,92
2017,Yes,,,,,Skilled manual occupations,72
2008,,,,,,"Semi-skilled and unskilled manual occupations, unemployed and lowest grade occupations",76
2009,,,,,,"Semi-skilled and unskilled manual occupations, unemployed and lowest grade occupations",81
2010,,,,,,"Semi-skilled and unskilled manual occupations, unemployed and lowest grade occupations",83
2011,,,,,,"Semi-skilled and unskilled manual occupations, unemployed and lowest grade occupations",84
2011,Yes,,,,,"Semi-skilled and unskilled manual occupations, unemployed and lowest grade occupations",17
2012,,,,,,"Semi-skilled and unskilled manual occupations, unemployed and lowest grade occupations",85
2012,Yes,,,,,"Semi-skilled and unskilled manual occupations, unemployed and lowest grade occupations",28
2013,,,,,,"Semi-skilled and unskilled manual occupations, unemployed and lowest grade occupations",88
2013,Yes,,,,,"Semi-skilled and unskilled manual occupations, unemployed and lowest grade occupations",38
2014,,,,,,"Semi-skilled and unskilled manual occupations, unemployed and lowest grade occupations",88
2014,Yes,,,,,"Semi-skilled and unskilled manual occupations, unemployed and lowest grade occupations",47
2015,,,,,,"Semi-skilled and unskilled manual occupations, unemployed and lowest grade occupations",87
2015,Yes,,,,,"Semi-skilled and unskilled manual occupations, unemployed and lowest grade occupations",56
2016,,,,,,"Semi-skilled and unskilled manual occupations, unemployed and lowest grade occupations",89
2016,Yes,,,,,"Semi-skilled and unskilled manual occupations, unemployed and lowest grade occupations",62
2017,,,,,,"Semi-skilled and unskilled manual occupations, unemployed and lowest grade occupations",90
2017,Yes,,,,,"Semi-skilled and unskilled manual occupations, unemployed and lowest grade occupations",65
2008,,,,,Urban,,84
2009,,,,,Urban,,89
2010,,,,,Urban,,89
2011,,,,,Urban,,91
2011,Yes,,,,Urban,,28
2012,,,,,Urban,,92
2012,Yes,,,,Urban,,40
2013,,,,,Urban,,92
2013,Yes,,,,Urban,,51
2014,,,,,Urban,,93
2014,Yes,,,,Urban,,62
2015,,,,,Urban,,92
2015,Yes,,,,Urban,,67
2016,,,,,Urban,,93
2016,Yes,,,,Urban,,71
2017,,,,,Urban,,94
2017,Yes,,,,Urban,,76
2008,,,,,Rural,,84
2009,,,,,Rural,,89
2010,,,,,Rural,,90
2011,,,,,Rural,,92
2011,Yes,,,,Rural,,27
2012,,,,,Rural,,92
2012,Yes,,,,Rural,,37
2013,,,,,Rural,,93
2013,Yes,,,,Rural,,51
2014,,,,,Rural,,93
2014,Yes,,,,Rural,,56
2015,,,,,Rural,,93
2015,Yes,,,,Rural,,59
2016,,,,,Rural,,94
2016,Yes,,,,Rural,,68
2017,,,,,Rural,,94
2017,Yes,,,,Rural,,75
