Year,Units,Country,Region,Age group,Sex,GeoCode,Value
2012,Percentage of total public sector employees,,,16 to 17,,,0.217202704295473
2013,Percentage of total public sector employees,,,16 to 17,,,0.176283973868484
2014,Percentage of total public sector employees,,,16 to 17,,,0.216584827715317
2015,Percentage of total public sector employees,,,16 to 17,,,0.226978989331799
2016,Percentage of total public sector employees,,,16 to 17,,,0.301637303286834
2000,Percentage of total public sector employees,,,18 to 24,Male,,2.52801809459258
2001,Percentage of total public sector employees,,,18 to 24,Male,,2.41489958969764
2002,Percentage of total public sector employees,,,18 to 24,Male,,2.47269750355243
2003,Percentage of total public sector employees,,,18 to 24,Male,,2.58164566119612
2004,Percentage of total public sector employees,,,18 to 24,Male,,2.47003190994191
2005,Percentage of total public sector employees,,,18 to 24,Male,,2.43332039000649
2006,Percentage of total public sector employees,,,18 to 24,Male,,2.46017026601221
2007,Percentage of total public sector employees,,,18 to 24,Male,,2.4136074144236
2008,Percentage of total public sector employees,,,18 to 24,Male,,2.43014484199332
2009,Percentage of total public sector employees,,,18 to 24,Male,,2.46938548983044
2010,Percentage of total public sector employees,,,18 to 24,Male,,2.34911179403425
2011,Percentage of total public sector employees,,,18 to 24,Male,,2.10676862999639
2012,Percentage of total public sector employees,,,18 to 24,Male,,1.8492193096363
2013,Percentage of total public sector employees,,,18 to 24,Male,,1.81568869607045
2014,Percentage of total public sector employees,,,18 to 24,Male,,2.17901150950423
2015,Percentage of total public sector employees,,,18 to 24,Male,,2.36883290414454
2016,Percentage of total public sector employees,,,18 to 24,Male,,2.29001599662047
2000,Percentage of total public sector employees,,,18 to 24,Female,,3.70645139637263
2001,Percentage of total public sector employees,,,18 to 24,Female,,4.05599093460766
2002,Percentage of total public sector employees,,,18 to 24,Female,,4.29276054861955
2003,Percentage of total public sector employees,,,18 to 24,Female,,4.18755149902477
2004,Percentage of total public sector employees,,,18 to 24,Female,,4.14332364660415
2005,Percentage of total public sector employees,,,18 to 24,Female,,3.97418121287563
2006,Percentage of total public sector employees,,,18 to 24,Female,,3.76444523181612
2007,Percentage of total public sector employees,,,18 to 24,Female,,3.89350713532495
2008,Percentage of total public sector employees,,,18 to 24,Female,,3.93221452975154
2009,Percentage of total public sector employees,,,18 to 24,Female,,3.79833045607092
2010,Percentage of total public sector employees,,,18 to 24,Female,,3.74302068025099
2011,Percentage of total public sector employees,,,18 to 24,Female,,3.32893027346892
2012,Percentage of total public sector employees,,,18 to 24,Female,,3.37049484836635
2013,Percentage of total public sector employees,,,18 to 24,Female,,3.3582532915526
2014,Percentage of total public sector employees,,,18 to 24,Female,,3.78491502239717
2015,Percentage of total public sector employees,,,18 to 24,Female,,4.03275259384159
2016,Percentage of total public sector employees,,,18 to 24,Female,,3.82551470027012
2000,Percentage of total public sector employees,,,18 to 24,,,6.23446949096521
2001,Percentage of total public sector employees,,,18 to 24,,,6.47089052430531
2002,Percentage of total public sector employees,,,18 to 24,,,6.76545805217198
2003,Percentage of total public sector employees,,,18 to 24,,,6.7691971602209
2004,Percentage of total public sector employees,,,18 to 24,,,6.61335555654606
2005,Percentage of total public sector employees,,,18 to 24,,,6.40750160288212
2006,Percentage of total public sector employees,,,18 to 24,,,6.22461549782834
2007,Percentage of total public sector employees,,,18 to 24,,,6.30711454974856
2008,Percentage of total public sector employees,,,18 to 24,,,6.36235937174486
2009,Percentage of total public sector employees,,,18 to 24,,,6.26771594590136
2010,Percentage of total public sector employees,,,18 to 24,,,6.09213247428525
2011,Percentage of total public sector employees,,,18 to 24,,,5.43569890346532
2012,Percentage of total public sector employees,,,18 to 24,,,5.21971415800266
2013,Percentage of total public sector employees,,,18 to 24,,,5.17394198762306
2014,Percentage of total public sector employees,,,18 to 24,,,5.96392653190141
2015,Percentage of total public sector employees,,,18 to 24,,,6.40158549798613
2016,Percentage of total public sector employees,,,18 to 24,,,6.1155306968906
2000,Percentage of total public sector employees,,,25 to 34,Male,,8.56485700013504
2001,Percentage of total public sector employees,,,25 to 34,Male,,7.9006008726786
2002,Percentage of total public sector employees,,,25 to 34,Male,,7.75110907305266
2003,Percentage of total public sector employees,,,25 to 34,Male,,7.78605077904928
2004,Percentage of total public sector employees,,,25 to 34,Male,,7.64162000498341
2005,Percentage of total public sector employees,,,25 to 34,Male,,7.90987965283248
2006,Percentage of total public sector employees,,,25 to 34,Male,,7.34040617190433
2007,Percentage of total public sector employees,,,25 to 34,Male,,7.13857825219914
2008,Percentage of total public sector employees,,,25 to 34,Male,,7.44183320209504
2009,Percentage of total public sector employees,,,25 to 34,Male,,7.56083935640799
2010,Percentage of total public sector employees,,,25 to 34,Male,,7.79641284933642
2011,Percentage of total public sector employees,,,25 to 34,Male,,7.95620954697528
2012,Percentage of total public sector employees,,,25 to 34,Male,,7.85414723107755
2013,Percentage of total public sector employees,,,25 to 34,Male,,7.33275965193951
2014,Percentage of total public sector employees,,,25 to 34,Male,,7.64642236164855
2015,Percentage of total public sector employees,,,25 to 34,Male,,7.51888870531522
2016,Percentage of total public sector employees,,,25 to 34,Male,,7.76886394710829
2000,Percentage of total public sector employees,,,25 to 34,Female,,14.0718349968566
2001,Percentage of total public sector employees,,,25 to 34,Female,,13.6161837119356
2002,Percentage of total public sector employees,,,25 to 34,Female,,13.2080377110425
2003,Percentage of total public sector employees,,,25 to 34,Female,,13.3192713446337
2004,Percentage of total public sector employees,,,25 to 34,Female,,13.5660510953652
2005,Percentage of total public sector employees,,,25 to 34,Female,,13.2659793531028
2006,Percentage of total public sector employees,,,25 to 34,Female,,13.0418164972258
2007,Percentage of total public sector employees,,,25 to 34,Female,,12.8127987309908
2008,Percentage of total public sector employees,,,25 to 34,Female,,12.8361022924336
2009,Percentage of total public sector employees,,,25 to 34,Female,,13.2292126077287
2010,Percentage of total public sector employees,,,25 to 34,Female,,13.0662867395034
2011,Percentage of total public sector employees,,,25 to 34,Female,,13.2420761251312
2012,Percentage of total public sector employees,,,25 to 34,Female,,13.2530769328913
2013,Percentage of total public sector employees,,,25 to 34,Female,,13.3407221181658
2014,Percentage of total public sector employees,,,25 to 34,Female,,13.1589312784293
2015,Percentage of total public sector employees,,,25 to 34,Female,,13.6220942990978
2016,Percentage of total public sector employees,,,25 to 34,Female,,13.441169599477
2000,Percentage of total public sector employees,,,25 to 34,,,22.6366919969916
2001,Percentage of total public sector employees,,,25 to 34,,,21.5167845846142
2002,Percentage of total public sector employees,,,25 to 34,,,20.9591467840952
2003,Percentage of total public sector employees,,,25 to 34,,,21.105322123683
2004,Percentage of total public sector employees,,,25 to 34,,,21.2076711003486
2005,Percentage of total public sector employees,,,25 to 34,,,21.1758590059353
2006,Percentage of total public sector employees,,,25 to 34,,,20.3822226691301
2007,Percentage of total public sector employees,,,25 to 34,,,19.9513769831899
2008,Percentage of total public sector employees,,,25 to 34,,,20.2779354945287
2009,Percentage of total public sector employees,,,25 to 34,,,20.7900519641367
2010,Percentage of total public sector employees,,,25 to 34,,,20.8626995888398
2011,Percentage of total public sector employees,,,25 to 34,,,21.1982856721065
2012,Percentage of total public sector employees,,,25 to 34,,,21.1072241639689
2013,Percentage of total public sector employees,,,25 to 34,,,20.6734817701053
2014,Percentage of total public sector employees,,,25 to 34,,,20.8053536400779
2015,Percentage of total public sector employees,,,25 to 34,,,21.1409830044131
2016,Percentage of total public sector employees,,,25 to 34,,,21.2100335465853
2000,Percentage of total public sector employees,,,35 to 49,Male,,15.9385095079998
2001,Percentage of total public sector employees,,,35 to 49,Male,,15.6198128283298
2002,Percentage of total public sector employees,,,35 to 49,Male,,15.2449257591375
2003,Percentage of total public sector employees,,,35 to 49,Male,,14.893520812848
2004,Percentage of total public sector employees,,,35 to 49,Male,,15.0889781000029
2005,Percentage of total public sector employees,,,35 to 49,Male,,14.9895680221937
2006,Percentage of total public sector employees,,,35 to 49,Male,,15.0190494313023
2007,Percentage of total public sector employees,,,35 to 49,Male,,14.470058866785
2008,Percentage of total public sector employees,,,35 to 49,Male,,14.1780832570691
2009,Percentage of total public sector employees,,,35 to 49,Male,,14.0951748904622
2010,Percentage of total public sector employees,,,35 to 49,Male,,14.0818771025079
2011,Percentage of total public sector employees,,,35 to 49,Male,,13.9631696496765
2012,Percentage of total public sector employees,,,35 to 49,Male,,13.875896488855
2013,Percentage of total public sector employees,,,35 to 49,Male,,13.3084516428631
2014,Percentage of total public sector employees,,,35 to 49,Male,,13.0703313490738
2015,Percentage of total public sector employees,,,35 to 49,Male,,12.9185801810582
2016,Percentage of total public sector employees,,,35 to 49,Male,,12.7680089915663
2000,Percentage of total public sector employees,,,35 to 49,Female,,28.2365999360005
2001,Percentage of total public sector employees,,,35 to 49,Female,,28.2723066730861
2002,Percentage of total public sector employees,,,35 to 49,Female,,28.6568434075847
2003,Percentage of total public sector employees,,,35 to 49,Female,,28.449189837265
2004,Percentage of total public sector employees,,,35 to 49,Female,,28.5331254717622
2005,Percentage of total public sector employees,,,35 to 49,Female,,28.6885832698337
2006,Percentage of total public sector employees,,,35 to 49,Female,,28.5104259077233
2007,Percentage of total public sector employees,,,35 to 49,Female,,28.9592322127289
2008,Percentage of total public sector employees,,,35 to 49,Female,,28.2840645169686
2009,Percentage of total public sector employees,,,35 to 49,Female,,27.9942516226363
2010,Percentage of total public sector employees,,,35 to 49,Female,,27.8655384097622
2011,Percentage of total public sector employees,,,35 to 49,Female,,27.1839585441894
2012,Percentage of total public sector employees,,,35 to 49,Female,,27.4155397413468
2013,Percentage of total public sector employees,,,35 to 49,Female,,26.9277151398504
2014,Percentage of total public sector employees,,,35 to 49,Female,,26.7669833775279
2015,Percentage of total public sector employees,,,35 to 49,Female,,25.6257124274828
2016,Percentage of total public sector employees,,,35 to 49,Female,,25.3643129016959
2000,Percentage of total public sector employees,,,35 to 49,,,44.1751094440004
2001,Percentage of total public sector employees,,,35 to 49,,,43.892119501416
2002,Percentage of total public sector employees,,,35 to 49,,,43.9017691667223
2003,Percentage of total public sector employees,,,35 to 49,,,43.3427106501131
2004,Percentage of total public sector employees,,,35 to 49,,,43.6221035717652
2005,Percentage of total public sector employees,,,35 to 49,,,43.6781512920275
2006,Percentage of total public sector employees,,,35 to 49,,,43.5294753390256
2007,Percentage of total public sector employees,,,35 to 49,,,43.4292910795139
2008,Percentage of total public sector employees,,,35 to 49,,,42.4621477740377
2009,Percentage of total public sector employees,,,35 to 49,,,42.0894265130985
2010,Percentage of total public sector employees,,,35 to 49,,,41.9474155122702
2011,Percentage of total public sector employees,,,35 to 49,,,41.1471281938659
2012,Percentage of total public sector employees,,,35 to 49,,,41.2914362302018
2013,Percentage of total public sector employees,,,35 to 49,,,40.2361667827136
2014,Percentage of total public sector employees,,,35 to 49,,,39.8373147266018
2015,Percentage of total public sector employees,,,35 to 49,,,38.5442926085411
2016,Percentage of total public sector employees,,,35 to 49,,,38.1323218932622
2000,Percentage of total public sector employees,,,50 to 64,Male,,9.69285127430492
2001,Percentage of total public sector employees,,,50 to 64,Male,,9.90496985404431
2002,Percentage of total public sector employees,,,50 to 64,Male,,9.77184971224658
2003,Percentage of total public sector employees,,,50 to 64,Male,,10.2503841153819
2004,Percentage of total public sector employees,,,50 to 64,Male,,9.84982525160042
2005,Percentage of total public sector employees,,,50 to 64,Male,,9.98248355524552
2006,Percentage of total public sector employees,,,50 to 64,Male,,10.1631679581955
2007,Percentage of total public sector employees,,,50 to 64,Male,,10.2697480206614
2008,Percentage of total public sector employees,,,50 to 64,Male,,10.4016582753988
2009,Percentage of total public sector employees,,,50 to 64,Male,,10.465337526725
2010,Percentage of total public sector employees,,,50 to 64,Male,,10.1307896378337
2011,Percentage of total public sector employees,,,50 to 64,Male,,10.1947328607067
2012,Percentage of total public sector employees,,,50 to 64,Male,,10.0936005802963
2013,Percentage of total public sector employees,,,50 to 64,Male,,10.4695503041999
2014,Percentage of total public sector employees,,,50 to 64,Male,,10.1493577263497
2015,Percentage of total public sector employees,,,50 to 64,Male,,10.3136940447298
2016,Percentage of total public sector employees,,,50 to 64,Male,,10.1782076725065
2000,Percentage of total public sector employees,,,50 to 64,Female,,15.9881473466934
2001,Percentage of total public sector employees,,,50 to 64,Female,,16.8059895375222
2002,Percentage of total public sector employees,,,50 to 64,Female,,17.028801549779
2003,Percentage of total public sector employees,,,50 to 64,Female,,16.9546777449533
2004,Percentage of total public sector employees,,,50 to 64,Female,,17.2225928526698
2005,Percentage of total public sector employees,,,50 to 64,Female,,17.3461949053118
2006,Percentage of total public sector employees,,,50 to 64,Female,,18.1147944628153
2007,Percentage of total public sector employees,,,50 to 64,Female,,18.4763159623046
2008,Percentage of total public sector employees,,,50 to 64,Female,,18.6179919170571
2009,Percentage of total public sector employees,,,50 to 64,Female,,18.3526309592517
2010,Percentage of total public sector employees,,,50 to 64,Female,,18.9382550446985
2011,Percentage of total public sector employees,,,50 to 64,Female,,19.7675779956474
2012,Percentage of total public sector employees,,,50 to 64,Female,,20.0259707842953
2013,Percentage of total public sector employees,,,50 to 64,Female,,20.8591329714352
2014,Percentage of total public sector employees,,,50 to 64,Female,,20.4521203764417
2015,Percentage of total public sector employees,,,50 to 64,Female,,20.8417607501759
2016,Percentage of total public sector employees,,,50 to 64,Female,,21.6017727986996
2000,Percentage of total public sector employees,,,50 to 64,,,25.6809986209984
2001,Percentage of total public sector employees,,,50 to 64,,,26.7109593915665
2002,Percentage of total public sector employees,,,50 to 64,,,26.8006512620256
2003,Percentage of total public sector employees,,,50 to 64,,,27.2050618603352
2004,Percentage of total public sector employees,,,50 to 64,,,27.0724181042703
2005,Percentage of total public sector employees,,,50 to 64,,,27.3286784605573
2006,Percentage of total public sector employees,,,50 to 64,,,28.2779624210108
2007,Percentage of total public sector employees,,,50 to 64,,,28.746063982966
2008,Percentage of total public sector employees,,,50 to 64,,,29.0196501924559
2009,Percentage of total public sector employees,,,50 to 64,,,28.8179684859768
2010,Percentage of total public sector employees,,,50 to 64,,,29.0690446825323
2011,Percentage of total public sector employees,,,50 to 64,,,29.9623108563541
2012,Percentage of total public sector employees,,,50 to 64,,,30.1195713645916
2013,Percentage of total public sector employees,,,50 to 64,,,31.3286832756351
2014,Percentage of total public sector employees,,,50 to 64,,,30.6014781027914
2015,Percentage of total public sector employees,,,50 to 64,,,31.1554547949058
2016,Percentage of total public sector employees,,,50 to 64,,,31.7799804712062
2000,Percentage of total public sector employees,,,65 and over,Male,,0.354488228422228
2001,Percentage of total public sector employees,,,65 and over,Male,,0.402553447176513
2002,Percentage of total public sector employees,,,65 and over,Male,,0.473900281976793
2003,Percentage of total public sector employees,,,65 and over,Male,,0.468220410491766
2004,Percentage of total public sector employees,,,65 and over,Male,,0.456629295913379
2005,Percentage of total public sector employees,,,65 and over,Male,,0.42385815946465
2006,Percentage of total public sector employees,,,65 and over,Male,,0.495057778088752
2007,Percentage of total public sector employees,,,65 and over,Male,,0.542709167693739
2008,Percentage of total public sector employees,,,65 and over,Male,,0.689567926560074
2009,Percentage of total public sector employees,,,65 and over,Male,,0.667197550082223
2010,Percentage of total public sector employees,,,65 and over,Male,,0.809324295040086
2011,Percentage of total public sector employees,,,65 and over,Male,,0.830461851435637
2012,Percentage of total public sector employees,,,65 and over,Male,,0.824765951562286
2013,Percentage of total public sector employees,,,65 and over,Male,,0.952866952794626
2014,Percentage of total public sector employees,,,65 and over,Male,,1.01248910873433
2015,Percentage of total public sector employees,,,65 and over,Male,,1.05167220942629
2016,Percentage of total public sector employees,,,65 and over,Male,,1.01423676752435
2000,Percentage of total public sector employees,,,65 and over,Female,,0.39736578650683
2001,Percentage of total public sector employees,,,65 and over,Female,,0.487535597146986
2002,Percentage of total public sector employees,,,65 and over,Female,,0.604393832085246
2003,Percentage of total public sector employees,,,65 and over,Female,,0.625374657006955
2004,Percentage of total public sector employees,,,65 and over,Female,,0.562384411405155
2005,Percentage of total public sector employees,,,65 and over,Female,,0.615717207780772
2006,Percentage of total public sector employees,,,65 and over,Female,,0.659074096552197
2007,Percentage of total public sector employees,,,65 and over,Female,,0.659214590391489
2008,Percentage of total public sector employees,,,65 and over,Female,,0.802721931509662
2009,Percentage of total public sector employees,,,65 and over,Female,,1.06518807469408
2010,Percentage of total public sector employees,,,65 and over,Female,,0.989896711589911
2011,Percentage of total public sector employees,,,65 and over,Female,,1.15735182356278
2012,Percentage of total public sector employees,,,65 and over,Female,,1.22008542737706
2013,Percentage of total public sector employees,,,65 and over,Female,,1.45857525725972
2014,Percentage of total public sector employees,,,65 and over,Female,,1.56285306217772
2015,Percentage of total public sector employees,,,65 and over,Female,,1.47903289539567
2016,Percentage of total public sector employees,,,65 and over,Female,,1.4462593212443
2000,Percentage of total public sector employees,,,65 and over,,,0.751854014929059
2001,Percentage of total public sector employees,,,65 and over,,,0.8900890443235
2002,Percentage of total public sector employees,,,65 and over,,,1.07829411406204
2003,Percentage of total public sector employees,,,65 and over,,,1.09359506749872
2004,Percentage of total public sector employees,,,65 and over,,,1.01901370731853
2005,Percentage of total public sector employees,,,65 and over,,,1.03957536724542
2006,Percentage of total public sector employees,,,65 and over,,,1.15413187464095
2007,Percentage of total public sector employees,,,65 and over,,,1.20192375808522
2008,Percentage of total public sector employees,,,65 and over,,,1.49228985806973
2009,Percentage of total public sector employees,,,65 and over,,,1.7323856247763
2010,Percentage of total public sector employees,,,65 and over,,,1.79922100662999
2011,Percentage of total public sector employees,,,65 and over,,,1.98781367499841
2012,Percentage of total public sector employees,,,65 and over,,,2.04485137893934
2013,Percentage of total public sector employees,,,65 and over,,,2.41144221005435
2014,Percentage of total public sector employees,,,65 and over,,,2.57534217091205
2015,Percentage of total public sector employees,,,65 and over,,,2.53070510482196
2016,Percentage of total public sector employees,,,65 and over,,,2.46049608876866
2000,Percentage of total public sector employees,,,,Male,,37.3404896643441
2001,Percentage of total public sector employees,,,,Male,,36.4793769329464
2002,Percentage of total public sector employees,,,,Male,,35.9305590857147
2003,Percentage of total public sector employees,,,,Male,,36.1736743306745
2004,Percentage of total public sector employees,,,,Male,,35.7183609674258
2005,Percentage of total public sector employees,,,,Male,,35.895188547332
2006,Percentage of total public sector employees,,,,Male,,35.6823592973561
2007,Percentage of total public sector employees,,,,Male,,35.0169331185844
2008,Percentage of total public sector employees,,,,Male,,35.3354522141403
2009,Percentage of total public sector employees,,,,Male,,35.3834392863682
2010,Percentage of total public sector employees,,,,Male,,35.3015095629019
2011,Percentage of total public sector employees,,,,Male,,35.181071037757
2012,Percentage of total public sector employees,,,,Male,,34.6033104924838
2013,Percentage of total public sector employees,,,,Male,,33.9475857164095
2014,Percentage of total public sector employees,,,,Male,,34.1538607435467
2015,Percentage of total public sector employees,,,,Male,,34.2844308768646
2016,Percentage of total public sector employees,,,,Male,,34.1866640127648
2000,Percentage of total public sector employees,,,,Female,,62.6595103356559
2001,Percentage of total public sector employees,,,,Female,,63.5206230670535
2002,Percentage of total public sector employees,,,,Female,,64.0694409142853
2003,Percentage of total public sector employees,,,,Female,,63.8263256693254
2004,Percentage of total public sector employees,,,,Female,,64.2816390325741
2005,Percentage of total public sector employees,,,,Female,,64.1048114526679
2006,Percentage of total public sector employees,,,,Female,,64.3176407026438
2007,Percentage of total public sector employees,,,,Female,,64.9830668814155
2008,Percentage of total public sector employees,,,,Female,,64.6645477858596
2009,Percentage of total public sector employees,,,,Female,,64.6165607136317
2010,Percentage of total public sector employees,,,,Female,,64.698490437098
2011,Percentage of total public sector employees,,,,Female,,64.8189289622429
2012,Percentage of total public sector employees,,,,Female,,65.3966895075161
2013,Percentage of total public sector employees,,,,Female,,66.0524142835904
2014,Percentage of total public sector employees,,,,Female,,65.8461392564532
2015,Percentage of total public sector employees,,,,Female,,65.7155691231353
2016,Percentage of total public sector employees,,,,Female,,65.8133359872351
2000,Percentage of total public sector employees,,,,,,100.0
2001,Percentage of total public sector employees,,,,,,100.0
2002,Percentage of total public sector employees,,,,,,100.0
2003,Percentage of total public sector employees,,,,,,100.0
2004,Percentage of total public sector employees,,,,,,100.0
2005,Percentage of total public sector employees,,,,,,100.0
2006,Percentage of total public sector employees,,,,,,100.0
2007,Percentage of total public sector employees,,,,,,100.0
2008,Percentage of total public sector employees,,,,,,100.0
2009,Percentage of total public sector employees,,,,,,100.0
2010,Percentage of total public sector employees,,,,,,100.0
2011,Percentage of total public sector employees,,,,,,100.0
2012,Percentage of total public sector employees,,,,,,100.0
2013,Percentage of total public sector employees,,,,,,100.0
2014,Percentage of total public sector employees,,,,,,100.0
2015,Percentage of total public sector employees,,,,,,100.0
2016,Percentage of total public sector employees,,,,,,100.0
2008,Percentage of total public sector employees,,,,,,100.0
2009,Percentage of total public sector employees,,,,,,100.0
2010,Percentage of total public sector employees,,,,,,100.0
2011,Percentage of total public sector employees,,,,,,100.0
2012,Percentage of total public sector employees,,,,,,100.0
2013,Percentage of total public sector employees,,,,,,100.0
2014,Percentage of total public sector employees,,,,,,100.0
2015,Percentage of total public sector employees,,,,,,100.0
2016,Percentage of total public sector employees,,,,,,100.0
2017,Percentage of total public sector employees,,,,,,100.0
2008,Percentage of total public sector employees,Great Britain,,,,K03000001,95.6195869420386
2009,Percentage of total public sector employees,Great Britain,,,,K03000001,95.8274949400591
2010,Percentage of total public sector employees,Great Britain,,,,K03000001,95.9794296400187
2011,Percentage of total public sector employees,Great Britain,,,,K03000001,95.9633322611772
2012,Percentage of total public sector employees,Great Britain,,,,K03000001,95.7744079059465
2013,Percentage of total public sector employees,Great Britain,,,,K03000001,95.7746478873239
2014,Percentage of total public sector employees,Great Britain,,,,K03000001,95.6686518678938
2015,Percentage of total public sector employees,Great Britain,,,,K03000001,95.7497263772346
2016,Percentage of total public sector employees,Great Britain,,,,K03000001,95.8836443468715
2017,Percentage of total public sector employees,Great Britain,,,,K03000001,95.8896602119108
2008,Percentage of total public sector employees,England,,,,E92000001,79.5636242504996
2009,Percentage of total public sector employees,England,,,,E92000001,80.0249104779698
2010,Percentage of total public sector employees,England,,,,E92000001,80.3179055633473
2011,Percentage of total public sector employees,England,,,,E92000001,80.4117079446767
2012,Percentage of total public sector employees,England,,,,E92000001,79.621741352871
2013,Percentage of total public sector employees,England,,,,E92000001,79.5431123325317
2014,Percentage of total public sector employees,England,,,,E92000001,79.6246164952174
2015,Percentage of total public sector employees,England,,,,E92000001,79.9525720539949
2016,Percentage of total public sector employees,England,,,,E92000001,80.0768386388583
2017,Percentage of total public sector employees,England,,,,E92000001,80.0876872488125
2008,Percentage of total public sector employees,England,North East,,,E12000001,4.84676882078614
2009,Percentage of total public sector employees,England,North East,,,E12000001,4.701852716799
2010,Percentage of total public sector employees,England,North East,,,E12000001,4.6594982078853
2011,Percentage of total public sector employees,England,North East,,,E12000001,4.53522032807976
2012,Percentage of total public sector employees,England,North East,,,E12000001,4.48117226103254
2013,Percentage of total public sector employees,England,North East,,,E12000001,4.43146684987976
2014,Percentage of total public sector employees,England,North East,,,E12000001,4.40353726764121
2015,Percentage of total public sector employees,England,North East,,,E12000001,4.34148121123677
2016,Percentage of total public sector employees,England,North East,,,E12000001,4.37248444932308
2017,Percentage of total public sector employees,England,North East,,,E12000001,4.32955791012056
2008,Percentage of total public sector employees,England,North West,,,E12000002,11.5756162558294
2009,Percentage of total public sector employees,England,North West,,,E12000002,11.567803207224
2010,Percentage of total public sector employees,England,North West,,,E12000002,11.500701262272
2011,Percentage of total public sector employees,England,North West,,,E12000002,11.3862978449662
2012,Percentage of total public sector employees,England,North West,,,E12000002,11.2966433804736
2013,Percentage of total public sector employees,England,North West,,,E12000002,11.3191343181037
2014,Percentage of total public sector employees,England,North West,,,E12000002,11.2254105757083
2015,Percentage of total public sector employees,England,North West,,,E12000002,11.2732579350601
2016,Percentage of total public sector employees,England,North West,,,E12000002,11.2879619465788
2017,Percentage of total public sector employees,England,North West,,,E12000002,11.2714651077822
2008,Percentage of total public sector employees,England,Yorkshire and The Humber,,,E12000003,8.77748167888074
2009,Percentage of total public sector employees,England,Yorkshire and The Humber,,,E12000003,8.84321967927759
2010,Percentage of total public sector employees,England,Yorkshire and The Humber,,,E12000003,8.91382265856319
2011,Percentage of total public sector employees,England,Yorkshire and The Humber,,,E12000003,8.89353489868125
2012,Percentage of total public sector employees,England,Yorkshire and The Humber,,,E12000003,8.72380303288464
2013,Percentage of total public sector employees,England,Yorkshire and The Humber,,,E12000003,8.70834764685675
2014,Percentage of total public sector employees,England,Yorkshire and The Humber,,,E12000003,8.51831799314203
2015,Percentage of total public sector employees,England,Yorkshire and The Humber,,,E12000003,8.50054724553082
2016,Percentage of total public sector employees,England,Yorkshire and The Humber,,,E12000003,8.48884010245151
2017,Percentage of total public sector employees,England,Yorkshire and The Humber,,,E12000003,8.45816587504567
2008,Percentage of total public sector employees,England,East Midlands,,,E12000004,6.27914723517654
2009,Percentage of total public sector employees,England,East Midlands,,,E12000004,6.21205044371788
