Year,Development Assistance Committee classification,Region,Country,Flow of official development assistance,Value
2014,Least developed country,Sub Saharan Africa,Comoros,,4392.36
2014,Least developed country,Sub Saharan Africa,"Congo, Democratic Republic",,311113.98
2014,Least developed country,Sub Saharan Africa,Djibouti,,4790.08
2014,Least developed country,Sub Saharan Africa,Equatorial Guinea,,-897.82
2014,Least developed country,Sub Saharan Africa,Eritrea,,12617.25
2014,Least developed country,Sub Saharan Africa,Ethiopia,,545175.35
2014,Least developed country,Sub Saharan Africa,Gambia,,17082.06
2014,Least developed country,Sub Saharan Africa,Guinea,,31440.96
2014,Least developed country,Sub Saharan Africa,Guinea-Bissau,,8117.34
2014,Least developed country,Sub Saharan Africa,Lesotho,,3516.44
2014,Least developed country,Sub Saharan Africa,Liberia,,36200.34
2014,Least developed country,Sub Saharan Africa,Madagascar,,40562.43
2014,Least developed country,Sub Saharan Africa,Malawi,,110779.12
2014,Least developed country,Sub Saharan Africa,Mali,,55341.23
2014,Least developed country,Sub Saharan Africa,Mauritania,,8895.8
2014,Least developed country,Sub Saharan Africa,Mozambique,,171148
2014,Least developed country,Sub Saharan Africa,Niger,,64808.29
2014,Least developed country,Sub Saharan Africa,Rwanda,,114621.03
2014,Least developed country,Sub Saharan Africa,Sao Tome & Principe,,2149.24
2014,Least developed country,Sub Saharan Africa,Senegal,,39311.89
2014,Least developed country,Sub Saharan Africa,Sierra Leone,,276665.23
2014,Least developed country,Sub Saharan Africa,Somalia,,142157.48
2014,Least developed country,Sub Saharan Africa,South Sudan,,194218.32
2014,Least developed country,Sub Saharan Africa,Sudan,,74824.92
2014,Least developed country,Sub Saharan Africa,Tanzania,,310658.48
2014,Least developed country,Sub Saharan Africa,Togo,,16266.92
2014,Least developed country,Sub Saharan Africa,Uganda,,149360.86
2014,Least developed country,Sub Saharan Africa,Zambia,,121469.21
2015,Least developed country,,,,3935566.1
2015,Least developed country,Sub Saharan Africa,,,2948845
2015,Least developed country,Sub Saharan Africa,Angola,,10587.85
2015,Least developed country,Sub Saharan Africa,Benin,,21277.3
2015,Least developed country,Sub Saharan Africa,Burkina Faso,,67049.66
2015,Least developed country,Sub Saharan Africa,Burundi,,16530.46
2015,Least developed country,Sub Saharan Africa,Central African Republic,,39095.87
2015,Least developed country,Sub Saharan Africa,Chad,,44560.99
2015,Least developed country,Sub Saharan Africa,Comoros,,3558.85
2015,Least developed country,Sub Saharan Africa,"Congo, Democratic Republic",,247840.62
2015,Least developed country,Sub Saharan Africa,Djibouti,,2221.05
2015,Least developed country,Sub Saharan Africa,Equatorial Guinea,,1.84
2015,Least developed country,Sub Saharan Africa,Eritrea,,3578.59
2015,Least developed country,Sub Saharan Africa,Ethiopia,,475897.95
2015,Least developed country,Sub Saharan Africa,Gambia,,14201.66
2015,Least developed country,Sub Saharan Africa,Guinea,,42458.57
2015,Least developed country,Sub Saharan Africa,Guinea-Bissau,,7058.8
2015,Least developed country,Sub Saharan Africa,Lesotho,,2391.4
2015,Least developed country,Sub Saharan Africa,Liberia,,64573.96
2015,Least developed country,Sub Saharan Africa,Madagascar,,40944.14
2015,Least developed country,Sub Saharan Africa,Malawi,,123546.6
2015,Least developed country,Sub Saharan Africa,Mali,,57683.84
2015,Least developed country,Sub Saharan Africa,Mauritania,,6284.06
2015,Least developed country,Sub Saharan Africa,Mozambique,,135775.38
2015,Least developed country,Sub Saharan Africa,Niger,,58726.21
2015,Least developed country,Sub Saharan Africa,Rwanda,,149765.27
2015,Least developed country,Sub Saharan Africa,Sao Tome & Principe,,1173.17
2015,Least developed country,Sub Saharan Africa,Senegal,,24477
2015,Least developed country,Sub Saharan Africa,Sierra Leone,,274109.03
2015,Least developed country,Sub Saharan Africa,Somalia,,145614.58
2015,Least developed country,Sub Saharan Africa,South Sudan,,235368.65
2015,Least developed country,Sub Saharan Africa,Sudan,,71128.69
2015,Least developed country,Sub Saharan Africa,Tanzania,,307584.91
2015,Least developed country,Sub Saharan Africa,Togo,,6294.05
2015,Least developed country,Sub Saharan Africa,Uganda,,183399
2015,Least developed country,Sub Saharan Africa,Zambia,,64085.01
2009,Least developed country,,,Bilateral,1616184.26
2009,Least developed country,Sub Saharan Africa,,Bilateral,1131423.3
2009,Least developed country,Sub Saharan Africa,Angola,Bilateral,2840.52
2009,Least developed country,Sub Saharan Africa,Benin,Bilateral,16.95
2009,Least developed country,Sub Saharan Africa,Burkina Faso,Bilateral,126.33
2009,Least developed country,Sub Saharan Africa,Burundi,Bilateral,9422.09
2009,Least developed country,Sub Saharan Africa,Central African Republic,Bilateral,1559.77
2009,Least developed country,Sub Saharan Africa,Chad,Bilateral,3563.93
2009,Least developed country,Sub Saharan Africa,Comoros,Bilateral,0
2009,Least developed country,Sub Saharan Africa,"Congo, Democratic Republic",Bilateral,144384.81
2009,Least developed country,Sub Saharan Africa,Djibouti,Bilateral,1503.83
2009,Least developed country,Sub Saharan Africa,Equatorial Guinea,Bilateral,0
2009,Least developed country,Sub Saharan Africa,Eritrea,Bilateral,4128.85
2009,Least developed country,Sub Saharan Africa,Ethiopia,Bilateral,219731.82
2009,Least developed country,Sub Saharan Africa,Gambia,Bilateral,2387.71
2009,Least developed country,Sub Saharan Africa,Guinea,Bilateral,556.6
2009,Least developed country,Sub Saharan Africa,Guinea-Bissau,Bilateral,84.84
2009,Least developed country,Sub Saharan Africa,Lesotho,Bilateral,5238.41
2009,Least developed country,Sub Saharan Africa,Liberia,Bilateral,21384.68
2009,Least developed country,Sub Saharan Africa,Madagascar,Bilateral,830.23
2009,Least developed country,Sub Saharan Africa,Malawi,Bilateral,71511.52
2009,Least developed country,Sub Saharan Africa,Mali,Bilateral,16.95
2009,Least developed country,Sub Saharan Africa,Mauritania,Bilateral,496.87
2009,Least developed country,Sub Saharan Africa,Mozambique,Bilateral,35146.65
2009,Least developed country,Sub Saharan Africa,Niger,Bilateral,3969.5
2009,Least developed country,Sub Saharan Africa,Rwanda,Bilateral,57600.18
2009,Least developed country,Sub Saharan Africa,Sao Tome & Principe,Bilateral,0
2009,Least developed country,Sub Saharan Africa,Senegal,Bilateral,4171.5
2009,Least developed country,Sub Saharan Africa,Sierra Leone,Bilateral,51388.71
2009,Least developed country,Sub Saharan Africa,Somalia,Bilateral,28011.47
2009,Least developed country,Sub Saharan Africa,South Sudan,Bilateral,0
2009,Least developed country,Sub Saharan Africa,Sudan,Bilateral,189450.25
2009,Least developed country,Sub Saharan Africa,Tanzania,Bilateral,138690.27
2009,Least developed country,Sub Saharan Africa,Togo,Bilateral,6668.23
2009,Least developed country,Sub Saharan Africa,Uganda,Bilateral,75129.6
2009,Least developed country,Sub Saharan Africa,Zambia,Bilateral,51410.23
2010,Least developed country,,,Bilateral,1651032.19
2010,Least developed country,Sub Saharan Africa,,Bilateral,1207557.83
2010,Least developed country,Sub Saharan Africa,Angola,Bilateral,10799.61
2010,Least developed country,Sub Saharan Africa,Benin,Bilateral,0
2010,Least developed country,Sub Saharan Africa,Burkina Faso,Bilateral,61.88
2010,Least developed country,Sub Saharan Africa,Burundi,Bilateral,13041.01
2010,Least developed country,Sub Saharan Africa,Central African Republic,Bilateral,1956.23
2010,Least developed country,Sub Saharan Africa,Chad,Bilateral,1851.02
2010,Least developed country,Sub Saharan Africa,Comoros,Bilateral,78.53
2010,Least developed country,Sub Saharan Africa,"Congo, Democratic Republic",Bilateral,162378.54
2010,Least developed country,Sub Saharan Africa,Djibouti,Bilateral,3.29
2010,Least developed country,Sub Saharan Africa,Equatorial Guinea,Bilateral,0
2010,Least developed country,Sub Saharan Africa,Eritrea,Bilateral,3566.91
2010,Least developed country,Sub Saharan Africa,Ethiopia,Bilateral,263499.11
2010,Least developed country,Sub Saharan Africa,Gambia,Bilateral,1284.07
2010,Least developed country,Sub Saharan Africa,Guinea,Bilateral,0
2010,Least developed country,Sub Saharan Africa,Guinea-Bissau,Bilateral,47
2010,Least developed country,Sub Saharan Africa,Lesotho,Bilateral,3119.88
2010,Least developed country,Sub Saharan Africa,Liberia,Bilateral,16561.1
2010,Least developed country,Sub Saharan Africa,Madagascar,Bilateral,-190.93
2010,Least developed country,Sub Saharan Africa,Malawi,Bilateral,95847.86
2010,Least developed country,Sub Saharan Africa,Mali,Bilateral,33.2
2010,Least developed country,Sub Saharan Africa,Mauritania,Bilateral,0
2010,Least developed country,Sub Saharan Africa,Mozambique,Bilateral,67612.77
2010,Least developed country,Sub Saharan Africa,Niger,Bilateral,2060.54
2010,Least developed country,Sub Saharan Africa,Rwanda,Bilateral,68747.09
2010,Least developed country,Sub Saharan Africa,Sao Tome & Principe,Bilateral,0
2010,Least developed country,Sub Saharan Africa,Senegal,Bilateral,-536.1
2010,Least developed country,Sub Saharan Africa,Sierra Leone,Bilateral,54902.4
2010,Least developed country,Sub Saharan Africa,Somalia,Bilateral,40358.53
2010,Least developed country,Sub Saharan Africa,South Sudan,Bilateral,0
2010,Least developed country,Sub Saharan Africa,Sudan,Bilateral,77102.64
2010,Least developed country,Sub Saharan Africa,Tanzania,Bilateral,156006.45
2010,Least developed country,Sub Saharan Africa,Togo,Bilateral,-54.89
2010,Least developed country,Sub Saharan Africa,Uganda,Bilateral,116073.64
2010,Least developed country,Sub Saharan Africa,Zambia,Bilateral,51346.45
2011,Least developed country,,,Bilateral,2047194.09
2011,Least developed country,Sub Saharan Africa,,Bilateral,1434342.14
2011,Least developed country,Sub Saharan Africa,Angola,Bilateral,428.21
2011,Least developed country,Sub Saharan Africa,Benin,Bilateral,44.79
2011,Least developed country,Sub Saharan Africa,Burkina Faso,Bilateral,510.11
2011,Least developed country,Sub Saharan Africa,Burundi,Bilateral,11055.12
2011,Least developed country,Sub Saharan Africa,Central African Republic,Bilateral,0
2011,Least developed country,Sub Saharan Africa,Chad,Bilateral,239.62
2011,Least developed country,Sub Saharan Africa,Comoros,Bilateral,74.86
2011,Least developed country,Sub Saharan Africa,"Congo, Democratic Republic",Bilateral,238945.74
2011,Least developed country,Sub Saharan Africa,Djibouti,Bilateral,12.2
2011,Least developed country,Sub Saharan Africa,Equatorial Guinea,Bilateral,0
2011,Least developed country,Sub Saharan Africa,Eritrea,Bilateral,5220.06
2011,Least developed country,Sub Saharan Africa,Ethiopia,Bilateral,344490.62
2011,Least developed country,Sub Saharan Africa,Gambia,Bilateral,5502.17
2011,Least developed country,Sub Saharan Africa,Guinea,Bilateral,176.86
2011,Least developed country,Sub Saharan Africa,Guinea-Bissau,Bilateral,45.78
2011,Least developed country,Sub Saharan Africa,Lesotho,Bilateral,1156.32
2011,Least developed country,Sub Saharan Africa,Liberia,Bilateral,19658.96
2011,Least developed country,Sub Saharan Africa,Madagascar,Bilateral,503.55
2011,Least developed country,Sub Saharan Africa,Malawi,Bilateral,64914.58
2011,Least developed country,Sub Saharan Africa,Mali,Bilateral,8.85
2011,Least developed country,Sub Saharan Africa,Mauritania,Bilateral,903.9
2011,Least developed country,Sub Saharan Africa,Mozambique,Bilateral,116278.24
2011,Least developed country,Sub Saharan Africa,Niger,Bilateral,368.45
2011,Least developed country,Sub Saharan Africa,Rwanda,Bilateral,84569.23
2011,Least developed country,Sub Saharan Africa,Sao Tome & Principe,Bilateral,0
2011,Least developed country,Sub Saharan Africa,Senegal,Bilateral,1243.4
2011,Least developed country,Sub Saharan Africa,Sierra Leone,Bilateral,45884.53
2011,Least developed country,Sub Saharan Africa,Somalia,Bilateral,94907.09
2011,Least developed country,Sub Saharan Africa,South Sudan,Bilateral,51774.41
2011,Least developed country,Sub Saharan Africa,Sudan,Bilateral,98146.05
2011,Least developed country,Sub Saharan Africa,Tanzania,Bilateral,99134.08
2011,Least developed country,Sub Saharan Africa,Togo,Bilateral,1196.16
2011,Least developed country,Sub Saharan Africa,Uganda,Bilateral,89188.27
2011,Least developed country,Sub Saharan Africa,Zambia,Bilateral,57759.91
2012,Least developed country,,,Bilateral,1886371.39
2012,Least developed country,Sub Saharan Africa,,Bilateral,1288203.04
2012,Least developed country,Sub Saharan Africa,Angola,Bilateral,351.63
2012,Least developed country,Sub Saharan Africa,Benin,Bilateral,16.79
2012,Least developed country,Sub Saharan Africa,Burkina Faso,Bilateral,976.62
2012,Least developed country,Sub Saharan Africa,Burundi,Bilateral,733.88
2012,Least developed country,Sub Saharan Africa,Central African Republic,Bilateral,53.74
2012,Least developed country,Sub Saharan Africa,Chad,Bilateral,58.34
2012,Least developed country,Sub Saharan Africa,Comoros,Bilateral,0
2012,Least developed country,Sub Saharan Africa,"Congo, Democratic Republic",Bilateral,138943.75
2012,Least developed country,Sub Saharan Africa,Djibouti,Bilateral,69.67
2012,Least developed country,Sub Saharan Africa,Equatorial Guinea,Bilateral,0
2012,Least developed country,Sub Saharan Africa,Eritrea,Bilateral,2528.62
2012,Least developed country,Sub Saharan Africa,Ethiopia,Bilateral,265685.25
2012,Least developed country,Sub Saharan Africa,Gambia,Bilateral,8822.69
2012,Least developed country,Sub Saharan Africa,Guinea,Bilateral,1643.88
2012,Least developed country,Sub Saharan Africa,Guinea-Bissau,Bilateral,57.07
2012,Least developed country,Sub Saharan Africa,Lesotho,Bilateral,3127.13
2012,Least developed country,Sub Saharan Africa,Liberia,Bilateral,8620.75
2012,Least developed country,Sub Saharan Africa,Madagascar,Bilateral,1796.53
2012,Least developed country,Sub Saharan Africa,Malawi,Bilateral,124252.91
2012,Least developed country,Sub Saharan Africa,Mali,Bilateral,410.67
2012,Least developed country,Sub Saharan Africa,Mauritania,Bilateral,131.38
2012,Least developed country,Sub Saharan Africa,Mozambique,Bilateral,81780.28
2012,Least developed country,Sub Saharan Africa,Niger,Bilateral,38.17
2012,Least developed country,Sub Saharan Africa,Rwanda,Bilateral,28242.02
2012,Least developed country,Sub Saharan Africa,Sao Tome & Principe,Bilateral,0
2012,Least developed country,Sub Saharan Africa,Senegal,Bilateral,3205.28
2012,Least developed country,Sub Saharan Africa,Sierra Leone,Bilateral,62811.94
2012,Least developed country,Sub Saharan Africa,Somalia,Bilateral,89753.99
2012,Least developed country,Sub Saharan Africa,South Sudan,Bilateral,108512.03
2012,Least developed country,Sub Saharan Africa,Sudan,Bilateral,51758.16
2012,Least developed country,Sub Saharan Africa,Tanzania,Bilateral,157103.73
2012,Least developed country,Sub Saharan Africa,Togo,Bilateral,33.42
2012,Least developed country,Sub Saharan Africa,Uganda,Bilateral,93505.24
2012,Least developed country,Sub Saharan Africa,Zambia,Bilateral,53177.46
2013,Least developed country,,,Bilateral,2169165.82
2013,Least developed country,Sub Saharan Africa,,Bilateral,1474765.07
2013,Least developed country,Sub Saharan Africa,Angola,Bilateral,358.56
2013,Least developed country,Sub Saharan Africa,Benin,Bilateral,0
2013,Least developed country,Sub Saharan Africa,Burkina Faso,Bilateral,541.91
2013,Least developed country,Sub Saharan Africa,Burundi,Bilateral,4176.65
2013,Least developed country,Sub Saharan Africa,Central African Republic,Bilateral,1666.11
2013,Least developed country,Sub Saharan Africa,Chad,Bilateral,9.54
2013,Least developed country,Sub Saharan Africa,Comoros,Bilateral,0
2013,Least developed country,Sub Saharan Africa,"Congo, Democratic Republic",Bilateral,161640.33
2013,Least developed country,Sub Saharan Africa,Djibouti,Bilateral,66.28
2013,Least developed country,Sub Saharan Africa,Equatorial Guinea,Bilateral,0
2013,Least developed country,Sub Saharan Africa,Eritrea,Bilateral,4659.53
2013,Least developed country,Sub Saharan Africa,Ethiopia,Bilateral,329434.75
2013,Least developed country,Sub Saharan Africa,Gambia,Bilateral,8102.15
2013,Least developed country,Sub Saharan Africa,Guinea,Bilateral,3730.75
2013,Least developed country,Sub Saharan Africa,Guinea-Bissau,Bilateral,1.97
2013,Least developed country,Sub Saharan Africa,Lesotho,Bilateral,2725.26
2013,Least developed country,Sub Saharan Africa,Liberia,Bilateral,8724.47
2013,Least developed country,Sub Saharan Africa,Madagascar,Bilateral,366.31
2013,Least developed country,Sub Saharan Africa,Malawi,Bilateral,113297.02
2013,Least developed country,Sub Saharan Africa,Mali,Bilateral,1028.89
2013,Least developed country,Sub Saharan Africa,Mauritania,Bilateral,115.09
2013,Least developed country,Sub Saharan Africa,Mozambique,Bilateral,78731.65
2013,Least developed country,Sub Saharan Africa,Niger,Bilateral,0
2013,Least developed country,Sub Saharan Africa,Rwanda,Bilateral,103394.32
2013,Least developed country,Sub Saharan Africa,Sao Tome & Principe,Bilateral,0
2013,Least developed country,Sub Saharan Africa,Senegal,Bilateral,959.91
2013,Least developed country,Sub Saharan Africa,Sierra Leone,Bilateral,69990.34
2013,Least developed country,Sub Saharan Africa,Somalia,Bilateral,107273.85
2013,Least developed country,Sub Saharan Africa,South Sudan,Bilateral,136478.28
2013,Least developed country,Sub Saharan Africa,Sudan,Bilateral,69206.28
2013,Least developed country,Sub Saharan Africa,Tanzania,Bilateral,151896
2013,Least developed country,Sub Saharan Africa,Togo,Bilateral,0
2013,Least developed country,Sub Saharan Africa,Uganda,Bilateral,56340.73
2013,Least developed country,Sub Saharan Africa,Zambia,Bilateral,59848.16
2014,Least developed country,,,Bilateral,2237407.68
2014,Least developed country,,,Bilateral,1628654.25
2014,Least developed country,Sub Saharan Africa,Angola,Bilateral,915.88
2014,Least developed country,Sub Saharan Africa,Benin,Bilateral,0
2014,Least developed country,Sub Saharan Africa,Burkina Faso,Bilateral,332
2014,Least developed country,Sub Saharan Africa,Burundi,Bilateral,6107.97
2014,Least developed country,Sub Saharan Africa,Central African Republic,Bilateral,16064.63
2014,Least developed country,Sub Saharan Africa,Chad,Bilateral,0
2014,Least developed country,Sub Saharan Africa,Comoros,Bilateral,6.33
2014,Least developed country,Sub Saharan Africa,"Congo, Democratic Republic",Bilateral,166593.61
