Year,Flow of Official Development Assistance,Aid Broad Category Description (DAC 5 Code),Aid Description (CRS Code),Value
2014,Bilateral,,Forestry policy and administrative management (31210),76673.90039
2015,Bilateral,,Forestry policy and administrative management (31210),103246.9588
2009,Bilateral,,Forestry development (31220),5423.6
2010,Bilateral,,Forestry development (31220),12226.15277
2011,Bilateral,,Forestry development (31220),145.40689
2012,Bilateral,,Forestry development (31220),6803.22645
2013,Bilateral,,Forestry development (31220),4397.78774
2014,Bilateral,,Forestry development (31220),41013.25147
2015,Bilateral,,Forestry development (31220),7459.41582
2009,Bilateral,,Fuelwood or charcoal (31261),0
2010,Bilateral,,Fuelwood or charcoal (31261),0
2011,Bilateral,,Fuelwood or charcoal (31261),0
2012,Bilateral,,Fuelwood or charcoal (31261),0
2013,Bilateral,,Fuelwood or charcoal (31261),0
2014,Bilateral,,Fuelwood or charcoal (31261),0
2015,Bilateral,,Fuelwood or charcoal (31261),0
2009,Bilateral,,Forestry education or training (31281),0
2010,Bilateral,,Forestry education or training (31281),0
2011,Bilateral,,Forestry education or training (31281),0
2012,Bilateral,,Forestry education or training (31281),0
2013,Bilateral,,Forestry education or training (31281),0
2014,Bilateral,,Forestry education or training (31281),0
2015,Bilateral,,Forestry education or training (31281),0
2009,Bilateral,,Forestry research (31282),0
2010,Bilateral,,Forestry research (31282),0
2011,Bilateral,,Forestry research (31282),44.75
2012,Bilateral,,Forestry research (31282),0
2013,Bilateral,,Forestry research (31282),0
2014,Bilateral,,Forestry research (31282),9.4524
2015,Bilateral,,Forestry research (31282),493.36072
2009,Bilateral,,Forestry services (31291),0
2010,Bilateral,,Forestry services (31291),0
2011,Bilateral,,Forestry services (31291),0
2012,Bilateral,,Forestry services (31291),0
2013,Bilateral,,Forestry services (31291),0
2014,Bilateral,,Forestry services (31291),0
2015,Bilateral,,Forestry services (31291),0
2010,Multilateral,Forestry (312),,9219.713088
2011,Multilateral,Forestry (312),,30066.60489
2012,Multilateral,Forestry (312),,9935.499525
2013,Multilateral,Forestry (312),,17577.69691
2014,Multilateral,Forestry (312),,20903.03349
2015,Multilateral,Forestry (312),,14470.60745
2010,Multilateral,,Forestry policy and administrative management (31210),5849.760583
2011,Multilateral,,Forestry policy and administrative management (31210),8574.536628
2012,Multilateral,,Forestry policy and administrative management (31210),7036.633313
2013,Multilateral,,Forestry policy and administrative management (31210),11826.6477
2014,Multilateral,,Forestry policy and administrative management (31210),7357.88875
2015,Multilateral,,Forestry policy and administrative management (31210),4883.098106
2010,Multilateral,,Forestry development (31220),2682.625621
2011,Multilateral,,Forestry development (31220),20934.39138
2012,Multilateral,,Forestry development (31220),2078.257105
2013,Multilateral,,Forestry development (31220),4521.172253
2014,Multilateral,,Forestry development (31220),12646.81643
2015,Multilateral,,Forestry development (31220),8906.821972
2010,Multilateral,,Fuelwood or charcoal (31261),61.35035592
2011,Multilateral,,Fuelwood or charcoal (31261),182.1107218
2012,Multilateral,,Fuelwood or charcoal (31261),372.296695
2013,Multilateral,,Fuelwood or charcoal (31261),657.9147955
2014,Multilateral,,Fuelwood or charcoal (31261),600.6141332
2015,Multilateral,,Fuelwood or charcoal (31261),361.3940735
2010,Multilateral,,Forestry education or training (31281),115.689134
2011,Multilateral,,Forestry education or training (31281),137.3880329
2012,Multilateral,,Forestry education or training (31281),153.3420312
2013,Multilateral,,Forestry education or training (31281),111.0472199
2014,Multilateral,,Forestry education or training (31281),12.98548702
2015,Multilateral,,Forestry education or training (31281),206.9934859
2010,Multilateral,,Forestry research (31282),488.4241115
2011,Multilateral,,Forestry research (31282),191.6038933
2012,Multilateral,,Forestry research (31282),153.8240946
2013,Multilateral,,Forestry research (31282),320.806542
2014,Multilateral,,Forestry research (31282),274.8797679
2015,Multilateral,,Forestry research (31282),112.299812
2010,Multilateral,,Forestry services (31291),21.86328282
2011,Multilateral,,Forestry services (31291),46.57423128
2012,Multilateral,,Forestry services (31291),141.1462866
2013,Multilateral,,Forestry services (31291),140.1084026
2014,Multilateral,,Forestry services (31291),9.848913911
2015,Multilateral,,Forestry services (31291),0
