Year,Flow of Official Development Assistance,Aid Broad Category Description (DAC 5 Code),Aid Description (CRS Code),Value
2010,Multilateral,"Health, General (121)",Medical research (12182),613.8183407
2010,Multilateral,Basic health (122),,231895.7487
2010,Multilateral,Basic health (122),Basic health care (12220),54269.49962
2010,Multilateral,Basic health (122),Basic health infrastructure (12230),2654.219109
2010,Multilateral,Basic health (122),Basic nutrition (12240),5201.480919
2010,Multilateral,Basic health (122),Infectious disease control (12250),17041.61239
2010,Multilateral,Basic health (122),Health education (12261),1339.490646
2010,Multilateral,Basic health (122),Malaria control (12262),97108.43277
2010,Multilateral,Basic health (122),Tuberculosis control (12263),52181.18218
2010,Multilateral,Basic health (122),Health personnel development (12281),2099.831092
2011,,,,706506.8969
2011,,"Health, General (121)",Medical research (12182),68483.1629
2011,,Basic health (122),,638023.734
2011,,Basic health (122),Basic health care (12220),225271.3278
2011,,Basic health (122),Basic health infrastructure (12230),6941.348811
2011,,Basic health (122),Basic nutrition (12240),37409.70421
2011,,Basic health (122),Infectious disease control (12250),187033.5562
2011,,Basic health (122),Health education (12261),3904.384996
2011,,Basic health (122),Malaria control (12262),126915.3782
2011,,Basic health (122),Tuberculosis control (12263),47049.15513
2011,,Basic health (122),Health personnel development (12281),3498.878674
2011,Bilateral,,,490791.7551
2011,Bilateral,"Health, General (121)",Medical research (12182),67975.67052
2011,Bilateral,Basic health (122),,422816.0846
2011,Bilateral,Basic health (122),Basic health care (12220),138703.3964
2011,Bilateral,Basic health (122),Basic health infrastructure (12230),4002.99916
2011,Bilateral,Basic health (122),Basic nutrition (12240),28402.90591
2011,Bilateral,Basic health (122),Infectious disease control (12250),157545.3229
2011,Bilateral,Basic health (122),Health education (12261),1947.94
2011,Bilateral,Basic health (122),Malaria control (12262),75657.77398
2011,Bilateral,Basic health (122),Tuberculosis control (12263),14601.9035
2011,Bilateral,Basic health (122),Health personnel development (12281),1953.8427
2011,Multilateral,,,215715.1418
2011,Multilateral,"Health, General (121)",Medical research (12182),507.4923797
2011,Multilateral,Basic health (122),,215207.6494
2011,Multilateral,Basic health (122),Basic health care (12220),86567.93133
2011,Multilateral,Basic health (122),Basic health infrastructure (12230),2938.349651
2011,Multilateral,Basic health (122),Basic nutrition (12240),9006.798302
2011,Multilateral,Basic health (122),Infectious disease control (12250),29488.23334
2011,Multilateral,Basic health (122),Health education (12261),1956.444996
2011,Multilateral,Basic health (122),Malaria control (12262),51257.6042
2011,Multilateral,Basic health (122),Tuberculosis control (12263),32447.25163
2011,Multilateral,Basic health (122),Health personnel development (12281),1545.035974
2012,,,,799361.742
2012,,"Health, General (121)",Medical research (12182),84163.13544
2012,,Basic health (122),,715198.6066
2012,,Basic health (122),Basic health care (12220),348535.5481
2012,,Basic health (122),Basic health infrastructure (12230),2119.189607
2012,,Basic health (122),Basic nutrition (12240),46763.08645
2012,,Basic health (122),Infectious disease control (12250),133273.4687
2012,,Basic health (122),Health education (12261),18519.68419
2012,,Basic health (122),Malaria control (12262),135057.8024
2012,,Basic health (122),Tuberculosis control (12263),26918.53546
2012,,Basic health (122),Health personnel development (12281),4011.291713
2012,Bilateral,,,557455.1557
2012,Bilateral,"Health, General (121)",Medical research (12182),83954.07367
2012,Bilateral,Basic health (122),,473501.082
2012,Bilateral,Basic health (122),Basic health care (12220),203576.2414
2012,Bilateral,Basic health (122),Basic health infrastructure (12230),0
2012,Bilateral,Basic health (122),Basic nutrition (12240),40390.09455
2012,Bilateral,Basic health (122),Infectious disease control (12250),111346.5383
2012,Bilateral,Basic health (122),Health education (12261),16836.427
2012,Bilateral,Basic health (122),Malaria control (12262),92566.90632
2012,Bilateral,Basic health (122),Tuberculosis control (12263),6876
2012,Bilateral,Basic health (122),Health personnel development (12281),1908.87446
2012,Multilateral,,,241906.5864
2012,Multilateral,"Health, General (121)",Medical research (12182),209.0617706
2012,Multilateral,Basic health (122),,241697.5246
2012,Multilateral,Basic health (122),Basic health care (12220),144959.3067
2012,Multilateral,Basic health (122),Basic health infrastructure (12230),2119.189607
2012,Multilateral,Basic health (122),Basic nutrition (12240),6372.991901
2012,Multilateral,Basic health (122),Infectious disease control (12250),21926.93041
2012,Multilateral,Basic health (122),Health education (12261),1683.257186
2012,Multilateral,Basic health (122),Malaria control (12262),42490.89609
2012,Multilateral,Basic health (122),Tuberculosis control (12263),20042.53546
2012,Multilateral,Basic health (122),Health personnel development (12281),2102.417253
2013,,,,1450685.608
2013,,"Health, General (121)",Medical research (12182),78140.60966
2013,,Basic health (122),,1372544.998
2013,,Basic health (122),Basic health care (12220),528294.708
2013,,Basic health (122),Basic health infrastructure (12230),7240.71025
2013,,Basic health (122),Basic nutrition (12240),79054.22616
2013,,Basic health (122),Infectious disease control (12250),278341.7043
2013,,Basic health (122),Health education (12261),29870.26492
2013,,Basic health (122),Malaria control (12262),325694.2606
2013,,Basic health (122),Tuberculosis control (12263),120678.7079
2013,,Basic health (122),Health personnel development (12281),3370.41638
2013,Bilateral,,,817519.8378
2013,Bilateral,"Health, General (121)",Medical research (12182),77971.6937
2013,Bilateral,Basic health (122),,739548.1441
2013,Bilateral,Basic health (122),Basic health care (12220),231259.3714
2013,Bilateral,Basic health (122),Basic health infrastructure (12230),0
2013,Bilateral,Basic health (122),Basic nutrition (12240),66711.63067
2013,Bilateral,Basic health (122),Infectious disease control (12250),224005.8562
2013,Bilateral,Basic health (122),Health education (12261),27758.31464
2013,Bilateral,Basic health (122),Malaria control (12262),175888.7767
2013,Bilateral,Basic health (122),Tuberculosis control (12263),11747.8639
2013,Bilateral,Basic health (122),Health personnel development (12281),2176.33061
2013,Multilateral,,,633165.7703
2013,Multilateral,"Health, General (121)",Medical research (12182),168.9159554
2013,Multilateral,Basic health (122),,632996.8544
2013,Multilateral,Basic health (122),Basic health care (12220),297035.3367
2013,Multilateral,Basic health (122),Basic health infrastructure (12230),7240.71025
2013,Multilateral,Basic health (122),Basic nutrition (12240),12342.5955
2013,Multilateral,Basic health (122),Infectious disease control (12250),54335.84802
2013,Multilateral,Basic health (122),Health education (12261),2111.950275
2013,Multilateral,Basic health (122),Malaria control (12262),149805.4839
2013,Multilateral,Basic health (122),Tuberculosis control (12263),108930.844
2013,Multilateral,Basic health (122),Health personnel development (12281),1194.08577
2014,,,,1154229.863
2014,,"Health, General (121)",Medical research (12182),67495.02564
2014,,Basic health (122),,1086734.838
2014,,Basic health (122),Basic health care (12220),495019.782
2014,,Basic health (122),Basic health infrastructure (12230),6107.567305
2014,,Basic health (122),Basic nutrition (12240),78094.47363
2014,,Basic health (122),Infectious disease control (12250),160423.6289
2014,,Basic health (122),Health education (12261),29131.92475
2014,,Basic health (122),Malaria control (12262),243177.5118
2014,,Basic health (122),Tuberculosis control (12263),66424.03555
2014,,Basic health (122),Health personnel development (12281),8355.913676
2014,Bilateral,,,652950.0299
2014,Bilateral,"Health, General (121)",Medical research (12182),65927.24054
2014,Bilateral,Basic health (122),,587022.7893
2014,Bilateral,Basic health (122),Basic health care (12220),213535.5422
2014,Bilateral,Basic health (122),Basic health infrastructure (12230),0
2014,Bilateral,Basic health (122),Basic nutrition (12240),56217.93983
2014,Bilateral,Basic health (122),Infectious disease control (12250),110386.616
2014,Bilateral,Basic health (122),Health education (12261),26897.41192
2014,Bilateral,Basic health (122),Malaria control (12262),152460.4986
2014,Bilateral,Basic health (122),Tuberculosis control (12263),21255.74676
2014,Bilateral,Basic health (122),Health personnel development (12281),6269.03408
2014,Multilateral,,,501279.8335
2014,Multilateral,"Health, General (121)",Medical research (12182),1567.785108
2014,Multilateral,Basic health (122),,499712.0484
2014,Multilateral,Basic health (122),Basic health care (12220),281484.2398
2014,Multilateral,Basic health (122),Basic health infrastructure (12230),6107.567305
2014,Multilateral,Basic health (122),Basic nutrition (12240),21876.53379
2014,Multilateral,Basic health (122),Infectious disease control (12250),50037.01298
2014,Multilateral,Basic health (122),Health education (12261),2234.512833
2014,Multilateral,Basic health (122),Malaria control (12262),90717.01328
2014,Multilateral,Basic health (122),Tuberculosis control (12263),45168.28879
2014,Multilateral,Basic health (122),Health personnel development (12281),2086.879596
2015,,,,960912.2836
2015,,"Health, General (121)",Medical research (12182),87302.2315
2015,,Basic health (122),,873610.0521
2015,,Basic health (122),Basic health care (12220),407953.6882
2015,,Basic health (122),Basic health infrastructure (12230),5604.820468
2015,,Basic health (122),Basic nutrition (12240),88260.72278
2015,,Basic health (122),Infectious disease control (12250),209459.9303
2015,,Basic health (122),Health education (12261),6660.457294
2015,,Basic health (122),Malaria control (12262),118435.9421
2015,,Basic health (122),Tuberculosis control (12263),30468.13412
2015,,Basic health (122),Health personnel development (12281),6766.356912
2015,Bilateral,,,525954.938
2015,Bilateral,"Health, General (121)",Medical research (12182),85626.42072
2015,Bilateral,Basic health (122),,440328.5173
2015,Bilateral,Basic health (122),Basic health care (12220),140931.6606
2015,Bilateral,Basic health (122),Basic health infrastructure (12230),7.953
2015,Bilateral,Basic health (122),Basic nutrition (12240),69424.44412
2015,Bilateral,Basic health (122),Infectious disease control (12250),119103.0491
2015,Bilateral,Basic health (122),Health education (12261),4513.6095
2015,Bilateral,Basic health (122),Malaria control (12262),88027.33172
2015,Bilateral,Basic health (122),Tuberculosis control (12263),14232.01489
2015,Bilateral,Basic health (122),Health personnel development (12281),4088.45425
2015,Multilateral,,,434957.3456
2015,Multilateral,"Health, General (121)",Medical research (12182),1675.810783
2015,Multilateral,Basic health (122),,433281.5348
2015,Multilateral,Basic health (122),Basic health care (12220),267022.0275
2015,Multilateral,Basic health (122),Basic health infrastructure (12230),5596.867468
2015,Multilateral,Basic health (122),Basic nutrition (12240),18836.27866
2015,Multilateral,Basic health (122),Infectious disease control (12250),90356.88115
2015,Multilateral,Basic health (122),Health education (12261),2146.847794
2015,Multilateral,Basic health (122),Malaria control (12262),30408.61035
2015,Multilateral,Basic health (122),Tuberculosis control (12263),16236.11923
2015,Multilateral,Basic health (122),Health personnel development (12281),2677.902662
