Year,Tourism sector,Tourism subsector (upper),Tourism subsector (middle),Tourism subsector (lower),Value
2011,Accommodation,Real estate activities,,,459.4
2011,Accommodation,Real estate activities,Buying and selling of own real estate,,9.8
2011,Accommodation,Real estate activities,Renting and operating of own or leased real estate,,235.3
2011,Accommodation,Real estate activities,Renting and operating of own or leased real estate,Renting and operating of Housing Association real estate,94.9
2011,Accommodation,Real estate activities,Renting and operating of own or leased real estate,Letting and operating of conference and exhibition centres,8.2
2011,Accommodation,Real estate activities,Renting and operating of own or leased real estate,Other letting and operating of own or leased real estate,132.3
2011,Accommodation,Real estate activities,Real estate activities on a fee or contract basis,,214.3
2011,Accommodation,Real estate activities,Real estate activities on a fee or contract basis,Real estate agencies,126.6
2011,Accommodation,Real estate activities,Real estate activities on a fee or contract basis,Management of real estate on a fee or contract basis,87.7
2011,food and beverage serving activities,,,,1265.9
2011,food and beverage serving activities,Restaurants and mobile food service activities,,,743.2
2011,food and beverage serving activities,Restaurants and mobile food service activities,Licensed restaurants,,363.5
2011,food and beverage serving activities,Restaurants and mobile food service activities,Unlicensed restaurants and cafes,,211.2
2011,food and beverage serving activities,Restaurants and mobile food service activities,Take-away food shops and mobile food stands,,168.4
2011,food and beverage serving activities,Other food services activities,,,25.6
2011,food and beverage serving activities,Beverage serving activities,,,497.1
2011,food and beverage serving activities,Beverage serving activities,Licensed clubs,,97.7
2011,food and beverage serving activities,Beverage serving activities,Public houses and bars,,399.3
2011,Railway passenger transport,,,,62.7
2011,Railway passenger transport,Passenger rail transport; interurban,,,43.3
2011,Railway passenger transport,Urban and suburban passenger railway transportation by underground; metro and similar systems,,,19.4
2011,Road passenger transport,,,,219.5
2011,Road passenger transport,Other urban; suburban or metropolitan area passenger land transport (not incl underground; metro and the like),,,110.1
2011,Road passenger transport,Taxi operation,,,41.1
2011,Road passenger transport,Other passenger land transport,,,68.3
2011,Water passenger transport,,,,7.7
2011,Water passenger transport,Sea and coastal passenger water transport,,,6.7
2011,Water passenger transport,Inland passenger water transport,,,1
2011,Air passenger transport,,,,68.1
2011,Air passenger transport,Scheduled passenger air transport,,,56.7
2011,Air passenger transport,Non-scheduled passenger air transport,,,11.4
2011,Renting and leasing of motor vehicles,,,,37.7
2011,Renting and leasing of motor vehicles,Renting and leasing of cars and light motor vehicles,,,30.4
2011,Renting and leasing of motor vehicles,Renting and leasing of trucks,,,7.3
2011,Travel agencies and other reservation service activities,,,,79.7
2011,Travel agencies and other reservation service activities,Travel agency and tour operator activities,,,78.7
2011,Travel agencies and other reservation service activities,Travel agency and tour operator activities,Travel agency activities,,54.1
2011,Travel agencies and other reservation service activities,Travel agency and tour operator activities,Tour operator activities,,24.6
2011,Travel agencies and other reservation service activities,Activities of tourist guides,,,1
2011,Cultural activities,,,,144.4
2011,Cultural activities,Creative; arts and entertainment activities,,,86.1
2011,Cultural activities,Creative; arts and entertainment activities,Performing arts,,39.9
2011,Cultural activities,Creative; arts and entertainment activities,Support activities to performing arts,,4.1
2011,Cultural activities,Creative; arts and entertainment activities,Artistic creation,,27.5
2011,Cultural activities,Creative; arts and entertainment activities,Operation of arts facilities,,14.5
2011,Cultural activities,Museums activities,,,27.2
2011,Cultural activities,Operation of historical sites and buildings and similar visitor attractions,,,12.5
2011,Cultural activities,Botanical and zoological gardens and nature reserves activities,,,18.6
2011,Sport and recreational activities,,,,328.6
2011,Sport and recreational activities,Renting and leasing of recreational and sports goods,,,8.8
2011,Sport and recreational activities,Gambling and betting activities,,,97.1
2011,Sport and recreational activities,Operation of sports facilities,,,143
2011,Sport and recreational activities,Activities of racehorse owners,,,1.8
2011,Sport and recreational activities,Other sports activities,,,25.1
2011,Sport and recreational activities,Amusement and recreation activities,,,52.8
2011,Sport and recreational activities,Amusement and recreation activities,Activities of amusement parks and theme parks,,14.5
2011,Sport and recreational activities,Amusement and recreation activities,Other amusement and recreation activities not elsewhere classified,,38.3
2012,,,,,3154.4
2012,Accommodation,,,,909.9
2012,Accommodation,Accommodation,,,416.9
2012,Accommodation,Accommodation,Hotels and similar accommodation,,342.3
2012,Accommodation,Accommodation,Holiday and other short-stay accommodation,,35.9
2012,Accommodation,Accommodation,Holiday and other short-stay accommodation,Holiday centres and villages,21.6
2012,Accommodation,Accommodation,Holiday and other short-stay accommodation,Holiday and other collective accommodation,2.3
2012,Accommodation,Accommodation,Holiday and other short-stay accommodation,Other holiday and other collective accommodation,11.9
2012,Accommodation,Accommodation,Camping grounds; recreational vehicle parks and trailer parks,,31.8
2012,Accommodation,Accommodation,Other accommodation,,7
2012,Accommodation,Real estate activities,,,493
2012,Accommodation,Real estate activities,Buying and selling of own real estate,,9.6
2012,Accommodation,Real estate activities,Renting and operating of own or leased real estate,,246.9
2012,Accommodation,Real estate activities,Renting and operating of own or leased real estate,Renting and operating of Housing Association real estate,97.4
2012,Accommodation,Real estate activities,Renting and operating of own or leased real estate,Letting and operating of conference and exhibition centres,8
2012,Accommodation,Real estate activities,Renting and operating of own or leased real estate,Other letting and operating of own or leased real estate,141.6
2012,Accommodation,Real estate activities,Real estate activities on a fee or contract basis,,236.5
2012,Accommodation,Real estate activities,Real estate activities on a fee or contract basis,Real estate agencies,142.7
2012,Accommodation,Real estate activities,Real estate activities on a fee or contract basis,Management of real estate on a fee or contract basis,93.8
2012,food and beverage serving activities,,,,1277.2
2012,food and beverage serving activities,Restaurants and mobile food service activities,,,764.9
2012,food and beverage serving activities,Restaurants and mobile food service activities,Licensed restaurants,,372.7
2012,food and beverage serving activities,Restaurants and mobile food service activities,Unlicensed restaurants and cafes,,224
2012,food and beverage serving activities,Restaurants and mobile food service activities,Take-away food shops and mobile food stands,,168.2
2012,food and beverage serving activities,Other food services activities,,,27.7
2012,food and beverage serving activities,Beverage serving activities,,,484.6
2012,food and beverage serving activities,Beverage serving activities,Licensed clubs,,94
2012,food and beverage serving activities,Beverage serving activities,Public houses and bars,,390.6
2012,Railway passenger transport,,,,65.3
2012,Railway passenger transport,Passenger rail transport; interurban,,,46.9
2012,Railway passenger transport,Urban and suburban passenger railway transportation by underground; metro and similar systems,,,18.4
2012,Road passenger transport,,,,210.7
2012,Road passenger transport,Other urban; suburban or metropolitan area passenger land transport (not incl underground; metro and the like),,,112.3
2012,Road passenger transport,Taxi operation,,,35.9
2012,Road passenger transport,Other passenger land transport,,,62.5
2012,Water passenger transport,,,,8.9
2012,Water passenger transport,Sea and coastal passenger water transport,,,7.8
2012,Water passenger transport,Inland passenger water transport,,,1.1
2012,Air passenger transport,,,,72.7
2012,Air passenger transport,Scheduled passenger air transport,,,60
2012,Air passenger transport,Non-scheduled passenger air transport,,,12.7
2012,Renting and leasing of motor vehicles,,,,39.2
2012,Renting and leasing of motor vehicles,Renting and leasing of cars and light motor vehicles,,,31.4
2012,Renting and leasing of motor vehicles,Renting and leasing of trucks,,,7.8
2012,Travel agencies and other reservation service activities,,,,82.9
2012,Travel agencies and other reservation service activities,Travel agency and tour operator activities,,,81.6
2012,Travel agencies and other reservation service activities,Travel agency and tour operator activities,Travel agency activities,,56.1
2012,Travel agencies and other reservation service activities,Travel agency and tour operator activities,Tour operator activities,,25.5
2012,Travel agencies and other reservation service activities,Activities of tourist guides,,,1.3
2012,Cultural activities,,,,156.5
2012,Cultural activities,Creative; arts and entertainment activities,,,97.3
2012,Cultural activities,Creative; arts and entertainment activities,Performing arts,,45.8
2012,Cultural activities,Creative; arts and entertainment activities,Support activities to performing arts,,6.2
2012,Cultural activities,Creative; arts and entertainment activities,Artistic creation,,29.6
2012,Cultural activities,Creative; arts and entertainment activities,Operation of arts facilities,,15.7
2012,Cultural activities,Museums activities,,,27.4
2012,Cultural activities,Operation of historical sites and buildings and similar visitor attractions,,,12.9
2012,Cultural activities,Botanical and zoological gardens and nature reserves activities,,,18.9
2012,Sport and recreational activities,,,,331.1
2012,Sport and recreational activities,Renting and leasing of recreational and sports goods,,,3.2
2012,Sport and recreational activities,Gambling and betting activities,,,98.7
2012,Sport and recreational activities,Operation of sports facilities,,,139.1
2012,Sport and recreational activities,Activities of racehorse owners,,,1.5
2012,Sport and recreational activities,Other sports activities,,,28.4
2012,Sport and recreational activities,Amusement and recreation activities,,,60.2
2012,Sport and recreational activities,Amusement and recreation activities,Activities of amusement parks and theme parks,,14.8
2012,Sport and recreational activities,Amusement and recreation activities,Other amusement and recreation activities not elsewhere classified,,45.4
2013,,,,,3367
2013,Accommodation,,,,950.2
2013,Accommodation,Accommodation,,,425.7
2013,Accommodation,Accommodation,Hotels and similar accommodation,,349.4
2013,Accommodation,Accommodation,Holiday and other short-stay accommodation,,36.6
2013,Accommodation,Accommodation,Holiday and other short-stay accommodation,Holiday centres and villages,21.9
2013,Accommodation,Accommodation,Holiday and other short-stay accommodation,Holiday and other collective accommodation,2.4
2013,Accommodation,Accommodation,Holiday and other short-stay accommodation,Other holiday and other collective accommodation,12.3
2013,Accommodation,Accommodation,Camping grounds; recreational vehicle parks and trailer parks,,31.9
2013,Accommodation,Accommodation,Other accommodation,,7.8
2013,Accommodation,Real estate activities,,,524.5
2013,Accommodation,Real estate activities,Buying and selling of own real estate,,11.8
2013,Accommodation,Real estate activities,Renting and operating of own or leased real estate,,273.5
2013,Accommodation,Real estate activities,Renting and operating of own or leased real estate,Renting and operating of Housing Association real estate,101.7
2013,Accommodation,Real estate activities,Renting and operating of own or leased real estate,Letting and operating of conference and exhibition centres,8.5
2013,Accommodation,Real estate activities,Renting and operating of own or leased real estate,Other letting and operating of own or leased real estate,163.3
2013,Accommodation,Real estate activities,Real estate activities on a fee or contract basis,,239.2
2013,Accommodation,Real estate activities,Real estate activities on a fee or contract basis,Real estate agencies,147.3
2013,Accommodation,Real estate activities,Real estate activities on a fee or contract basis,Management of real estate on a fee or contract basis,91.9
2013,food and beverage serving activities,,,,1433.5
2013,food and beverage serving activities,Restaurants and mobile food service activities,,,831.4
2013,food and beverage serving activities,Restaurants and mobile food service activities,Licensed restaurants,,395.6
2013,food and beverage serving activities,Restaurants and mobile food service activities,Unlicensed restaurants and cafes,,251.6
2013,food and beverage serving activities,Restaurants and mobile food service activities,Take-away food shops and mobile food stands,,184.2
2013,food and beverage serving activities,Other food services activities,,,116.8
2013,food and beverage serving activities,Beverage serving activities,,,485.3
2013,food and beverage serving activities,Beverage serving activities,Licensed clubs,,85.1
2013,food and beverage serving activities,Beverage serving activities,Public houses and bars,,400.3
2013,Railway passenger transport,,,,64
2013,Railway passenger transport,Passenger rail transport; interurban,,,45.7
2013,Railway passenger transport,Urban and suburban passenger railway transportation by underground; metro and similar systems,,,18.3
2013,Road passenger transport,,,,205.9
2013,Road passenger transport,Other urban; suburban or metropolitan area passenger land transport (not incl underground; metro and the like),,,112.9
2013,Road passenger transport,Taxi operation,,,34.5
2013,Road passenger transport,Other passenger land transport,,,58.5
2013,Water passenger transport,,,,8.5
2013,Water passenger transport,Sea and coastal passenger water transport,,,7.5
2013,Water passenger transport,Inland passenger water transport,,,1
2013,Air passenger transport,,,,68.6
2013,Air passenger transport,Scheduled passenger air transport,,,56
2013,Air passenger transport,Non-scheduled passenger air transport,,,12.6
2013,Renting and leasing of motor vehicles,,,,52.7
2013,Renting and leasing of motor vehicles,Renting and leasing of cars and light motor vehicles,,,41.6
2013,Renting and leasing of motor vehicles,Renting and leasing of trucks,,,11.1
2013,Travel agencies and other reservation service activities,,,,85.3
2013,Travel agencies and other reservation service activities,Travel agency and tour operator activities,,,84.3
2013,Travel agencies and other reservation service activities,Travel agency and tour operator activities,Travel agency activities,,56.1
2013,Travel agencies and other reservation service activities,Travel agency and tour operator activities,Tour operator activities,,28.2
2013,Travel agencies and other reservation service activities,Activities of tourist guides,,,1
2013,Cultural activities,,,,148.8
2013,Cultural activities,Creative; arts and entertainment activities,,,92.4
2013,Cultural activities,Creative; arts and entertainment activities,Performing arts,,42.9
2013,Cultural activities,Creative; arts and entertainment activities,Support activities to performing arts,,5.7
2013,Cultural activities,Creative; arts and entertainment activities,Artistic creation,,27.4
2013,Cultural activities,Creative; arts and entertainment activities,Operation of arts facilities,,16.5
2013,Cultural activities,Museums activities,,,25.9
2013,Cultural activities,Operation of historical sites and buildings and similar visitor attractions,,,12
2013,Cultural activities,Botanical and zoological gardens and nature reserves activities,,,18.5
2013,Sport and recreational activities,,,,349.5
2013,Sport and recreational activities,Renting and leasing of recreational and sports goods,,,6.8
2013,Sport and recreational activities,Gambling and betting activities,,,96.5
2013,Sport and recreational activities,Operation of sports facilities,,,140.8
2013,Sport and recreational activities,Activities of racehorse owners,,,1.4
2013,Sport and recreational activities,Other sports activities,,,32.2
2013,Sport and recreational activities,Amusement and recreation activities,,,71.8
2013,Sport and recreational activities,Amusement and recreation activities,Activities of amusement parks and theme parks,,15.6
2013,Sport and recreational activities,Amusement and recreation activities,Other amusement and recreation activities not elsewhere classified,,56.1
2014,,,,,3439.9
2014,Accommodation,,,,954.3
2014,Accommodation,Accommodation,,,435.1
2014,Accommodation,Accommodation,Hotels and similar accommodation,,352.7
2014,Accommodation,Accommodation,Holiday and other short-stay accommodation,,40.1
2014,Accommodation,Accommodation,Holiday and other short-stay accommodation,Holiday centres and villages,24.6
2014,Accommodation,Accommodation,Holiday and other short-stay accommodation,Holiday and other collective accommodation,2.5
2014,Accommodation,Accommodation,Holiday and other short-stay accommodation,Other holiday and other collective accommodation,13
2014,Accommodation,Accommodation,Camping grounds; recreational vehicle parks and trailer parks,,33.4
2014,Accommodation,Accommodation,Other accommodation,,8.9
2014,Accommodation,Real estate activities,,,519.2
2014,Accommodation,Real estate activities,Buying and selling of own real estate,,9.2
2014,Accommodation,Real estate activities,Renting and operating of own or leased real estate,,262
2014,Accommodation,Real estate activities,Renting and operating of own or leased real estate,Renting and operating of Housing Association real estate,100.9
2014,Accommodation,Real estate activities,Renting and operating of own or leased real estate,Letting and operating of conference and exhibition centres,7.2
2014,Accommodation,Real estate activities,Renting and operating of own or leased real estate,Other letting and operating of own or leased real estate,153.9
2014,Accommodation,Real estate activities,Real estate activities on a fee or contract basis,,248
2014,Accommodation,Real estate activities,Real estate activities on a fee or contract basis,Real estate agencies,154.5
2014,Accommodation,Real estate activities,Real estate activities on a fee or contract basis,Management of real estate on a fee or contract basis,93.5
2014,food and beverage serving activities,,,,1487.9
2014,food and beverage serving activities,Restaurants and mobile food service activities,,,854.2
2014,food and beverage serving activities,Restaurants and mobile food service activities,Licensed restaurants,,406.2
2014,food and beverage serving activities,Restaurants and mobile food service activities,Unlicensed restaurants and cafes,,265.2
2014,food and beverage serving activities,Restaurants and mobile food service activities,Take-away food shops and mobile food stands,,182.8
2014,food and beverage serving activities,Other food services activities,,,122.3
2014,food and beverage serving activities,Beverage serving activities,,,511.4
2014,food and beverage serving activities,Beverage serving activities,Licensed clubs,,81.6
2014,food and beverage serving activities,Beverage serving activities,Public houses and bars,,429.7
2014,Railway passenger transport,,,,65.4
2014,Railway passenger transport,Passenger rail transport; interurban,,,46.9
2014,Railway passenger transport,Urban and suburban passenger railway transportation by underground; metro and similar systems,,,18.5
2014,Road passenger transport,,,,222.5
2014,Road passenger transport,Other urban; suburban or metropolitan area passenger land transport (not incl underground; metro and the like),,,121.1
2014,Road passenger transport,Taxi operation,,,38
2014,Road passenger transport,Other passenger land transport,,,63.4
2014,Water passenger transport,,,,10.2
2014,Water passenger transport,Sea and coastal passenger water transport,,,8.3
2014,Water passenger transport,Inland passenger water transport,,,1.9
2014,Air passenger transport,,,,69.8
2014,Air passenger transport,Scheduled passenger air transport,,,58.1
2014,Air passenger transport,Non-scheduled passenger air transport,,,11.7
2014,Renting and leasing of motor vehicles,,,,45.1
2014,Renting and leasing of motor vehicles,Renting and leasing of cars and light motor vehicles,,,35.6
2014,Renting and leasing of motor vehicles,Renting and leasing of trucks,,,9.5
2014,Travel agencies and other reservation service activities,,,,85.3
2014,Travel agencies and other reservation service activities,Travel agency and tour operator activities,,,84.5
2014,Travel agencies and other reservation service activities,Travel agency and tour operator activities,Travel agency activities,,56
2014,Travel agencies and other reservation service activities,Travel agency and tour operator activities,Tour operator activities,,28.5
2014,Travel agencies and other reservation service activities,Activities of tourist guides,,,0.8
2014,Cultural activities,,,,161.5
2014,Cultural activities,Creative; arts and entertainment activities,,,101.5
2014,Cultural activities,Creative; arts and entertainment activities,Performing arts,,49.2
2014,Cultural activities,Creative; arts and entertainment activities,Support activities to performing arts,,7.1
2014,Cultural activities,Creative; arts and entertainment activities,Artistic creation,,28.4
2014,Cultural activities,Creative; arts and entertainment activities,Operation of arts facilities,,16.8
2014,Cultural activities,Museums activities,,,26.8
2014,Cultural activities,Operation of historical sites and buildings and similar visitor attractions,,,13.8
2014,Cultural activities,Botanical and zoological gardens and nature reserves activities,,,19.4
2014,Sport and recreational activities,,,,337.9
2014,Sport and recreational activities,Renting and leasing of recreational and sports goods,,,5.8
2014,Sport and recreational activities,Gambling and betting activities,,,93.2
2014,Sport and recreational activities,Operation of sports facilities,,,146
2014,Sport and recreational activities,Activities of racehorse owners,,,1.4
2014,Sport and recreational activities,Other sports activities,,,34.5
2014,Sport and recreational activities,Amusement and recreation activities,,,57
2014,Sport and recreational activities,Amusement and recreation activities,Activities of amusement parks and theme parks,,15.6
2014,Sport and recreational activities,Amusement and recreation activities,Other amusement and recreation activities not elsewhere classified,,41.3
2015,,,,,3533.4
2015,Accommodation,,,,980.1
2015,Accommodation,Accommodation,,,445.4
2015,Accommodation,Accommodation,Hotels and similar accommodation,,362.3
2015,Accommodation,Accommodation,Holiday and other short-stay accommodation,,40
2015,Accommodation,Accommodation,Holiday and other short-stay accommodation,Holiday centres and villages,23.7
2015,Accommodation,Accommodation,Holiday and other short-stay accommodation,Holiday and other collective accommodation,2.5
2015,Accommodation,Accommodation,Holiday and other short-stay accommodation,Other holiday and other collective accommodation,13.8
2015,Accommodation,Accommodation,Camping grounds; recreational vehicle parks and trailer parks,,34.5
2015,Accommodation,Accommodation,Other accommodation,,8.6
2015,Accommodation,Real estate activities,,,534.7
2015,Accommodation,Real estate activities,Buying and selling of own real estate,,8.5
2015,Accommodation,Real estate activities,Renting and operating of own or leased real estate,,260.2
