Year,Units,Employment status,Industry,Sex,Age group,Value
2000,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,"Agriculture, forestry and fishing",,,19
2000,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,Manufacturing,,,1.8
2000,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,Construction,,,5
2001,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,"Agriculture, forestry and fishing",,,9.2
2001,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Manufacturing,,,1.2
2001,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Construction,,,4.3
2001,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,,,,0.8
2001,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,"Agriculture, forestry and fishing",,,8
2001,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Manufacturing,,,1.3
2001,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Construction,,,5.2
2001,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,,,,1.3
2001,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,"Agriculture, forestry and fishing",,,11
2001,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,Manufacturing,,,0.4
2001,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,Construction,,,2.9
2002,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,"Agriculture, forestry and fishing",,,9.3
2002,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Manufacturing,,,1.2
2002,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Construction,,,3.8
2002,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,,,,0.7
2002,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,"Agriculture, forestry and fishing",,,6.8
2002,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Manufacturing,,,1.2
2002,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Construction,,,5
2002,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,,,,1.3
2002,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,"Agriculture, forestry and fishing",,,12.9
2002,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,Manufacturing,,,0.5
2002,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,Construction,,,2
2003,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,"Agriculture, forestry and fishing",,,10.5
2003,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Manufacturing,,,0.8
2003,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Construction,,,3.8
2003,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,,,,0.7
2003,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,"Agriculture, forestry and fishing",,,2.5
2003,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Manufacturing,,,0.8
2003,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Construction,,,4.6
2003,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,,,,1.8
2003,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,"Agriculture, forestry and fishing",,,21.3
2003,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,Manufacturing,,,1.2
2003,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,Construction,,,2.5
2004,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,"Agriculture, forestry and fishing",,,12.8
2004,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Mining and quarrying,,,2.3
2004,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Manufacturing,,,1.1
2004,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Construction,,,3
2004,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,,,,0.7
2004,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,"Agriculture, forestry and fishing",,,8
2004,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Mining and quarrying,,,2.4
2004,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Manufacturing,,,1.2
2004,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Construction,,,3.6
2004,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,,,,1.3
2004,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,"Agriculture, forestry and fishing",,,19
2004,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,Manufacturing,,,0.4
2004,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,Construction,,,1.7
2005,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,"Agriculture, forestry and fishing",,,11.9
2005,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Mining and quarrying,,,4.3
2005,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Manufacturing,,,1.1
2005,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Construction,,,2.5
2005,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,,,,0.7
2005,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,"Agriculture, forestry and fishing",,,6.6
2005,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Mining and quarrying,,,4.6
2005,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Manufacturing,,,1.1
2005,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Construction,,,2.8
2005,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,,,,1.4
2005,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,"Agriculture, forestry and fishing",,,18.1
2005,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,Manufacturing,,,1.4
2005,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,Construction,,,2
2006,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,"Agriculture, forestry and fishing",,,11.5
2006,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Mining and quarrying,,,8.6
2006,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Manufacturing,,,1
2006,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Construction,,,3.2
2006,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,,,,0.8
2006,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,"Agriculture, forestry and fishing",,,8.7
2006,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Mining and quarrying,,,9.2
2006,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Manufacturing,,,1
2006,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Construction,,,3.3
2006,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,,,,1.4
2006,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,"Agriculture, forestry and fishing",,,14.7
2006,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,Manufacturing,,,0.4
2006,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,Construction,,,2.9
2007,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,"Agriculture, forestry and fishing",,,15.8
2007,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Mining and quarrying,,,4.6
2007,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Manufacturing,,,0.8
2007,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Construction,,,2.9
2007,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,,,,0.7
2007,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,"Agriculture, forestry and fishing",,,13.7
2007,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Mining and quarrying,,,4.9
2007,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Manufacturing,,,0.9
2007,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Construction,,,3.3
2007,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,,,,1.4
2007,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,"Agriculture, forestry and fishing",,,18.5
2007,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,Manufacturing,,,0.4
2007,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,Construction,,,2.1
2008,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,"Agriculture, forestry and fishing",,,7.5
2008,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Mining and quarrying,,,4.2
2008,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Manufacturing,,,0.9
2008,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Construction,,,2
2008,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,,,,0.5
2008,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,"Agriculture, forestry and fishing",,,5
2008,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Mining and quarrying,,,4.6
2008,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Manufacturing,,,0.9
2008,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Construction,,,1.9
2008,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,,,,1.3
2008,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,"Agriculture, forestry and fishing",,,10.2
2008,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,Construction,,,2.3
2009,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,"Agriculture, forestry and fishing",,,12.3
2009,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Mining and quarrying,,,4.8
2009,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Manufacturing,,,0.9
2009,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Construction,,,1.8
2009,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,,,,0.4
2009,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,"Agriculture, forestry and fishing",,,9.3
2009,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Mining and quarrying,,,5.1
2009,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Manufacturing,,,0.8
2009,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Construction,,,2
2009,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,,,,1
2009,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,"Agriculture, forestry and fishing",,,14.9
2009,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,Manufacturing,,,1
2009,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,Construction,,,1.4
2010,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,"Agriculture, forestry and fishing",,,9.8
2010,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Mining and quarrying,,,2.9
2010,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Manufacturing,,,1
2010,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Construction,,,2.3
2010,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,,,,0.5
2010,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,"Agriculture, forestry and fishing",,,6.9
2010,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Mining and quarrying,,,3.2
2010,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Manufacturing,,,1
2010,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Employees,Construction,,,2.5
2010,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,,,,1.3
2010,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,"Agriculture, forestry and fishing",,,12.3
2010,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,Manufacturing,,,1.5
2010,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",Self-employed,Construction,,,2.1
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,,,16 to 19,0.47
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,,,20 to 24,0.31
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,,,25 to 34,0.34
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,,,35 to 44,0.42
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,,,45 to 54,0.59
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,,,55 to 59,0.91
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,,,60 to 64,0.9
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,,,65+,2.67
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,,Male,,1.06
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,,Male,16 to 19,0.99
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,,Male,20 to 24,0.6
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,,Male,25 to 34,0.62
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,,Male,35 to 44,0.8
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,,Male,45 to 54,1.09
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,,Male,55 to 59,1.6
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,,Male,60 to 64,1.5
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,,Male,65+,4.21
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,,Female,,0.04
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,,Female,45 to 54,0.06
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,,Female,55 to 59,0.16
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,,Female,65+,0.3
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,"Agriculture, forestry and fishing",,,10.23
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,"Agriculture, forestry and fishing",,16 to 19,20.18
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,"Agriculture, forestry and fishing",,20 to 24,5.94
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,"Agriculture, forestry and fishing",,25 to 34,16.19
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,"Agriculture, forestry and fishing",,35 to 44,4.73
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,"Agriculture, forestry and fishing",,45 to 54,2.37
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,"Agriculture, forestry and fishing",,55 to 59,8.79
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,"Agriculture, forestry and fishing",,60 to 64,13.78
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,"Agriculture, forestry and fishing",,65+,22.44
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,"Agriculture, forestry and fishing",Male,,13.57
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,"Agriculture, forestry and fishing",Male,16 to 19,27.88
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,"Agriculture, forestry and fishing",Male,20 to 24,7.53
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,"Agriculture, forestry and fishing",Male,25 to 34,22.04
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,"Agriculture, forestry and fishing",Male,35 to 44,6.13
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,"Agriculture, forestry and fishing",Male,45 to 54,3.32
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,"Agriculture, forestry and fishing",Male,55 to 59,7.69
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,"Agriculture, forestry and fishing",Male,60 to 64,20.51
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,"Agriculture, forestry and fishing",Male,65+,31.2
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,"Agriculture, forestry and fishing",Female,,1.09
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Mining and quarrying,,,10.24
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Mining and quarrying,,25 to 34,4.47
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Mining and quarrying,,35 to 44,7.38
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Mining and quarrying,,45 to 54,15.53
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Mining and quarrying,,55 to 59,10.48
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Mining and quarrying,Male,,11.77
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Mining and quarrying,Male,25 to 34,5.49
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Mining and quarrying,Male,35 to 44,8.66
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Mining and quarrying,Male,45 to 54,17.31
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Manufacturing,,,1.07
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Manufacturing,,16 to 19,1.95
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Manufacturing,,20 to 24,0.52
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Manufacturing,,25 to 34,0.33
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Manufacturing,,35 to 44,1.13
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Manufacturing,,45 to 54,1.59
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Manufacturing,,55 to 59,1.57
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Manufacturing,,60 to 64,1.08
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Manufacturing,Male,,1.41
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Manufacturing,Male,16 to 19,2.48
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Manufacturing,Male,20 to 24,0.71
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Manufacturing,Male,25 to 34,0.47
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Manufacturing,Male,35 to 44,1.49
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Manufacturing,Male,45 to 54,2.06
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Manufacturing,Male,55 to 59,2.05
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Manufacturing,Male,60 to 64,1.32
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,"Water supply; sewerage, waste management and remediation activities",,,2.66
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,"Water supply; sewerage, waste management and remediation activities",,25 to 34,4.08
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,"Water supply; sewerage, waste management and remediation activities",,35 to 44,1.9
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,"Water supply; sewerage, waste management and remediation activities",,55 to 59,9.35
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,"Water supply; sewerage, waste management and remediation activities",Male,,2.67
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,"Water supply; sewerage, waste management and remediation activities",Male,25 to 34,5.08
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,"Water supply; sewerage, waste management and remediation activities",Male,35 to 44,2.41
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,"Water supply; sewerage, waste management and remediation activities",Male,55 to 59,5.21
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,"Water supply; sewerage, waste management and remediation activities",Female,,2.6
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Construction,,,2.25
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Construction,,16 to 19,1.8
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Construction,,20 to 24,2.63
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Construction,,25 to 34,1.04
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Construction,,35 to 44,0.98
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Construction,,45 to 54,2.9
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Construction,,55 to 59,4.54
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Construction,,60 to 64,2.78
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Construction,,65+,8.95
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Construction,Male,,2.55
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Construction,Male,16 to 19,1.9
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Construction,Male,20 to 24,2.89
2011,"Rate of workplace injury (fatal and non-fatal) per 100,000 workers (or employees or workers)",,Construction,Male,25 to 34,1.16
