Year,Flow of offical development assistance,Aid subcategory description (DAC 5 code),Aid description (CRS code),Value
2013,,,,546814.3589
2012,,,,472870.2008
2011,,,,351840.5367
2010,,,,204679.6614
2015,Bilteral,,,112511.8399
2015,Bilteral,"Energy generation, distribution and efficiency – general (231)",,40939.00141
2015,Bilteral,"Energy generation, distribution and efficiency – general (231)",Energy policy and administrative management (23110),32435.11449
2015,Bilteral,"Energy generation, distribution and efficiency – general (231)",Energy education and training (23181),0
2015,Bilteral,"Energy generation, distribution and efficiency – general (231)",Energy research (23182),8503.88692
2015,Bilteral,"Energy generation, distribution and efficiency – general (231)",Energy conservation and demand-side efficiency (23183),0
2015,Bilteral,"Energy generation, renewable sources (232)",,56131.56709
2015,Bilteral,"Energy generation, renewable sources (232)","Energy generation, renewable sources – multiple technologies (23210)",39894.01288
2015,Bilteral,"Energy generation, renewable sources (232)",Hydro-electric power plants (23220),0
2015,Bilteral,"Energy generation, renewable sources (232)",Solar energy (23230),0
2015,Bilteral,"Energy generation, renewable sources (232)",Wind energy (23240),0
2015,Bilteral,"Energy generation, renewable sources (232)",Marine energy (23250),0
2015,Bilteral,"Energy generation, renewable sources (232)",Geothermal energy (23260),16237.55421
2015,Bilteral,"Energy generation, renewable sources (232)",Biofuel-fired power plants (23270),0
2015,Bilteral,"Energy generation, non-renewable sources (233)",,4244.47368
2015,Bilteral,"Energy generation, non-renewable sources (233)","Energy generation, non-renewable sources – unspecified (23310)",-209.12648
2015,Bilteral,"Energy generation, non-renewable sources (233)",Coal-fired electric power plants (23320),0
2015,Bilteral,"Energy generation, non-renewable sources (233)",Oil-fired electric power plants (23330),0
2015,Bilteral,"Energy generation, non-renewable sources (233)",Natural gas-fired electric power plants (23340),0
2015,Bilteral,"Energy generation, non-renewable sources (233)",Fossil fuel electric power plants with carbon capture and storage (CCS) (23350),0
2015,Bilteral,"Energy generation, non-renewable sources (233)",Non-renewable waste-fired electric power plants (23360),4453.60016
2015,Bilteral,Hybrid energy electric power plants (234),,0
2015,Bilteral,Hybrid energy electric power plants (234),Hybrid energy electric power plants (23410),0
2015,Bilteral,Nuclear energy electric power plants (235),,0
2015,Bilteral,Nuclear energy electric power plants (235),Nuclear energy electric power plants (23510),0
2015,Bilteral,"Heating, cooling and energy distribution (236)",,11196.79771
2015,Bilteral,"Heating, cooling and energy distribution (236)",Heat plants (23610),0
2015,Bilteral,"Heating, cooling and energy distribution (236)",District heating and cooling (23620),0
2015,Bilteral,"Heating, cooling and energy distribution (236)",Electric power transmission and distribution (23630),11196.79771
2015,Bilteral,"Heating, cooling and energy distribution (236)",Gas distribution (23640),0
2014,Bilteral,,,108587.987
2013,Bilteral,,,137754.3995
2012,Bilteral,,,284465.042
2011,Bilteral,,,147552.1343
2010,Bilteral,,,79882.8408
2009,Bilteral,,,51782.29
2010,Multilateral,,,124796.8206
2010,Multilateral,"Energy generation, distribution and efficiency – general (231)",,38039.86403
2010,Multilateral,"Energy generation, distribution and efficiency – general (231)",Energy policy and administrative management (23110),37322.43368
2010,Multilateral,"Energy generation, distribution and efficiency – general (231)",Energy education and training (23181),537.1520414
2010,Multilateral,"Energy generation, distribution and efficiency – general (231)",Energy research (23182),180.2783075
2010,Multilateral,"Energy generation, distribution and efficiency – general (231)",Energy conservation and demand-side efficiency (23183),0
2010,Multilateral,"Energy generation, renewable sources (232)",,24353.1597
2010,Multilateral,"Energy generation, renewable sources (232)","Energy generation, renewable sources – multiple technologies (23210)",7020.225456
2010,Multilateral,"Energy generation, renewable sources (232)",Hydro-electric power plants (23220),9794.495754
2010,Multilateral,"Energy generation, renewable sources (232)",Solar energy (23230),2607.303014
2010,Multilateral,"Energy generation, renewable sources (232)",Wind energy (23240),3224.439655
2010,Multilateral,"Energy generation, renewable sources (232)",Marine energy (23250),0
2010,Multilateral,"Energy generation, renewable sources (232)",Geothermal energy (23260),875.5286123
2010,Multilateral,"Energy generation, renewable sources (232)",Biofuel-fired power plants (23270),831.1672144
2010,Multilateral,"Energy generation, non-renewable sources (233)",,12904.48949
2010,Multilateral,"Energy generation, non-renewable sources (233)","Energy generation, non-renewable sources – unspecified (23310)",12272.8773
2010,Multilateral,"Energy generation, non-renewable sources (233)",Coal-fired electric power plants (23320),469.9195898
2010,Multilateral,"Energy generation, non-renewable sources (233)",Oil-fired electric power plants (23330),122.9081179
2010,Multilateral,"Energy generation, non-renewable sources (233)",Natural gas-fired electric power plants (23340),38.78448437
2010,Multilateral,"Energy generation, non-renewable sources (233)",Fossil fuel electric power plants with carbon capture and storage (CCS) (23350),0
2010,Multilateral,"Energy generation, non-renewable sources (233)",Non-renewable waste-fired electric power plants (23360),0
2010,Multilateral,Hybrid energy electric power plants (234),,0
2010,Multilateral,Hybrid energy electric power plants (234),Hybrid energy electric power plants (23410),0
2010,Multilateral,Nuclear energy electric power plants (235),,4805.836758
2010,Multilateral,Nuclear energy electric power plants (235),Nuclear energy electric power plants (23510),4805.836758
2010,Multilateral,"Heating, cooling and energy distribution (236)",,44693.47061
2010,Multilateral,"Heating, cooling and energy distribution (236)",Heat plants (23610),0
2010,Multilateral,"Heating, cooling and energy distribution (236)",District heating and cooling (23620),0
2010,Multilateral,"Heating, cooling and energy distribution (236)",Electric power transmission and distribution (23630),43980.62255
2010,Multilateral,"Heating, cooling and energy distribution (236)",Gas distribution (23640),712.8480544
2011,Multilateral,,,204288.4025
2011,Multilateral,"Energy generation, distribution and efficiency – general (231)",,28977.33294
2011,Multilateral,"Energy generation, distribution and efficiency – general (231)",Energy policy and administrative management (23110),28182.28623
2011,Multilateral,"Energy generation, distribution and efficiency – general (231)",Energy education and training (23181),729.2669063
2011,Multilateral,"Energy generation, distribution and efficiency – general (231)",Energy research (23182),65.77979846
2011,Multilateral,"Energy generation, distribution and efficiency – general (231)",Energy conservation and demand-side efficiency (23183),0
2011,Multilateral,"Energy generation, renewable sources (232)",,73075.92453
2011,Multilateral,"Energy generation, renewable sources (232)","Energy generation, renewable sources – multiple technologies (23210)",43181.30052
2011,Multilateral,"Energy generation, renewable sources (232)",Hydro-electric power plants (23220),19894.20669
2011,Multilateral,"Energy generation, renewable sources (232)",Solar energy (23230),5404.380571
2011,Multilateral,"Energy generation, renewable sources (232)",Wind energy (23240),1227.264416
2011,Multilateral,"Energy generation, renewable sources (232)",Marine energy (23250),0
2011,Multilateral,"Energy generation, renewable sources (232)",Geothermal energy (23260),1891.482119
2011,Multilateral,"Energy generation, renewable sources (232)",Biofuel-fired power plants (23270),1477.290211
2011,Multilateral,"Energy generation, non-renewable sources (233)",,31738.50252
2011,Multilateral,"Energy generation, non-renewable sources (233)","Energy generation, non-renewable sources – unspecified (23310)",10028.77856
2011,Multilateral,"Energy generation, non-renewable sources (233)",Coal-fired electric power plants (23320),690.4083343
2011,Multilateral,"Energy generation, non-renewable sources (233)",Oil-fired electric power plants (23330),71.73662794
2011,Multilateral,"Energy generation, non-renewable sources (233)",Natural gas-fired electric power plants (23340),20947.579
2011,Multilateral,"Energy generation, non-renewable sources (233)",Fossil fuel electric power plants with carbon capture and storage (CCS) (23350),0
2011,Multilateral,"Energy generation, non-renewable sources (233)",Non-renewable waste-fired electric power plants (23360),0
2011,Multilateral,Hybrid energy electric power plants (234),,0
2011,Multilateral,Hybrid energy electric power plants (234),Hybrid energy electric power plants (23410),0
2011,Multilateral,Nuclear energy electric power plants (235),,2483.237184
2011,Multilateral,Nuclear energy electric power plants (235),Nuclear energy electric power plants (23510),2483.237184
2011,Multilateral,"Heating, cooling and energy distribution (236)",,68013.40531
2011,Multilateral,"Heating, cooling and energy distribution (236)",Heat plants (23610),0
2011,Multilateral,"Heating, cooling and energy distribution (236)",District heating and cooling (23620),0
2011,Multilateral,"Heating, cooling and energy distribution (236)",Electric power transmission and distribution (23630),66440.47332
2011,Multilateral,"Heating, cooling and energy distribution (236)",Gas distribution (23640),1572.931985
2012,Multilateral,,,188405.1588
2012,Multilateral,"Energy generation, distribution and efficiency – general (231)",,35845.51159
2012,Multilateral,"Energy generation, distribution and efficiency – general (231)",Energy policy and administrative management (23110),35434.96906
2012,Multilateral,"Energy generation, distribution and efficiency – general (231)",Energy education and training (23181),270.6359933
2012,Multilateral,"Energy generation, distribution and efficiency – general (231)",Energy research (23182),139.9065396
2012,Multilateral,"Energy generation, distribution and efficiency – general (231)",Energy conservation and demand-side efficiency (23183),0
2012,Multilateral,"Energy generation, renewable sources (232)",,20406.04438
2012,Multilateral,"Energy generation, renewable sources (232)","Energy generation, renewable sources – multiple technologies (23210)",6900.908242
2012,Multilateral,"Energy generation, renewable sources (232)",Hydro-electric power plants (23220),8918.915422
2012,Multilateral,"Energy generation, renewable sources (232)",Solar energy (23230),1687.691676
2012,Multilateral,"Energy generation, renewable sources (232)",Wind energy (23240),263.9127158
2012,Multilateral,"Energy generation, renewable sources (232)",Marine energy (23250),0
2012,Multilateral,"Energy generation, renewable sources (232)",Geothermal energy (23260),1466.331753
2012,Multilateral,"Energy generation, renewable sources (232)",Biofuel-fired power plants (23270),1168.284575
2012,Multilateral,"Energy generation, non-renewable sources (233)",,69548.03033
2012,Multilateral,"Energy generation, non-renewable sources (233)","Energy generation, non-renewable sources – unspecified (23310)",67047.27694
2012,Multilateral,"Energy generation, non-renewable sources (233)",Coal-fired electric power plants (23320),376.7927943
2012,Multilateral,"Energy generation, non-renewable sources (233)",Oil-fired electric power plants (23330),0
2012,Multilateral,"Energy generation, non-renewable sources (233)",Natural gas-fired electric power plants (23340),2123.960598
2012,Multilateral,"Energy generation, non-renewable sources (233)",Fossil fuel electric power plants with carbon capture and storage (CCS) (23350),0
2012,Multilateral,"Energy generation, non-renewable sources (233)",Non-renewable waste-fired electric power plants (23360),0
2012,Multilateral,Hybrid energy electric power plants (234),,0
2012,Multilateral,Hybrid energy electric power plants (234),Hybrid energy electric power plants (23410),0
2012,Multilateral,Nuclear energy electric power plants (235),,2016.82921
2012,Multilateral,Nuclear energy electric power plants (235),Nuclear energy electric power plants (23510),2016.82921
2012,Multilateral,"Heating, cooling and energy distribution (236)",,60588.74333
2012,Multilateral,"Heating, cooling and energy distribution (236)",Heat plants (23610),0
2012,Multilateral,"Heating, cooling and energy distribution (236)",District heating and cooling (23620),0
2012,Multilateral,"Heating, cooling and energy distribution (236)",Electric power transmission and distribution (23630),58785.02885
2012,Multilateral,"Heating, cooling and energy distribution (236)",Gas distribution (23640),1803.714475
2013,Multilateral,,,409059.9594
2013,Multilateral,"Energy generation, distribution and efficiency – general (231)",,60408.12016
2013,Multilateral,"Energy generation, distribution and efficiency – general (231)",Energy policy and administrative management (23110),59800.30802
2013,Multilateral,"Energy generation, distribution and efficiency – general (231)",Energy education and training (23181),582.5551079
2013,Multilateral,"Energy generation, distribution and efficiency – general (231)",Energy research (23182),25.25703735
2013,Multilateral,"Energy generation, distribution and efficiency – general (231)",Energy conservation and demand-side efficiency (23183),0
2013,Multilateral,"Energy generation, renewable sources (232)",,199907.824
2013,Multilateral,"Energy generation, renewable sources (232)","Energy generation, renewable sources – multiple technologies (23210)",17570.59362
2013,Multilateral,"Energy generation, renewable sources (232)",Hydro-electric power plants (23220),18978.36674
2013,Multilateral,"Energy generation, renewable sources (232)",Solar energy (23230),146538.0868
2013,Multilateral,"Energy generation, renewable sources (232)",Wind energy (23240),7791.820511
2013,Multilateral,"Energy generation, renewable sources (232)",Marine energy (23250),0
2013,Multilateral,"Energy generation, renewable sources (232)",Geothermal energy (23260),7802.677167
2013,Multilateral,"Energy generation, renewable sources (232)",Biofuel-fired power plants (23270),1226.279141
2013,Multilateral,"Energy generation, non-renewable sources (233)",,44770.68972
2013,Multilateral,"Energy generation, non-renewable sources (233)","Energy generation, non-renewable sources – unspecified (23310)",43604.48416
2013,Multilateral,"Energy generation, non-renewable sources (233)",Coal-fired electric power plants (23320),103.4118968
2013,Multilateral,"Energy generation, non-renewable sources (233)",Oil-fired electric power plants (23330),34.30722447
2013,Multilateral,"Energy generation, non-renewable sources (233)",Natural gas-fired electric power plants (23340),1028.486439
2013,Multilateral,"Energy generation, non-renewable sources (233)",Fossil fuel electric power plants with carbon capture and storage (CCS) (23350),0
2013,Multilateral,"Energy generation, non-renewable sources (233)",Non-renewable waste-fired electric power plants (23360),0
2013,Multilateral,Hybrid energy electric power plants (234),,0
2013,Multilateral,Hybrid energy electric power plants (234),Hybrid energy electric power plants (23410),0
2013,Multilateral,Nuclear energy electric power plants (235),,4222.301716
2013,Multilateral,Nuclear energy electric power plants (235),Nuclear energy electric power plants (23510),4222.301716
2013,Multilateral,"Heating, cooling and energy distribution (236)",,99751.02381
2013,Multilateral,"Heating, cooling and energy distribution (236)",Heat plants (23610),0
2013,Multilateral,"Heating, cooling and energy distribution (236)",District heating and cooling (23620),0
2013,Multilateral,"Heating, cooling and energy distribution (236)",Electric power transmission and distribution (23630),99100.62593
2013,Multilateral,"Heating, cooling and energy distribution (236)",Gas distribution (23640),650.3978887
2014,Multilateral,,,460642.6407
2014,Multilateral,"Energy generation, distribution and efficiency – general (231)",,151859.5252
2014,Multilateral,"Energy generation, distribution and efficiency – general (231)",Energy policy and administrative management (23110),148934.3962
2014,Multilateral,"Energy generation, distribution and efficiency – general (231)",Energy education and training (23181),2888.158787
2014,Multilateral,"Energy generation, distribution and efficiency – general (231)",Energy research (23182),36.9701713
2014,Multilateral,"Energy generation, distribution and efficiency – general (231)",Energy conservation and demand-side efficiency (23183),0
2014,Multilateral,"Energy generation, renewable sources (232)",,160501.3924
2014,Multilateral,"Energy generation, renewable sources (232)","Energy generation, renewable sources – multiple technologies (23210)",12943.23325
2014,Multilateral,"Energy generation, renewable sources (232)",Hydro-electric power plants (23220),20647.10116
2014,Multilateral,"Energy generation, renewable sources (232)",Solar energy (23230),116131.4144
2014,Multilateral,"Energy generation, renewable sources (232)",Wind energy (23240),1862.083638
2014,Multilateral,"Energy generation, renewable sources (232)",Marine energy (23250),0
2014,Multilateral,"Energy generation, renewable sources (232)",Geothermal energy (23260),8209.604771
2014,Multilateral,"Energy generation, renewable sources (232)",Biofuel-fired power plants (23270),707.9552016
2014,Multilateral,"Energy generation, non-renewable sources (233)",,40335.79261
2014,Multilateral,"Energy generation, non-renewable sources (233)","Energy generation, non-renewable sources – unspecified (23310)",32214.89579
2014,Multilateral,"Energy generation, non-renewable sources (233)",Coal-fired electric power plants (23320),76.90100241
2014,Multilateral,"Energy generation, non-renewable sources (233)",Oil-fired electric power plants (23330),833.384284
2014,Multilateral,"Energy generation, non-renewable sources (233)",Natural gas-fired electric power plants (23340),7210.611536
2014,Multilateral,"Energy generation, non-renewable sources (233)",Fossil fuel electric power plants with carbon capture and storage (CCS) (23350),0
2014,Multilateral,"Energy generation, non-renewable sources (233)",Non-renewable waste-fired electric power plants (23360),0
2014,Multilateral,Hybrid energy electric power plants (234),,0
2014,Multilateral,Hybrid energy electric power plants (234),Hybrid energy electric power plants (23410),0
2014,Multilateral,Nuclear energy electric power plants (235),,2815.263661
2014,Multilateral,Nuclear energy electric power plants (235),Nuclear energy electric power plants (23510),2815.263661
2014,Multilateral,"Heating, cooling and energy distribution (236)",,105130.6668
2014,Multilateral,"Heating, cooling and energy distribution (236)",Heat plants (23610),0
2014,Multilateral,"Heating, cooling and energy distribution (236)",District heating and cooling (23620),0
2014,Multilateral,"Heating, cooling and energy distribution (236)",Electric power transmission and distribution (23630),102150.5834
2014,Multilateral,"Heating, cooling and energy distribution (236)",Gas distribution (23640),2980.083448
2015,Multilateral,,,435458.5245
2015,Multilateral,"Energy generation, distribution and efficiency – general (231)",,106912.9384
2015,Multilateral,"Energy generation, distribution and efficiency – general (231)",Energy policy and administrative management (23110),103663.4904
2015,Multilateral,"Energy generation, distribution and efficiency – general (231)",Energy education and training (23181),2716.81861
2015,Multilateral,"Energy generation, distribution and efficiency – general (231)",Energy research (23182),55.48050273
2015,Multilateral,"Energy generation, distribution and efficiency – general (231)",Energy conservation and demand-side efficiency (23183),477.1489573
2015,Multilateral,"Energy generation, renewable sources (232)",,228291.2331
2015,Multilateral,"Energy generation, renewable sources (232)","Energy generation, renewable sources – multiple technologies (23210)",25339.51368
2015,Multilateral,"Energy generation, renewable sources (232)",Hydro-electric power plants (23220),19956.88405
2015,Multilateral,"Energy generation, renewable sources (232)",Solar energy (23230),171469.2528
2015,Multilateral,"Energy generation, renewable sources (232)",Wind energy (23240),5774.362501
2015,Multilateral,"Energy generation, renewable sources (232)",Marine energy (23250),0
2015,Multilateral,"Energy generation, renewable sources (232)",Geothermal energy (23260),4543.101358
2015,Multilateral,"Energy generation, renewable sources (232)",Biofuel-fired power plants (23270),1208.118761
2015,Multilateral,"Energy generation, non-renewable sources (233)",,12151.82495
2015,Multilateral,"Energy generation, non-renewable sources (233)","Energy generation, non-renewable sources – unspecified (23310)",2942.875981
2015,Multilateral,"Energy generation, non-renewable sources (233)",Coal-fired electric power plants (23320),4.280117534
2015,Multilateral,"Energy generation, non-renewable sources (233)",Oil-fired electric power plants (23330),0.907294337
2015,Multilateral,"Energy generation, non-renewable sources (233)",Natural gas-fired electric power plants (23340),7995.967465
2015,Multilateral,"Energy generation, non-renewable sources (233)",Fossil fuel electric power plants with carbon capture and storage (CCS) (23350),1207.794094
2015,Multilateral,"Energy generation, non-renewable sources (233)",Non-renewable waste-fired electric power plants (23360),0
2015,Multilateral,Hybrid energy electric power plants (234),,0
2015,Multilateral,Hybrid energy electric power plants (234),Hybrid energy electric power plants (23410),0
2015,Multilateral,Nuclear energy electric power plants (235),,3621.606004
2015,Multilateral,Nuclear energy electric power plants (235),Nuclear energy electric power plants (23510),3621.606004
2015,Multilateral,"Heating, cooling and energy distribution (236)",,84480.92203
2015,Multilateral,"Heating, cooling and energy distribution (236)",Heat plants (23610),0
2015,Multilateral,"Heating, cooling and energy distribution (236)",District heating and cooling (23620),2.783074332
2015,Multilateral,"Heating, cooling and energy distribution (236)",Electric power transmission and distribution (23630),84252.20706
2015,Multilateral,"Heating, cooling and energy distribution (236)",Gas distribution (23640),225.9318918
