Year,Flow of Overseas Development Assistance,Aid sector (Development Assistance Committee code),Aid category (Development Assistance Committee code),Aid subcategory (Development Assistance Committee code),Aid description (creditor reporting system code),Recipient region,Recipient country,Type of aid finance,Value
2015,,,,,,,,Core contributions to multilateral institutions (B02),4473393.076
2015,,,,,,,,"Core support to NGOs, other private bodies, PPPs and research institutes (B01)",464616.3717
2015,,,,,,,,Debt relief (F01),0
2015,,,,,,,,Development awareness (H01),1603.83011
2015,,,,,,,,Donor country personnel (D01),17083.33943
2015,,,,,,,,General budget support (A01),49705.882
2015,,,,,,,,Imputed student costs (E02),975.058
2015,,,,,,,,Other technical assistance (D02),525078.4988
2015,,,,,,,,Project-type interventions (C01),4064226.012
2015,,,,,,,,Refugees in donor countries (H02),251896.463
2015,,,,,,,,Scholarships/training in donor country (E01),70058.95959
2015,,,,,,,,Sector budget support (A02),86308.10768
2009,Bilateral,,,,,North Africa,,,32140.05
2009,Bilateral,,,,,North Africa,Algeria,,2314.3
2009,Bilateral,,,,,North Africa,Egypt,,22813.84
2009,Bilateral,,,,,North Africa,Libya,,598.45
2009,Bilateral,,,,,North Africa,Morocco,,3039.71
2009,Bilateral,,,,,North Africa,Tunisia,,2445.98
2009,Bilateral,,,,,North Africa,North of Sahara (Country Unspecifed),,927.77
2009,Bilateral,,,,,Sub Saharan Africa,,,1617194.06
2009,Bilateral,,,,,Sub Saharan Africa,Angola,,2840.52
2009,Bilateral,,,,,Sub Saharan Africa,Benin,,16.95
2009,Bilateral,,,,,Sub Saharan Africa,Botswana,,594.28
2009,Bilateral,,,,,Sub Saharan Africa,Burkina Faso,,126.33
2009,Bilateral,,,,,Sub Saharan Africa,Burundi,,9422.09
2009,Bilateral,,,,,Sub Saharan Africa,Cameroon,,1446.23
2009,Bilateral,,,,,Sub Saharan Africa,Cape Verde,,456.41
2009,Bilateral,,,,,Sub Saharan Africa,Central African Republic,,1559.77
2009,Bilateral,,,,,Sub Saharan Africa,Chad,,3563.93
2009,Bilateral,,,,,Sub Saharan Africa,Comoros,,0
2009,Bilateral,,,,,Sub Saharan Africa,"Congo, Democratic Republic",,144384.81
2009,Bilateral,,,,,Sub Saharan Africa,"Congo, Republic",,0
2009,Bilateral,,,,,Sub Saharan Africa,Ivory Coast,,94.76
2009,Bilateral,,,,,Sub Saharan Africa,Djibouti,,1503.83
2009,Bilateral,,,,,Sub Saharan Africa,Equatorial Guinea,,0
2009,Bilateral,,,,,Sub Saharan Africa,Eritrea,,4128.85
2009,Bilateral,,,,,Sub Saharan Africa,Ethiopia,,219731.82
2009,Bilateral,,,,,Sub Saharan Africa,Gabon,,0
2009,Bilateral,,,,,Sub Saharan Africa,Gambia,,2387.71
2009,Bilateral,,,,,Sub Saharan Africa,Ghana,,98664.41
2009,Bilateral,,,,,Sub Saharan Africa,Guinea,,556.6
2009,Bilateral,,,,,Sub Saharan Africa,Guinea-Bissau,,84.84
2009,Bilateral,,,,,Sub Saharan Africa,Kenya,,84025.58
2009,Bilateral,,,,,Sub Saharan Africa,Lesotho,,5238.41
2009,Bilateral,,,,,Sub Saharan Africa,Liberia,,21384.68
2009,Bilateral,,,,,Sub Saharan Africa,Madagascar,,830.23
2009,Bilateral,,,,,Sub Saharan Africa,Malawi,,71511.52
2009,Bilateral,,,,,Sub Saharan Africa,Mali,,16.95
2009,Bilateral,,,,,Sub Saharan Africa,Mauritania,,496.87
2009,Bilateral,,,,,Sub Saharan Africa,Mauritius,,13291.12
2009,Bilateral,,,,,Sub Saharan Africa,Mayotte,,0
2009,Bilateral,,,,,Sub Saharan Africa,Mozambique,,35146.65
2009,Bilateral,,,,,Sub Saharan Africa,Namibia,,438.08
2009,Bilateral,,,,,Sub Saharan Africa,Niger,,3969.5
2009,Bilateral,,,,,Sub Saharan Africa,Nigeria,,121276.66
2009,Bilateral,,,,,Sub Saharan Africa,Rwanda,,57600.18
2009,Bilateral,,,,,Sub Saharan Africa,Sao Tome and Principe,,0
2009,Bilateral,,,,,Sub Saharan Africa,Senegal,,4171.5
2009,Bilateral,,,,,Sub Saharan Africa,Seychelles,,37.63
2009,Bilateral,,,,,Sub Saharan Africa,Sierra Leone,,51388.71
2009,Bilateral,,,,,Sub Saharan Africa,Somalia,,28011.47
2009,Bilateral,,,,,Sub Saharan Africa,South Africa,,43112.59
2009,Bilateral,,,,,Sub Saharan Africa,South Sudan,,0
2009,Bilateral,,,,,Sub Saharan Africa,St. Helena,,24702.5
2009,Bilateral,,,,,Sub Saharan Africa,Sudan,,189450.25
2009,Bilateral,,,,,Sub Saharan Africa,Swaziland,,-2423.66
2009,Bilateral,,,,,Sub Saharan Africa,Tanzania,,138690.27
2009,Bilateral,,,,,Sub Saharan Africa,Togo,,6668.23
2009,Bilateral,,,,,Sub Saharan Africa,Uganda,,75129.6
2009,Bilateral,,,,,Sub Saharan Africa,Zambia,,51410.23
2009,Bilateral,,,,,Sub Saharan Africa,Zimbabwe,,71309.35
2009,Bilateral,,,,,Sub Saharan Africa,South of Sahara (Country Unspecifed),,28744.82
2009,Bilateral,,,,,Middle East,,,125379.04
2009,Bilateral,,,,,Middle East,Iran,,465.71
2009,Bilateral,,,,,Middle East,Iraq,,31092.91
2009,Bilateral,,,,,Middle East,Jordan,,974.22
2009,Bilateral,,,,,Middle East,Lebanon,,3456.06
2009,Bilateral,,,,,Middle East,Oman,,410.33
2009,Bilateral,,,,,Middle East,Syria,,671.9
2009,Bilateral,,,,,Middle East,West Bank and Gaza Strip,,61036.21
2009,Bilateral,,,,,Middle East,Yemen,,23428.55
2009,Bilateral,,,,,Middle East,Middle East (Country Unspecifed),,3843.15
2009,Bilateral,,,,,South and Central Asia,,,1052583.72
2009,Bilateral,,,,,South and Central Asia,Afghanistan,,208251.02
2009,Bilateral,,,,,South and Central Asia,Armenia,,646.21
2009,Bilateral,,,,,South and Central Asia,Azerbaijan,,904.63
2009,Bilateral,,,,,South and Central Asia,Bangladesh,,160477.76
2009,Bilateral,,,,,South and Central Asia,Bhutan,,0
2009,Bilateral,,,,,South and Central Asia,Burma,,33995.9
2009,Bilateral,,,,,South and Central Asia,Georgia,,6320.45
2009,Bilateral,,,,,South and Central Asia,India,,408033.7497
2009,Bilateral,,,,,South and Central Asia,Kazakhstan,,4433.34
2009,Bilateral,,,,,South and Central Asia,Kyrgyz Republic,,5724.02
2009,Bilateral,,,,,South and Central Asia,Maldives,,243.69
2009,Bilateral,,,,,South and Central Asia,Nepal,,66092.21
2009,Bilateral,,,,,South and Central Asia,Pakistan,,139325.97
2009,Bilateral,,,,,South and Central Asia,Sri Lanka,,11892.93
2009,Bilateral,,,,,South and Central Asia,Tajikistan,,2865.23
2009,Bilateral,,,,,South and Central Asia,Turkmenistan,,218.26
2009,Bilateral,,,,,South and Central Asia,Uzbekistan,,1183.48
2009,Bilateral,,,,,South and Central Asia,Unspecified South Asia Region,,1974.87
2009,Bilateral,,,,,South and Central Asia,Unspecified Central Asia Region,,0
2009,Bilateral,,,,,South and Central Asia,South and CentralAsia (Country Unspecifed),,0
2009,Bilateral,,,,,Far East Asia,,,213795
2009,Bilateral,,,,,Far East Asia,Cambodia,,20916.61
2009,Bilateral,,,,,Far East Asia,China,,75073.83
2009,Bilateral,,,,,Far East Asia,Indonesia,,44406.92
2009,Bilateral,,,,,Far East Asia,"Korea, Democratic Republic",,31.52
2009,Bilateral,,,,,Far East Asia,Laos,,193.64
2009,Bilateral,,,,,Far East Asia,Malaysia,,2671.65
2009,Bilateral,,,,,Far East Asia,Mongolia,,454.96
2009,Bilateral,,,,,Far East Asia,Philippines,,2812.76
2009,Bilateral,,,,,Far East Asia,Thailand,,6294.9
2009,Bilateral,,,,,Far East Asia,Timor-Leste,,70.01
2009,Bilateral,,,,,Far East Asia,Vietnam,,60868.2
2009,Bilateral,,,,,Far East Asia,Far East Asia (Country Unspecifed),,0
2009,Bilateral,,,,,Latin America and the Caribbean,,,68131.83
2009,Bilateral,,,,,Latin America and the Caribbean,Anguilla,,135.65
2009,Bilateral,,,,,Latin America and the Caribbean,Antigua and Barbuda,,3.65
2009,Bilateral,,,,,Latin America and the Caribbean,Barbados,,289.89
2009,Bilateral,,,,,Latin America and the Caribbean,Belize,,33.06
2009,Bilateral,,,,,Latin America and the Caribbean,Costa Rica,,1640.14
2009,Bilateral,,,,,Latin America and the Caribbean,Cuba,,611.98
2009,Bilateral,,,,,Latin America and the Caribbean,Dominica,,0.71
2009,Bilateral,,,,,Latin America and the Caribbean,Dominican Republic,,64.24
2009,Bilateral,,,,,Latin America and the Caribbean,El Salvador,,21.33
2009,Bilateral,,,,,Latin America and the Caribbean,Grenada,,16.5
2009,Bilateral,,,,,Latin America and the Caribbean,Guatemala,,462.86
2009,Bilateral,,,,,Latin America and the Caribbean,Haiti,,5100.85
2009,Bilateral,,,,,Latin America and the Caribbean,Honduras,,63.14
2009,Bilateral,,,,,Latin America and the Caribbean,Jamaica,,5341.43
2009,Bilateral,,,,,Latin America and the Caribbean,Mexico,,7450.57
2009,Bilateral,,,,,Latin America and the Caribbean,Montserrat,,23858.21
2009,Bilateral,,,,,Latin America and the Caribbean,Nicaragua,,4519.85
2009,Bilateral,,,,,Latin America and the Caribbean,Panama,,47.68
2009,Bilateral,,,,,Latin America and the Caribbean,St. Kitts-Nevis,,0.74
2009,Bilateral,,,,,Latin America and the Caribbean,St. Lucia,,7.96
2009,Bilateral,,,,,Latin America and the Caribbean,St.Vincent and Grenadines,,0.48
2009,Bilateral,,,,,Latin America and the Caribbean,Trinidad and Tobago,,282.13
2009,Bilateral,,,,,Latin America and the Caribbean,"West Indies, regional",,17177.05
2009,Bilateral,,,,,Latin America and the Caribbean,Latin American and the Caribbean (Country Unspecifed),,1001.73
2009,Bilateral,,,,,South America,,,18370.36
2009,Bilateral,,,,,South America,Argentina,,632.28
2009,Bilateral,,,,,South America,Bolivia,,344.53
2009,Bilateral,,,,,South America,Brazil,,8396.16
2009,Bilateral,,,,,South America,Chile,,382.91
2009,Bilateral,,,,,South America,Colombia,,4967.25
2009,Bilateral,,,,,South America,Ecuador,,147.9
2009,Bilateral,,,,,South America,Guyana,,1378.76
2009,Bilateral,,,,,South America,Paraguay,,26.85
2009,Bilateral,,,,,South America,Peru,,683.74
2009,Bilateral,,,,,South America,Suriname,,0
2009,Bilateral,,,,,South America,Uruguay,,26.12
2009,Bilateral,,,,,South America,Venezuela,,1383.86
2009,Bilateral,,,,,South America,South America (Country Unspecifed),,0
2009,Bilateral,,,,,Europe,,,30737.37
2009,Bilateral,,,,,Europe,Albania,,1402.09
2009,Bilateral,,,,,Europe,Belarus,,392.05
2009,Bilateral,,,,,Europe,Bosnia-Herzegovina,,6155.55
2009,Bilateral,,,,,Europe,Croatia,,1199.78
2009,Bilateral,,,,,Europe,Kosovo,,6608.6
2009,Bilateral,,,,,Europe,Former Yugoslav Republic of Macedonia (FYROM),,1250.34
2009,Bilateral,,,,,Europe,Moldova,,2058.52
2009,Bilateral,,,,,Europe,Montenegro,,291.61
2009,Bilateral,,,,,Europe,Serbia,,5874.55
2009,Bilateral,,,,,Europe,Turkey,,1423.21
2009,Bilateral,,,,,Europe,Ukraine,,1517.18
2009,Bilateral,,,,,Europe,Yugoslavia - Ex-states unspecified,,0
2009,Bilateral,,,,,Europe,Europe (Country Unspecifed),,2563.89
2009,Bilateral,,,,,Pacific countries,,,4173.8
2009,Bilateral,,,,,Pacific countries,Cook Islands,,0
2009,Bilateral,,,,,Pacific countries,Fiji,,373.24
2009,Bilateral,,,,,Pacific countries,Kiribati,,22.31
2009,Bilateral,,,,,Pacific countries,Marshall Islands,,0
2009,Bilateral,,,,,Pacific countries,Micronesia,,0
2009,Bilateral,,,,,Pacific countries,Nauru,,0
2009,Bilateral,,,,,Pacific countries,Niue,,0
2009,Bilateral,,,,,Pacific countries,Palau,,0
2009,Bilateral,,,,,Pacific countries,Papua New Guinea,,624.68
2009,Bilateral,,,,,Pacific countries,Samoa,,114.53
2009,Bilateral,,,,,Pacific countries,Solomon Islands,,145.65
2009,Bilateral,,,,,Pacific countries,Tokelau,,0
2009,Bilateral,,,,,Pacific countries,Tonga,,6.04
2009,Bilateral,,,,,Pacific countries,Tuvalu,,0
2009,Bilateral,,,,,Pacific countries,Vanuatu,,62.36
2009,Bilateral,,,,,Pacific countries,Wallis and Futuna,,462.21
2009,Bilateral,,,,,Pacific countries,Pacific (Country Unspecifed),,2362.78
2009,Bilateral,,,,,Unspecified Country/Region,,,1641990.13
2009,Bilateral,,,,,Unspecified Country/Region,Unspecified Developing countries,,1480920.796
2009,Bilateral,,,,,Unspecified Country/Region,Africa (Country Unspecifed),,153603.29
2009,Bilateral,,,,,Unspecified Country/Region,Asia (Country Unspecifed),,7466.04
2009,Bilateral,,,,,Unspecified Country/Region,America (Country Unspecifed),,0
2010,,,,,,North Africa,,,88131.17
2010,,,,,,North Africa,Algeria,,7425.96
2010,,,,,,North Africa,Egypt,,16306.43
2010,,,,,,North Africa,Libya,,1180.08
2010,,,,,,North Africa,Morocco,,27605.01
2010,,,,,,North Africa,Tunisia,,12720.63
2010,,,,,,North Africa,North of Sahara (Country Unspecifed),,22893.05
2010,,,,,,Sub Saharan Africa,,,3378973.7
2010,,,,,,Sub Saharan Africa,Angola,,17737.06
2010,,,,,,Sub Saharan Africa,Benin,,32854.41
2010,,,,,,Sub Saharan Africa,Botswana,,5391.38
2010,,,,,,Sub Saharan Africa,Burkina Faso,,55419.37
2010,,,,,,Sub Saharan Africa,Burundi,,45760.93
2010,,,,,,Sub Saharan Africa,Cameroon,,25999.19
2010,,,,,,Sub Saharan Africa,Cape Verde,,9035.74
2010,,,,,,Sub Saharan Africa,Central African Republic,,14904.18
2010,,,,,,Sub Saharan Africa,Chad,,18353.07
2010,,,,,,Sub Saharan Africa,Comoros,,2335.09
2010,,,,,,Sub Saharan Africa,"Congo, Democratic Republic",,257639.82
2010,,,,,,Sub Saharan Africa,"Congo, Republic",,59956.95
2010,,,,,,Sub Saharan Africa,Ivory Coast,,54445.05
2010,,,,,,Sub Saharan Africa,Djibouti,,1836.58
2010,,,,,,Sub Saharan Africa,Equatorial Guinea,,569.78
2010,,,,,,Sub Saharan Africa,Eritrea,,13513.3
2010,,,,,,Sub Saharan Africa,Ethiopia,,410164.29
2010,,,,,,Sub Saharan Africa,Gabon,,2055.42
2010,,,,,,Sub Saharan Africa,Gambia,,8015.03
2010,,,,,,Sub Saharan Africa,Ghana,,176117.3
2010,,,,,,Sub Saharan Africa,Guinea,,11541.17
2010,,,,,,Sub Saharan Africa,Guinea-Bissau,,5365.07
2010,,,,,,Sub Saharan Africa,Kenya,,112284.6
2010,,,,,,Sub Saharan Africa,Lesotho,,18858.31
2010,,,,,,Sub Saharan Africa,Liberia,,34463.38
2010,,,,,,Sub Saharan Africa,Madagascar,,22335.56
2010,,,,,,Sub Saharan Africa,Malawi,,144539.83
2010,,,,,,Sub Saharan Africa,Mali,,38007.81
2010,,,,,,Sub Saharan Africa,Mauritania,,9301.03
2010,,,,,,Sub Saharan Africa,Mauritius,,11458.88
2010,,,,,,Sub Saharan Africa,Mayotte,,110.35
2010,,,,,,Sub Saharan Africa,Mozambique,,123939.25
2010,,,,,,Sub Saharan Africa,Namibia,,4921.1
2010,,,,,,Sub Saharan Africa,Niger,,31859.86
2010,,,,,,Sub Saharan Africa,Nigeria,,303393.87
2010,,,,,,Sub Saharan Africa,Rwanda,,116814.23
2010,,,,,,Sub Saharan Africa,Sao Tome and Principe,,1297.48
2010,,,,,,Sub Saharan Africa,Senegal,,30238.01
2010,,,,,,Sub Saharan Africa,Seychelles,,552.88
2010,,,,,,Sub Saharan Africa,Sierra Leone,,75072.94
2010,,,,,,Sub Saharan Africa,Somalia,,58187.76
2010,,,,,,Sub Saharan Africa,South Africa,,47432.91
2010,,,,,,Sub Saharan Africa,South Sudan,,0
2010,,,,,,Sub Saharan Africa,St. Helena,,34740.33
2010,,,,,,Sub Saharan Africa,Sudan,,118521.34
2010,,,,,,Sub Saharan Africa,Swaziland,,6066.04
2010,,,,,,Sub Saharan Africa,Tanzania,,288285.45
2010,,,,,,Sub Saharan Africa,Togo,,8798.41
2010,,,,,,Sub Saharan Africa,Uganda,,185139.45
2010,,,,,,Sub Saharan Africa,Zambia,,75586.02
2010,,,,,,Sub Saharan Africa,Zimbabwe,,90553.15
2010,,,,,,Sub Saharan Africa,South of Sahara (Country Unspecifed),,157203.34
2010,,,,,,Middle East,,,280967.75
2010,,,,,,Middle East,Iran,,1504.31
2010,,,,,,Middle East,Iraq,,34479.34
2010,,,,,,Middle East,Jordan,,22993.52
2010,,,,,,Middle East,Lebanon,,12317.58
2010,,,,,,Middle East,Oman,,620.05
2010,,,,,,Middle East,Syria,,9844.73
2010,,,,,,Middle East,West Bank and Gaza Strip,,127388.47
2010,,,,,,Middle East,Yemen,,63664.18
2010,,,,,,Middle East,Middle East (Country Unspecifed),,8155.56
2010,,,,,,South and Central Asia,,,1387109.35
2010,,,,,,South and Central Asia,Afghanistan,,211815.35
2010,,,,,,South and Central Asia,Armenia,,7968.08
2010,,,,,,South and Central Asia,Azerbaijan,,8603.36
2010,,,,,,South and Central Asia,Bangladesh,,192555.25
2010,,,,,,South and Central Asia,Bhutan,,2769.14
2010,,,,,,South and Central Asia,Burma,,40137.3
2010,,,,,,South and Central Asia,Georgia,,28232.82
2010,,,,,,South and Central Asia,India,,479434.23
2010,,,,,,South and Central Asia,Kazakhstan,,4394.12
2010,,,,,,South and Central Asia,Kyrgyz Republic,,14738.54
2010,,,,,,South and Central Asia,Maldives,,3670.19
2010,,,,,,South and Central Asia,Nepal,,93809.92
2010,,,,,,South and Central Asia,Pakistan,,246532.2
2010,,,,,,South and Central Asia,Sri Lanka,,13558.95
2010,,,,,,South and Central Asia,Tajikistan,,23926.61
2010,,,,,,South and Central Asia,Turkmenistan,,1018.73
2010,,,,,,South and Central Asia,Uzbekistan,,7920.5
2010,,,,,,South and Central Asia,Unspecified South Asia Region,,2244.13
2010,,,,,,South and Central Asia,Unspecified Central Asia Region,,3779.93
2010,,,,,,South and Central Asia,South and CentralAsia (Country Unspecifed),,3998.23
2010,,,,,,Far East Asia,,,334613.07
2010,,,,,,Far East Asia,Cambodia,,33077.14
2010,,,,,,Far East Asia,China,,34993.54
2010,,,,,,Far East Asia,Indonesia,,53860.37
2010,,,,,,Far East Asia,"Korea, Democratic Republic",,3923.6
2010,,,,,,Far East Asia,Laos,,8541.26
2010,,,,,,Far East Asia,Malaysia,,-141.53
2010,,,,,,Far East Asia,Mongolia,,7126.62
2010,,,,,,Far East Asia,Philippines,,9997.36
2010,,,,,,Far East Asia,Thailand,,11700.09
2010,,,,,,Far East Asia,Timor-Leste,,3070.19
2010,,,,,,Far East Asia,Vietnam,,167688.84
2010,,,,,,Far East Asia,Far East Asia (Country Unspecifed),,775.58
2010,,,,,,Latin America and the Caribbean,,,203006.95
2010,,,,,,Latin America and the Caribbean,Anguilla,,870.14
2010,,,,,,Latin America and the Caribbean,Antigua and Barbuda,,1315.62
2010,,,,,,Latin America and the Caribbean,Barbados,,1481.48
2010,,,,,,Latin America and the Caribbean,Belize,,1800.73
2010,,,,,,Latin America and the Caribbean,Costa Rica,,1322.95
2010,,,,,,Latin America and the Caribbean,Cuba,,4491.46
2010,,,,,,Latin America and the Caribbean,Dominica,,3692.51
2010,,,,,,Latin America and the Caribbean,Dominican Republic,,10872.15
2010,,,,,,Latin America and the Caribbean,El Salvador,,-24699.69
2010,,,,,,Latin America and the Caribbean,Grenada,,3851.65
2010,,,,,,Latin America and the Caribbean,Guatemala,,5296.34
2010,,,,,,Latin America and the Caribbean,Haiti,,61452.09
2010,,,,,,Latin America and the Caribbean,Honduras,,37020.49
2010,,,,,,Latin America and the Caribbean,Jamaica,,19861.89
2010,,,,,,Latin America and the Caribbean,Mexico,,8301.84
2010,,,,,,Latin America and the Caribbean,Montserrat,,11844.54
2010,,,,,,Latin America and the Caribbean,Nicaragua,,14072.18
2010,,,,,,Latin America and the Caribbean,Panama,,475.24
2010,,,,,,Latin America and the Caribbean,St. Kitts-Nevis,,2096.49
2010,,,,,,Latin America and the Caribbean,St. Lucia,,6130.34
2010,,,,,,Latin America and the Caribbean,St.Vincent and Grenadines,,2868.94
2010,,,,,,Latin America and the Caribbean,Trinidad and Tobago,,225.82
2010,,,,,,Latin America and the Caribbean,"West Indies, regional",,22117.47
2010,,,,,,Latin America and the Caribbean,Latin American and the Caribbean (Country Unspecifed),,6244.28
2010,,,,,,South America,,,94269.49
2010,,,,,,South America,Argentina,,1887.97
2010,,,,,,South America,Bolivia,,13620.44
2010,,,,,,South America,Brazil,,31199.43
2010,,,,,,South America,Chile,,2428.48
2010,,,,,,South America,Colombia,,9396.89
2010,,,,,,South America,Ecuador,,3791.45
2010,,,,,,South America,Guyana,,6359.22
2010,,,,,,South America,Paraguay,,4372.91
2010,,,,,,South America,Peru,,6458.38
2010,,,,,,South America,Suriname,,2276.3
2010,,,,,,South America,Uruguay,,1092.65
2010,,,,,,South America,Venezuela,,1755.92
2010,,,,,,South America,South America (Country Unspecifed),,9629.46
2010,,,,,,Europe,,,293136.24
2010,,,,,,Europe,Albania,,10976.34
2010,,,,,,Europe,Belarus,,3424.77
2010,,,,,,Europe,Bosnia-Herzegovina,,30590.57
2010,,,,,,Europe,Croatia,,12416.56
2010,,,,,,Europe,Kosovo,,37269.88
2010,,,,,,Europe,Former Yugoslav Republic of Macedonia (FYROM),,6226.82
2010,,,,,,Europe,Moldova,,34389.11
2010,,,,,,Europe,Montenegro,,2385.3
2010,,,,,,Europe,Serbia,,39301.98
2010,,,,,,Europe,Turkey,,34679.65
2010,,,,,,Europe,Ukraine,,21130.12
2010,,,,,,Europe,Yugoslavia - Ex-states unspecified,,987.62
2010,,,,,,Europe,Europe (Country Unspecifed),,59357.52
2010,,,,,,Pacific countries,,,31778.66
2010,,,,,,Pacific countries,Cook Islands,,17.86
2010,,,,,,Pacific countries,Fiji,,1601.63
2010,,,,,,Pacific countries,Kiribati,,188.81
2010,,,,,,Pacific countries,Marshall Islands,,329.64
2010,,,,,,Pacific countries,Micronesia,,43.67
2010,,,,,,Pacific countries,Nauru,,128.28
2010,,,,,,Pacific countries,Niue,,124.5
2010,,,,,,Pacific countries,Palau,,104.07
2010,,,,,,Pacific countries,Papua New Guinea,,7974.54
2010,,,,,,Pacific countries,Samoa,,4949.72
2010,,,,,,Pacific countries,Solomon Islands,,3385.89
2010,,,,,,Pacific countries,Tokelau,,9.14
2010,,,,,,Pacific countries,Tonga,,1266.6
2010,,,,,,Pacific countries,Tuvalu,,90.59
2010,,,,,,Pacific countries,Vanuatu,,191.59
2010,,,,,,Pacific countries,Wallis and Futuna,,4565.12
