Year,Units,Country,Region,Sector performing research and development,Product groups of UK business performing research and development,Sector funding research and development,Sector funding research and development for business,GeoCode,Value
2002,Performing research and development,,North East,Government,,,,E12000001,0.000390395490151298
2002,Performing research and development,,North East,Higher education,,,,E12000001,0.0108009418941859
2002,Performing research and development,,North East,Business,,,,E12000001,0.00806817346312682
2002,Performing research and development,,Yorkshire and the Humber,Government,,,,E12000003,0.00403408673156341
2002,Performing research and development,,Yorkshire and the Humber,Higher education,,,,E12000003,0.023163465748977
2002,Performing research and development,,Yorkshire and the Humber,Business,,,,E12000003,0.0219272133634979
2002,Performing research and development,,East Midlands,Government,,,,E12000004,0.00422928447663906
2002,Performing research and development,,East Midlands,Higher education,,,,E12000004,0.0160062150962032
2002,Performing research and development,,East Midlands,Business,,,,E12000004,0.0633742012345607
2002,Performing research and development,,West Midlands,Government,,,,E12000005,0.00325329575126081
2002,Performing research and development,,West Midlands,Higher education,,,,E12000005,0.015030226370825
2002,Performing research and development,,West Midlands,Business,,,,E12000005,0.0503610182295174
2002,Performing research and development,,East of England,Government,,,,E12000006,0.0185437857821866
2002,Performing research and development,,East of England,Higher education,,,,E12000006,0.0273927502256161
2002,Performing research and development,,East of England,Business,,,,E12000006,0.172424674816823
2002,Performing research and development,,London,Government,,,,E12000007,0.0154856877760015
2002,Performing research and development,,London,Higher education,,,,E12000007,0.0720930338479397
2002,Performing research and development,,London,Business,,,,E12000007,0.0562820164968121
2002,Performing research and development,,South East,Government,,,,E12000008,0.0307761778069273
2002,Performing research and development,,South East,Higher education,,,,E12000008,0.0413819219560376
2002,Performing research and development,,South East,Business,,,,E12000008,0.205348027819583
2002,Performing research and development,,South West,Government,,,,E12000009,0.0148350286257493
2002,Performing research and development,,South West,Higher education,,,,E12000009,0.0130131830050433
2002,Performing research and development,,South West,Business,,,,E12000009,0.0753463295992005
2002,Performing research and development,England,,Government,,,,E92000001,0.0959071587471688
2002,Performing research and development,England,,Higher education,,,,E92000001,0.242956126704158
2002,Performing research and development,England,,Business,,,,E92000001,0.757497382723567
2002,Performing research and development,Wales,,Government,,,,W92000004,0.00266770251603387
2002,Performing research and development,Wales,,Higher education,,,,W92000004,0.0122323920247407
2002,Performing research and development,Wales,,Business,,,,W92000004,0.0121673261097154
2002,Performing research and development,Scotland,,Government,,,,S92000003,0.0154206218609763
2002,Performing research and development,Scotland,,Higher education,,,,S92000003,0.0395600763353315
2002,Performing research and development,Scotland,,Business,,,,S92000003,0.0329884189177847
2002,Performing research and development,Northern Ireland,,Government,,,,N92000002,0.000975988725378243
2002,Performing research and development,Northern Ireland,,Higher education,,,,N92000002,0.00572580052221903
2002,Performing research and development,Northern Ireland,,Business,,,,N92000002,0.00969482133875723
2003,Performing research and development,,North West,Government,,,,E12000002,0.00472286540652221
2003,Performing research and development,,North West,Higher education,,,,E12000002,0.0245589001139155
2003,Performing research and development,,North West,Business,,,,E12000002,0.0968502266030822
2003,Performing research and development,,North East,Government,,,,E12000001,0.000125943077507259
2003,Performing research and development,,North East,Higher education,,,,E12000001,0.0107051615881169
2003,Performing research and development,,North East,Business,,,,E12000001,0.0093827592742908
2003,Performing research and development,,Yorkshire and the Humber,Government,,,,E12000003,0.00314857693768148
2003,Performing research and development,,Yorkshire and the Humber,Higher education,,,,E12000003,0.0234883839551038
2003,Performing research and development,,Yorkshire and the Humber,Business,,,,E12000003,0.0210954654824659
2003,Performing research and development,,East Midlands,Government,,,,E12000004,0.00497475156153673
2003,Performing research and development,,East Midlands,Higher education,,,,E12000004,0.0150501977621175
2003,Performing research and development,,East Midlands,Business,,,,E12000004,0.0542814664056286
2003,Performing research and development,,West Midlands,Government,,,,E12000005,0.00365234924771051
2003,Performing research and development,,West Midlands,Higher education,,,,E12000005,0.0154280269946392
2003,Performing research and development,,West Midlands,Business,,,,E12000005,0.0499994017703818
2003,Performing research and development,,East of England,Government,,,,E12000006,0.0217251808700022
2003,Performing research and development,,East of England,Higher education,,,,E12000006,0.0278334201291042
2003,Performing research and development,,East of England,Business,,,,E12000006,0.183562035466829
2003,Performing research and development,,London,Government,,,,E12000007,0.0184506608548134
2003,Performing research and development,,London,Higher education,,,,E12000007,0.0722913264891667
2003,Performing research and development,,London,Business,,,,E12000007,0.0421279594261781
2003,Performing research and development,,South East,Government,,,,E12000008,0.0326192570743801
2003,Performing research and development,,South East,Higher education,,,,E12000008,0.0414982440386419
2003,Performing research and development,,South East,Business,,,,E12000008,0.205665045569353
2003,Performing research and development,,South West,Government,,,,E12000009,0.0186395754710743
2003,Performing research and development,,South West,Higher education,,,,E12000009,0.0129721369832477
2003,Performing research and development,,South West,Business,,,,E12000009,0.0768882488181817
2003,Performing research and development,England,,Government,,,,E92000001,0.108059160501228
2003,Performing research and development,England,,Higher education,,,,E92000001,0.243825798054053
2003,Performing research and development,England,,Business,,,,E92000001,0.739789637277639
2003,Performing research and development,Wales,,Government,,,,W92000004,0.00358937770895687
2003,Performing research and development,Wales,,Higher education,,,,W92000004,0.0118386492856823
2003,Performing research and development,Wales,,Business,,,,W92000004,0.0125943077507259
2003,Performing research and development,Scotland,,Government,,,,S92000003,0.0174431162347554
2003,Performing research and development,Scotland,,Higher education,,,,S92000003,0.0389164109497429
2003,Performing research and development,Scotland,,Business,,,,S92000003,0.0277704485903506
2003,Performing research and development,Northern Ireland,,Government,,,,N92000002,0.0010705161588117
2003,Performing research and development,Northern Ireland,,Higher education,,,,N92000002,0.00673795464663836
2003,Performing research and development,Northern Ireland,,Business,,,,N92000002,0.00730469849542103
2004,Performing research and development,,North West,Government,,,,E12000002,0.00516742773444589
2004,Performing research and development,,North West,Higher education,,,,E12000002,0.0255910706848749
2004,Performing research and development,,North West,Business,,,,E12000002,0.106978057502398
2004,Performing research and development,,North East,Government,,,,E12000001,0.000123033993677283
2004,Performing research and development,,North East,Higher education,,,,E12000001,0.0108269914436009
2004,Performing research and development,,North East,Business,,,,E12000001,0.0158098681875309
2004,Performing research and development,,Yorkshire and the Humber,Government,,,,E12000003,0.00307584984193208
2004,Performing research and development,,Yorkshire and the Humber,Higher education,,,,E12000003,0.0238685947733929
2004,Performing research and development,,Yorkshire and the Humber,Business,,,,E12000003,0.0211003299156539
2004,Performing research and development,,East Midlands,Government,,,,E12000004,0.00492135974709132
2004,Performing research and development,,East Midlands,Higher education,,,,E12000004,0.0150101472286285
2004,Performing research and development,,East Midlands,Business,,,,E12000004,0.0575799090409685
2004,Performing research and development,,West Midlands,Government,,,,E12000005,0.00282978185457751
2004,Performing research and development,,West Midlands,Higher education,,,,E12000005,0.0165480721495946
2004,Performing research and development,,West Midlands,Business,,,,E12000005,0.0466298836036903
2004,Performing research and development,,East of England,Government,,,,E12000006,0.0232534248050065
2004,Performing research and development,,East of England,Higher education,,,,E12000006,0.0285438865331297
2004,Performing research and development,,East of England,Business,,,,E12000006,0.16437341555285
2004,Performing research and development,,London,Government,,,,E12000007,0.0183935820547538
2004,Performing research and development,,London,Higher education,,,,E12000007,0.0730821922443061
2004,Performing research and development,,London,Business,,,,E12000007,0.0466914006005289
2004,Performing research and development,,South East,Government,,,,E12000008,0.0334037292833824
2004,Performing research and development,,South East,Higher education,,,,E12000008,0.041708523856599
2004,Performing research and development,,South East,Business,,,,E12000008,0.192240615120755
2004,Performing research and development,,South West,Government,,,,E12000009,0.0202390919599131
2004,Performing research and development,,South West,Higher education,,,,E12000009,0.0134107053108239
2004,Performing research and development,,South West,Business,,,,E12000009,0.0797260279028794
2004,Performing research and development,England,,Government,,,,E92000001,0.11140728127478
2004,Performing research and development,England,,Higher education,,,,E92000001,0.24859018422495
2004,Performing research and development,England,,Business,,,,E92000001,0.731129507427255
2004,Performing research and development,Wales,,Government,,,,W92000004,0.00313736683877072
2004,Performing research and development,Wales,,Higher education,,,,W92000004,0.0121803653740509
2004,Performing research and development,Wales,,Business,,,,W92000004,0.013902841285533
2004,Performing research and development,Scotland,,Government,,,,S92000003,0.0175938610958515
2004,Performing research and development,Scotland,,Higher education,,,,S92000003,0.0394323949735692
2004,Performing research and development,Scotland,,Business,,,,S92000003,0.0264523086406159
2004,Performing research and development,Northern Ireland,,Government,,,,N92000002,0.00129185693361147
2004,Performing research and development,Northern Ireland,,Higher education,,,,N92000002,0.00762810760799155
2004,Performing research and development,Northern Ireland,,Business,,,,N92000002,0.00738203962063697
2005,Performing research and development,,North West,Government,,,,E12000002,0.00507191377030556
2005,Performing research and development,,North West,Higher education,,,,E12000002,0.0283430475399428
2005,Performing research and development,,North West,Business,,,,E12000002,0.112894833569625
2005,Performing research and development,,North East,Government,,,,E12000001,0.000119339147536601
2005,Performing research and development,,North East,Higher education,,,,E12000001,0.0112775494422088
2005,Performing research and development,,North East,Business,,,,E12000001,0.0172445068190389
2005,Performing research and development,,Yorkshire and the Humber,Government,,,,E12000003,0.00298347868841503
2005,Performing research and development,,Yorkshire and the Humber,Higher education,,,,E12000003,0.0250015514089179
2005,Performing research and development,,Yorkshire and the Humber,Business,,,,E12000003,0.0205263333762954
2005,Performing research and development,,East Midlands,Government,,,,E12000004,0.00525092249161046
2005,Performing research and development,,East Midlands,Higher education,,,,E12000004,0.0161704544912095
2005,Performing research and development,,East Midlands,Business,,,,E12000004,0.0600275912109105
2005,Performing research and development,,West Midlands,Government,,,,E12000005,0.00286413954087843
2005,Performing research and development,,West Midlands,Higher education,,,,E12000005,0.0174831851141121
2005,Performing research and development,,West Midlands,Business,,,,E12000005,0.0430217626869448
2005,Performing research and development,,East of England,Government,,,,E12000006,0.0227341076057226
2005,Performing research and development,,East of England,Higher education,,,,E12000006,0.0301928043267601
2005,Performing research and development,,East of England,Business,,,,E12000006,0.221851475270541
2005,Performing research and development,,London,Government,,,,E12000007,0.0196312897697709
2005,Performing research and development,,London,Higher education,,,,E12000007,0.0809119420298157
2005,Performing research and development,,London,Business,,,,E12000007,0.032937604720102
2005,Performing research and development,,South East,Government,,,,E12000008,0.0333552917364801
2005,Performing research and development,,South East,Higher education,,,,E12000008,0.0460649109491281
2005,Performing research and development,,South East,Business,,,,E12000008,0.18646741802594
2005,Performing research and development,,South West,Government,,,,E12000009,0.0216003857041248
2005,Performing research and development,,South West,Higher education,,,,E12000009,0.0152157413109167
2005,Performing research and development,,South West,Business,,,,E12000009,0.0716631580957291
2005,Performing research and development,England,,Government,,,,E92000001,0.11373020760238
2005,Performing research and development,England,,Higher education,,,,E92000001,0.270661186613012
2005,Performing research and development,England,,Business,,,,E92000001,0.766575014201359
2005,Performing research and development,Wales,,Government,,,,W92000004,0.00334149613102483
2005,Performing research and development,Wales,,Higher education,,,,W92000004,0.0131869758027944
2005,Performing research and development,Wales,,Business,,,,W92000004,0.0138433411142458
2005,Performing research and development,Scotland,,Government,,,,S92000003,0.0183185591468683
2005,Performing research and development,Scotland,,Higher education,,,,S92000003,0.0411123363263592
2005,Performing research and development,Scotland,,Business,,,,S92000003,0.0301928043267601
2005,Performing research and development,Northern Ireland,,Government,,,,N92000002,0.00119339147536601
2005,Performing research and development,Northern Ireland,,Higher education,,,,N92000002,0.00799572288495229
2005,Performing research and development,Northern Ireland,,Business,,,,N92000002,0.0088310969177085
2006,Performing research and development,,North West,Government,,,,E12000002,0.00500857572995622
2006,Performing research and development,,North West,Higher education,,,,E12000002,0.0309250431698459
2006,Performing research and development,,North West,Business,,,,E12000002,0.0945223070897554
2006,Performing research and development,,North East,Government,,,,E12000001,0.000174717758021729
2006,Performing research and development,,North East,Higher education,,,,E12000001,0.0119972860508254
2006,Performing research and development,,North East,Business,,,,E12000001,0.0170058617807816
2006,Performing research and development,,Yorkshire and the Humber,Government,,,,E12000003,0.00343611590776067
2006,Performing research and development,,Yorkshire and the Humber,Higher education,,,,E12000003,0.0266153384719767
2006,Performing research and development,,Yorkshire and the Humber,Business,,,,E12000003,0.0223638730267813
2006,Performing research and development,,East Midlands,Government,,,,E12000004,0.00489209722460841
2006,Performing research and development,,East Midlands,Higher education,,,,E12000004,0.0168311440227599
2006,Performing research and development,,East Midlands,Business,,,,E12000004,0.0573656638838009
2006,Performing research and development,,West Midlands,Government,,,,E12000005,0.00198013459091293
2006,Performing research and development,,West Midlands,Higher education,,,,E12000005,0.0176464935601946
2006,Performing research and development,,West Midlands,Business,,,,E12000005,0.0532889161966274
2006,Performing research and development,,East of England,Government,,,,E12000006,0.0213738057313249
2006,Performing research and development,,East of England,Higher education,,,,E12000006,0.030284411390433
2006,Performing research and development,,East of England,Business,,,,E12000006,0.21257327225977
2006,Performing research and development,,London,Government,,,,E12000007,0.0185783216029772
2006,Performing research and development,,London,Higher education,,,,E12000007,0.0849128303985603
2006,Performing research and development,,London,Business,,,,E12000007,0.0513670208583883
2006,Performing research and development,,South East,Government,,,,E12000008,0.036108336657824
2006,Performing research and development,,South East,Higher education,,,,E12000008,0.0486880152353885
2006,Performing research and development,,South East,Business,,,,E12000008,0.194926778699576
2006,Performing research and development,,South West,Government,,,,E12000009,0.0227715477954987
2006,Performing research and development,,South West,Higher education,,,,E12000009,0.0161905122433469
2006,Performing research and development,,South West,Business,,,,E12000009,0.0717507592942567
2006,Performing research and development,England,,Government,,,,E92000001,0.114323652998884
2006,Performing research and development,England,,Higher education,,,,E92000001,0.284032835290658
2006,Performing research and development,England,,Business,,,,E92000001,0.775280931595086
2006,Performing research and development,Wales,,Government,,,,W92000004,0.00244604861230421
2006,Performing research and development,Wales,,Higher education,,,,W92000004,0.0136862243783688
2006,Performing research and development,Wales,,Business,,,,W92000004,0.0125796785775645
2006,Performing research and development,Scotland,,Government,,,,S92000003,0.016772904770086
2006,Performing research and development,Scotland,,Higher education,,,,S92000003,0.0449607030642583
2006,Performing research and development,Scotland,,Business,,,,S92000003,0.0267900562299985
2006,Performing research and development,Northern Ireland,,Government,,,,N92000002,0.0012230243061521
2006,Performing research and development,Northern Ireland,,Higher education,,,,N92000002,0.00809525612167345
2006,Performing research and development,Northern Ireland,,Business,,,,N92000002,0.00914356266980382
2007,Performing research and development,,North West,Government,,,,E12000002,0.00517774752051327
2007,Performing research and development,,North West,Higher education,,,,E12000002,0.0306681968522709
2007,Performing research and development,,North West,Business,,,,E12000002,0.114991513614916
2007,Performing research and development,,North East,Government,,,,E12000001,5.68983244012447e-05
2007,Performing research and development,,North East,Higher education,,,,E12000001,0.0118917497998601
2007,Performing research and development,,North East,Business,,,,E12000001,0.018833345376812
2007,Performing research and development,,Yorkshire and the Humber,Government,,,,E12000003,0.00301561119326596
2007,Performing research and development,,Yorkshire and the Humber,Higher education,,,,E12000003,0.0264008225221775
2007,Performing research and development,,Yorkshire and the Humber,Business,,,,E12000003,0.0248076694389427
2007,Performing research and development,,East Midlands,Government,,,,E12000004,0.00506395087171077
2007,Performing research and development,,East Midlands,Higher education,,,,E12000004,0.0167281073739659
2007,Performing research and development,,East Midlands,Business,,,,E12000004,0.0604260205141219
2007,Performing research and development,,West Midlands,Government,,,,E12000005,0.00130866146122863
2007,Performing research and development,,West Midlands,Higher education,,,,E12000005,0.0175246839155834
2007,Performing research and development,,West Midlands,Business,,,,E12000005,0.0566138327792385
2007,Performing research and development,,East of England,Government,,,,E12000006,0.0212230750016643
2007,Performing research and development,,East of England,Higher education,,,,E12000006,0.0300992136082585
2007,Performing research and development,,East of England,Business,,,,E12000006,0.227138111009769
2007,Performing research and development,,London,Government,,,,E12000007,0.0169557006715709
2007,Performing research and development,,London,Higher education,,,,E12000007,0.0842664184382434
2007,Performing research and development,,London,Business,,,,E12000007,0.0607105121361281
2007,Performing research and development,,South East,Government,,,,E12000008,0.0413081835153037
2007,Performing research and development,,South East,Higher education,,,,E12000008,0.0483066774166568
2007,Performing research and development,,South East,Business,,,,E12000008,0.199997610270375
2007,Performing research and development,,South West,Government,,,,E12000009,0.0174677855911821
2007,Performing research and development,,South West,Higher education,,,,E12000009,0.016045327481151
2007,Performing research and development,,South West,Business,,,,E12000009,0.0699280406891298
2007,Performing research and development,England,,Government,,,,E92000001,0.111577614150841
2007,Performing research and development,England,,Higher education,,,,E92000001,0.281931197408168
2007,Performing research and development,England,,Business,,,,E92000001,0.833503554153834
2007,Performing research and development,Wales,,Government,,,,W92000004,0.00250352627365477
2007,Performing research and development,Wales,,Higher education,,,,W92000004,0.0135418012074962
2007,Performing research and development,Wales,,Business,,,,W92000004,0.0175246839155834
2007,Performing research and development,Scotland,,Government,,,,S92000003,0.0187195487280095
2007,Performing research and development,Scotland,,Higher education,,,,S92000003,0.0446082863305759
2007,Performing research and development,Scotland,,Business,,,,S92000003,0.0308957901498759
2007,Performing research and development,Northern Ireland,,Government,,,,N92000002,0.00113796648802489
2007,Performing research and development,Northern Ireland,,Higher education,,,,N92000002,0.0080226637405755
2007,Performing research and development,Northern Ireland,,Business,,,,N92000002,0.0100710034190203
2008,Performing research and development,,North West,Government,,,,E12000002,0.00474498289519419
2008,Performing research and development,,North West,Higher education,,,,E12000002,0.031614163145089
2008,Performing research and development,,North West,Business,,,,E12000002,0.121768838153779
2008,Performing research and development,,North East,Government,,,,E12000001,0.000114336937233595
2008,Performing research and development,,North East,Higher education,,,,E12000001,0.0125198946270786
2008,Performing research and development,,North East,Business,,,,E12000001,0.0181795730201416
2008,Performing research and development,,Yorkshire and the Humber,Government,,,,E12000003,0.00325860271115746
2008,Performing research and development,,Yorkshire and the Humber,Higher education,,,,E12000003,0.0272693595302124
2008,Performing research and development,,Yorkshire and the Humber,Business,,,,E12000003,0.0247539469110733
2008,Performing research and development,,East Midlands,Government,,,,E12000004,0.00537383604997896
2008,Performing research and development,,East Midlands,Higher education,,,,E12000004,0.0187512577063096
2008,Performing research and development,,East Midlands,Business,,,,E12000004,0.0557964253699943
2008,Performing research and development,,West Midlands,Government,,,,E12000005,0.000171505405850392
2008,Performing research and development,,West Midlands,Higher education,,,,E12000005,0.0186940892376928
2008,Performing research and development,,West Midlands,Business,,,,E12000005,0.0506512631944826
2008,Performing research and development,,East of England,Government,,,,E12000006,0.0225243766350182
2008,Performing research and development,,East of England,Higher education,,,,E12000006,0.0319571739567898
2008,Performing research and development,,East of England,Business,,,,E12000006,0.239078535755447
2008,Performing research and development,,London,Government,,,,E12000007,0.01749355139674
2008,Performing research and development,,London,Higher education,,,,E12000007,0.0896973272597552
2008,Performing research and development,,London,Business,,,,E12000007,0.0633998316960284
2008,Performing research and development,,South East,Government,,,,E12000008,0.0436767100232333
2008,Performing research and development,,South East,Higher education,,,,E12000008,0.0525949911274537
2008,Performing research and development,,South East,Business,,,,E12000008,0.19814591222582
2008,Performing research and development,,South West,Government,,,,E12000009,0.0204091432961967
2008,Performing research and development,,South West,Higher education,,,,E12000009,0.0181224045515248
2008,Performing research and development,,South West,Business,,,,E12000009,0.0768915902895926
2008,Performing research and development,England,,Government,,,,E92000001,0.117709876881986
2008,Performing research and development,England,,Higher education,,,,E92000001,0.301220661141906
2008,Performing research and development,England,,Business,,,,E92000001,0.848780253553592
2008,Performing research and development,Wales,,Government,,,,W92000004,0.00120053784095275
2008,Performing research and development,Wales,,Higher education,,,,W92000004,0.0136060955307978
2008,Performing research and development,Wales,,Business,,,,W92000004,0.0138919378738818
2008,Performing research and development,Scotland,,Government,,,,S92000003,0.0166360243674881
2008,Performing research and development,Scotland,,Higher education,,,,S92000003,0.0509371055375665
2008,Performing research and development,Scotland,,Business,,,,S92000003,0.0316713316137058
2008,Performing research and development,Northern Ireland,,Government,,,,N92000002,0.00108620090371915
2008,Performing research and development,Northern Ireland,,Higher education,,,,N92000002,0.00840376488666923
2008,Performing research and development,Northern Ireland,,Business,,,,N92000002,0.00977580813347237
2009,Performing research and development,,North West,Government,,,,E12000002,0.0054297141404673
2009,Performing research and development,,North West,Higher education,,,,E12000002,0.0349649723770752
2009,Performing research and development,,North West,Business,,,,E12000002,0.114919004775164
2009,Performing research and development,,North East,Government,,,,E12000001,5.96671883567834e-05
2009,Performing research and development,,North East,Higher education,,,,E12000001,0.0138427876987738
2009,Performing research and development,,North East,Business,,,,E12000001,0.0187951643323868
2009,Performing research and development,,Yorkshire and the Humber,Government,,,,E12000003,0.0036396984897638
2009,Performing research and development,,Yorkshire and the Humber,Higher education,,,,E12000003,0.0301319301201757
2009,Performing research and development,,Yorkshire and the Humber,Business,,,,E12000003,0.0270889035139797
2009,Performing research and development,,East Midlands,Government,,,,E12000004,0.00566838289389444
2009,Performing research and development,,East Midlands,Higher education,,,,E12000004,0.0207045143598039
2009,Performing research and development,,East Midlands,Business,,,,E12000004,0.0591898508499293
2009,Performing research and development,,West Midlands,Government,,,,E12000005,0.000179001565070351
2009,Performing research and development,,West Midlands,Higher education,,,,E12000005,0.0206448471714471
2009,Performing research and development,,West Midlands,Business,,,,E12000005,0.0505977757265524
2009,Performing research and development,,East of England,Government,,,,E12000006,0.0233895378358591
2009,Performing research and development,,East of England,Higher education,,,,E12000006,0.0353229755072159
2009,Performing research and development,,East of England,Business,,,,E12000006,0.227451322016058
2009,Performing research and development,,London,Government,,,,E12000007,0.0193321690275979
2009,Performing research and development,,London,Higher education,,,,E12000007,0.0991071998606175
2009,Performing research and development,,London,Business,,,,E12000007,0.0541181398396027
2009,Performing research and development,,South East,Government,,,,E12000008,0.0475547491203565
2009,Performing research and development,,South East,Higher education,,,,E12000008,0.0581158414595072
2009,Performing research and development,,South East,Business,,,,E12000008,0.224229293844792
2009,Performing research and development,,South West,Government,,,,E12000009,0.0236282065892863
2009,Performing research and development,,South West,Higher education,,,,E12000009,0.0200481752878793
2009,Performing research and development,,South West,Business,,,,E12000009,0.080491037093301
2009,Performing research and development,England,,Government,,,,E92000001,0.128881126850651
2009,Performing research and development,England,,Higher education,,,,E92000001,0.332883243842495
2009,Performing research and development,England,,Business,,,,E92000001,0.85682082480341
2009,Performing research and development,Wales,,Government,,,,W92000004,0.0014320125205628
2009,Performing research and development,Wales,,Higher education,,,,W92000004,0.0150361314659094
2009,Performing research and development,Wales,,Business,,,,W92000004,0.0144991267706984
2009,Performing research and development,Scotland,,Government,,,,S92000003,0.0180194908837486
2009,Performing research and development,Scotland,,Higher education,,,,S92000003,0.0563258258088037
2009,Performing research and development,Scotland,,Business,,,,S92000003,0.0376499958531304
2009,Performing research and development,Northern Ireland,,Government,,,,N92000002,0.00113367657877889
2009,Performing research and development,Northern Ireland,,Higher education,,,,N92000002,0.00930808138365823
2009,Performing research and development,Northern Ireland,,Business,,,,N92000002,0.0177211549419647
2010,Performing research and development,,North West,Government,,,,E12000002,0.00545658087122234
2010,Performing research and development,,North West,Higher education,,,,E12000002,0.0339129434792098
2010,Performing research and development,,North West,Business,,,,E12000002,0.121687620719518
2010,Performing research and development,,North East,Higher education,,,,E12000001,0.0137294615469465
2010,Performing research and development,,North East,Business,,,,E12000001,0.0180712570788869
2010,Performing research and development,,Yorkshire and the Humber,Government,,,,E12000003,0.00328568310525216
2010,Performing research and development,,Yorkshire and the Humber,Higher education,,,,E12000003,0.029160437559113
2010,Performing research and development,,Yorkshire and the Humber,Business,,,,E12000003,0.0286323813457689
2010,Performing research and development,,East Midlands,Government,,,,E12000004,0.00574994543419129
2010,Performing research and development,,East Midlands,Higher education,,,,E12000004,0.0199487902818881
2010,Performing research and development,,East Midlands,Business,,,,E12000004,0.0667111016191377
2010,Performing research and development,,West Midlands,Government,,,,E12000005,5.86729125937886e-05
2010,Performing research and development,,West Midlands,Higher education,,,,E12000005,0.020535519407826
2010,Performing research and development,,West Midlands,Business,,,,E12000005,0.0519842005580967
2010,Performing research and development,,East of England,Government,,,,E12000006,0.0221196880478583
2010,Performing research and development,,East of England,Higher education,,,,E12000006,0.0357904766822111
2010,Performing research and development,,East of England,Business,,,,E12000006,0.225656021835711
2010,Performing research and development,,London,Government,,,,E12000007,0.0198901173692944
2010,Performing research and development,,London,Higher education,,,,E12000007,0.0982771285945959
2010,Performing research and development,,London,Business,,,,E12000007,0.0514561443447527
2010,Performing research and development,,South East,Government,,,,E12000008,0.0477010779387502
2010,Performing research and development,,South East,Higher education,,,,E12000008,0.0575581272545067
2010,Performing research and development,,South East,Business,,,,E12000008,0.222839722031209
2010,Performing research and development,,South West,Government,,,,E12000009,0.0235865108627029
2010,Performing research and development,,South West,Higher education,,,,E12000009,0.0200661361070757
2010,Performing research and development,,South West,Business,,,,E12000009,0.0853104149113687
2010,Performing research and development,England,,Government,,,,E92000001,0.127906949454459
2010,Performing research and development,England,,Higher education,,,,E92000001,0.328979020913372
2010,Performing research and development,England,,Business,,,,E92000001,0.87234886444445
2010,Performing research and development,Wales,,Government,,,,W92000004,0.00129080407706335
2010,Performing research and development,Wales,,Higher education,,,,W92000004,0.0150202656240099
2010,Performing research and development,Wales,,Business,,,,W92000004,0.0137294615469465
