Year,Housing tenure category,Housing tenure sub-category,Economic activity,Value
2012,Owner occupied,Buying with mortgage,,41.61463518
2012,Owner occupied,Buying with mortgage,Working  households,28.65587419
2012,Owner occupied,Buying with mortgage,Mixed households,11.467789
2012,Owner occupied,Buying with mortgage,Workless households,1.490971985
2012,Rented,,,37.30075295
2012,Rented,,Working  households,16.14219143
2012,Rented,,Mixed households,9.498528536
2012,Rented,,Workless households,11.66003298
2012,Rented,Council or housing association,,16.71730655
2012,Rented,Council or housing association,Working  households,4.908708239
2012,Rented,Council or housing association,Mixed households,4.27202794
2012,Rented,Council or housing association,Workless households,7.536570373
2012,Rented,Privately rented,,20.5834464
2012,Rented,Privately rented,Working  households,11.2334832
2012,Rented,Privately rented,Mixed households,5.226500596
2012,Rented,Privately rented,Workless households,4.123462608
2013,,,,100
2013,,,Working  households,53.79618656
2013,,,Mixed households,28.89959249
2013,,,Workless households,17.30422095
2013,Owner occupied,,,61.92052642
2013,Owner occupied,,Working  households,36.89593632
2013,Owner occupied,,Mixed households,19.12262704
2013,Owner occupied,,Workless households,5.90196305
2013,Owner occupied,Owned outright,,20.90049344
2013,Owner occupied,Owned outright,Working  households,8.107282805
2013,Owner occupied,Owned outright,Mixed households,8.164665368
2013,Owner occupied,Owned outright,Workless households,4.628545264
2013,Owner occupied,Buying with mortgage,,41.02003298
2013,Owner occupied,Buying with mortgage,Working  households,28.78865352
2013,Owner occupied,Buying with mortgage,Mixed households,10.95796167
2013,Owner occupied,Buying with mortgage,Workless households,1.273417786
2013,Rented,,,38.00850477
2013,Rented,,Working  households,16.87418761
2013,Rented,,Mixed households,9.747505041
2013,Rented,,Workless households,11.38681212
2013,Rented,Council or housing association,,16.96459387
2013,Rented,Council or housing association,Working  households,5.150902802
2013,Rented,Council or housing association,Mixed households,4.533056942
2013,Rented,Council or housing association,Workless households,7.280634125
2013,Rented,Privately rented,,21.0439109
2013,Rented,Privately rented,Working  households,11.72328481
2013,Rented,Privately rented,Mixed households,5.2144481
2013,Rented,Privately rented,Workless households,4.106177991
2014,,,,100
2014,,,Working  households,55.30164351
2014,,,Mixed households,28.74136555
2014,,,Workless households,15.95699095
2014,Owner occupied,,,61.4284277
2014,Owner occupied,,Working  households,37.24223439
2014,Owner occupied,,Mixed households,18.65500391
2014,Owner occupied,,Workless households,5.531189397
2014,Owner occupied,Owned outright,,21.40255595
2014,Owner occupied,Owned outright,Working  households,8.689643404
2014,Owner occupied,Owned outright,Mixed households,8.292088392
2014,Owner occupied,Owned outright,Workless households,4.420824152
2014,Owner occupied,Buying with mortgage,,40.02587175
2014,Owner occupied,Buying with mortgage,Working  households,28.55259098
2014,Owner occupied,Buying with mortgage,Mixed households,10.36291552
2014,Owner occupied,Buying with mortgage,Workless households,1.110365245
2014,Rented,,,38.5104869
2014,Rented,,Working  households,18.01880524
2014,Rented,,Mixed households,10.06588011
2014,Rented,,Workless households,10.42580155
2014,Rented,Council or housing association,,16.55773524
2014,Rented,Council or housing association,Working  households,5.152150261
2014,Rented,Council or housing association,Mixed households,4.634409504
2014,Rented,Council or housing association,Workless households,6.771175476
2014,Rented,Privately rented,,21.95275166
2014,Rented,Privately rented,Working  households,12.86665498
2014,Rented,Privately rented,Mixed households,5.43147061
2014,Rented,Privately rented,Workless households,3.654626074
2015,,,,100
2015,,,Working  households,55.87897513
2015,,,Mixed households,28.31891986
2015,,,Workless households,15.802105
2015,Owner occupied,,,60.56788162
2015,Owner occupied,,Working  households,36.86862555
2015,Owner occupied,,Mixed households,18.06449069
2015,Owner occupied,,Workless households,5.634765372
2015,Owner occupied,Owned outright,,21.16327332
2015,Owner occupied,Owned outright,Working  households,8.555325304
2015,Owner occupied,Owned outright,Mixed households,8.097413624
2015,Owner occupied,Owned outright,Workless households,4.510534388
2015,Owner occupied,Buying with mortgage,,39.4046083
2015,Owner occupied,Buying with mortgage,Working  households,28.31330025
2015,Owner occupied,Buying with mortgage,Mixed households,9.96707707
2015,Owner occupied,Buying with mortgage,Workless households,1.124230984
2015,Rented,,,39.36418179
2015,Rented,,Working  households,18.98018393
2015,Rented,,Mixed households,10.21923671
2015,Rented,,Workless households,10.16476116
2015,Rented,Council or housing association,,17.09165188
2015,Rented,Council or housing association,Working  households,5.656506429
2015,Rented,Council or housing association,Mixed households,4.75475138
2015,Rented,Council or housing association,Workless households,6.680394073
2015,Rented,Privately rented,,22.27252991
2015,Rented,Privately rented,Working  households,13.3236775
2015,Rented,Privately rented,Mixed households,5.464485325
2015,Rented,Privately rented,Workless households,3.484367091
2016,,,,100
2016,,,Working  households,56.99696462
2016,,,Mixed households,28.05851333
2016,,,Workless households,14.94452205
2016,Owner occupied,,,60.29938432
2016,Owner occupied,,Working  households,37.31031535
2016,Owner occupied,,Mixed households,17.66211048
2016,Owner occupied,,Workless households,5.326958489
2016,Owner occupied,Owned outright,,21.24435204
2016,Owner occupied,Owned outright,Working  households,8.950674319
2016,Owner occupied,Owned outright,Mixed households,7.985198395
2016,Owner occupied,Owned outright,Workless households,4.308479327
2016,Owner occupied,Buying with mortgage,,39.05503228
2016,Owner occupied,Buying with mortgage,Working  households,28.35964103
2016,Owner occupied,Buying with mortgage,Mixed households,9.676912088
2016,Owner occupied,Buying with mortgage,Workless households,1.018479162
2016,Rented,,,39.61327239
2016,Rented,,Working  households,19.64680609
2016,Rented,,Mixed households,10.35193743
2016,Rented,,Workless households,9.61452886
2016,Rented,Council or housing association,,16.84487035
2016,Rented,Council or housing association,Working  households,5.769991213
2016,Rented,Council or housing association,Mixed households,4.69672284
2016,Rented,Council or housing association,Workless households,6.378156297
2016,Rented,Privately rented,,22.76840204
2016,Rented,Privately rented,Working  households,13.87681488
2016,Rented,Privately rented,Mixed households,5.655214592
2016,Rented,Privately rented,Workless households,3.236372563
2017,,,,100
2017,,,Working  households,57.8237893
2017,,,Mixed households,27.65847979
2017,,,Workless households,14.51773091
2017,Owner occupied,,,61.40783546
2017,Owner occupied,,Working  households,38.13786554
2017,Owner occupied,,Mixed households,17.85528185
2017,Owner occupied,,Workless households,5.414688073
2017,Owner occupied,Owned outright,,21.94169719
2017,Owner occupied,Owned outright,Working  households,9.088217006
2017,Owner occupied,Owned outright,Mixed households,8.409012713
2017,Owner occupied,Owned outright,Workless households,4.44446747
2017,Owner occupied,Buying with mortgage,,39.46613827
2017,Owner occupied,Buying with mortgage,Working  households,29.04964853
2017,Owner occupied,Buying with mortgage,Mixed households,9.446269134
2017,Owner occupied,Buying with mortgage,Workless households,0.970220603
2017,Rented,,,38.54176058
2017,Rented,,Working  households,19.66055715
2017,Rented,,Mixed households,9.781641899
2017,Rented,,Workless households,9.099561529
2017,Rented,Council or housing association,,16.40288754
2017,Rented,Council or housing association,Working  households,6.072699461
2017,Rented,Council or housing association,Mixed households,4.296489957
2017,Rented,Council or housing association,Workless households,6.033698124
2017,Rented,Privately rented,,22.13887304
2017,Rented,Privately rented,Working  households,13.58785769
2017,Rented,Privately rented,Mixed households,5.485151942
2017,Rented,Privately rented,Workless households,3.065863405
