Year,Age,Geography,Value
2016,4 Year Olds,North East,99
2016,4 Year Olds,North West,99
2016,4 Year Olds,Yorkshire And The Humber,99
2016,4 Year Olds,East Midlands,98
2016,4 Year Olds,West Midlands,100
2016,4 Year Olds,East Of England,97
2016,4 Year Olds,London,90
2016,4 Year Olds,South East,97
2016,4 Year Olds,South West,99
2016,,,95
2016,,North East,98
2016,,North West,97
2016,,Yorkshire And The Humber,97
2016,,East Midlands,97
2016,,West Midlands,97
2016,,East Of England,96
2016,,London,86
2016,,South East,96
2016,,South West,97
2017,3 Year Olds,,93
2017,3 Year Olds,North East,98
2017,3 Year Olds,North West,97
2017,3 Year Olds,Yorkshire And The Humber,96
2017,3 Year Olds,East Midlands,97
2017,3 Year Olds,West Midlands,96
2017,3 Year Olds,East Of England,94
2017,3 Year Olds,London,82
2017,3 Year Olds,South East,94
2017,3 Year Olds,South West,97
2017,4 Year Olds,,96
2017,4 Year Olds,North East,99
2017,4 Year Olds,North West,99
2017,4 Year Olds,Yorkshire And The Humber,98
2017,4 Year Olds,East Midlands,99
2017,4 Year Olds,West Midlands,99
2017,4 Year Olds,East Of England,97
2017,4 Year Olds,London,87
2017,4 Year Olds,South East,97
2017,4 Year Olds,South West,98
2017,,,95
2017,,North East,98
2017,,North West,98
2017,,Yorkshire And The Humber,97
2017,,East Midlands,98
2017,,West Midlands,97
2017,,East Of England,96
2017,,London,84
2017,,South East,96
2017,,South West,97
