Year,Total government expenditure on social protection,Type of social protection expenditure,Value
2003,As a percentage of GDP,Housing,0.83915
2004,As a percentage of GDP,Housing,0.84721
2005,As a percentage of GDP,Housing,0.87406
2006,As a percentage of GDP,Housing,0.90433
2007,As a percentage of GDP,Housing,0.93304
2008,As a percentage of GDP,Housing,1.01413
2009,As a percentage of GDP,Housing,1.22094
2010,As a percentage of GDP,Housing,1.3159
2011,As a percentage of GDP,Housing,1.36038
2012,As a percentage of GDP,Housing,1.40292
2013,As a percentage of GDP,Housing,1.40438
2014,As a percentage of GDP,Housing,1.37012
2000,As a percentage of national budget,Housing,3.23094
2001,As a percentage of national budget,Housing,2.912
2002,As a percentage of national budget,Housing,2.90869
2003,As a percentage of national budget,Housing,2.64388
2004,As a percentage of national budget,Housing,2.5262
2005,As a percentage of national budget,Housing,2.50401
2006,As a percentage of national budget,Housing,2.5022
2007,As a percentage of national budget,Housing,2.51526
2008,As a percentage of national budget,Housing,2.43959
2009,As a percentage of national budget,Housing,2.69829
2010,As a percentage of national budget,Housing,2.87759
2011,As a percentage of national budget,Housing,3.01637
2012,As a percentage of national budget,Housing,3.07544
2013,As a percentage of national budget,Housing,3.13593
2014,As a percentage of national budget,Housing,3.0783
2000,As a percentage of GDP,Social exclusion n.e.c,0.78305
2001,As a percentage of GDP,Social exclusion n.e.c,0.78911
2002,As a percentage of GDP,Social exclusion n.e.c,0.78605
2003,As a percentage of GDP,Social exclusion n.e.c,0.78887
2004,As a percentage of GDP,Social exclusion n.e.c,0.76563
2005,As a percentage of GDP,Social exclusion n.e.c,0.70291
2006,As a percentage of GDP,Social exclusion n.e.c,0.63958
2007,As a percentage of GDP,Social exclusion n.e.c,0.90479
2008,As a percentage of GDP,Social exclusion n.e.c,1.16258
2009,As a percentage of GDP,Social exclusion n.e.c,1.44316
2010,As a percentage of GDP,Social exclusion n.e.c,1.56702
2011,As a percentage of GDP,Social exclusion n.e.c,1.6321
2012,As a percentage of GDP,Social exclusion n.e.c,1.69783
2013,As a percentage of GDP,Social exclusion n.e.c,1.70077
2014,As a percentage of GDP,Social exclusion n.e.c,1.6394
2000,As a percentage of national budget,Social exclusion n.e.c,2.85734
2001,As a percentage of national budget,Social exclusion n.e.c,2.75412
2002,As a percentage of national budget,Social exclusion n.e.c,2.61358
2003,As a percentage of national budget,Social exclusion n.e.c,2.48547
2004,As a percentage of national budget,Social exclusion n.e.c,2.28294
2005,As a percentage of national budget,Social exclusion n.e.c,2.01368
2006,As a percentage of national budget,Social exclusion n.e.c,1.76968
2007,As a percentage of national budget,Social exclusion n.e.c,2.43909
2008,As a percentage of national budget,Social exclusion n.e.c,2.7967
2009,As a percentage of national budget,Social exclusion n.e.c,3.18939
2010,As a percentage of national budget,Social exclusion n.e.c,3.42674
2011,As a percentage of national budget,Social exclusion n.e.c,3.61886
2012,As a percentage of national budget,Social exclusion n.e.c,3.72195
2013,As a percentage of national budget,Social exclusion n.e.c,3.79778
2014,As a percentage of national budget,Social exclusion n.e.c,3.68328
2000,As a percentage of GDP,Social protection R&D,0.00063
2001,As a percentage of GDP,Social protection R&D,0.0022
2002,As a percentage of GDP,Social protection R&D,0.00114
2003,As a percentage of GDP,Social protection R&D,0.00039
2004,As a percentage of GDP,Social protection R&D,0.00038
2005,As a percentage of GDP,Social protection R&D,0.00061
2006,As a percentage of GDP,Social protection R&D,0.00018
2007,As a percentage of GDP,Social protection R&D,0.00023
2008,As a percentage of GDP,Social protection R&D,0.00076
2009,As a percentage of GDP,Social protection R&D,0.00012
2010,As a percentage of GDP,Social protection R&D,0.00012
2011,As a percentage of GDP,Social protection R&D,0.00047
2012,As a percentage of GDP,Social protection R&D,0.00029
2013,As a percentage of GDP,Social protection R&D,0.00011
2014,As a percentage of GDP,Social protection R&D,0
2000,As a percentage of national budget,Social protection R&D,0.00232
2001,As a percentage of national budget,Social protection R&D,0.00767
2002,As a percentage of national budget,Social protection R&D,0.00379
2003,As a percentage of national budget,Social protection R&D,0.00122
2004,As a percentage of national budget,Social protection R&D,0.00113
2005,As a percentage of national budget,Social protection R&D,0.00176
2006,As a percentage of national budget,Social protection R&D,0.0005
2007,As a percentage of national budget,Social protection R&D,0.00063
2008,As a percentage of national budget,Social protection R&D,0.00184
2009,As a percentage of national budget,Social protection R&D,0.00027
2010,As a percentage of national budget,Social protection R&D,0.00026
2011,As a percentage of national budget,Social protection R&D,0.00105
2012,As a percentage of national budget,Social protection R&D,0.00064
2013,As a percentage of national budget,Social protection R&D,0.00026
2014,As a percentage of national budget,Social protection R&D,0
2000,As a percentage of GDP,Social protection n.e.c,0.27578
2001,As a percentage of GDP,Social protection n.e.c,0.35515
2002,As a percentage of GDP,Social protection n.e.c,0.37164
2003,As a percentage of GDP,Social protection n.e.c,0.40934
2004,As a percentage of GDP,Social protection n.e.c,0.39274
2005,As a percentage of GDP,Social protection n.e.c,0.36999
2006,As a percentage of GDP,Social protection n.e.c,0.31102
2007,As a percentage of GDP,Social protection n.e.c,0.26509
2008,As a percentage of GDP,Social protection n.e.c,0.25889
2009,As a percentage of GDP,Social protection n.e.c,0.27834
2010,As a percentage of GDP,Social protection n.e.c,0.32209
2011,As a percentage of GDP,Social protection n.e.c,0.37321
2012,As a percentage of GDP,Social protection n.e.c,0.39732
2013,As a percentage of GDP,Social protection n.e.c,0.33129
2014,As a percentage of GDP,Social protection n.e.c,0.33525
2000,As a percentage of national budget,Social protection n.e.c,1.00631
2001,As a percentage of national budget,Social protection n.e.c,1.23955
2002,As a percentage of national budget,Social protection n.e.c,1.23569
2003,As a percentage of national budget,Social protection n.e.c,1.28969
2004,As a percentage of national budget,Social protection n.e.c,1.17105
2005,As a percentage of national budget,Social protection n.e.c,1.05994
2006,As a percentage of national budget,Social protection n.e.c,0.86057
2007,As a percentage of national budget,Social protection n.e.c,0.71462
2008,As a percentage of national budget,Social protection n.e.c,0.62279
2009,As a percentage of national budget,Social protection n.e.c,0.61513
2010,As a percentage of national budget,Social protection n.e.c,0.70435
2011,As a percentage of national budget,Social protection n.e.c,0.82753
2012,As a percentage of national budget,Social protection n.e.c,0.87099
2013,As a percentage of national budget,Social protection n.e.c,0.73976
2014,As a percentage of national budget,Social protection n.e.c,0.75322
