Year,Hate crime,Offence type,Value
2013,Transgender,Other notifiable offences,2.107715674
2013,Transgender,,9.815932994
2013,,Public order offences,456.9689325
2013,,Violence against the person,247.2273326
2013,,Criminal damage and arson,83.32867431
2013,,Other notifiable offences,37.89142249
2014,Race,Public order offences,462.8995482
2014,Race,Violence against the person with injury,59.72897396
2014,Race,Violence against the person without injury,149.3224349
2014,Race,Criminal damage and arson,44.79673047
2014,Race,Other notifiable offences,22.39836524
2014,Race,,746.6121745
2014,Religion,Public order offences,30.40116565
2014,Religion,Violence against the person with injury,4.015248293
2014,Religion,Violence against the person without injury,11.47213798
2014,Religion,Criminal damage and arson,9.751317284
2014,Religion,Other notifiable offences,1.720820697
2014,Religion,,57.36068991
2014,Sexual orientation,Public order offences,47.72085407
2014,Sexual orientation,Violence against the person with injury,13.63452973
2014,Sexual orientation,Violence against the person without injury,25.32126951
2014,Sexual orientation,Criminal damage and arson,6.817264867
2014,Sexual orientation,Other notifiable offences,4.869474905
2014,Sexual orientation,,97.38949811
2014,Disability,Public order offences,16.20922866
2014,Disability,Violence against the person with injury,4.818959873
2014,Disability,Violence against the person without injury,10.51409427
2014,Disability,Criminal damage and arson,5.257047134
2014,Disability,Other notifiable offences,7.009396179
2014,Disability,,43.80872612
2014,Transgender,Public order offences,5.180926207
2014,Transgender,Violence against the person with injury,0.951598691
2014,Transgender,Violence against the person without injury,2.854796073
2014,Transgender,Criminal damage and arson,0.740132315
2014,Transgender,Other notifiable offences,0.845865503
2014,Transgender,,10.57331879
2014,,Public order offences,563.8892004
2014,,Violence against the person with injury,86.01699667
2014,,Violence against the person without injury,200.7063256
2014,,Criminal damage and arson,66.90210852
2014,,Other notifiable offences,28.67233222
2015,Race,Public order offences,505.2913763
2015,Race,Violence against the person with injury,70.60500717
2015,Race,Violence against the person without injury,197.8218589
2015,Race,Criminal damage and arson,55.55803843
2015,Race,Other notifiable offences,24.4621214
2015,Race,,853.7384021
2015,Religion,Public order offences,38.12704938
2015,Religion,Violence against the person with injury,4.578010007
2015,Religion,Violence against the person without injury,20.22962158
2015,Religion,Criminal damage and arson,10.69354036
2015,Religion,Other notifiable offences,2.384020306
2015,Religion,,76.01224163
2015,Sexual orientation,Public order offences,57.73475262
2015,Sexual orientation,Violence against the person with injury,15.85891769
2015,Sexual orientation,Violence against the person without injury,36.79683515
2015,Sexual orientation,Criminal damage and arson,7.514846616
2015,Sexual orientation,Other notifiable offences,6.374662992
2015,Sexual orientation,,124.2800151
2015,Disability,Public order offences,19.52132569
2015,Disability,Violence against the person with injury,7.06568337
2015,Disability,Violence against the person without injury,20.05686649
2015,Disability,Criminal damage and arson,5.545438537
2015,Disability,Other notifiable offences,10.50350975
2015,Disability,,62.69282384
2015,Transgender,Public order offences,6.944754804
2015,Transgender,Violence against the person with injury,1.658448908
2015,Transgender,Violence against the person without injury,4.526183479
2015,Transgender,Criminal damage and arson,0.63919385
2015,Transgender,Other notifiable offences,1.053806077
2015,Transgender,,14.82238712
2015,,Public order offences,627.6192588
2015,,Violence against the person with injury,99.76606714
2015,,Violence against the person without injury,279.4313655
2015,,Criminal damage and arson,79.95105779
2015,,Other notifiable offences,44.77812053
2016,Race,Public order offences,643.5460227
2016,Race,Violence against the person with injury,81.36178456
2016,Race,Violence against the person without injury,242.28683
2016,Race,Criminal damage and arson,66.33982981
2016,Race,Other notifiable offences,40.18415718
2016,Race,,1073.718624
2016,Religion,Public order offences,52.7053076
2016,Religion,Violence against the person with injury,5.275669399
2016,Religion,Violence against the person without injury,26.68666534
2016,Religion,Criminal damage and arson,11.78461216
2016,Religion,Other notifiable offences,5.446957366
2016,Religion,,101.8992119
2016,Sexual orientation,Public order offences,76.08611516
2016,Sexual orientation,Violence against the person with injury,18.13939576
2016,Sexual orientation,Violence against the person without injury,46.77874392
2016,Sexual orientation,Criminal damage and arson,7.451026586
2016,Sexual orientation,Other notifiable offences,8.393110407
2016,Sexual orientation,,156.8483918
2016,Disability,Public order offences,31.36282685
2016,Disability,Violence against the person with injury,9.797671741
2016,Disability,Violence against the person without injury,33.1784793
2016,Disability,Criminal damage and arson,7.057064261
2016,Disability,Other notifiable offences,13.80581018
2016,Disability,,95.20185234
2016,Transgender,Public order offences,9.266679042
2016,Transgender,Violence against the person with injury,2.089713203
2016,Transgender,Violence against the person without injury,7.108450651
2016,Transgender,Criminal damage and arson,1.130500585
2016,Transgender,Other notifiable offences,1.781394862
2016,Transgender,,21.37673834
2016,,Public order offences,812.9669513
2016,,Violence against the person with injury,116.6642347
2016,,Violence against the person without injury,356.0391692
2016,,Criminal damage and arson,93.76303341
2016,,Other notifiable offences,69.61142999
