"Year","Grade","Planet","Continent","Fruit","Value"
2015,"A","Mars",,,5.625
2015,"A","Venus",,,8.458
2015,"B","Earth",,,6.782
2015,"B","Mars",,,5.944
2015,"B","Venus",,,5.916
2016,"A","Earth",,,6.337
2016,"A","Mars",,,5.195
2016,"A","Venus",,,11.701
2016,"B","Earth",,,7.278
2016,"B","Mars",,,4.76
2016,"B","Venus",,,4.777
2010,,"Earth","Africa",,5.807
2010,,"Earth","America",,5.268
2010,,"Earth","Asia",,5.557
2010,,"Earth","Australia",,3.297
2010,,"Earth","Europe",,7.307
2010,,"Mars","Dawes",,8.026
2010,,"Mars","Herschel I",,9.747
2010,,"Mars","Madler",,6.47
2010,,"Venus","Aphrodite Terra",,7.414
2010,,"Venus","Ishtar Terra",,7.401
2011,,"Earth","Africa",,5.541
2011,,"Earth","America",,10.331
2011,,"Earth","Asia",,4.063
2011,,"Earth","Australia",,5.323
2011,,"Earth","Europe",,5.311
2011,,"Mars","Dawes",,4.144
2011,,"Mars","Herschel I",,5.736
2011,,"Mars","Madler",,11.463
2011,,"Venus","Aphrodite Terra",,8.333
2011,,"Venus","Ishtar Terra",,13.025
2012,,"Earth","Africa",,6.52
2012,,"Earth","America",,6.286
2012,,"Earth","Asia",,7.055
2012,,"Earth","Australia",,5.92
2012,,"Earth","Europe",,6.299
2012,,"Mars","Dawes",,7.208
2012,,"Mars","Herschel I",,8.899
2012,,"Mars","Madler",,3.902
2012,,"Venus","Aphrodite Terra",,9.404
2012,,"Venus","Ishtar Terra",,10.291
2013,,"Earth","Africa",,3.502
2013,,"Earth","America",,8.02
2013,,"Earth","Asia",,5.249
2013,,"Earth","Australia",,5.433
2013,,"Earth","Europe",,6.946
2013,,"Mars","Dawes",,5.051
2013,,"Mars","Herschel I",,7.522
2013,,"Mars","Madler",,9.202
2013,,"Venus","Aphrodite Terra",,3.031
2013,,"Venus","Ishtar Terra",,6.226
2014,,"Earth","Africa",,4.433
2014,,"Earth","America",,6.215
2014,,"Earth","Asia",,9.253
2014,,"Earth","Australia",,5.064
2014,,"Earth","Europe",,5.223
2014,,"Mars","Dawes",,7.874
2014,,"Mars","Herschel I",,8.58
2014,,"Mars","Madler",,4.004
2014,,"Venus","Aphrodite Terra",,5.773
2014,,"Venus","Ishtar Terra",,10.168
2015,,"Earth","Africa",,0.618
2015,,"Earth","America",,9.253
2015,,"Earth","Asia",,7.105
2015,,"Earth","Australia",,5.234
2015,,"Earth","Europe",,8.606
2015,,"Mars","Dawes",,8.513
2015,,"Mars","Herschel I",,4.821
2015,,"Mars","Madler",,4.019
2015,,"Venus","Aphrodite Terra",,7.49
2015,,"Venus","Ishtar Terra",,6.883
2016,,"Earth","Africa",,3.85
2016,,"Earth","America",,8.731
2016,,"Earth","Asia",,6.442
2016,,"Earth","Australia",,8.83
2016,,"Earth","Europe",,6.184
2016,,"Mars","Dawes",,6.143
2016,,"Mars","Herschel I",,2.478
2016,,"Mars","Madler",,6.311
2016,,"Venus","Aphrodite Terra",,11.232
2016,,"Venus","Ishtar Terra",,5.246
2010,"A","Earth","Africa",,7.806
2010,"A","Earth","America",,3.836
2010,"A","Earth","Asia",,7.367
2010,"A","Earth","Australia",,4.303
2010,"A","Earth","Europe",,5.728
2010,"A","Mars","Dawes",,7.968
2010,"A","Mars","Herschel I",,13.268
2010,"A","Mars","Madler",,10.126
2010,"A","Venus","Aphrodite Terra",,3.432
2010,"A","Venus","Ishtar Terra",,6.885
2010,"B","Earth","Africa",,3.808
2010,"B","Earth","America",,6.701
2010,"B","Earth","Asia",,3.748
2010,"B","Earth","Australia",,2.292
2010,"B","Earth","Europe",,8.886
2010,"B","Mars","Dawes",,8.085
2010,"B","Mars","Herschel I",,6.226
2010,"B","Mars","Madler",,2.813
2010,"B","Venus","Aphrodite Terra",,11.396
2010,"B","Venus","Ishtar Terra",,7.917
2011,"A","Earth","Africa",,5.264
2011,"A","Earth","America",,10.742
2011,"A","Earth","Asia",,7.961
2011,"A","Earth","Australia",,8.748
2011,"A","Earth","Europe",,4.828
2011,"A","Mars","Dawes",,2.028
2011,"A","Mars","Herschel I",,2.616
2011,"A","Mars","Madler",,10.062
2011,"A","Venus","Aphrodite Terra",,8.429
2011,"A","Venus","Ishtar Terra",,15.328
2011,"B","Earth","Africa",,5.818
2011,"B","Earth","America",,9.921
2011,"B","Earth","Asia",,0.165
2011,"B","Earth","Australia",,1.897
2011,"B","Earth","Europe",,5.794
2011,"B","Mars","Dawes",,6.26
2011,"B","Mars","Herschel I",,8.856
2011,"B","Mars","Madler",,12.864
2011,"B","Venus","Aphrodite Terra",,8.237
2011,"B","Venus","Ishtar Terra",,10.721
2012,"A","Earth","Africa",,6.197
2012,"A","Earth","America",,5.395
2012,"A","Earth","Asia",,3.987
2012,"A","Earth","Australia",,5.532
2012,"A","Earth","Europe",,5.973
2012,"A","Mars","Dawes",,5.053
2012,"A","Mars","Herschel I",,7.035
2012,"A","Mars","Madler",,5.993
2012,"A","Venus","Aphrodite Terra",,7.151
2012,"A","Venus","Ishtar Terra",,9.59
2012,"B","Earth","Africa",,6.844
2012,"B","Earth","America",,7.177
2012,"B","Earth","Asia",,10.122
2012,"B","Earth","Australia",,6.309
2012,"B","Earth","Europe",,6.625
2012,"B","Mars","Dawes",,9.363
2012,"B","Mars","Herschel I",,10.763
2012,"B","Mars","Madler",,1.81
2012,"B","Venus","Aphrodite Terra",,11.658
2012,"B","Venus","Ishtar Terra",,10.993
2013,"A","Earth","Africa",,3.854
2013,"A","Earth","America",,5.782
2013,"A","Earth","Asia",,7.12
2013,"A","Earth","Australia",,6.714
2013,"A","Earth","Europe",,7.553
2013,"A","Mars","Dawes",,1.342
2013,"A","Mars","Herschel I",,6.523
2013,"A","Mars","Madler",,7.904
2013,"A","Venus","Aphrodite Terra",,2.915
2013,"A","Venus","Ishtar Terra",,9.095
2013,"B","Earth","Africa",,3.15
2013,"B","Earth","America",,10.257
2013,"B","Earth","Asia",,3.379
2013,"B","Earth","Australia",,4.153
2013,"B","Earth","Europe",,6.338
2013,"B","Mars","Dawes",,8.76
2013,"B","Mars","Herschel I",,8.521
2013,"B","Mars","Madler",,10.5
2013,"B","Venus","Aphrodite Terra",,3.147
2013,"B","Venus","Ishtar Terra",,3.358
2014,"A","Earth","Africa",,6.999
2014,"A","Earth","America",,4.621
2014,"A","Earth","Asia",,9.501
2014,"A","Earth","Australia",,5.731
2014,"A","Earth","Europe",,5.069
2014,"A","Mars","Dawes",,6.224
2014,"A","Mars","Herschel I",,11.624
2014,"A","Mars","Madler",,2.077
2014,"A","Venus","Aphrodite Terra",,2.039
2014,"A","Venus","Ishtar Terra",,7.416
2014,"B","Earth","Africa",,1.866
2014,"B","Earth","America",,7.809
2014,"B","Earth","Asia",,9.005
2014,"B","Earth","Australia",,4.397
2014,"B","Earth","Europe",,5.378
2014,"B","Mars","Dawes",,9.523
2014,"B","Mars","Herschel I",,5.536
2014,"B","Mars","Madler",,5.931
2014,"B","Venus","Aphrodite Terra",,9.507
2014,"B","Venus","Ishtar Terra",,12.92
2015,"A","Earth","Africa",,-0.167
2015,"A","Earth","America",,8.651
2015,"A","Earth","Asia",,2.681
2015,"A","Earth","Australia",,8.909
2015,"A","Earth","Europe",,7.646
2015,"A","Mars","Dawes",,7.856
2015,"A","Mars","Herschel I",,5.392
2015,"A","Mars","Madler",,3.628
2015,"A","Venus","Aphrodite Terra",,11.043
2015,"A","Venus","Ishtar Terra",,5.872
2015,"B","Earth","Africa",,1.403
2015,"B","Earth","America",,9.855
2015,"B","Earth","Asia",,11.529
2015,"B","Earth","Australia",,1.559
2015,"B","Earth","Europe",,9.566
2015,"B","Mars","Dawes",,9.171
2015,"B","Mars","Herschel I",,4.25
2015,"B","Mars","Madler",,4.41
2015,"B","Venus","Aphrodite Terra",,3.938
2015,"B","Venus","Ishtar Terra",,7.894
2016,"A","Earth","Africa",,4.37
2016,"A","Earth","America",,8.253
2016,"A","Earth","Asia",,6.312
2016,"A","Earth","Australia",,8.027
2016,"A","Earth","Europe",,4.724
2016,"A","Mars","Dawes",,5.042
2016,"A","Mars","Herschel I",,2.387
2016,"A","Mars","Madler",,8.156
2016,"A","Venus","Aphrodite Terra",,13.576
2016,"A","Venus","Ishtar Terra",,9.825
2016,"B","Earth","Africa",,3.331
2016,"B","Earth","America",,9.208
2016,"B","Earth","Asia",,6.573
2016,"B","Earth","Australia",,9.633
2016,"B","Earth","Europe",,7.644
2016,"B","Mars","Dawes",,7.244
2016,"B","Mars","Herschel I",,2.569
2016,"B","Mars","Madler",,4.466
2016,"B","Venus","Aphrodite Terra",,8.887
2016,"B","Venus","Ishtar Terra",,0.668
