Year,Sex,Age,Occupation category,Occupation sub-category,Value
2004,,60 and over,Professional occupations,"Business, media and public service professionals",13.77
2004,,18 to 21,Associate professional and technical occupations,,8.04
2004,,22 to 29,Associate professional and technical occupations,,11.81
2004,,30 to 39,Associate professional and technical occupations,,13.98
2004,,30 to 49,Associate professional and technical occupations,,14.39
2004,,50 to 59,Associate professional and technical occupations,,14.01
2004,,60 and over,Associate professional and technical occupations,,13.18
2004,,18 to 21,Associate professional and technical occupations,"Science, engineering and technology associate professionals",7.15
2004,,22 to 29,Associate professional and technical occupations,"Science, engineering and technology associate professionals",10.67
2004,,30 to 39,Associate professional and technical occupations,"Science, engineering and technology associate professionals",13.12
2004,,30 to 49,Associate professional and technical occupations,"Science, engineering and technology associate professionals",13.51
2004,,50 to 59,Associate professional and technical occupations,"Science, engineering and technology associate professionals",12.56
2004,,60 and over,Associate professional and technical occupations,"Science, engineering and technology associate professionals",11.7
2004,,18 to 21,Associate professional and technical occupations,Health and social care associate professionals,9.45
2004,,22 to 29,Associate professional and technical occupations,Health and social care associate professionals,10.98
2004,,30 to 39,Associate professional and technical occupations,Health and social care associate professionals,12.28
2004,,30 to 49,Associate professional and technical occupations,Health and social care associate professionals,12.78
2004,,50 to 59,Associate professional and technical occupations,Health and social care associate professionals,12.86
2004,,60 and over,Associate professional and technical occupations,Health and social care associate professionals,11.72
2004,,18 to 21,Associate professional and technical occupations,Protective service occupations,10.76
2004,,22 to 29,Associate professional and technical occupations,Protective service occupations,11.6
2004,,30 to 39,Associate professional and technical occupations,Protective service occupations,13.45
2004,,30 to 49,Associate professional and technical occupations,Protective service occupations,14.77
2004,,50 to 59,Associate professional and technical occupations,Protective service occupations,13.58
2004,,60 and over,Associate professional and technical occupations,Protective service occupations,9.71
2004,,18 to 21,Associate professional and technical occupations,"Culture, media and sports occupations",9.16
2004,,22 to 29,Associate professional and technical occupations,"Culture, media and sports occupations",16.37
2004,,30 to 39,Associate professional and technical occupations,"Culture, media and sports occupations",15.45
2004,,30 to 49,Associate professional and technical occupations,"Culture, media and sports occupations",18.49
2004,,50 to 59,Associate professional and technical occupations,"Culture, media and sports occupations",15.71
2004,,60 and over,Associate professional and technical occupations,"Culture, media and sports occupations",22.94
2004,,18 to 21,Associate professional and technical occupations,Business and public service associate professionals,7.16
2004,,22 to 29,Associate professional and technical occupations,Business and public service associate professionals,11.6
2004,,30 to 39,Associate professional and technical occupations,Business and public service associate professionals,15.71
2004,,30 to 49,Associate professional and technical occupations,Business and public service associate professionals,15.78
2004,,50 to 59,Associate professional and technical occupations,Business and public service associate professionals,15.61
2004,,60 and over,Associate professional and technical occupations,Business and public service associate professionals,13.94
2004,,18 to 21,Administrative and secretarial occupations,Administrative and secretarial occupations,6.64
2004,,22 to 29,Administrative and secretarial occupations,,8.48
2004,,30 to 39,Administrative and secretarial occupations,,9.43
2004,,30 to 49,Administrative and secretarial occupations,,9.3
2004,,50 to 59,Administrative and secretarial occupations,,8.95
2004,,60 and over,Administrative and secretarial occupations,,8.47
2004,,18 to 21,Administrative and secretarial occupations,Administrative occupations,6.69
2004,,22 to 29,Administrative and secretarial occupations,Administrative occupations,8.5
2004,,30 to 39,Administrative and secretarial occupations,Administrative occupations,9.4
2004,,30 to 49,Administrative and secretarial occupations,Administrative occupations,9.32
2004,,50 to 59,Administrative and secretarial occupations,Administrative occupations,8.92
2004,,60 and over,Administrative and secretarial occupations,Administrative occupations,8.44
2004,,18 to 21,Administrative and secretarial occupations,Secretarial and related occupations,6.29
2004,,22 to 29,Administrative and secretarial occupations,Secretarial and related occupations,8.38
2004,,30 to 39,Administrative and secretarial occupations,Secretarial and related occupations,9.54
2004,,30 to 49,Administrative and secretarial occupations,Secretarial and related occupations,9.2
2004,,50 to 59,Administrative and secretarial occupations,Secretarial and related occupations,9.06
2004,,60 and over,Administrative and secretarial occupations,Secretarial and related occupations,8.55
2004,,18 to 21,Skilled trades occupations,,6.95
2004,,22 to 29,Skilled trades occupations,,8.82
2004,,30 to 39,Skilled trades occupations,,10.03
2004,,30 to 49,Skilled trades occupations,,10.45
2004,,50 to 59,Skilled trades occupations,,10
2004,,60 and over,Skilled trades occupations,,8.91
2004,,18 to 21,Skilled trades occupations,Skilled agricultural and related trades,6.68
2004,,22 to 29,Skilled trades occupations,Skilled agricultural and related trades,6.83
2004,,30 to 39,Skilled trades occupations,Skilled agricultural and related trades,7.83
2004,,30 to 49,Skilled trades occupations,Skilled agricultural and related trades,7.9
2004,,50 to 59,Skilled trades occupations,Skilled agricultural and related trades,7.19
2004,,60 and over,Skilled trades occupations,Skilled agricultural and related trades,7.32
2004,,18 to 21,Skilled trades occupations,"Skilled metal, electrical and electronic trades",7.38
2004,,22 to 29,Skilled trades occupations,"Skilled metal, electrical and electronic trades",9.88
2004,,30 to 39,Skilled trades occupations,"Skilled metal, electrical and electronic trades",10.9
2004,,30 to 49,Skilled trades occupations,"Skilled metal, electrical and electronic trades",11.32
2004,,50 to 59,Skilled trades occupations,"Skilled metal, electrical and electronic trades",10.79
2004,,60 and over,Skilled trades occupations,"Skilled metal, electrical and electronic trades",9.53
2004,,18 to 21,Skilled trades occupations,Skilled construction and building trades,7.42
2004,,22 to 29,Skilled trades occupations,Skilled construction and building trades,8.63
2004,,30 to 39,Skilled trades occupations,Skilled construction and building trades,9.89
2004,,30 to 49,Skilled trades occupations,Skilled construction and building trades,10.2
2004,,50 to 59,Skilled trades occupations,Skilled construction and building trades,10.02
2004,,60 and over,Skilled trades occupations,Skilled construction and building trades,9.26
2004,,18 to 21,Skilled trades occupations,"Textiles, printing and other skilled trades",6
2004,,22 to 29,Skilled trades occupations,"Textiles, printing and other skilled trades",7.15
2004,,30 to 39,Skilled trades occupations,"Textiles, printing and other skilled trades",8.21
2004,,30 to 49,Skilled trades occupations,"Textiles, printing and other skilled trades",8.4
2004,,50 to 59,Skilled trades occupations,"Textiles, printing and other skilled trades",7.99
2004,,60 and over,Skilled trades occupations,"Textiles, printing and other skilled trades",7.48
2004,,18 to 21,"Caring, leisure and other service occupations",,6.01
2004,,22 to 29,"Caring, leisure and other service occupations",,7.21
2004,,30 to 39,"Caring, leisure and other service occupations",,7.88
2004,,30 to 49,"Caring, leisure and other service occupations",,7.57
2004,,50 to 59,"Caring, leisure and other service occupations",,7.55
2004,,60 and over,"Caring, leisure and other service occupations",,7.27
2004,,18 to 21,"Caring, leisure and other service occupations",Caring personal service occupations,6.01
2004,,22 to 29,"Caring, leisure and other service occupations",Caring personal service occupations,7.09
2004,,30 to 39,"Caring, leisure and other service occupations",Caring personal service occupations,7.38
2004,,30 to 49,"Caring, leisure and other service occupations",Caring personal service occupations,7.33
2004,,50 to 59,"Caring, leisure and other service occupations",Caring personal service occupations,7.46
2004,,60 and over,"Caring, leisure and other service occupations",Caring personal service occupations,7.09
2004,,18 to 21,"Caring, leisure and other service occupations","Leisure, travel and related personal service occupations",6
2004,,22 to 29,"Caring, leisure and other service occupations","Leisure, travel and related personal service occupations",7.55
2004,,30 to 39,"Caring, leisure and other service occupations","Leisure, travel and related personal service occupations",9.63
2004,,30 to 49,"Caring, leisure and other service occupations","Leisure, travel and related personal service occupations",8.83
2004,,50 to 59,"Caring, leisure and other service occupations","Leisure, travel and related personal service occupations",7.88
2004,,60 and over,"Caring, leisure and other service occupations","Leisure, travel and related personal service occupations",7.6
2004,,18 to 21,Sales and customer service occupations,,5.66
2004,,22 to 29,Sales and customer service occupations,,6.91
2004,,30 to 39,Sales and customer service occupations,,7.26
2004,,30 to 49,Sales and customer service occupations,,6.9
2004,,50 to 59,Sales and customer service occupations,,6.42
2004,,60 and over,Sales and customer service occupations,,6.43
2004,,18 to 21,Sales and customer service occupations,Sales occupations,5.49
2004,,22 to 29,Sales and customer service occupations,Sales occupations,6.72
2004,,30 to 39,Sales and customer service occupations,Sales occupations,7.11
2004,,30 to 49,Sales and customer service occupations,Sales occupations,6.76
2004,,50 to 59,Sales and customer service occupations,Sales occupations,6.3
2004,,60 and over,Sales and customer service occupations,Sales occupations,6.43
2004,,18 to 21,Sales and customer service occupations,Customer service occupations,6.23
2004,,22 to 29,Sales and customer service occupations,Customer service occupations,7.37
2004,,30 to 39,Sales and customer service occupations,Customer service occupations,7.72
2004,,30 to 49,Sales and customer service occupations,Customer service occupations,7.55
2004,,50 to 59,Sales and customer service occupations,Customer service occupations,7.18
2004,,60 and over,Sales and customer service occupations,Customer service occupations,6.49
2004,,18 to 21,"Process, plant and machine operatives",,6.66
2004,,22 to 29,"Process, plant and machine operatives",,7.94
2004,,30 to 39,"Process, plant and machine operatives",,8.7
2004,,30 to 49,"Process, plant and machine operatives",,8.89
2004,,50 to 59,"Process, plant and machine operatives",,8.47
2004,,60 and over,"Process, plant and machine operatives",,7.74
2004,,18 to 21,"Process, plant and machine operatives","Process, plant and machine operatives",6.55
2004,,22 to 29,"Process, plant and machine operatives","Process, plant and machine operatives",8.11
2004,,30 to 39,"Process, plant and machine operatives","Process, plant and machine operatives",9.13
2004,,30 to 49,"Process, plant and machine operatives","Process, plant and machine operatives",9.31
2004,,50 to 59,"Process, plant and machine operatives","Process, plant and machine operatives",8.9
2004,,60 and over,"Process, plant and machine operatives","Process, plant and machine operatives",8.07
2004,,18 to 21,"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,7.14
2004,,22 to 29,"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,7.62
2004,,30 to 39,"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,8.09
2004,,30 to 49,"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,8.34
2004,,50 to 59,"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,7.98
2004,,60 and over,"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,7.51
2004,,18 to 21,Elementary occupations,,5.78
2004,,22 to 29,Elementary occupations,,6.73
2004,,30 to 39,Elementary occupations,,7.38
2004,,30 to 49,Elementary occupations,,7.35
2004,,50 to 59,Elementary occupations,,6.98
2004,,60 and over,Elementary occupations,,6.61
2004,,18 to 21,Elementary occupations,Elementary trades and related occupations,6.2
2004,,22 to 29,Elementary occupations,Elementary trades and related occupations,7.16
2004,,30 to 39,Elementary occupations,Elementary trades and related occupations,7.81
2004,,30 to 49,Elementary occupations,Elementary trades and related occupations,7.88
2004,,50 to 59,Elementary occupations,Elementary trades and related occupations,7.48
2004,,60 and over,Elementary occupations,Elementary trades and related occupations,7.11
2004,,18 to 21,Elementary occupations,Elementary administration and service occupations,5.54
2004,,22 to 29,Elementary occupations,Elementary administration and service occupations,6.37
2004,,30 to 39,Elementary occupations,Elementary administration and service occupations,7.01
2004,,30 to 49,Elementary occupations,Elementary administration and service occupations,6.98
2004,,50 to 59,Elementary occupations,Elementary administration and service occupations,6.69
2004,,60 and over,Elementary occupations,Elementary administration and service occupations,6.36
2004,Male,,,,13.25
2004,Male,18 to 21,,,6.52
2004,Male,22 to 29,,,10.39
2004,Male,30 to 39,,,13.89
2004,Male,30 to 49,,,15.18
2004,Male,50 to 59,,,13.49
2004,Male,18 to 21,"Managers, directors and senior officials",,7.34
2004,Male,22 to 29,"Managers, directors and senior officials",,13.51
2004,Male,30 to 39,"Managers, directors and senior officials",,19.72
2004,Male,30 to 49,"Managers, directors and senior officials",,22.44
2004,Male,50 to 59,"Managers, directors and senior officials",,21.64
2004,Male,60 and over,"Managers, directors and senior officials",,17.06
2004,Male,18 to 21,"Managers, directors and senior officials",Corporate managers and directors,7.8
2004,Male,22 to 29,"Managers, directors and senior officials",Corporate managers and directors,14.31
2004,Male,30 to 39,"Managers, directors and senior officials",Corporate managers and directors,20.54
2004,Male,30 to 49,"Managers, directors and senior officials",Corporate managers and directors,23.43
2004,Male,50 to 59,"Managers, directors and senior officials",Corporate managers and directors,22.21
2004,Male,60 and over,"Managers, directors and senior officials",Corporate managers and directors,17.87
2004,Male,18 to 21,"Managers, directors and senior officials",Other managers and proprietors,6.56
2004,Male,22 to 29,"Managers, directors and senior officials",Other managers and proprietors,10.3
2004,Male,30 to 39,"Managers, directors and senior officials",Other managers and proprietors,15.04
2004,Male,30 to 49,"Managers, directors and senior officials",Other managers and proprietors,16.93
2004,Male,50 to 59,"Managers, directors and senior officials",Other managers and proprietors,18.61
2004,Male,60 and over,"Managers, directors and senior officials",Other managers and proprietors,13.8
2004,Male,18 to 21,Professional occupations,,8.56
2004,Male,22 to 29,Professional occupations,,15.01
2004,Male,30 to 39,Professional occupations,,18.9
2004,Male,30 to 49,Professional occupations,,20.63
2004,Male,50 to 59,Professional occupations,,20.88
2004,Male,60 and over,Professional occupations,,18.38
2004,Male,18 to 21,Professional occupations,"Science, research, engineering and technology professionals",7.86
2004,Male,22 to 29,Professional occupations,"Science, research, engineering and technology professionals",14.05
2004,Male,30 to 39,Professional occupations,"Science, research, engineering and technology professionals",17.28
2004,Male,30 to 49,Professional occupations,"Science, research, engineering and technology professionals",18.59
2004,Male,50 to 59,Professional occupations,"Science, research, engineering and technology professionals",17.99
2004,Male,60 and over,Professional occupations,"Science, research, engineering and technology professionals",15.35
2004,Male,22 to 29,Professional occupations,Health professionals,20.7
2004,Male,30 to 39,Professional occupations,Health professionals,27.56
2004,Male,30 to 49,Professional occupations,Health professionals,36.85
2004,Male,50 to 59,Professional occupations,Health professionals,37.2
2004,Male,60 and over,Professional occupations,Health professionals,37.15
2004,Male,22 to 29,Professional occupations,Teaching and educational professionals,13.71
2004,Male,30 to 39,Professional occupations,Teaching and educational professionals,17.13
2004,Male,30 to 49,Professional occupations,Teaching and educational professionals,19.7
2004,Male,50 to 59,Professional occupations,Teaching and educational professionals,21.92
2004,Male,60 and over,Professional occupations,Teaching and educational professionals,21.32
2004,Male,18 to 21,Professional occupations,"Business, media and public service professionals",8.75
2004,Male,22 to 29,Professional occupations,"Business, media and public service professionals",16.17
2004,Male,30 to 39,Professional occupations,"Business, media and public service professionals",21.36
2004,Male,30 to 49,Professional occupations,"Business, media and public service professionals",20.31
2004,Male,50 to 59,Professional occupations,"Business, media and public service professionals",19.29
2004,Male,60 and over,Professional occupations,"Business, media and public service professionals",13.9
2004,Male,18 to 21,Associate professional and technical occupations,,8.44
2004,Male,22 to 29,Associate professional and technical occupations,,12.8
2004,Male,30 to 39,Associate professional and technical occupations,,14.9
2004,Male,30 to 49,Associate professional and technical occupations,,15.45
2004,Male,50 to 59,Associate professional and technical occupations,,15.1
2004,Male,60 and over,Associate professional and technical occupations,,13.96
2004,Male,18 to 21,Associate professional and technical occupations,"Science, engineering and technology associate professionals",7.12
2004,Male,22 to 29,Associate professional and technical occupations,"Science, engineering and technology associate professionals",10.92
2004,Male,30 to 39,Associate professional and technical occupations,"Science, engineering and technology associate professionals",13.6
2004,Male,30 to 49,Associate professional and technical occupations,"Science, engineering and technology associate professionals",13.86
2004,Male,50 to 59,Associate professional and technical occupations,"Science, engineering and technology associate professionals",13.08
2004,Male,60 and over,Associate professional and technical occupations,"Science, engineering and technology associate professionals",12.08
2004,Male,22 to 29,Associate professional and technical occupations,Health and social care associate professionals,10.61
2004,Male,30 to 39,Associate professional and technical occupations,Health and social care associate professionals,12.26
2004,Male,30 to 49,Associate professional and technical occupations,Health and social care associate professionals,12.95
2004,Male,50 to 59,Associate professional and technical occupations,Health and social care associate professionals,13.1
2004,Male,60 and over,Associate professional and technical occupations,Health and social care associate professionals,10.73
2004,Male,18 to 21,Associate professional and technical occupations,Protective service occupations,10.76
2004,Male,22 to 29,Associate professional and technical occupations,Protective service occupations,11.68
2004,Male,30 to 39,Associate professional and technical occupations,Protective service occupations,13.51
2004,Male,30 to 49,Associate professional and technical occupations,Protective service occupations,14.89
2004,Male,50 to 59,Associate professional and technical occupations,Protective service occupations,13.69
2004,Male,60 and over,Associate professional and technical occupations,Protective service occupations,9.72
2004,Male,18 to 21,Associate professional and technical occupations,"Culture, media and sports occupations",9.75
2004,Male,30 to 39,Associate professional and technical occupations,"Culture, media and sports occupations",15.72
2004,Male,30 to 49,Associate professional and technical occupations,"Culture, media and sports occupations",20.19
2004,Male,50 to 59,Associate professional and technical occupations,"Culture, media and sports occupations",16.09
2004,Male,18 to 21,Associate professional and technical occupations,Business and public service associate professionals,7.59
2004,Male,22 to 29,Associate professional and technical occupations,Business and public service associate professionals,12.41
2004,Male,30 to 39,Associate professional and technical occupations,Business and public service associate professionals,17.51
2004,Male,30 to 49,Associate professional and technical occupations,Business and public service associate professionals,16.97
2004,Male,50 to 59,Associate professional and technical occupations,Business and public service associate professionals,16.81
2004,Male,60 and over,Associate professional and technical occupations,Business and public service associate professionals,14.36
2004,Male,18 to 21,Administrative and secretarial occupations,Administrative and secretarial occupations,6.62
2004,Male,22 to 29,Administrative and secretarial occupations,,8.65
2004,Male,30 to 39,Administrative and secretarial occupations,,10.46
2004,Male,30 to 49,Administrative and secretarial occupations,,10.95
2004,Male,50 to 59,Administrative and secretarial occupations,,10.89
2004,Male,60 and over,Administrative and secretarial occupations,,9.23
2004,Male,18 to 21,Administrative and secretarial occupations,Administrative occupations,6.63
2004,Male,22 to 29,Administrative and secretarial occupations,Administrative occupations,8.7
2004,Male,30 to 39,Administrative and secretarial occupations,Administrative occupations,10.44
2004,Male,30 to 49,Administrative and secretarial occupations,Administrative occupations,10.84
2004,Male,50 to 59,Administrative and secretarial occupations,Administrative occupations,10.57
2004,Male,60 and over,Administrative and secretarial occupations,Administrative occupations,9.21
2004,Male,18 to 21,Administrative and secretarial occupations,Secretarial and related occupations,6.18
2004,Male,22 to 29,Administrative and secretarial occupations,Secretarial and related occupations,7.38
2004,Male,30 to 39,Administrative and secretarial occupations,Secretarial and related occupations,11.03
2004,Male,30 to 49,Administrative and secretarial occupations,Secretarial and related occupations,16.08
2004,Male,50 to 59,Administrative and secretarial occupations,Secretarial and related occupations,15.49
2004,Male,60 and over,Administrative and secretarial occupations,Secretarial and related occupations,9.45
2004,Male,18 to 21,Skilled trades occupations,,6.99
2004,Male,22 to 29,Skilled trades occupations,,8.87
2004,Male,30 to 39,Skilled trades occupations,,10.17
2004,Male,30 to 49,Skilled trades occupations,,10.72
2004,Male,50 to 59,Skilled trades occupations,,10.3
2004,Male,60 and over,Skilled trades occupations,,9.12
2004,Male,18 to 21,Skilled trades occupations,Skilled agricultural and related trades,6.74
2004,Male,22 to 29,Skilled trades occupations,Skilled agricultural and related trades,6.81
2004,Male,30 to 39,Skilled trades occupations,Skilled agricultural and related trades,7.83
2004,Male,30 to 49,Skilled trades occupations,Skilled agricultural and related trades,7.94
2004,Male,50 to 59,Skilled trades occupations,Skilled agricultural and related trades,7.26
2004,Male,60 and over,Skilled trades occupations,Skilled agricultural and related trades,7.4
2004,Male,18 to 21,Skilled trades occupations,"Skilled metal, electrical and electronic trades",7.29
2004,Male,22 to 29,Skilled trades occupations,"Skilled metal, electrical and electronic trades",9.82
2004,Male,30 to 39,Skilled trades occupations,"Skilled metal, electrical and electronic trades",10.91
2004,Male,30 to 49,Skilled trades occupations,"Skilled metal, electrical and electronic trades",11.38
2004,Male,50 to 59,Skilled trades occupations,"Skilled metal, electrical and electronic trades",10.84
2004,Male,60 and over,Skilled trades occupations,"Skilled metal, electrical and electronic trades",9.56
2004,Male,18 to 21,Skilled trades occupations,Skilled construction and building trades,7.38
2004,Male,22 to 29,Skilled trades occupations,Skilled construction and building trades,8.61
2004,Male,30 to 39,Skilled trades occupations,Skilled construction and building trades,9.88
2004,Male,30 to 49,Skilled trades occupations,Skilled construction and building trades,10.2
2004,Male,50 to 59,Skilled trades occupations,Skilled construction and building trades,10.04
2004,Male,60 and over,Skilled trades occupations,Skilled construction and building trades,9.26
2004,Male,18 to 21,Skilled trades occupations,"Textiles, printing and other skilled trades",6.16
2004,Male,22 to 29,Skilled trades occupations,"Textiles, printing and other skilled trades",7.26
2004,Male,30 to 39,Skilled trades occupations,"Textiles, printing and other skilled trades",8.56
2004,Male,30 to 49,Skilled trades occupations,"Textiles, printing and other skilled trades",9.37
2004,Male,50 to 59,Skilled trades occupations,"Textiles, printing and other skilled trades",9.08
2004,Male,60 and over,Skilled trades occupations,"Textiles, printing and other skilled trades",8.24
2004,Male,18 to 21,"Caring, leisure and other service occupations",,6.32
2004,Male,22 to 29,"Caring, leisure and other service occupations",,7.86
2004,Male,30 to 39,"Caring, leisure and other service occupations",,8.84
2004,Male,30 to 49,"Caring, leisure and other service occupations",,8.59
2004,Male,50 to 59,"Caring, leisure and other service occupations",,8.21
2004,Male,60 and over,"Caring, leisure and other service occupations",,7.59
2004,Male,18 to 21,"Caring, leisure and other service occupations",Caring personal service occupations,6.62
2004,Male,22 to 29,"Caring, leisure and other service occupations",Caring personal service occupations,7.78
2004,Male,30 to 39,"Caring, leisure and other service occupations",Caring personal service occupations,8.1
2004,Male,30 to 49,"Caring, leisure and other service occupations",Caring personal service occupations,8.18
2004,Male,50 to 59,"Caring, leisure and other service occupations",Caring personal service occupations,8.08
2004,Male,60 and over,"Caring, leisure and other service occupations",Caring personal service occupations,7.1
2004,Male,18 to 21,"Caring, leisure and other service occupations","Leisure, travel and related personal service occupations",6.06
2004,Male,22 to 29,"Caring, leisure and other service occupations","Leisure, travel and related personal service occupations",7.95
2004,Male,30 to 39,"Caring, leisure and other service occupations","Leisure, travel and related personal service occupations",9.77
2004,Male,30 to 49,"Caring, leisure and other service occupations","Leisure, travel and related personal service occupations",9.05
2004,Male,50 to 59,"Caring, leisure and other service occupations","Leisure, travel and related personal service occupations",8.3
2004,Male,60 and over,"Caring, leisure and other service occupations","Leisure, travel and related personal service occupations",7.76
2004,Male,18 to 21,Sales and customer service occupations,,5.76
2004,Male,22 to 29,Sales and customer service occupations,,7.07
2004,Male,30 to 39,Sales and customer service occupations,,8.39
2004,Male,30 to 49,Sales and customer service occupations,,8.67
2004,Male,50 to 59,Sales and customer service occupations,,8.01
2004,Male,60 and over,Sales and customer service occupations,,7.73
2004,Male,18 to 21,Sales and customer service occupations,Sales occupations,5.6
2004,Male,22 to 29,Sales and customer service occupations,Sales occupations,6.96
2004,Male,30 to 39,Sales and customer service occupations,Sales occupations,8.46
2004,Male,30 to 49,Sales and customer service occupations,Sales occupations,8.8
2004,Male,50 to 59,Sales and customer service occupations,Sales occupations,8.05
2004,Male,60 and over,Sales and customer service occupations,Sales occupations,7.82
2004,Male,18 to 21,Sales and customer service occupations,Customer service occupations,6.28
2004,Male,22 to 29,Sales and customer service occupations,Customer service occupations,7.35
2004,Male,30 to 39,Sales and customer service occupations,Customer service occupations,8.13
2004,Male,30 to 49,Sales and customer service occupations,Customer service occupations,8.16
2004,Male,50 to 59,Sales and customer service occupations,Customer service occupations,7.77
2004,Male,60 and over,Sales and customer service occupations,Customer service occupations,6.88
2004,Male,18 to 21,"Process, plant and machine operatives",,6.78
2004,Male,22 to 29,"Process, plant and machine operatives",,8.07
2004,Male,30 to 39,"Process, plant and machine operatives",,8.88
2004,Male,30 to 49,"Process, plant and machine operatives",,9.19
2004,Male,50 to 59,"Process, plant and machine operatives",,8.7
2004,Male,60 and over,"Process, plant and machine operatives",,7.86
2004,Male,18 to 21,"Process, plant and machine operatives","Process, plant and machine operatives",6.66
2004,Male,22 to 29,"Process, plant and machine operatives","Process, plant and machine operatives",8.33
2004,Male,30 to 39,"Process, plant and machine operatives","Process, plant and machine operatives",9.52
2004,Male,30 to 49,"Process, plant and machine operatives","Process, plant and machine operatives",9.93
2004,Male,50 to 59,"Process, plant and machine operatives","Process, plant and machine operatives",9.47
2004,Male,60 and over,"Process, plant and machine operatives","Process, plant and machine operatives",8.42
2004,Male,18 to 21,"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,7.25
2004,Male,22 to 29,"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,7.65
2004,Male,30 to 39,"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,8.11
2004,Male,30 to 49,"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,8.38
2004,Male,50 to 59,"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,8
2004,Male,60 and over,"Process, plant and machine operatives",Transport and mobile machine drivers and operatives,7.52
2004,Male,18 to 21,Elementary occupations,,5.99
2004,Male,22 to 29,Elementary occupations,,6.99
2004,Male,30 to 39,Elementary occupations,,7.86
2004,Male,30 to 49,Elementary occupations,,8.12
2004,Male,50 to 59,Elementary occupations,,7.66
2004,Male,60 and over,Elementary occupations,,6.97
2004,Male,18 to 21,Elementary occupations,Elementary trades and related occupations,6.29
2004,Male,22 to 29,Elementary occupations,Elementary trades and related occupations,7.26
2004,Male,30 to 39,Elementary occupations,Elementary trades and related occupations,7.96
