Year,Offence category,Offence sub-category,Value
2009,Sexual offences,,0.966526943
2009,Sexual offences,Rape,0.274863735
2009,Sexual offences,Other sexual offences,0.691663208
2009,Robbery,,1.369486588
2009,Robbery,Robbery of business property,0.149192987
2009,Robbery,Robbery of personal property,1.220293601
2009,Theft offences,,38.88681828
2009,Theft offences,Burglary,9.858279427
2009,Theft offences,Vehicle offences,9.02365936
2009,Theft offences,Theft from the person,1.682058841
2009,Theft offences,Bicycle theft,2.002982401
2009,Theft offences,Shoplifting,5.612934824
2009,Theft offences,All other theft offences,10.70690343
2009,Criminal damage and arson,,14.59919565
2009,Criminal damage and arson,Arson,0.594073271
2009,Criminal damage and arson,Criminal damage,14.00512238
2010,,,65.14218374
2010,Violence against the person,,12.04821131
2010,Violence against the person,Homicide,0.011568699
2010,Violence against the person,Violence with injury,6.667426689
2010,Violence against the person,Violence without injury,5.369215924
2010,Sexual offences,,0.976550248
2010,Sexual offences,Rape,0.287714804
2010,Sexual offences,Other sexual offences,0.688835444
2010,Robbery,,1.379354594
2010,Robbery,Robbery of business property,0.139928752
2010,Robbery,Robbery of personal property,1.239425843
2010,Theft offences,,38.15400284
2010,Theft offences,Burglary,9.46285156
2010,Theft offences,Vehicle offences,8.140018839
2010,Theft offences,Theft from the person,1.681933094
2010,Theft offences,Bicycle theft,1.972689434
2010,Theft offences,Shoplifting,5.538057371
2010,Theft offences,All other theft offences,11.35845254
2010,Criminal damage and arson,,12.58406475
2010,Criminal damage and arson,Arson,0.527127123
2010,Criminal damage and arson,Criminal damage,12.05693762
2011,,,62.03635636
2011,Violence against the person,,11.25323637
2011,Violence against the person,Homicide,0.009929537
2011,Violence against the person,Violence with injury,6.071292678
2011,Violence against the person,Violence without injury,5.172014154
2011,Sexual offences,,0.947346105
2011,Sexual offences,Rape,0.287974542
2011,Sexual offences,Other sexual offences,0.659371563
2011,Robbery,,1.341080096
2011,Robbery,Robbery of business property,0.121560522
2011,Robbery,Robbery of personal property,1.219519575
2011,Theft offences,,37.25424193
2011,Theft offences,Burglary,8.996699605
2011,Theft offences,Vehicle offences,7.495490006
2011,Theft offences,Theft from the person,1.806134382
2011,Theft offences,Bicycle theft,2.081108951
2011,Theft offences,Shoplifting,5.536228869
2011,Theft offences,All other theft offences,11.33858012
2011,Criminal damage and arson,,11.24045187
2011,Criminal damage and arson,Arson,0.488737938
2011,Criminal damage and arson,Criminal damage,10.75171393
2012,,,56.08864173
2012,Violence against the person,,10.70199536
2012,Violence against the person,Homicide,0.009933965
2012,Violence against the person,Violence with injury,5.555988065
2012,Violence against the person,Violence without injury,5.136073328
2012,Sexual offences,,0.954212488
2012,Sexual offences,Rape,0.291503112
2012,Sexual offences,Other sexual offences,0.662709376
2012,Robbery,,1.15994169
2012,Robbery,Robbery of business property,0.10895316
2012,Robbery,Robbery of personal property,1.05098853
2012,Theft offences,,33.84213332
2012,Theft offences,Burglary,8.185640233
2012,Theft offences,Vehicle offences,6.896076328
2012,Theft offences,Theft from the person,1.953982351
2012,Theft offences,Bicycle theft,1.731963583
2012,Theft offences,Shoplifting,5.351932326
2012,Theft offences,All other theft offences,9.722538494
2012,Criminal damage and arson,,9.430358876
2012,Criminal damage and arson,Arson,0.34368313
2012,Criminal damage and arson,Criminal damage,9.086675746
2013,,,54.9405531
2013,Violence against the person,,11.21883907
2013,Violence against the person,Homicide,0.009422322
2013,Violence against the person,Violence with injury,5.706780586
2013,Violence against the person,Violence without injury,5.502636164
2013,Sexual offences,,1.135487053
2013,Sexual offences,Rape,0.366834161
2013,Sexual offences,Other sexual offences,0.768652892
2013,Robbery,,1.022277764
2013,Robbery,Robbery of business property,0.102337379
2013,Robbery,Robbery of personal property,0.919940384
2013,Theft offences,,32.61871825
2013,Theft offences,Burglary,7.835058661
2013,Theft offences,Vehicle offences,6.57690464
2013,Theft offences,Theft from the person,1.737419644
2013,Theft offences,Bicycle theft,1.726883614
2013,Theft offences,Shoplifting,5.675755866
2013,Theft offences,All other theft offences,9.066695828
2013,Criminal damage and arson,,8.945230958
2013,Criminal damage and arson,Arson,0.32849079
2013,Criminal damage and arson,Criminal damage,8.616740168
2014,,,55.67161711
2014,Violence against the person,,13.66455136
2014,Violence against the person,Homicide,0.009447177
2014,Violence against the person,Violence with injury,6.569124388
2014,Violence against the person,Violence without injury,7.085979794
2014,Sexual offences,,1.552322198
2014,Sexual offences,Rape,0.515994975
2014,Sexual offences,Other sexual offences,1.036327223
2014,Robbery,,0.880554161
2014,Robbery,Robbery of business property,0.094787847
2014,Robbery,Robbery of personal property,0.785766314
2014,Theft offences,,30.73737376
2014,Theft offences,Burglary,7.214201516
2014,Theft offences,Vehicle offences,6.138048648
2014,Theft offences,Theft from the person,1.376969949
2014,Theft offences,Bicycle theft,1.638804255
2014,Theft offences,Shoplifting,5.724954151
2014,Theft offences,All other theft offences,8.644395245
2014,Criminal damage and arson,,8.836815628
2014,Criminal damage and arson,Arson,0.343821052
2014,Criminal damage and arson,Criminal damage,8.492994576
2015,,,60.04373487
2015,Violence against the person,,17.28600012
2015,Violence against the person,Homicide,0.009998493
2015,Violence against the person,Violence with injury,7.509808539
2015,Violence against the person,Violence without injury,9.76619309
2015,Sexual offences,,1.848693404
2015,Sexual offences,Rape,0.621840045
2015,Sexual offences,Other sexual offences,1.226853359
2015,Robbery,,0.890283893
2015,Robbery,Robbery of business property,0.094550205
2015,Robbery,Robbery of personal property,0.795733689
2015,Theft offences,,30.62228214
2015,Theft offences,Burglary,6.985027031
2015,Theft offences,Vehicle offences,6.379665338
2015,Theft offences,Theft from the person,1.448231133
2015,Theft offences,Bicycle theft,1.507072435
2015,Theft offences,Shoplifting,5.858385044
2015,Theft offences,All other theft offences,8.443901158
2015,Criminal damage and arson,,9.396475312
2015,Criminal damage and arson,Arson,0.382538145
2015,Criminal damage and arson,Criminal damage,9.013937167
2016,,,65.36669258
2016,Violence against the person,,20.14665285
2016,Violence against the person,Homicide,0.012490282
2016,Violence against the person,Violence with injury,8.044191068
2016,Violence against the person,Violence without injury,12.0899715
2016,Sexual offences,,2.09038611
2016,Sexual offences,Rape,0.710235812
2016,Sexual offences,Other sexual offences,1.380150298
2016,Robbery,,1.022337393
2016,Robbery,Robbery of business property,0.103671072
2016,Robbery,Robbery of personal property,0.918666321
2016,Theft offences,,32.37961475
2016,Theft offences,Burglary,7.100716939
2016,Theft offences,Vehicle offences,7.022924765
2016,Theft offences,Theft from the person,1.527822406
2016,Theft offences,Bicycle theft,1.627122743
2016,Theft offences,Shoplifting,6.374466615
2016,Theft offences,All other theft offences,8.726561285
2016,Criminal damage and arson,,9.727701477
2016,Criminal damage and arson,Arson,0.416049063
2016,Criminal damage and arson,Criminal damage,9.311652414
