Year,Country,Sex,GeoCode,Value
2009,,Male,,5.55
2009,,Female,,4.78
2009,England and Wales,,K04000001,5.19
2009,England and Wales,Male,K04000001,5.54
2009,England and Wales,Female,K04000001,4.81
2009,England,,E92000001,5.11
2009,England,Male,E92000001,5.45
2009,England,Female,E92000001,4.75
2009,Wales,,W92000004,5.18
2009,Wales,Male,W92000004,5.6
2009,Wales,Female,W92000004,4.74
2009,Scotland,,S92000003,4.67
2009,Scotland,Male,S92000003,5.4
2009,Scotland,Female,S92000003,3.91
2009,Northern Ireland,,N92000002,6.14
2009,Northern Ireland,Male,N92000002,6.17
2009,Northern Ireland,Female,N92000002,6.11
2010,,Male,,5.27
2010,,Female,,4.51
2010,England and Wales,,K04000001,4.88
2010,England and Wales,Male,K04000001,5.26
2010,England and Wales,Female,K04000001,4.49
2010,England,,E92000001,4.87
2010,England,Male,E92000001,5.24
2010,England,Female,E92000001,4.48
2010,Wales,,W92000004,4.31
2010,Wales,Male,W92000004,4.71
2010,Wales,Female,W92000004,3.89
2010,Scotland,,S92000003,4.42
2010,Scotland,Male,S92000003,4.75
2010,Scotland,Female,S92000003,4.08
2010,Northern Ireland,,N92000002,6.52
2010,Northern Ireland,Male,N92000002,6.81
2010,Northern Ireland,Female,N92000002,6.21
2011,,Male,,5.43
2011,,Female,,4.15
2011,England and Wales,,K04000001,4.81
2011,England and Wales,Male,K04000001,5.42
2011,England and Wales,Female,K04000001,4.16
2011,England,,E92000001,4.78
2011,England,Male,E92000001,5.38
2011,England,Female,E92000001,4.14
2011,Wales,,W92000004,4.16
2011,Wales,Male,W92000004,4.79
2011,Wales,Female,W92000004,3.5
2011,Scotland,,S92000003,4.69
2011,Scotland,Male,S92000003,5.25
2011,Scotland,Female,S92000003,4.11
2011,Northern Ireland,,N92000002,5.06
2011,Northern Ireland,Male,N92000002,6.08
2011,Northern Ireland,Female,N92000002,4.02
2012,,Male,,5.05
2012,,Female,,4.08
2012,England and Wales,,K04000001,4.61
2012,England and Wales,Male,K04000001,5.08
2012,England and Wales,Female,K04000001,4.12
2012,England,,E92000001,4.56
2012,England,Male,E92000001,5.01
2012,England,Female,E92000001,4.08
2012,Wales,,W92000004,4.65
2012,Wales,Male,W92000004,5.39
2012,Wales,Female,W92000004,3.88
2012,Scotland,,S92000003,4.38
2012,Scotland,Male,S92000003,5.15
2012,Scotland,Female,S92000003,3.57
2012,Northern Ireland,,N92000002,3.96
2012,Northern Ireland,Male,N92000002,4.0
2012,Northern Ireland,Female,N92000002,3.91
2013,,Male,,4.86
2013,,Female,,4.05
2013,England and Wales,,K04000001,4.47
2013,England and Wales,Male,K04000001,4.89
2013,England and Wales,Female,K04000001,4.03
2013,England,,E92000001,4.42
2013,England,Male,E92000001,4.87
2013,England,Female,E92000001,3.95
2013,Wales,,W92000004,4.18
2013,Wales,Male,W92000004,4.14
2013,Wales,Female,W92000004,4.22
2013,Scotland,,S92000003,4.03
2013,Scotland,Male,S92000003,4.13
2013,Scotland,Female,S92000003,3.94
2013,Northern Ireland,,N92000002,5.31
2013,Northern Ireland,Male,N92000002,5.89
2013,Northern Ireland,Female,N92000002,4.71
2014,,Male,,4.56
2014,,Female,,3.88
2014,England and Wales,,K04000001,4.2
2014,England and Wales,Male,K04000001,4.49
2014,England and Wales,Female,K04000001,3.89
2014,England,,E92000001,4.19
2014,England,Male,E92000001,4.44
2014,England,Female,E92000001,3.91
2014,Wales,,W92000004,3.67
2014,Wales,Male,W92000004,4.45
2014,Wales,Female,W92000004,2.83
2014,Scotland,,S92000003,4.11
2014,Scotland,Male,S92000003,4.41
2014,Scotland,Female,S92000003,3.79
2014,Northern Ireland,,N92000002,5.49
2014,Northern Ireland,Male,N92000002,6.94
2014,Northern Ireland,Female,N92000002,3.97
2015,,Male,,4.85
2015,,Female,,3.7
2015,England and Wales,,K04000001,4.28
2015,England and Wales,Male,K04000001,4.84
2015,England and Wales,Female,K04000001,3.68
2015,England,,E92000001,4.24
2015,England,Male,E92000001,4.78
2015,England,Female,E92000001,3.67
2015,Wales,,W92000004,4.15
2015,Wales,Male,W92000004,5.02
2015,Wales,Female,W92000004,3.24
2015,Scotland,,S92000003,3.83
2015,Scotland,Male,S92000003,4.27
2015,Scotland,Female,S92000003,3.37
2015,Northern Ireland,,N92000002,5.7
2015,Northern Ireland,Male,N92000002,6.32
2015,Northern Ireland,Female,N92000002,5.03
