Year,Occupation Category,Occupation,Value
2015,Functional managers and directors,Marketing and sales directors,25.70277502
2015,Functional managers and directors,Purchasing managers and directors,28.30352684
2015,Functional managers and directors,Advertising and public relations directors,39.61301671
2015,Functional managers and directors,Human resource managers and directors,56.40661562
2015,Functional managers and directors,Information technology and telecommunications directors,8.576176432
2015,Functional managers and directors,Functional managers and directors n.e.c.,39.23340436
2015,Financial institution managers and directors,,39.9138335
2015,Financial institution managers and directors,Financial institution managers and directors,39.9138335
2015,Managers and directors in transport and logistics,,19.00276089
2015,Managers and directors in transport and logistics,Managers and directors in transport and distribution,16.1317929
2015,Managers and directors in transport and logistics,Managers and directors in storage and warehousing,21.55651084
2015,Senior officers in protective services,,17.40002809
2015,Senior officers in protective services,Officers in armed forces,22.43732033
2015,Health and social services managers and directors,,69.35233898
2015,Health and social services managers and directors,Health services and public health managers and directors,64.87850845
2015,Health and social services managers and directors,Social services managers and directors,76.85836086
2015,Managers and proprietors in agriculture related services,,27.3813436
2015,Managers and proprietors in agriculture related services,"Managers and proprietors in forestry, fishing and related services",47.16620413
2015,Managers and proprietors in health and care services,,76.6846241
2015,Managers and proprietors in health and care services,Health care practice managers,84.30479305
2015,Managers and proprietors in health and care services,"Residential, day and domiciliary care managers and proprietors",72.98054357
2014,Chief executives and senior officials,,16.99708068
2014,Chief executives and senior officials,Chief executives and senior officials,16.6885827
2014,Production managers and directors,,9.268029952
2014,Production managers and directors,Production managers and directors in manufacturing,11.49291009
2014,Production managers and directors,Production managers and directors in construction,5.650745252
2014,Functional managers and directors,,37.50352867
2014,Functional managers and directors,Financial managers and directors,34.10862881
2014,Functional managers and directors,Marketing and sales directors,32.98488843
2014,Functional managers and directors,Purchasing managers and directors,32.10709176
2014,Functional managers and directors,Advertising and public relations directors,51.8328805
2014,Functional managers and directors,Human resource managers and directors,62.11228612
2014,Functional managers and directors,Information technology and telecommunications directors,9.464485657
2014,Functional managers and directors,Functional managers and directors n.e.c.,42.35311745
2014,Financial institution managers and directors,,35.08264619
2014,Financial institution managers and directors,Financial institution managers and directors,35.08264619
2014,Managers and directors in transport and logistics,,15.30571967
2014,Managers and directors in transport and logistics,Managers and directors in transport and distribution,11.78974617
2014,Managers and directors in transport and logistics,Managers and directors in storage and warehousing,18.18192513
2014,Senior officers in protective services,,18.63184526
2014,Senior officers in protective services,Senior police officers,28.44133317
2014,Health and social services managers and directors,,71.335664
2014,Health and social services managers and directors,Health services and public health managers and directors,67.32916395
2014,Health and social services managers and directors,Social services managers and directors,75.33043861
2014,Managers and proprietors in agriculture related services,,27.25996842
2014,Managers and proprietors in agriculture related services,Managers and proprietors in agriculture and horticulture,21.3182158
2014,Managers and proprietors in health and care services,,80.81399146
2014,Managers and proprietors in health and care services,Health care practice managers,87.0403075
2014,Managers and proprietors in health and care services,"Residential, day and domiciliary care managers and proprietors",78.72236472
2013,Chief executives and senior officials,,30.96140421
2013,Chief executives and senior officials,Chief executives and senior officials,27.34342963
2013,Chief executives and senior officials,Elected officers and representatives,57.90249552
2013,Production managers and directors,,8.438068986
2013,Production managers and directors,Production managers and directors in manufacturing,9.307894089
2013,Production managers and directors,Production managers and directors in construction,5.613148684
2013,Functional managers and directors,,37.56346204
2013,Functional managers and directors,Financial managers and directors,39.49667069
2013,Functional managers and directors,Marketing and sales directors,26.52073434
2013,Functional managers and directors,Purchasing managers and directors,26.48174587
2013,Functional managers and directors,Advertising and public relations directors,65.09741156
2013,Functional managers and directors,Human resource managers and directors,61.19539695
2013,Functional managers and directors,Information technology and telecommunications directors,14.8215773
2013,Functional managers and directors,Functional managers and directors n.e.c.,33.94650225
2013,Financial institution managers and directors,,37.46235406
2013,Financial institution managers and directors,Financial institution managers and directors,37.46235406
2013,Managers and directors in transport and logistics,,12.87540853
2013,Managers and directors in transport and logistics,Managers and directors in transport and distribution,11.31922796
2013,Managers and directors in transport and logistics,Managers and directors in storage and warehousing,14.02117436
2013,Senior officers in protective services,,15.62889416
2013,Health and social services managers and directors,,66.04211628
2013,Health and social services managers and directors,Health services and public health managers and directors,64.58129554
2013,Health and social services managers and directors,Social services managers and directors,67.79909246
2013,Managers and proprietors in agriculture related services,,53.10836564
2013,Managers and proprietors in agriculture related services,Managers and proprietors in agriculture and horticulture,36.74530411
2013,Managers and proprietors in agriculture related services,"Managers and proprietors in forestry, fishing and related services",76.43870556
2013,Managers and proprietors in health and care services,,75.48652971
2013,Managers and proprietors in health and care services,Health care practice managers,87.18829812
2013,Managers and proprietors in health and care services,"Residential, day and domiciliary care managers and proprietors",71.26934985
2012,Chief executives and senior officials,,21.80266771
2012,Chief executives and senior officials,Chief executives and senior officials,20.32690885
2012,Production managers and directors,,9.262216338
2012,Production managers and directors,Production managers and directors in manufacturing,11.5136515
2012,Production managers and directors,Production managers and directors in construction,4.760409273
2012,Functional managers and directors,,37.98062735
2012,Functional managers and directors,Financial managers and directors,42.07693787
2012,Functional managers and directors,Marketing and sales directors,22.65340021
2012,Functional managers and directors,Purchasing managers and directors,40.01775974
2012,Functional managers and directors,Advertising and public relations directors,32.70818048
2012,Functional managers and directors,Human resource managers and directors,62.96065097
2012,Functional managers and directors,Information technology and telecommunications directors,14.71117527
2012,Functional managers and directors,Functional managers and directors n.e.c.,35.33700705
2012,Financial institution managers and directors,,35.538101
2012,Financial institution managers and directors,Financial institution managers and directors,35.538101
2012,Managers and directors in transport and logistics,,14.93133695
2012,Managers and directors in transport and logistics,Managers and directors in transport and distribution,12.33031196
2012,Managers and directors in transport and logistics,Managers and directors in storage and warehousing,17.08997742
2012,Senior officers in protective services,,13.74422457
2012,Health and social services managers and directors,,67.86336178
2012,Health and social services managers and directors,Health services and public health managers and directors,64.45592401
2012,Health and social services managers and directors,Social services managers and directors,71.49646871
2012,Managers and proprietors in agriculture related services,,26.59864966
2012,Managers and proprietors in agriculture related services,Managers and proprietors in agriculture and horticulture,24.02608772
2012,Managers and proprietors in health and care services,,80.08927364
2012,Managers and proprietors in health and care services,Health care practice managers,89.91201242
2012,Managers and proprietors in health and care services,"Residential, day and domiciliary care managers and proprietors",76.61395039
2011,Chief executives and senior officials,,23.8556338
2011,Chief executives and senior officials,Chief executives and senior officials,21.09265592
2011,Production managers and directors,,9.676679606
2011,Production managers and directors,Production managers and directors in manufacturing,10.08729777
2011,Production managers and directors,Production managers and directors in construction,8.448571717
2011,Functional managers and directors,,35.58370207
2011,Functional managers and directors,Financial managers and directors,41.33310862
2011,Functional managers and directors,Marketing and sales directors,22.17970652
2011,Functional managers and directors,Purchasing managers and directors,35.67384987
2011,Functional managers and directors,Human resource managers and directors,56.76905074
2011,Functional managers and directors,Functional managers and directors n.e.c.,37.31339664
2011,Financial institution managers and directors,,30.30299683
2011,Financial institution managers and directors,Financial institution managers and directors,30.30299683
2011,Managers and directors in transport and logistics,,14.78806211
2011,Managers and directors in transport and logistics,Managers and directors in storage and warehousing,18.65182196
2011,Health and social services managers and directors,,72.62258092
2011,Health and social services managers and directors,Health services and public health managers and directors,67.0402155
2011,Health and social services managers and directors,Social services managers and directors,79.23467092
2011,Managers and proprietors in health and care services,,72.58976161
2011,Managers and proprietors in health and care services,Health care practice managers,77.76048097
2011,Managers and proprietors in health and care services,"Residential, day and domiciliary care managers and proprietors",70.65018223
