Year,Units,Government,Area of spending category,Area of spending sub-category,Value
2000,Percentage (%),Local governemnt,Environmental protection,Research and development environmental protection,0
2000,Percentage (%),Local governemnt,Environmental protection,Environmental protection n.e.c.,0
2000,Percentage (%),Local governemnt,"Recreation, culture and religion",,6.185585173
2000,Percentage (%),Local governemnt,"Recreation, culture and religion",Recreational and sporting services,2.802100033
2000,Percentage (%),Local governemnt,"Recreation, culture and religion",Cultural services,2.415390849
2000,Percentage (%),Local governemnt,"Recreation, culture and religion",Broadcasting and publishing services,0
2000,Percentage (%),Local governemnt,"Recreation, culture and religion",Religious and other community services,0
2000,Percentage (%),Local governemnt,"Recreation, culture and religion","Research and development recreation, culture and religion",0
2000,Percentage (%),Local governemnt,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",0.96809429
2001,Percentage (%),,Environmental protection,,1.444427612
2001,Percentage (%),,Environmental protection,Waste management,1.093571681
2001,Percentage (%),,Environmental protection,Waste water management,0.001211938
2001,Percentage (%),,Environmental protection,Pollution abatement,0.080593849
2001,Percentage (%),,Environmental protection,Protection of biodiversity and landscape,0.063424734
2001,Percentage (%),,Environmental protection,Research and development environmental protection,0.059586931
2001,Percentage (%),,Environmental protection,Environmental protection n.e.c.,0.146038479
2001,Percentage (%),,"Recreation, culture and religion",,1.999293036
2001,Percentage (%),,"Recreation, culture and religion",Recreational and sporting services,0.6271777
2001,Percentage (%),,"Recreation, culture and religion",Cultural services,0.861283644
2001,Percentage (%),,"Recreation, culture and religion",Broadcasting and publishing services,0.575872343
2001,Percentage (%),,"Recreation, culture and religion",Religious and other community services,0.00020199
2001,Percentage (%),,"Recreation, culture and religion","Research and development recreation, culture and religion",0.00020199
2001,Percentage (%),,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",-0.06544463
2001,Percentage (%),Central government,Environmental protection,,0.675049777
2001,Percentage (%),Central government,Environmental protection,Waste management,0.21268327
2001,Percentage (%),Central government,Environmental protection,Waste water management,0.001597121
2001,Percentage (%),Central government,Environmental protection,Pollution abatement,0.106208541
2001,Percentage (%),Central government,Environmental protection,Protection of biodiversity and landscape,0.083582662
2001,Percentage (%),Central government,Environmental protection,Research and development environmental protection,0.078525112
2001,Percentage (%),Central government,Environmental protection,Environmental protection n.e.c.,0.192453071
2001,Percentage (%),Central government,"Recreation, culture and religion",,1.41904194
2001,Percentage (%),Central government,"Recreation, culture and religion",Recreational and sporting services,0.123510685
2001,Percentage (%),Central government,"Recreation, culture and religion",Cultural services,0.526251344
2001,Percentage (%),Central government,"Recreation, culture and religion",Broadcasting and publishing services,0.758898625
2001,Percentage (%),Central government,"Recreation, culture and religion",Religious and other community services,0.000266187
2001,Percentage (%),Central government,"Recreation, culture and religion","Research and development recreation, culture and religion",0.000266187
2001,Percentage (%),Central government,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",0.009848912
2001,Percentage (%),Local governemnt,Environmental protection,,3.865191501
2001,Percentage (%),Local governemnt,Environmental protection,Waste management,3.865191501
2001,Percentage (%),Local governemnt,Environmental protection,Waste water management,0
2001,Percentage (%),Local governemnt,Environmental protection,Pollution abatement,0
2001,Percentage (%),Local governemnt,Environmental protection,Protection of biodiversity and landscape,0
2001,Percentage (%),Local governemnt,Environmental protection,Research and development environmental protection,0
2001,Percentage (%),Local governemnt,Environmental protection,Environmental protection n.e.c.,0
2001,Percentage (%),Local governemnt,"Recreation, culture and religion",,3.824990159
2001,Percentage (%),Local governemnt,"Recreation, culture and religion",Recreational and sporting services,2.211911323
2001,Percentage (%),Local governemnt,"Recreation, culture and religion",Cultural services,1.915426427
2001,Percentage (%),Local governemnt,"Recreation, culture and religion",Broadcasting and publishing services,0
2001,Percentage (%),Local governemnt,"Recreation, culture and religion",Religious and other community services,0
2001,Percentage (%),Local governemnt,"Recreation, culture and religion","Research and development recreation, culture and religion",0
2001,Percentage (%),Local governemnt,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",-0.302347591
2002,Percentage (%),,Environmental protection,,1.507148601
2002,Percentage (%),,Environmental protection,Waste management,1.107319503
2002,Percentage (%),,Environmental protection,Waste water management,0.002612043
2002,Percentage (%),,Environmental protection,Pollution abatement,0.047763065
2002,Percentage (%),,Environmental protection,Protection of biodiversity and landscape,0.070711726
2002,Percentage (%),,Environmental protection,Research and development environmental protection,0.068472832
2002,Percentage (%),,Environmental protection,Environmental protection n.e.c.,0.210269432
2002,Percentage (%),,"Recreation, culture and religion",,2.011086255
2002,Percentage (%),,"Recreation, culture and religion",Recreational and sporting services,0.636592105
2002,Percentage (%),,"Recreation, culture and religion",Cultural services,0.829696686
2002,Percentage (%),,"Recreation, culture and religion",Broadcasting and publishing services,0.603568423
2002,Percentage (%),,"Recreation, culture and religion",Religious and other community services,0.001865745
2002,Percentage (%),,"Recreation, culture and religion","Research and development recreation, culture and religion",0.000373149
2002,Percentage (%),,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",-0.061009853
2002,Percentage (%),Central government,Environmental protection,,0.76136386
2002,Percentage (%),Central government,Environmental protection,Waste management,0.234019726
2002,Percentage (%),Central government,Environmental protection,Waste water management,0.003445085
2002,Percentage (%),Central government,Environmental protection,Pollution abatement,0.062995846
2002,Percentage (%),Central government,Environmental protection,Protection of biodiversity and landscape,0.093263382
2002,Percentage (%),Central government,Environmental protection,Research and development environmental protection,0.090310451
2002,Percentage (%),Central government,Environmental protection,Environmental protection n.e.c.,0.27732937
2002,Percentage (%),Central government,"Recreation, culture and religion",,1.471789673
2002,Percentage (%),Central government,"Recreation, culture and religion",Recreational and sporting services,0.157981771
2002,Percentage (%),Central government,"Recreation, culture and religion",Cultural services,0.502244227
2002,Percentage (%),Central government,"Recreation, culture and religion",Broadcasting and publishing services,0.796060791
2002,Percentage (%),Central government,"Recreation, culture and religion",Religious and other community services,0.002460775
2002,Percentage (%),Central government,"Recreation, culture and religion","Research and development recreation, culture and religion",0.000492155
2002,Percentage (%),Central government,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",0.012549954
2002,Percentage (%),Local governemnt,Environmental protection,,3.845589994
2002,Percentage (%),Local governemnt,Environmental protection,Waste management,3.845589994
2002,Percentage (%),Local governemnt,Environmental protection,Waste water management,0
2002,Percentage (%),Local governemnt,Environmental protection,Pollution abatement,0
2002,Percentage (%),Local governemnt,Environmental protection,Protection of biodiversity and landscape,0
2002,Percentage (%),Local governemnt,Environmental protection,Research and development environmental protection,0
2002,Percentage (%),Local governemnt,Environmental protection,Environmental protection n.e.c.,0
2002,Percentage (%),Local governemnt,"Recreation, culture and religion",,3.702074798
2002,Percentage (%),Local governemnt,"Recreation, culture and religion",Recreational and sporting services,2.137296205
2002,Percentage (%),Local governemnt,"Recreation, culture and religion",Cultural services,1.856438508
2002,Percentage (%),Local governemnt,"Recreation, culture and religion",Broadcasting and publishing services,0
2002,Percentage (%),Local governemnt,"Recreation, culture and religion",Religious and other community services,0
2002,Percentage (%),Local governemnt,"Recreation, culture and religion","Research and development recreation, culture and religion",0
2002,Percentage (%),Local governemnt,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",-0.291659915
2003,Percentage (%),,Environmental protection,,1.540059216
2003,Percentage (%),,Environmental protection,Waste management,1.107326542
2003,Percentage (%),,Environmental protection,Waste water management,0.002719451
2003,Percentage (%),,Environmental protection,Pollution abatement,0.036032729
2003,Percentage (%),,Environmental protection,Protection of biodiversity and landscape,0.065266829
2003,Percentage (%),,Environmental protection,Research and development environmental protection,0.067476383
2003,Percentage (%),,Environmental protection,Environmental protection n.e.c.,0.261237282
2003,Percentage (%),,"Recreation, culture and religion",,2.019022561
2003,Percentage (%),,"Recreation, culture and religion",Recreational and sporting services,0.624793917
2003,Percentage (%),,"Recreation, culture and religion",Cultural services,0.857646927
2003,Percentage (%),,"Recreation, culture and religion",Broadcasting and publishing services,0.590290879
2003,Percentage (%),,"Recreation, culture and religion",Religious and other community services,0.001699657
2003,Percentage (%),,"Recreation, culture and religion","Research and development recreation, culture and religion",0.000849829
2003,Percentage (%),,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",-0.056258647
2003,Percentage (%),Central government,Environmental protection,,0.789165145
2003,Percentage (%),Central government,Environmental protection,Waste management,0.219498443
2003,Percentage (%),Central government,Environmental protection,Waste water management,0.003579995
2003,Percentage (%),Central government,Environmental protection,Pollution abatement,0.047434934
2003,Percentage (%),Central government,Environmental protection,Protection of biodiversity and landscape,0.08591988
2003,Percentage (%),Central government,Environmental protection,Research and development environmental protection,0.088828626
2003,Percentage (%),Central government,Environmental protection,Environmental protection n.e.c.,0.343903269
2003,Percentage (%),Central government,"Recreation, culture and religion",,1.498675402
2003,Percentage (%),Central government,"Recreation, culture and religion",Recreational and sporting services,0.145213547
2003,Percentage (%),Central government,"Recreation, culture and religion",Cultural services,0.557584219
2003,Percentage (%),Central government,"Recreation, culture and religion",Broadcasting and publishing services,0.777082662
2003,Percentage (%),Central government,"Recreation, culture and religion",Religious and other community services,0.002237497
2003,Percentage (%),Central government,"Recreation, culture and religion","Research and development recreation, culture and religion",0.001118748
2003,Percentage (%),Central government,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",0.015438728
2003,Percentage (%),Local governemnt,Environmental protection,,3.913000438
2003,Percentage (%),Local governemnt,Environmental protection,Waste management,3.913000438
2003,Percentage (%),Local governemnt,Environmental protection,Waste water management,0
2003,Percentage (%),Local governemnt,Environmental protection,Pollution abatement,0
2003,Percentage (%),Local governemnt,Environmental protection,Protection of biodiversity and landscape,0
2003,Percentage (%),Local governemnt,Environmental protection,Research and development environmental protection,0
2003,Percentage (%),Local governemnt,Environmental protection,Environmental protection n.e.c.,0
2003,Percentage (%),Local governemnt,"Recreation, culture and religion",,3.663399941
2003,Percentage (%),Local governemnt,"Recreation, culture and religion",Recreational and sporting services,2.140341946
2003,Percentage (%),Local governemnt,"Recreation, culture and religion",Cultural services,1.80589142
2003,Percentage (%),Local governemnt,"Recreation, culture and religion",Broadcasting and publishing services,0
2003,Percentage (%),Local governemnt,"Recreation, culture and religion",Religious and other community services,0
2003,Percentage (%),Local governemnt,"Recreation, culture and religion","Research and development recreation, culture and religion",0
2003,Percentage (%),Local governemnt,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",-0.282833425
2004,Percentage (%),,Environmental protection,,1.478649183
2004,Percentage (%),,Environmental protection,Waste management,1.130045098
2004,Percentage (%),,Environmental protection,Waste water management,0.004258964
2004,Percentage (%),,Environmental protection,Pollution abatement,0.034702669
2004,Percentage (%),,Environmental protection,Protection of biodiversity and landscape,0.058521319
2004,Percentage (%),,Environmental protection,Research and development environmental protection,0.072244648
2004,Percentage (%),,Environmental protection,Environmental protection n.e.c.,0.178876485
2004,Percentage (%),,"Recreation, culture and religion",,1.845866518
2004,Percentage (%),,"Recreation, culture and religion",Recreational and sporting services,0.58868346
2004,Percentage (%),,"Recreation, culture and religion",Cultural services,0.781441013
2004,Percentage (%),,"Recreation, culture and religion",Broadcasting and publishing services,0.530635359
2004,Percentage (%),,"Recreation, culture and religion",Religious and other community services,0.001577394
2004,Percentage (%),,"Recreation, culture and religion","Research and development recreation, culture and religion",0.000315479
2004,Percentage (%),,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",-0.056786186
2004,Percentage (%),Central government,Environmental protection,,0.68332066
2004,Percentage (%),Central government,Environmental protection,Waste management,0.22417239
2004,Percentage (%),Central government,Environmental protection,Waste water management,0.005609504
2004,Percentage (%),Central government,Environmental protection,Pollution abatement,0.045707068
2004,Percentage (%),Central government,Environmental protection,Protection of biodiversity and landscape,0.077078737
2004,Percentage (%),Central government,Environmental protection,Research and development environmental protection,0.095153804
2004,Percentage (%),Central government,Environmental protection,Environmental protection n.e.c.,0.235599157
2004,Percentage (%),Central government,"Recreation, culture and religion",,1.320934252
2004,Percentage (%),Central government,"Recreation, culture and religion",Recreational and sporting services,0.11405991
2004,Percentage (%),Central government,"Recreation, culture and religion",Cultural services,0.490727698
2004,Percentage (%),Central government,"Recreation, culture and religion",Broadcasting and publishing services,0.698902615
2004,Percentage (%),Central government,"Recreation, culture and religion",Religious and other community services,0.002077594
2004,Percentage (%),Central government,"Recreation, culture and religion","Research and development recreation, culture and religion",0.000415519
2004,Percentage (%),Central government,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",0.014750917
2004,Percentage (%),Local governemnt,Environmental protection,,3.98673926
2004,Percentage (%),Local governemnt,Environmental protection,Waste management,3.98673926
2004,Percentage (%),Local governemnt,Environmental protection,Waste water management,0
2004,Percentage (%),Local governemnt,Environmental protection,Pollution abatement,0
2004,Percentage (%),Local governemnt,Environmental protection,Protection of biodiversity and landscape,0
2004,Percentage (%),Local governemnt,Environmental protection,Research and development environmental protection,0
2004,Percentage (%),Local governemnt,Environmental protection,Environmental protection n.e.c.,0
2004,Percentage (%),Local governemnt,"Recreation, culture and religion",,3.50125466
2004,Percentage (%),Local governemnt,"Recreation, culture and religion",Recreational and sporting services,2.085421703
2004,Percentage (%),Local governemnt,"Recreation, culture and religion",Cultural services,1.698213338
2004,Percentage (%),Local governemnt,"Recreation, culture and religion",Broadcasting and publishing services,0
2004,Percentage (%),Local governemnt,"Recreation, culture and religion",Religious and other community services,0
2004,Percentage (%),Local governemnt,"Recreation, culture and religion","Research and development recreation, culture and religion",0
2004,Percentage (%),Local governemnt,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",-0.282380381
2005,Percentage (%),,Environmental protection,,1.300701013
2005,Percentage (%),,Environmental protection,Waste management,0.864430053
2005,Percentage (%),,Environmental protection,Waste water management,0.008406844
2005,Percentage (%),,Environmental protection,Pollution abatement,0.040854312
2005,Percentage (%),,Environmental protection,Protection of biodiversity and landscape,0.066959775
2005,Percentage (%),,Environmental protection,Research and development environmental protection,0.077431458
2005,Percentage (%),,Environmental protection,Environmental protection n.e.c.,0.24261857
2005,Percentage (%),,"Recreation, culture and religion",,1.885345396
2005,Percentage (%),,"Recreation, culture and religion",Recreational and sporting services,0.593346204
2005,Percentage (%),,"Recreation, culture and religion",Cultural services,0.801010001
2005,Percentage (%),,"Recreation, culture and religion",Broadcasting and publishing services,0.52727136
2005,Percentage (%),,"Recreation, culture and religion",Religious and other community services,0.001769862
2005,Percentage (%),,"Recreation, culture and religion","Research and development recreation, culture and religion",0.009586752
2005,Percentage (%),,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",-0.047638783
2005,Percentage (%),Central government,Environmental protection,,0.379924871
2005,Percentage (%),Central government,Environmental protection,Waste management,-0.195506654
2005,Percentage (%),Central government,Environmental protection,Waste water management,0.011088437
2005,Percentage (%),Central government,Environmental protection,Pollution abatement,0.053885914
2005,Percentage (%),Central government,Environmental protection,Protection of biodiversity and landscape,0.088318429
2005,Percentage (%),Central government,Environmental protection,Research and development environmental protection,0.102130342
2005,Percentage (%),Central government,Environmental protection,Environmental protection n.e.c.,0.320008404
2005,Percentage (%),Central government,"Recreation, culture and religion",,1.356874539
2005,Percentage (%),Central government,"Recreation, culture and religion",Recreational and sporting services,0.114580517
2005,Percentage (%),Central government,"Recreation, culture and religion",Cultural services,0.507150097
2005,Percentage (%),Central government,"Recreation, culture and religion",Broadcasting and publishing services,0.695458993
2005,Percentage (%),Central government,"Recreation, culture and religion",Religious and other community services,0.002334408
2005,Percentage (%),Central government,"Recreation, culture and religion","Research and development recreation, culture and religion",0.012644709
2005,Percentage (%),Central government,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",0.024705816
2005,Percentage (%),Local governemnt,Environmental protection,,4.187351345
2005,Percentage (%),Local governemnt,Environmental protection,Waste management,4.187351345
2005,Percentage (%),Local governemnt,Environmental protection,Waste water management,0
2005,Percentage (%),Local governemnt,Environmental protection,Pollution abatement,0
2005,Percentage (%),Local governemnt,Environmental protection,Protection of biodiversity and landscape,0
2005,Percentage (%),Local governemnt,Environmental protection,Research and development environmental protection,0
2005,Percentage (%),Local governemnt,Environmental protection,Environmental protection n.e.c.,0
2005,Percentage (%),Local governemnt,"Recreation, culture and religion",,3.542111362
2005,Percentage (%),Local governemnt,"Recreation, culture and religion",Recreational and sporting services,2.09428554
2005,Percentage (%),Local governemnt,"Recreation, culture and religion",Cultural services,1.722266268
2005,Percentage (%),Local governemnt,"Recreation, culture and religion",Broadcasting and publishing services,0
2005,Percentage (%),Local governemnt,"Recreation, culture and religion",Religious and other community services,0
2005,Percentage (%),Local governemnt,"Recreation, culture and religion","Research and development recreation, culture and religion",0
2005,Percentage (%),Local governemnt,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",-0.274440446
2006,Percentage (%),,Environmental protection,,1.786550834
2006,Percentage (%),,Environmental protection,Waste management,1.394867928
2006,Percentage (%),,Environmental protection,Waste water management,0.006514188
2006,Percentage (%),,Environmental protection,Pollution abatement,0.027165552
2006,Percentage (%),,Environmental protection,Protection of biodiversity and landscape,0.066666482
2006,Percentage (%),,Environmental protection,Research and development environmental protection,0.074843867
2006,Percentage (%),,Environmental protection,Environmental protection n.e.c.,0.216492816
2006,Percentage (%),,"Recreation, culture and religion",,1.84517853
2006,Percentage (%),,"Recreation, culture and religion",Recreational and sporting services,0.613442513
2006,Percentage (%),,"Recreation, culture and religion",Cultural services,0.758417856
2006,Percentage (%),,"Recreation, culture and religion",Broadcasting and publishing services,0.504641706
2006,Percentage (%),,"Recreation, culture and religion",Religious and other community services,0.002078996
2006,Percentage (%),,"Recreation, culture and religion","Research and development recreation, culture and religion",0.015245973
2006,Percentage (%),,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",-0.048648514
2006,Percentage (%),Central government,Environmental protection,,1.03748241
2006,Percentage (%),Central government,Environmental protection,Waste management,0.521025604
2006,Percentage (%),Central government,Environmental protection,Waste water management,0.008589338
2006,Percentage (%),Central government,Environmental protection,Pollution abatement,0.035819368
2006,Percentage (%),Central government,Environmental protection,Protection of biodiversity and landscape,0.087903653
2006,Percentage (%),Central government,Environmental protection,Research and development environmental protection,0.098686014
2006,Percentage (%),Central government,Environmental protection,Environmental protection n.e.c.,0.285458433
2006,Percentage (%),Central government,"Recreation, culture and religion",,1.316727279
2006,Percentage (%),Central government,"Recreation, culture and religion",Recreational and sporting services,0.143642976
2006,Percentage (%),Central government,"Recreation, culture and religion",Cultural services,0.462545003
2006,Percentage (%),Central government,"Recreation, culture and religion",Broadcasting and publishing services,0.665399587
2006,Percentage (%),Central government,"Recreation, culture and religion",Religious and other community services,0.002741278
2006,Percentage (%),Central government,"Recreation, culture and religion","Research and development recreation, culture and religion",0.020102707
2006,Percentage (%),Central government,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",0.022295729
2006,Percentage (%),Local governemnt,Environmental protection,,4.137982468
2006,Percentage (%),Local governemnt,Environmental protection,Waste management,4.137982468
2006,Percentage (%),Local governemnt,Environmental protection,Waste water management,0
2006,Percentage (%),Local governemnt,Environmental protection,Pollution abatement,0
2006,Percentage (%),Local governemnt,Environmental protection,Protection of biodiversity and landscape,0
2006,Percentage (%),Local governemnt,Environmental protection,Research and development environmental protection,0
2006,Percentage (%),Local governemnt,Environmental protection,Environmental protection n.e.c.,0
2006,Percentage (%),Local governemnt,"Recreation, culture and religion",,3.504061683
2006,Percentage (%),Local governemnt,"Recreation, culture and religion",Recreational and sporting services,2.088209647
2006,Percentage (%),Local governemnt,"Recreation, culture and religion",Cultural services,1.687204553
2006,Percentage (%),Local governemnt,"Recreation, culture and religion",Broadcasting and publishing services,0
2006,Percentage (%),Local governemnt,"Recreation, culture and religion",Religious and other community services,0
2006,Percentage (%),Local governemnt,"Recreation, culture and religion","Research and development recreation, culture and religion",0
2006,Percentage (%),Local governemnt,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",-0.271352517
2007,Percentage (%),,Environmental protection,,1.89055185
2007,Percentage (%),,Environmental protection,Waste management,1.448597823
2007,Percentage (%),,Environmental protection,Waste water management,0.001580289
2007,Percentage (%),,Environmental protection,Pollution abatement,0.025152926
2007,Percentage (%),,Environmental protection,Protection of biodiversity and landscape,0.089813065
2007,Percentage (%),,Environmental protection,Research and development environmental protection,0.084545437
2007,Percentage (%),,Environmental protection,Environmental protection n.e.c.,0.240862311
2007,Percentage (%),,"Recreation, culture and religion",,1.828262144
2007,Percentage (%),,"Recreation, culture and religion",Recreational and sporting services,0.650420423
2007,Percentage (%),,"Recreation, culture and religion",Cultural services,0.721533407
2007,Percentage (%),,"Recreation, culture and religion",Broadcasting and publishing services,0.482909838
2007,Percentage (%),,"Recreation, culture and religion",Religious and other community services,0.00184367
2007,Percentage (%),,"Recreation, culture and religion","Research and development recreation, culture and religion",0.017514865
2007,Percentage (%),,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",-0.045960058
2007,Percentage (%),Central government,Environmental protection,,1.183843528
2007,Percentage (%),Central government,Environmental protection,Waste management,0.60172208
2007,Percentage (%),Central government,Environmental protection,Waste water management,0.002081483
2007,Percentage (%),Central government,Environmental protection,Pollution abatement,0.033130273
2007,Percentage (%),Central government,Environmental protection,Protection of biodiversity and landscape,0.118297624
2007,Percentage (%),Central government,Environmental protection,Research and development environmental protection,0.111359347
2007,Percentage (%),Central government,Environmental protection,Environmental protection n.e.c.,0.31725272
2007,Percentage (%),Central government,"Recreation, culture and religion",,1.315497336
2007,Percentage (%),Central government,"Recreation, culture and religion",Recreational and sporting services,0.208148313
2007,Percentage (%),Central government,"Recreation, culture and religion",Cultural services,0.425836756
2007,Percentage (%),Central government,"Recreation, culture and religion",Broadcasting and publishing services,0.636066552
2007,Percentage (%),Central government,"Recreation, culture and religion",Religious and other community services,0.002428397
2007,Percentage (%),Central government,"Recreation, culture and religion","Research and development recreation, culture and religion",0.023069771
2007,Percentage (%),Central government,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",0.019947547
2007,Percentage (%),Local governemnt,Environmental protection,,4.118834191
2007,Percentage (%),Local governemnt,Environmental protection,Waste management,4.118834191
2007,Percentage (%),Local governemnt,Environmental protection,Waste water management,0
2007,Percentage (%),Local governemnt,Environmental protection,Pollution abatement,0
2007,Percentage (%),Local governemnt,Environmental protection,Protection of biodiversity and landscape,0
2007,Percentage (%),Local governemnt,Environmental protection,Research and development environmental protection,0
2007,Percentage (%),Local governemnt,Environmental protection,Environmental protection n.e.c.,0
2007,Percentage (%),Local governemnt,"Recreation, culture and religion",,3.445032077
2007,Percentage (%),Local governemnt,"Recreation, culture and religion",Recreational and sporting services,2.044923787
2007,Percentage (%),Local governemnt,"Recreation, culture and religion",Cultural services,1.653877917
2007,Percentage (%),Local governemnt,"Recreation, culture and religion",Broadcasting and publishing services,0
2007,Percentage (%),Local governemnt,"Recreation, culture and religion",Religious and other community services,0
2007,Percentage (%),Local governemnt,"Recreation, culture and religion","Research and development recreation, culture and religion",0
2007,Percentage (%),Local governemnt,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",-0.253769627
2008,Percentage (%),,Environmental protection,,1.654527342
2008,Percentage (%),,Environmental protection,Waste management,1.2937478
2008,Percentage (%),,Environmental protection,Waste water management,0.001908886
2008,Percentage (%),,Environmental protection,Pollution abatement,0.024815524
2008,Percentage (%),,Environmental protection,Protection of biodiversity and landscape,0.066095194
2008,Percentage (%),,Environmental protection,Research and development environmental protection,0.060129924
2008,Percentage (%),,Environmental protection,Environmental protection n.e.c.,0.207830014
2008,Percentage (%),,"Recreation, culture and religion",,1.803659097
2008,Percentage (%),,"Recreation, culture and religion",Recreational and sporting services,0.690062456
2008,Percentage (%),,"Recreation, culture and religion",Cultural services,0.679563581
2008,Percentage (%),,"Recreation, culture and religion",Broadcasting and publishing services,0.456104559
2008,Percentage (%),,"Recreation, culture and religion",Religious and other community services,0.001789581
2008,Percentage (%),,"Recreation, culture and religion","Research and development recreation, culture and religion",0.018373032
2008,Percentage (%),,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",-0.042234113
2008,Percentage (%),Central government,Environmental protection,,0.930015949
2008,Percentage (%),Central government,Environmental protection,Waste management,0.459011389
2008,Percentage (%),Central government,Environmental protection,Waste water management,0.002492088
2008,Percentage (%),Central government,Environmental protection,Pollution abatement,0.032397139
2008,Percentage (%),Central government,Environmental protection,Protection of biodiversity and landscape,0.086288534
2008,Percentage (%),Central government,Environmental protection,Research and development environmental protection,0.07850076
2008,Percentage (%),Central government,Environmental protection,Environmental protection n.e.c.,0.27132604
2008,Percentage (%),Central government,"Recreation, culture and religion",,1.352892068
2008,Percentage (%),Central government,"Recreation, culture and religion",Recreational and sporting services,0.306371022
2008,Percentage (%),Central government,"Recreation, culture and religion",Cultural services,0.407767837
2008,Percentage (%),Central government,"Recreation, culture and religion",Broadcasting and publishing services,0.595453186
2008,Percentage (%),Central government,"Recreation, culture and religion",Religious and other community services,0.002336332
2008,Percentage (%),Central government,"Recreation, culture and religion","Research and development recreation, culture and religion",0.023986343
2008,Percentage (%),Central government,"Recreation, culture and religion","Recreation, culture and religion n.e.c.",0.016977347
2008,Percentage (%),Local governemnt,Environmental protection,,4.025938935
2008,Percentage (%),Local governemnt,Environmental protection,Waste management,4.025938935
2008,Percentage (%),Local governemnt,Environmental protection,Waste water management,0
2008,Percentage (%),Local governemnt,Environmental protection,Pollution abatement,0
2008,Percentage (%),Local governemnt,Environmental protection,Protection of biodiversity and landscape,0
2008,Percentage (%),Local governemnt,Environmental protection,Research and development environmental protection,0
2008,Percentage (%),Local governemnt,Environmental protection,Environmental protection n.e.c.,0
