Year,Type of government,Source of revenue,Value
2013,Central government,Pension contributions,1.289236353
2014,Central government,Pension contributions,1.252815041
2015,Central government,Pension contributions,1.369698375
2016,Central government,Pension contributions,1.383992519
2000,Central government,Current grants to central government,0
2001,Central government,Current grants to central government,0.000533321
2002,Central government,Current grants to central government,0.000845857
2003,Central government,Current grants to central government,0.000629715
2004,Central government,Current grants to central government,0.000738204
2005,Central government,Current grants to central government,0.000775704
2006,Central government,Current grants to central government,0.001397742
2007,Central government,Current grants to central government,0.004381171
2008,Central government,Current grants to central government,0.00222957
2009,Central government,Current grants to central government,0.002267353
2010,Central government,Current grants to central government,0.002229571
2011,Central government,Current grants to central government,0.002602478
2012,Central government,Current grants to central government,0.006895624
2013,Central government,Current grants to central government,0.005863465
2014,Central government,Current grants to central government,0.006665063
2015,Central government,Current grants to central government,0.002488435
2016,Central government,Current grants to central government,0.008165915
2000,Central government,Capital transfers to central government,0.001982475
2001,Central government,Capital transfers to central government,0.030265981
2002,Central government,Capital transfers to central government,0.029865255
2003,Central government,Capital transfers to central government,0.032430342
2004,Central government,Capital transfers to central government,0.103102487
2005,Central government,Capital transfers to central government,0.149114265
2006,Central government,Capital transfers to central government,0.07012006
2007,Central government,Capital transfers to central government,0.089273471
2008,Central government,Capital transfers to central government,1.302755063
2009,Central government,Capital transfers to central government,0.129119796
2010,Central government,Capital transfers to central government,0.012614676
2011,Central government,Capital transfers to central government,0.015961867
2012,Central government,Capital transfers to central government,0.791458088
2013,Central government,Capital transfers to central government,0.113081111
2014,Central government,Capital transfers to central government,0.14901563
2015,Central government,Capital transfers to central government,0.148564888
2016,Central government,Capital transfers to central government,0.062258598
2000,Central government,Gross operating surplus,0.638767092
2001,Central government,Gross operating surplus,0.638185534
2002,Central government,Gross operating surplus,0.651505007
2003,Central government,Gross operating surplus,0.699110023
2004,Central government,Gross operating surplus,0.704369614
2005,Central government,Gross operating surplus,0.723493582
2006,Central government,Gross operating surplus,0.741385687
2007,Central government,Gross operating surplus,0.748212966
2008,Central government,Gross operating surplus,0.809219673
2009,Central government,Gross operating surplus,0.883313056
2010,Central government,Gross operating surplus,0.910310239
2011,Central government,Gross operating surplus,0.949441942
2012,Central government,Gross operating surplus,0.976500169
2013,Central government,Gross operating surplus,0.977076644
2014,Central government,Gross operating surplus,0.966867594
2015,Central government,Gross operating surplus,0.964665806
2016,Central government,Gross operating surplus,0.951251049
2000,Central government,,25.33821706
2001,Central government,,25.49388881
2002,Central government,,25.16593435
2003,Central government,,25.71789128
2004,Central government,,27.41443447
2005,Central government,,28.63602515
2006,Central government,,29.54401577
2007,Central government,,30.58700294
2008,Central government,,32.28749337
2009,Central government,,30.81631277
2010,Central government,,32.236365
2011,Central government,,33.4109643
2012,Central government,,34.00106911
2013,Central government,,34.74756387
2014,Central government,,34.35894018
2015,Central government,,34.96124659
2016,Central government,,36.1587225
2000,Local government,Taxes,0.910844685
2001,Local government,Taxes,0.963311498
2002,Local government,Taxes,1.029082512
2003,Local government,Taxes,1.118122642
2004,Local government,Taxes,1.177373802
2005,Local government,Taxes,1.207294486
2006,Local government,Taxes,1.242767413
2007,Local government,Taxes,1.280212299
2008,Local government,Taxes,1.345631414
2009,Local government,Taxes,1.44305095
2010,Local government,Taxes,1.457728513
2011,Local government,Taxes,1.45096844
2012,Local government,Taxes,1.448138067
2013,Local government,Taxes,1.476755549
2014,Local government,Taxes,1.485171048
2015,Local government,Taxes,1.500050033
2016,Local government,Taxes,1.546062521
2000,Local government,Interest and dividends,0.004375117
2001,Local government,Interest and dividends,-0.04939888
2002,Local government,Interest and dividends,-0.086342469
2003,Local government,Interest and dividends,-0.142315678
2004,Local government,Interest and dividends,-0.09811961
2005,Local government,Interest and dividends,-0.070768114
2006,Local government,Interest and dividends,-0.06779049
2007,Local government,Interest and dividends,-0.02918884
2008,Local government,Interest and dividends,0.003258603
2009,Local government,Interest and dividends,-0.074762987
2010,Local government,Interest and dividends,-0.081027292
2011,Local government,Interest and dividends,-0.055461706
2012,Local government,Interest and dividends,-0.137969472
2013,Local government,Interest and dividends,-0.0287589
2014,Local government,Interest and dividends,-0.041507626
2015,Local government,Interest and dividends,-0.045056564
2016,Local government,Interest and dividends,-0.043638232
2000,Local government,Other receipts,0.302088161
2001,Local government,Other receipts,0.313259566
2002,Local government,Other receipts,0.330144453
2003,Local government,Other receipts,0.33884985
2004,Local government,Other receipts,0.358644092
2005,Local government,Other receipts,0.38361569
2006,Local government,Other receipts,0.409014272
2007,Local government,Other receipts,0.42241316
2008,Local government,Other receipts,0.448772479
2009,Local government,Other receipts,0.494521657
2010,Local government,Other receipts,0.512859929
2011,Local government,Other receipts,0.534317726
2012,Local government,Other receipts,0.555696128
2013,Local government,Other receipts,0.574284518
2014,Local government,Other receipts,0.584628957
2015,Local government,Other receipts,0.598601076
2016,Local government,Other receipts,0.61847702
2000,Local government,Market output,0.847337126
2001,Local government,Market output,0.95751163
2002,Local government,Market output,1.040013586
2003,Local government,Market output,1.087266588
2004,Local government,Market output,1.102876719
2005,Local government,Market output,1.164869419
2006,Local government,Market output,1.35912944
2007,Local government,Market output,1.336939928
2008,Local government,Market output,1.378560452
2009,Local government,Market output,1.512622892
2010,Local government,Market output,1.523207484
2011,Local government,Market output,1.435816233
2012,Local government,Market output,1.395024665
2013,Local government,Market output,1.389697054
2014,Local government,Market output,1.399338045
2015,Local government,Market output,1.398447746
2016,Local government,Market output,1.36672447
2000,Local government,Pension contributions,0.123118529
2001,Local government,Pension contributions,0.127730438
2002,Local government,Pension contributions,0.143730606
2003,Local government,Pension contributions,0.138285499
2004,Local government,Pension contributions,0.159082954
2005,Local government,Pension contributions,0.173399781
2006,Local government,Pension contributions,0.166913698
2007,Local government,Pension contributions,0.165915514
2008,Local government,Pension contributions,0.181967236
2009,Local government,Pension contributions,0.199467411
2010,Local government,Pension contributions,0.182766123
2011,Local government,Pension contributions,0.175175711
2012,Local government,Pension contributions,0.175467991
2013,Local government,Pension contributions,0.160044674
2014,Local government,Pension contributions,0.15660188
2015,Local government,Pension contributions,0.155447794
2016,Local government,Pension contributions,0.152291709
2000,Local government,Current grants from central government,4.515189176
2001,Local government,Current grants from central government,4.880222715
2002,Local government,Current grants from central government,5.149837042
2003,Local government,Current grants from central government,5.532616423
2004,Local government,Current grants from central government,5.826889941
2005,Local government,Current grants from central government,6.048645023
2006,Local government,Current grants from central government,6.427109207
2007,Local government,Current grants from central government,6.435655676
2008,Local government,Current grants from central government,6.738047217
2009,Local government,Current grants from central government,7.440975726
2010,Local government,Current grants from central government,7.763013065
2011,Local government,Current grants from central government,7.340261324
2012,Local government,Current grants from central government,7.320075499
2013,Local government,Current grants from central government,6.793689795
2014,Local government,Current grants from central government,6.723205906
2015,Local government,Current grants from central government,6.413068627
2016,Local government,Current grants from central government,5.917843616
2000,Local government,Capital grants from private sector,0.030489097
2001,Local government,Capital grants from private sector,0.0323326
2002,Local government,Capital grants from private sector,0.046587195
2003,Local government,Capital grants from private sector,0.049684544
2004,Local government,Capital grants from private sector,0.036541096
2005,Local government,Capital grants from private sector,0.041112336
2006,Local government,Capital grants from private sector,0.043562961
2007,Local government,Capital grants from private sector,0.04381171
2008,Local government,Capital grants from private sector,0.046420797
2009,Local government,Capital grants from private sector,0.053461801
2010,Local government,Capital grants from private sector,0.040777674
2011,Local government,Capital grants from private sector,0.045572288
2012,Local government,Capital grants from private sector,0.052087607
2013,Local government,Capital grants from private sector,0.057629485
2014,Local government,Capital grants from private sector,0.076079252
2015,Local government,Capital grants from private sector,0.072905862
2016,Local government,Capital grants from private sector,0.075573721
2000,Local government,Gross operating surplus,0.28609164
2001,Local government,Gross operating surplus,0.298326571
2002,Local government,Gross operating surplus,0.315439556
2003,Local government,Gross operating surplus,0.322792108
2004,Local government,Gross operating surplus,0.341911468
2005,Local government,Gross operating surplus,0.363805391
2006,Local government,Gross operating surplus,0.389387643
2007,Local government,Gross operating surplus,0.40136078
2008,Local government,Gross operating surplus,0.426991292
2009,Local government,Gross operating surplus,0.470774116
2010,Local government,Gross operating surplus,0.491502989
2011,Local government,Gross operating surplus,0.51251474
2012,Local government,Gross operating surplus,0.533698516
2013,Local government,Gross operating surplus,0.552282563
2014,Local government,Gross operating surplus,0.563712581
2015,Local government,Gross operating surplus,0.57710523
2016,Local government,Gross operating surplus,0.593147081
2000,Local government,,6.447350251
2001,Local government,,6.926642996
2002,Local government,,7.337613369
2003,Local government,,7.799717762
2004,Local government,,8.221377526
2005,Local government,,8.58436323
2006,Local government,,9.191318857
2007,Local government,,9.254398667
2008,Local government,,9.715666904
2009,Local government,,10.59856333
2010,Local government,,10.90782251
2011,Local government,,10.41413527
2012,Local government,,10.27482197
2013,Local government,,9.871059612
2014,Local government,,9.819804882
2015,Local government,,9.516359345
2016,Local government,,9.040187743
2000,,Taxes,20.43945317
2001,,Taxes,20.37493817
2002,,Taxes,20.22801699
2003,,Taxes,20.45372253
2004,,Taxes,21.5045581
2005,,Taxes,22.34136247
2006,,Taxes,23.179572
2007,,Taxes,23.93251631
2008,,Taxes,23.96233513
2009,,Taxes,23.44604266
2010,,Taxes,24.99102304
2011,,Taxes,26.09510844
2012,,Taxes,25.68631407
2013,,Taxes,26.16389781
2014,,Taxes,26.29291379
2015,,Taxes,26.65903194
2016,,Taxes,27.67678165
2000,,Interest and dividends,0.55748562
2001,,Interest and dividends,0.504855223
2002,,Interest and dividends,0.373153023
2003,,Interest and dividends,0.334378871
2004,,Interest and dividends,0.348493787
2005,,Interest and dividends,0.344114432
2006,,Interest and dividends,0.314608443
2007,,Interest and dividends,0.413992208
2008,,Interest and dividends,0.550189342
2009,,Interest and dividends,0.453351297
2010,,Interest and dividends,0.38072853
2011,,Interest and dividends,0.40829994
2012,,Interest and dividends,0.537117834
2013,,Interest and dividends,1.464805249
2014,,Interest and dividends,0.868842403
2015,,Interest and dividends,0.878682421
2016,,Interest and dividends,0.910213427
2000,,Other receipts,1.049959735
2001,,Other receipts,1.091708588
2002,,Other receipts,1.117767354
2003,,Other receipts,1.151875387
2004,,Other receipts,1.170853001
2005,,Other receipts,1.214812852
2006,,Other receipts,1.248358381
2007,,Other receipts,1.264679056
2008,,Other receipts,1.359580521
2009,,Other receipts,1.493171389
2010,,Other receipts,1.540281301
2011,,Other receipts,1.597112059
2012,,Other receipts,1.698204174
2013,,Other receipts,1.764735446
2014,,Other receipts,1.844650935
2015,,Other receipts,1.812163366
2016,,Other receipts,1.774708134
2000,,Market output,1.07689405
2001,,Market output,1.236438641
2002,,Market output,1.329166512
2003,,Market output,1.392678551
2004,,Market output,1.694608712
2005,,Market output,1.902146673
2006,,Market output,2.145301111
2007,,Market output,2.239062862
2008,,Market output,2.326299325
2009,,Market output,2.630248997
2010,,Market output,2.630365344
2011,,Market output,2.46443135
2012,,Market output,2.319836146
2013,,Market output,2.410945135
2014,,Market output,2.425595141
2015,,Market output,2.467998456
2016,,Market output,2.44639363
2000,,Pension contributions,0.920073447
2001,,Pension contributions,0.997510723
2002,,Pension contributions,1.069423379
2003,,Pension contributions,1.08651093
2004,,Pension contributions,1.122685192
2005,,Pension contributions,1.225971063
2006,,Pension contributions,1.220752975
2007,,Pension contributions,1.264110073
2008,,Pension contributions,1.330767612
2009,,Pension contributions,1.485056651
2010,,Pension contributions,1.473394181
2011,,Pension contributions,1.451084106
2012,,Pension contributions,1.429103865
2013,,Pension contributions,1.449281028
2014,,Pension contributions,1.409416921
2015,,Pension contributions,1.525146169
2016,,Pension contributions,1.536284228
2000,,Current grants from central government,4.515189176
2001,,Current grants from central government,4.880222715
2002,,Current grants from central government,5.149837042
2003,,Current grants from central government,5.532616423
2004,,Current grants from central government,5.826889941
2005,,Current grants from central government,6.048645023
2006,,Current grants from central government,6.427109207
2007,,Current grants from central government,6.435655676
2008,,Current grants from central government,6.738047217
2009,,Current grants from central government,7.440975726
2010,,Current grants from central government,7.763013065
2011,,Current grants from central government,7.340261324
2012,,Current grants from central government,7.320075499
2013,,Current grants from central government,6.793689795
2014,,Current grants from central government,6.723205906
2015,,Current grants from central government,6.413068627
2016,,Current grants from central government,5.917843616
2000,,Capital grants from private sector,0.030489097
2001,,Capital grants from private sector,0.0323326
2002,,Capital grants from private sector,0.046587195
2003,,Capital grants from private sector,0.049684544
2004,,Capital grants from private sector,0.036541096
2005,,Capital grants from private sector,0.041112336
2006,,Capital grants from private sector,0.043562961
2007,,Capital grants from private sector,0.04381171
2008,,Capital grants from private sector,0.046420797
2009,,Capital grants from private sector,0.053461801
2010,,Capital grants from private sector,0.040777674
2011,,Capital grants from private sector,0.045572288
2012,,Capital grants from private sector,0.052087607
2013,,Capital grants from private sector,0.057629485
2014,,Capital grants from private sector,0.076079252
2015,,Capital grants from private sector,0.072905862
2016,,Capital grants from private sector,0.075573721
2000,,Gross operating surplus,0.924858732
2001,,Gross operating surplus,0.936512106
2002,,Gross operating surplus,0.966944563
2003,,Gross operating surplus,1.021902131
2004,,Gross operating surplus,1.046281082
2005,,Gross operating surplus,1.087298973
2006,,Gross operating surplus,1.13077333
2007,,Gross operating surplus,1.149573746
2008,,Gross operating surplus,1.236210965
2009,,Gross operating surplus,1.354087173
2010,,Gross operating surplus,1.401813228
2011,,Gross operating surplus,1.461956682
2012,,Gross operating surplus,1.510198685
2013,,Gross operating surplus,1.529359207
2014,,Gross operating surplus,1.530580175
2015,,Gross operating surplus,1.541771035
2016,,Gross operating surplus,1.54439813
2000,,National insurance contributions,4.118899275
2001,,National insurance contributions,4.208237947
2002,,National insurance contributions,4.125829672
2003,,National insurance contributions,4.504983882
2004,,National insurance contributions,4.873622558
2005,,National insurance contributions,5.039632531
2006,,National insurance contributions,5.215325077
2007,,National insurance contributions,5.303492817
2008,,National insurance contributions,5.620746666
2009,,National insurance contributions,5.635267604
2010,,National insurance contributions,5.711573349
2011,,National insurance contributions,5.866622405
2012,,National insurance contributions,5.944996854
2013,,National insurance contributions,5.924054167
2014,,National insurance contributions,5.912940192
2015,,National insurance contributions,6.039326809
2016,,National insurance contributions,6.335085451
2000,,Current grants to central government,0
2001,,Current grants to central government,0.000533321
2002,,Current grants to central government,0.000845857
2003,,Current grants to central government,0.000629715
2004,,Current grants to central government,0.000738204
2005,,Current grants to central government,0.000775704
2006,,Current grants to central government,0.001397742
2007,,Current grants to central government,0.004381171
2008,,Current grants to central government,0.00222957
2009,,Current grants to central government,0.002267353
2010,,Current grants to central government,0.002229571
2011,,Current grants to central government,0.002602478
2012,,Current grants to central government,0.006895624
2013,,Current grants to central government,0.005863465
2014,,Current grants to central government,0.006665063
2015,,Current grants to central government,0.002488435
2016,,Current grants to central government,0.008165915
2000,,Capital transfers to central government,0.001982475
2001,,Capital transfers to central government,0.030265981
2002,,Capital transfers to central government,0.029865255
2003,,Capital transfers to central government,0.032430342
2004,,Capital transfers to central government,0.103102487
2005,,Capital transfers to central government,0.149114265
2006,,Capital transfers to central government,0.07012006
2007,,Capital transfers to central government,0.089273471
2008,,Capital transfers to central government,1.302755063
2009,,Capital transfers to central government,0.129119796
2010,,Capital transfers to central government,0.012614676
2011,,Capital transfers to central government,0.015961867
2012,,Capital transfers to central government,0.791458088
2013,,Capital transfers to central government,0.113081111
2014,,Capital transfers to central government,0.14901563
2015,,Capital transfers to central government,0.148564888
2016,,Capital transfers to central government,0.062258598
