Year,Units,Country,GeoCode,Value
2015,Total woodland area (hectares),Wales,W92000004,305935.0
2016,Certified woodland area (hectares),Wales,W92000004,141224.0
2016,Total woodland area (hectares),Wales,W92000004,306135.0
2017,Certified woodland area (hectares),Wales,W92000004,145112.0
2017,Total woodland area (hectares),Wales,W92000004,307008.0
2001,Certified woodland area (hectares),Scotland,S92000003,584719.0
2001,Total woodland area (hectares),Scotland,S92000003,1331053.0
2002,Certified woodland area (hectares),Scotland,S92000003,592366.0
2002,Total woodland area (hectares),Scotland,S92000003,1338934.0
2004,Certified woodland area (hectares),Scotland,S92000003,669909.0
2004,Total woodland area (hectares),Scotland,S92000003,1352206.0
2005,Certified woodland area (hectares),Scotland,S92000003,718699.0
2005,Total woodland area (hectares),Scotland,S92000003,1357784.0
2006,Certified woodland area (hectares),Scotland,S92000003,724370.0
2006,Total woodland area (hectares),Scotland,S92000003,1361701.0
2007,Certified woodland area (hectares),Scotland,S92000003,764314.0
2007,Total woodland area (hectares),Scotland,S92000003,1368168.0
2008,Certified woodland area (hectares),Scotland,S92000003,770012.0
2008,Total woodland area (hectares),Scotland,S92000003,1372272.0
2009,Certified woodland area (hectares),Scotland,S92000003,780754.0
2009,Total woodland area (hectares),Scotland,S92000003,1375642.0
2010,Certified woodland area (hectares),Scotland,S92000003,792465.0
2010,Total woodland area (hectares),Scotland,S92000003,1378304.0
2011,Certified woodland area (hectares),Scotland,S92000003,791775.0
2011,Total woodland area (hectares),Scotland,S92000003,1383406.0
2012,Certified woodland area (hectares),Scotland,S92000003,807737.0
2012,Total woodland area (hectares),Scotland,S92000003,1403026.0
2013,Certified woodland area (hectares),Scotland,S92000003,803698.0
2013,Total woodland area (hectares),Scotland,S92000003,1410663.0
2014,Certified woodland area (hectares),Scotland,S92000003,821769.0
2014,Total woodland area (hectares),Scotland,S92000003,1424255.0
2015,Certified woodland area (hectares),Scotland,S92000003,813368.0
2015,Total woodland area (hectares),Scotland,S92000003,1431814.0
2016,Certified woodland area (hectares),Scotland,S92000003,806897.0
2016,Total woodland area (hectares),Scotland,S92000003,1436270.0
2017,Certified woodland area (hectares),Scotland,S92000003,841015.0
2017,Total woodland area (hectares),Scotland,S92000003,1439858.0
2001,Certified woodland area (hectares),Northern Ireland,N92000002,62472.0
2001,Total woodland area (hectares),Northern Ireland,N92000002,83000.0
2002,Certified woodland area (hectares),Northern Ireland,N92000002,62472.0
2002,Total woodland area (hectares),Northern Ireland,N92000002,84000.0
2004,Certified woodland area (hectares),Northern Ireland,N92000002,65120.0
2004,Total woodland area (hectares),Northern Ireland,N92000002,85800.0
2005,Certified woodland area (hectares),Northern Ireland,N92000002,63451.0
2005,Total woodland area (hectares),Northern Ireland,N92000002,85060.0
2006,Certified woodland area (hectares),Northern Ireland,N92000002,63431.0
2006,Total woodland area (hectares),Northern Ireland,N92000002,85640.0
2007,Certified woodland area (hectares),Northern Ireland,N92000002,64156.0
2007,Total woodland area (hectares),Northern Ireland,N92000002,86840.0
2008,Certified woodland area (hectares),Northern Ireland,N92000002,64439.0
2008,Total woodland area (hectares),Northern Ireland,N92000002,87355.0
2009,Certified woodland area (hectares),Northern Ireland,N92000002,65060.0
2009,Total woodland area (hectares),Northern Ireland,N92000002,87677.0
2010,Certified woodland area (hectares),Northern Ireland,N92000002,64150.0
2010,Total woodland area (hectares),Northern Ireland,N92000002,87812.0
2011,Certified woodland area (hectares),Northern Ireland,N92000002,63456.0
2011,Total woodland area (hectares),Northern Ireland,N92000002,87957.0
2012,Certified woodland area (hectares),Northern Ireland,N92000002,64555.0
2012,Total woodland area (hectares),Northern Ireland,N92000002,105218.0
2013,Certified woodland area (hectares),Northern Ireland,N92000002,64683.0
2013,Total woodland area (hectares),Northern Ireland,N92000002,111016.0
2014,Certified woodland area (hectares),Northern Ireland,N92000002,64839.0
2014,Total woodland area (hectares),Northern Ireland,N92000002,111463.0
2015,Certified woodland area (hectares),Northern Ireland,N92000002,65121.0
2015,Total woodland area (hectares),Northern Ireland,N92000002,111912.0
2016,Certified woodland area (hectares),Northern Ireland,N92000002,65261.0
2016,Total woodland area (hectares),Northern Ireland,N92000002,112087.0
2017,Certified woodland area (hectares),Northern Ireland,N92000002,65345.0
2017,Total woodland area (hectares),Northern Ireland,N92000002,112378.0
2001,Percentage of woodland area certified (%),,,35.7
2002,Percentage of woodland area certified (%),,,36.0
2004,Percentage of woodland area certified (%),,,38.5
2005,Percentage of woodland area certified (%),,,41.6
2006,Percentage of woodland area certified (%),,,42.0
2007,Percentage of woodland area certified (%),,,43.6
2008,Percentage of woodland area certified (%),,,43.0
2009,Percentage of woodland area certified (%),,,43.6
2010,Percentage of woodland area certified (%),,,44.0
2011,Percentage of woodland area certified (%),,,43.2
2012,Percentage of woodland area certified (%),,,43.9
2013,Percentage of woodland area certified (%),,,43.6
2014,Percentage of woodland area certified (%),,,43.8
2015,Percentage of woodland area certified (%),,,43.6
2016,Percentage of woodland area certified (%),,,42.7
2017,Percentage of woodland area certified (%),,,44.0
2001,Percentage of woodland area certified (%),England,E92000001,23.0
2002,Percentage of woodland area certified (%),England,E92000001,23.5
2004,Percentage of woodland area certified (%),England,E92000001,23.5
2005,Percentage of woodland area certified (%),England,E92000001,26.9
2006,Percentage of woodland area certified (%),England,E92000001,27.6
2007,Percentage of woodland area certified (%),England,E92000001,28.4
2008,Percentage of woodland area certified (%),England,E92000001,26.9
2009,Percentage of woodland area certified (%),England,E92000001,27.4
2010,Percentage of woodland area certified (%),England,E92000001,27.7
2011,Percentage of woodland area certified (%),England,E92000001,25.9
2012,Percentage of woodland area certified (%),England,E92000001,27.4
2013,Percentage of woodland area certified (%),England,E92000001,27.3
2014,Percentage of woodland area certified (%),England,E92000001,26.8
2015,Percentage of woodland area certified (%),England,E92000001,27.3
2016,Percentage of woodland area certified (%),England,E92000001,25.8
2017,Percentage of woodland area certified (%),England,E92000001,26.0
2001,Percentage of woodland area certified (%),Wales,W92000004,41.4
2002,Percentage of woodland area certified (%),Wales,W92000004,41.2
2004,Percentage of woodland area certified (%),Wales,W92000004,42.0
2005,Percentage of woodland area certified (%),Wales,W92000004,43.5
2006,Percentage of woodland area certified (%),Wales,W92000004,43.38
2007,Percentage of woodland area certified (%),Wales,W92000004,43.8
2008,Percentage of woodland area certified (%),Wales,W92000004,42.9
2009,Percentage of woodland area certified (%),Wales,W92000004,44.1
2010,Percentage of woodland area certified (%),Wales,W92000004,44.0
2011,Percentage of woodland area certified (%),Wales,W92000004,44.0
2012,Percentage of woodland area certified (%),Wales,W92000004,45.4
2013,Percentage of woodland area certified (%),Wales,W92000004,45.7
2014,Percentage of woodland area certified (%),Wales,W92000004,46.1
2015,Percentage of woodland area certified (%),Wales,W92000004,46.2
2016,Percentage of woodland area certified (%),Wales,W92000004,46.1
2017,Percentage of woodland area certified (%),Wales,W92000004,47.0
2001,Percentage of woodland area certified (%),Scotland,S92000003,43.9
2002,Percentage of woodland area certified (%),Scotland,S92000003,44.2
2004,Percentage of woodland area certified (%),Scotland,S92000003,49.5
2005,Percentage of woodland area certified (%),Scotland,S92000003,52.9
2006,Percentage of woodland area certified (%),Scotland,S92000003,53.2
2007,Percentage of woodland area certified (%),Scotland,S92000003,55.9
2008,Percentage of woodland area certified (%),Scotland,S92000003,56.1
2009,Percentage of woodland area certified (%),Scotland,S92000003,56.8
2010,Percentage of woodland area certified (%),Scotland,S92000003,57.5
2011,Percentage of woodland area certified (%),Scotland,S92000003,57.2
2012,Percentage of woodland area certified (%),Scotland,S92000003,57.6
2013,Percentage of woodland area certified (%),Scotland,S92000003,57.0
2014,Percentage of woodland area certified (%),Scotland,S92000003,57.7
2015,Percentage of woodland area certified (%),Scotland,S92000003,56.8
2016,Percentage of woodland area certified (%),Scotland,S92000003,56.2
2017,Percentage of woodland area certified (%),Scotland,S92000003,58.0
2001,Percentage of woodland area certified (%),Northern Ireland,N92000002,75.3
2002,Percentage of woodland area certified (%),Northern Ireland,N92000002,74.4
2004,Percentage of woodland area certified (%),Northern Ireland,N92000002,75.9
2005,Percentage of woodland area certified (%),Northern Ireland,N92000002,74.6
2006,Percentage of woodland area certified (%),Northern Ireland,N92000002,74.1
2007,Percentage of woodland area certified (%),Northern Ireland,N92000002,73.9
2008,Percentage of woodland area certified (%),Northern Ireland,N92000002,73.8
2009,Percentage of woodland area certified (%),Northern Ireland,N92000002,74.2
2010,Percentage of woodland area certified (%),Northern Ireland,N92000002,73.1
2011,Percentage of woodland area certified (%),Northern Ireland,N92000002,72.1
2012,Percentage of woodland area certified (%),Northern Ireland,N92000002,61.4
2013,Percentage of woodland area certified (%),Northern Ireland,N92000002,58.3
2014,Percentage of woodland area certified (%),Northern Ireland,N92000002,58.2
2015,Percentage of woodland area certified (%),Northern Ireland,N92000002,58.2
2016,Percentage of woodland area certified (%),Northern Ireland,N92000002,58.2
2017,Percentage of woodland area certified (%),Northern Ireland,N92000002,58.0
2005,Annual certified woodland area growth rate (%),,,8.375108052
2005,Annual total woodland area growth rate (%),,,0.342205052
2006,Annual certified woodland area growth rate (%),,,1.22656411099999
2006,Annual total woodland area growth rate (%),,,0.276528216
2007,Annual certified woodland area growth rate (%),,,4.118652198
2007,Annual total woodland area growth rate (%),,,0.366399533999999
2008,Annual certified woodland area growth rate (%),,,-1.15031279
2008,Annual total woodland area growth rate (%),,,0.235884875
2009,Annual certified woodland area growth rate (%),,,1.708058208
2009,Annual total woodland area growth rate (%),,,0.202531753999999
2010,Annual certified woodland area growth rate (%),,,1.141729664
2010,Annual total woodland area growth rate (%),,,0.166756495
2011,Annual certified woodland area growth rate (%),,,-1.722387083
2011,Annual total woodland area growth rate (%),,,0.26397813
2012,Annual certified woodland area growth rate (%),,,3.134825866
2012,Annual total woodland area growth rate (%),,,1.407703287
2013,Annual certified woodland area growth rate (%),,,-0.219576653999999
2013,Annual total woodland area growth rate (%),,,0.476364014
2014,Annual certified woodland area growth rate (%),,,1.05746118599999
2014,Annual total woodland area growth rate (%),,,0.58082906
2015,Annual certified woodland area growth rate (%),,,-0.106452269
2015,Annual total woodland area growth rate (%),,,0.335201808999999
2016,Annual certified woodland area growth rate (%),,,-1.818721613
2016,Annual total woodland area growth rate (%),,,0.197917913
2017,Annual certified woodland area growth rate (%),,,2.794334399
2017,Annual total woodland area growth rate (%),,,0.181493989
2005,Annual certified woodland area growth rate (%),England,E92000001,15.23410459
2005,Annual total woodland area growth rate (%),England,E92000001,0.389209374
2006,Annual certified woodland area growth rate (%),England,E92000001,2.87379879
2006,Annual total woodland area growth rate (%),England,E92000001,0.26521798
2007,Annual certified woodland area growth rate (%),England,E92000001,2.908834345
2007,Annual total woodland area growth rate (%),England,E92000001,0.229596214
2008,Annual certified woodland area growth rate (%),England,E92000001,-5.110829804
2008,Annual total woodland area growth rate (%),England,E92000001,0.186594452
2009,Annual certified woodland area growth rate (%),England,E92000001,2.094614417
2009,Annual total woodland area growth rate (%),England,E92000001,0.180765748999999
2010,Annual certified woodland area growth rate (%),England,E92000001,1.325300629
2010,Annual total woodland area growth rate (%),England,E92000001,0.164243121
2011,Annual certified woodland area growth rate (%),England,E92000001,-6.145845562
2011,Annual total woodland area growth rate (%),England,E92000001,0.196301439
2012,Annual certified woodland area growth rate (%),England,E92000001,5.89319275
2012,Annual total woodland area growth rate (%),England,E92000001,0.410041899
2013,Annual certified woodland area growth rate (%),England,E92000001,-0.066071829
2013,Annual total woodland area growth rate (%),England,E92000001,0.041602583
2014,Annual certified woodland area growth rate (%),England,E92000001,-1.54983071199999
2014,Annual total woodland area growth rate (%),England,E92000001,0.284153295
2015,Annual certified woodland area growth rate (%),England,E92000001,1.840319778
2015,Annual total woodland area growth rate (%),England,E92000001,0.186292766
2016,Annual certified woodland area growth rate (%),England,E92000001,-5.219150464
2016,Annual total woodland area growth rate (%),England,E92000001,0.108156971999999
2017,Annual certified woodland area growth rate (%),England,E92000001,-0.10468108
2017,Annual total woodland area growth rate (%),England,E92000001,0.075376125
2005,Annual certified woodland area growth rate (%),Wales,W92000004,3.622196661
2005,Annual total woodland area growth rate (%),Wales,W92000004,0.171352621999999
2006,Annual certified woodland area growth rate (%),Wales,W92000004,-0.082962124
2006,Annual total woodland area growth rate (%),Wales,W92000004,0.156448560999999
2007,Annual certified woodland area growth rate (%),Wales,W92000004,1.11043008099999
2007,Annual total woodland area growth rate (%),Wales,W92000004,0.16356385
2008,Annual certified woodland area growth rate (%),Wales,W92000004,-1.98002657199999
2008,Annual total woodland area growth rate (%),Wales,W92000004,0.052994665
2009,Annual certified woodland area growth rate (%),Wales,W92000004,2.904927555
2009,Annual total woodland area growth rate (%),Wales,W92000004,0.051753304
2010,Annual certified woodland area growth rate (%),Wales,W92000004,-0.197617885
2010,Annual total woodland area growth rate (%),Wales,W92000004,0.059825499
2011,Annual certified woodland area growth rate (%),Wales,W92000004,0.097697223
2011,Annual total woodland area growth rate (%),Wales,W92000004,0.097840441
2012,Annual certified woodland area growth rate (%),Wales,W92000004,3.511070028
2012,Annual total woodland area growth rate (%),Wales,W92000004,0.328739055
2013,Annual certified woodland area growth rate (%),Wales,W92000004,0.828689525999999
2013,Annual total woodland area growth rate (%),Wales,W92000004,0.276609759
2014,Annual certified woodland area growth rate (%),Wales,W92000004,1.204728748
2014,Annual total woodland area growth rate (%),Wales,W92000004,0.139348980999999
2015,Annual certified woodland area growth rate (%),Wales,W92000004,0.160309712
2015,Annual total woodland area growth rate (%),Wales,W92000004,0.033714591
2016,Annual certified woodland area growth rate (%),Wales,W92000004,-0.086971324
2016,Annual total woodland area growth rate (%),Wales,W92000004,0.065460201
2017,Annual certified woodland area growth rate (%),Wales,W92000004,2.753264748
2017,Annual total woodland area growth rate (%),Wales,W92000004,0.285158983
2005,Annual certified woodland area growth rate (%),Scotland,S92000003,7.28313165899999
2005,Annual total woodland area growth rate (%),Scotland,S92000003,0.412504547
2006,Annual certified woodland area growth rate (%),Scotland,S92000003,0.789016387
2006,Annual total woodland area growth rate (%),Scotland,S92000003,0.288460709
2007,Annual certified woodland area growth rate (%),Scotland,S92000003,5.51427273399999
2007,Annual total woodland area growth rate (%),Scotland,S92000003,0.474947782999999
2008,Annual certified woodland area growth rate (%),Scotland,S92000003,0.74556671
2008,Annual total woodland area growth rate (%),Scotland,S92000003,0.299911106
2009,Annual certified woodland area growth rate (%),Scotland,S92000003,1.395065496
2009,Annual total woodland area growth rate (%),Scotland,S92000003,0.245632543
2010,Annual certified woodland area growth rate (%),Scotland,S92000003,1.499964616
2010,Annual total woodland area growth rate (%),Scotland,S92000003,0.193483481
2011,Annual certified woodland area growth rate (%),Scotland,S92000003,-0.087107915
2011,Annual total woodland area growth rate (%),Scotland,S92000003,0.370165072
2012,Annual certified woodland area growth rate (%),Scotland,S92000003,2.01594518599999
2012,Annual total woodland area growth rate (%),Scotland,S92000003,1.418269113
2013,Annual certified woodland area growth rate (%),Scotland,S92000003,-0.499960995
2013,Annual total woodland area growth rate (%),Scotland,S92000003,0.544319329
2014,Annual certified woodland area growth rate (%),Scotland,S92000003,2.248411845
2014,Annual total woodland area growth rate (%),Scotland,S92000003,0.963460258
2015,Annual certified woodland area growth rate (%),Scotland,S92000003,-1.022331699
2015,Annual total woodland area growth rate (%),Scotland,S92000003,0.530766337
2016,Annual certified woodland area growth rate (%),Scotland,S92000003,-0.795596904
2016,Annual total woodland area growth rate (%),Scotland,S92000003,0.311236753
2017,Annual certified woodland area growth rate (%),Scotland,S92000003,4.228327962
2017,Annual total woodland area growth rate (%),Scotland,S92000003,0.249775646
2005,Annual certified woodland area growth rate (%),Northern Ireland,N92000002,-2.562960688
2005,Annual total woodland area growth rate (%),Northern Ireland,N92000002,-0.862470862
2006,Annual certified woodland area growth rate (%),Northern Ireland,N92000002,-0.031520386
2006,Annual total woodland area growth rate (%),Northern Ireland,N92000002,0.68187162
2007,Annual certified woodland area growth rate (%),Northern Ireland,N92000002,1.143643157
2007,Annual total woodland area growth rate (%),Northern Ireland,N92000002,1.401214386
2008,Annual certified woodland area growth rate (%),Northern Ireland,N92000002,0.440282974
2008,Annual total woodland area growth rate (%),Northern Ireland,N92000002,0.59304468
2009,Annual certified woodland area growth rate (%),Northern Ireland,N92000002,0.963092095999999
2009,Annual total woodland area growth rate (%),Northern Ireland,N92000002,0.368610841
2010,Annual certified woodland area growth rate (%),Northern Ireland,N92000002,-1.398719634
2010,Annual total woodland area growth rate (%),Northern Ireland,N92000002,0.153974246
2011,Annual certified woodland area growth rate (%),Northern Ireland,N92000002,-1.081847871
2011,Annual total woodland area growth rate (%),Northern Ireland,N92000002,0.165125495
2012,Annual certified woodland area growth rate (%),Northern Ireland,N92000002,1.731922371
2012,Annual total woodland area growth rate (%),Northern Ireland,N92000002,16.40498774
2013,Annual certified woodland area growth rate (%),Northern Ireland,N92000002,0.198932685
2013,Annual total woodland area growth rate (%),Northern Ireland,N92000002,5.510463989
2014,Annual certified woodland area growth rate (%),Northern Ireland,N92000002,0.241300176
2014,Annual total woodland area growth rate (%),Northern Ireland,N92000002,0.402644664
2015,Annual certified woodland area growth rate (%),Northern Ireland,N92000002,0.434923426
2015,Annual total woodland area growth rate (%),Northern Ireland,N92000002,0.402824256
2016,Annual certified woodland area growth rate (%),Northern Ireland,N92000002,0.215506518999999
2016,Annual total woodland area growth rate (%),Northern Ireland,N92000002,0.156372864
2017,Annual certified woodland area growth rate (%),Northern Ireland,N92000002,0.127977758
2017,Annual total woodland area growth rate (%),Northern Ireland,N92000002,0.25961976
