Year,Sex,Occupation category,Occupation subcategory,Value
2011,Male,,,4673.627344
2011,Male,Natural and Social Science Professionals,,3274.661603
2011,Male,Natural and Social Science Professionals,Chemical scientists,498.0824837
2011,Male,Natural and Social Science Professionals,Biological scientists and biochemists,1032.599047
2011,Male,Natural and Social Science Professionals,Physical scientists,445.7306028
2011,Male,Natural and Social Science Professionals,Social and humanities scientists,337.16798
2011,Male,Natural and Social Science Professionals,Natural and social science professionals not elsewhere classified,961.0814895
2011,Male,Business and Research Professionals,,1398.965742
2011,Male,Business and Research Professionals,"Actuaries, economists and statisticians",715.497144
2011,Male,Business and Research Professionals,Business and related research professionals,683.4685977
2011,Female,,,2872.509242
2011,Female,Natural and Social Science Professionals,,2343.956357
2011,Female,Natural and Social Science Professionals,Chemical scientists,376.2595655
2011,Female,Natural and Social Science Professionals,Biological scientists and biochemists,1171.310225
2011,Female,Natural and Social Science Professionals,Physical scientists,113.8316446
2011,Female,Natural and Social Science Professionals,Social and humanities scientists,202.8713535
2011,Female,Natural and Social Science Professionals,Natural and social science professionals not elsewhere classified,479.6835679
2011,Female,Business and Research Professionals,,528.5528848
2011,Female,Business and Research Professionals,"Actuaries, economists and statisticians",234.2806856
2011,Female,Business and Research Professionals,Business and related research professionals,294.2721992
2005,16 and under,Female,12.9,
2006,16 and under,Female,14.8,
2007,16 and under,Female,13.3,
2008,16 and under,Female,14.6,
2009,16 and under,Female,13.4,
2010,16 and under,Female,9.4,
2011,16 and under,Female,9.6,
2012,16 and under,Female,8.5,
2013,16 and under,Female,8.8,
2014,16 and under,Female,9.8,
2015,16 and under,Female,9.8,
2016,16 and under,Female,9.8,
2005,16 to 24,Female,15.1,
2006,16 to 24,Female,15.4,
2007,16 to 24,Female,14.5,
2008,16 to 24,Female,13.6,
2009,16 to 24,Female,13.2,
2010,16 to 24,Female,9.8,
2011,16 to 24,Female,13.2,
2012,16 to 24,Female,12.4,
2013,16 to 24,Female,13.6,
2014,16 to 24,Female,16.2,
2015,16 to 24,Female,14.2,
2016,16 to 24,Female,14.6,
2005,25 to 49,Female,9.2,
2006,25 to 49,Female,9.2,
2007,25 to 49,Female,8.4,
2008,25 to 49,Female,8.5,
2009,25 to 49,Female,8.3,
2010,25 to 49,Female,8.4,
2011,25 to 49,Female,7.5,
2012,25 to 49,Female,7,
2013,25 to 49,Female,7.5,
2014,25 to 49,Female,7.5,
2015,25 to 49,Female,7.8,
2016,25 to 49,Female,8.1,
2005,50 to 64,Female,9.9,
2006,50 to 64,Female,11,
2007,50 to 64,Female,9.8,
2008,50 to 64,Female,9.7,
2009,50 to 64,Female,8.1,
2010,50 to 64,Female,9.2,
2011,50 to 64,Female,9,
2012,50 to 64,Female,9.9,
2013,50 to 64,Female,9,
2014,50 to 64,Female,9.5,
2015,50 to 64,Female,10.1,
2016,50 to 64,Female,9.9,
2005,65 to 74,Female,12.3,
2006,65 to 74,Female,12.8,
2007,65 to 74,Female,14,
2008,65 to 74,Female,15,
2009,65 to 74,Female,11.3,
2010,65 to 74,Female,11.1,
2011,65 to 74,Female,10.8,
2012,65 to 74,Female,8.6,
2013,65 to 74,Female,7.3,
2014,65 to 74,Female,7.6,
2015,65 to 74,Female,8,
2016,65 to 74,Female,9.1,
2005,75 and over,Female,18.1,
2006,75 and over,Female,19,
2007,75 and over,Female,20,
2008,75 and over,Female,20.4,
2009,75 and over,Female,15.2,
2010,75 and over,Female,17.3,
2011,75 and over,Female,18.7,
2012,75 and over,Female,11.5,
2013,75 and over,Female,13.9,
2014,75 and over,Female,16,
2015,75 and over,Female,13.9,
2016,75 and over,Female,14.3,
